iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,25.052706480026245,-101.80109676466924,4.92738392056046,-91.34603227514754,-128.34625117006118,0.0,1.9439478179475347,0.05,0.08662986755371094,0.5369582176208496,0.024593618,0.026392538,-101.80109676466924,-1.6293065142534129,-2.0331611061390062,0.0,10000,0.9096641540527344,1.000274786494165,0.18044296760515843,10000,-97.89002828678193,0.0
1,22.58665633201599,-101.4032440643929,6.571518506132336,-90.49011461557947,-160.52169810331594,0.0,2.562759925539633,0.05,0.013654708862304688,0.39542531967163086,0.023573104,0.020105774,-101.7613114946416,-1.6365341488241814,-2.025270101160473,0.0,10000,0.8801279067993164,0.18444728510210281,0.13794231813919008,20000,-99.41025339925817,0.0
2,23.69960045814514,-102.36402345918435,5.706801514225383,-90.54310336221377,-133.31096234498992,0.0,2.198679312353506,0.05,0.016841650009155273,0.35601043701171875,0.027779998,0.024037668,-101.82158269109588,-1.635093613497042,-2.0445174104618986,0.0,10000,0.8651065826416016,0.13656531722829268,0.10321666920053187,30000,-102.07442975298716,0.0
3,20.74582815170288,-102.09613190234988,5.703346802918636,-91.4516846256972,-132.5736537382589,0.0,2.4167543238309936,0.05,0.012286901473999023,0.34113168716430664,0.024756577,0.02095256,-101.84903761222128,-1.6179643394165166,-2.0391635678598465,0.0,10000,0.8922548294067383,0.09329590493074127,0.05864673260982769,40000,-107.99641285954053,0.0
4,20.273779153823853,-101.86151632190987,4.646066797176661,-93.17364104805222,-123.0384548093562,0.0,1.92905369941626,0.05,0.012434005737304688,0.3512697219848633,0.024860114,0.025127072,-101.85028548319013,-1.609048734432319,-2.0345048169964888,0.0,10000,1.117872953414917,0.06110019558863847,0.022827346768923104,50000,-111.03310067497755,0.0
5,19.99471139907837,-102.71407390396708,4.74198693936193,-91.23822312280143,-112.56840197320287,0.0,1.7641856688385282,0.05,0.015067815780639648,0.341350793838501,0.026926227,0.028419467,-101.93666432526783,-1.6005584858330797,-2.051504617466934,0.0,10000,1.4981517791748047,0.025962569037583882,0.005340786050740012,60000,-105.12703379782822,0.0
6,21.942800045013428,-101.47192877968257,4.767778260802279,-93.18540665081018,-117.58855760000598,0.0,1.49856904096963,0.05,0.012851953506469727,0.3807384967803955,0.027660467,0.03437875,-101.8901907707093,-1.601719269207047,-2.026636077974611,0.0,10000,1.5080344676971436,0.005862834093470751,0.0028401673754161524,70000,-95.95312710057246,0.0
7,21.773560047149658,-99.06857008230723,4.728439514131761,-91.4708603168144,-112.38795063319091,0.0,1.3784693157519818,0.05,0.012691020965576172,0.3878183364868164,0.02208068,0.033901393,-101.6080287018691,-1.6000297890483535,-1.9786503239064808,0.0,10000,1.625917911529541,0.0035822877255742916,0.0022105742533728495,80000,-95.21869601607088,0.0
8,28.25091242790222,-96.59651919324234,3.4711979783256552,-91.12765558870178,-113.57819072504648,0.0,1.631155245835714,0.05,0.013129949569702148,0.3400251865386963,0.025500678,0.030845145,-101.10687775100642,-1.6048738679596466,-1.9293435372084105,0.0,10000,1.609161615371704,0.0019526085485805681,0.0013279683642749842,90000,-94.96469777484364,0.0
9,27.600456476211548,-95.01145978571891,4.583397663201022,-90.02630196267444,-143.11404911780875,0.0,1.880425911360236,0.05,0.015605688095092773,0.36064982414245605,0.024468232,0.025720334,-100.49733595447768,-1.6060660142928427,-1.897629861276942,0.0,10000,2.0522170066833496,0.002646824565666799,0.0018747075083752024,100000,-95.59986583204753,0.0
