iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,22.025400161743164,-56.82441496002375,4.771139915063715,-47.21981586796139,-79.26005713984672,0.0,1.9442290663099455,0.05,0.06700444221496582,0.31405115127563477,0.02498774,0.026816504,-56.82441496002375,-0.7614772223176067,-1.1362575232154237,0.0,10000,0.9366836547851562,1.0005168730283243,0.1690012259926347,10000,-50.0158326787046,0.0
1,21.877771854400635,-56.07046548728908,7.599505439282932,-46.38536039356766,-138.8229710481114,0.0,2.4641271853289686,0.05,0.010990381240844727,0.2757697105407715,0.024122043,0.02075833,-56.749020012750286,-0.7699665015575965,-1.121259881098976,0.0,10000,0.9266908168792725,0.19404514452073315,0.15215952035108946,20000,-52.1642676254804,0.0
2,21.822230577468872,-56.69344582288997,5.308906160868548,-47.08502373799624,-81.60315547844401,0.0,2.2021440728717447,0.05,0.010018587112426758,0.2793614864349365,0.028783722,0.02456963,-56.74346259376426,-0.7648597908098838,-1.1337711833327682,0.0,10000,0.8965299129486084,0.13828784366130237,0.09403671222575656,30000,-54.481005470867636,0.0
3,21.54766345024109,-56.41830019697887,5.5436621237978505,-45.97603828515774,-89.33622608397083,0.0,2.29073714480125,0.05,0.010263919830322266,0.25661659240722656,0.0256783,0.023339674,-56.71094635408571,-0.7488580952675609,-1.128268149062705,0.0,10000,0.9401867389678955,0.0842908776121898,0.03799414164519876,40000,-54.90380967841804,0.0
4,21.726771116256714,-54.79127619845153,4.232610515860823,-47.35825728081464,-74.36140803602952,0.0,1.8207495579521649,0.05,0.011167049407958984,0.28714752197265625,0.025703048,0.026591083,-56.51897933852229,-0.7383030468584778,-1.0957642600244972,0.0,10000,1.203366994857788,0.03755025078820264,0.008250753824760643,50000,-52.75748038796509,0.0
5,21.494379997253418,-54.64504404827796,5.018380351172459,-46.728001078678005,-84.51010013927217,0.0,1.3727068417132309,0.05,0.009429693222045898,0.26581335067749023,0.025745593,0.03717213,-56.33158580949787,-0.7343088721000527,-1.0928428608921126,0.0,10000,1.427644968032837,0.010751742706969809,0.007561658122214504,60000,-55.14798078222295,0.0
6,21.695686101913452,-51.845967926375636,3.8003269674804394,-46.308035131741235,-83.06201573484691,0.0,1.3513977594756412,0.05,0.010654926300048828,0.2505676746368408,0.026027283,0.03367332,-55.88302402118565,-0.7336046423506801,-1.0369351828153885,0.0,10000,1.4843378067016602,0.010194267070195492,0.0056527998339834015,70000,-54.73218166453472,0.0
7,22.013751983642578,-51.1479131383605,3.4833586383504587,-46.10384602062815,-76.48941419885314,0.0,1.4682553316612554,0.05,0.011162281036376953,0.25783205032348633,0.023810796,0.03211704,-55.409512932903134,-0.7357249813095236,-1.0229895278973264,0.0,10000,1.506434679031372,0.004653210964551668,0.003994896906924764,80000,-54.26749290099698,0.0
8,21.66396188735962,-49.89438590082262,1.990467490515965,-45.510440763210944,-58.98591585241592,0.0,1.2905988773408317,0.05,0.010745048522949219,0.2644977569580078,0.027491242,0.04039815,-54.85800022969508,-0.7284102893388363,-0.9979664450988274,0.0,10000,1.5459110736846924,0.001680285696409237,0.0012334992436681404,90000,-51.86849078977234,0.0
9,21.715967893600464,-48.626771913448955,2.308751787554294,-43.98969226265571,-59.83216021883029,0.0,1.3513463673313248,0.05,0.009824752807617188,0.2886025905609131,0.024868974,0.037968,-54.234877398070466,-0.7311435422205963,-0.9726319203793473,0.0,10000,1.5133178234100342,0.0020470942493174137,0.0015605610966332789,100000,-51.108209770227866,0.0
