iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,2.559654712677002,-25.278446929800353,1.007448960746267,-22.701839755141457,-27.577490520870082,0.0,9.455749753603506,0.1,0.02681732177734375,0.31087160110473633,0.05402511,0.008622552,-25.278446929800353,-0.12625415479542965,-0.12625415479542965,0.0,19200,1.6779918670654297,0.9978347720792756,0.009208278415445501,19200,-25.671154113559943,0.0
1,2.477341651916504,-25.51965990144305,1.0760066593517037,-22.35682534200316,-27.969578355847727,0.0,8.798788908439366,0.1,0.012624979019165039,0.32195019721984863,0.067993924,0.011959569,-25.302568226964624,-0.12746620999747252,-0.12746620999747252,0.0,19200,1.6795234680175781,0.012143609070077003,0.0033408593380121047,38400,-23.95961797035542,0.0
2,2.4540016651153564,-24.11993011856121,0.901700445754053,-22.04903574057597,-26.06977231873003,0.0,5.972394793003197,0.1,0.01855158805847168,0.3361532688140869,0.054240152,0.01571059,-25.184304416124284,-0.12048224365979505,-0.12048224365979505,0.0,19200,2.1126041412353516,0.009794055174206766,0.0022470385683703077,57600,-21.627989025472846,0.0
3,2.5594959259033203,-22.10792239469838,0.869884792989902,-20.221786452945775,-23.946881291047493,0.0,4.2738243950352635,0.1,0.011358261108398438,0.3116645812988281,0.051927987,0.022799654,-24.876666213981697,-0.11043543547006147,-0.11043543547006147,0.0,19200,2.32551646232605,0.012969290101272039,0.002507473586097532,76800,-18.39419146924737,0.0
4,2.547616958618164,-18.917072779317127,0.7161409560394008,-16.994946927909933,-20.838296423933482,0.0,5.933322931444376,0.1,0.011603116989135742,0.2552638053894043,0.04976721,0.017075557,-24.28070687051524,-0.09451079621563278,-0.09451079621563278,0.0,19200,2.422837495803833,0.047084816187872296,0.003216833874941029,96000,-17.014885595964046,0.0
5,2.637148141860962,-17.51447784344651,0.6811462021284158,-15.78572423384117,-19.790287944976953,0.0,4.360477041411031,0.1,0.011680126190185547,0.26409387588500977,0.054429565,0.022675784,-23.604083967808368,-0.08751781387821751,-0.08751781387821751,0.0,19200,2.542710542678833,0.013937880406649315,0.0034145891394023833,115200,-15.199000432407983,0.0
6,2.761671781539917,-15.853537544452157,0.5292619835640548,-14.42890730756329,-17.119943700066873,0.0,5.158723834538709,0.1,0.011291742324829102,0.30474328994750977,0.06251831,0.019389017,-22.829029325472746,-0.07923330166700492,-0.07923330166700492,0.0,19200,2.6912922859191895,0.019954936855485123,0.002880939353492805,134400,-13.561560716940964,0.0
7,2.5556282997131348,-14.298089950445297,0.45222106353373503,-13.163000488248963,-15.197262650416215,0.0,5.880108258176207,0.1,0.013592004776000977,0.35238027572631836,0.053934257,0.018111277,-21.975935387970004,-0.07147496646140482,-0.07147496646140482,0.0,19200,3.400942802429199,0.02065457314304948,0.0022497016581013805,153600,-12.555068080731319,0.0
8,2.654757022857666,-13.219348363208171,0.3738741023945417,-12.328112111474429,-14.003848415606392,0.0,5.629453044223387,0.1,0.010992050170898438,0.3021519184112549,0.056704532,0.017159095,-21.10027668549382,-0.06609273058877603,-0.06609273058877603,0.0,19200,2.6516530513763428,0.011188917801586207,0.0016367373130105787,172800,-11.619871355960928,0.0
9,2.5513389110565186,-12.171163313592226,0.260825102260338,-11.505622824244606,-12.949917150162486,0.0,4.738391454776312,0.1,0.010933876037597656,0.32156896591186523,0.05592409,0.025170218,-20.20736534830366,-0.06085782371592624,-0.06085782371592624,0.0,19200,2.706509828567505,0.011839774677469127,0.0011207682196781705,192000,-11.053394197565739,0.0
10,2.4855260848999023,-11.449797542999159,0.15647281136221827,-11.160371827760736,-11.909404465389908,0.0,4.748410317204355,0.1,0.013289213180541992,0.37932419776916504,0.054803405,0.021641407,-19.33160856777321,-0.057253301512744964,-0.057253301512744964,0.0,19200,3.3577446937561035,0.004586755222900898,0.0005794124986143638,211200,-10.831102467876793,0.0
11,2.792771816253662,-11.086217849529254,0.11376063950926812,-10.839982372859888,-11.4147456506223,0.0,5.516960772012152,0.1,0.011284828186035156,0.2659924030303955,0.054817397,0.01869223,-18.507069495948816,-0.05543441946179606,-0.05543441946179606,0.0,19200,2.7056243419647217,0.001113718613044126,0.000450929746335083,230400,-10.896125343838715,0.0
12,2.47998046875,-10.917387349519421,0.10343071811992535,-10.681697168131882,-11.197708845491537,0.0,7.437270734233815,0.1,0.01251530647277832,0.31929540634155273,0.05805973,0.008902566,-17.74810128130588,-0.05458641754914162,-0.05458641754914162,0.0,19200,2.646883726119995,0.0006753293677971147,0.00047220418225543714,249600,-10.912330564803458,0.0
13,2.7113091945648193,-10.9141858412181,0.08619387508091361,-10.72514037133959,-11.196199310722855,0.0,5.728312208662187,0.1,0.011293411254882812,0.32131147384643555,0.05454514,0.018252503,-17.0647097372971,-0.05456728590841812,-0.05456728590841812,0.0,19200,2.659855365753174,0.0010354529070810425,0.0004563010721706348,268800,-10.867533227168181,0.0
14,2.6500089168548584,-10.785748222614524,0.08410003551423022,-10.59510045271318,-10.962615632459025,0.0,6.483775488440231,0.1,0.011237144470214844,0.3116188049316406,0.053427283,0.014319162,-16.436813585828844,-0.053925090671422,-0.053925090671422,0.0,19200,2.5943334102630615,0.0005224282037987704,0.00044375024465407843,288000,-10.88674948982136,0.0
15,2.5252599716186523,-10.782743284328449,0.06924853990789451,-10.555377582694708,-10.947453503345054,0.0,5.695562135077255,0.1,0.010978937149047852,0.29809093475341797,0.052476857,0.018634057,-15.871406555678806,-0.053909698506737234,-0.053909698506737234,0.0,19200,2.481161594390869,0.0004782893416089101,0.00033216651060376554,307200,-10.895848053580211,0.0
16,2.6894423961639404,-10.78756887232027,0.08252997136298125,-10.603274285557461,-10.966275670227082,0.0,7.103235107304679,0.1,0.012828350067138672,0.27332377433776855,0.05241228,0.010711484,-15.363022787342953,-0.05393417404986702,-0.05393417404986702,0.0,19200,2.435410261154175,0.0004446531735494038,0.00040805819290659314,326400,-10.892073728159776,0.0
17,2.5276639461517334,-10.736484010535472,0.0789111385453427,-10.526232329238638,-10.900463403900783,0.0,7.188473014980311,0.1,0.010909557342529297,0.24703454971313477,0.05236792,0.013618085,-14.900368909662205,-0.053678195109379656,-0.053678195109379656,0.0,19200,2.405057668685913,0.0004627190961260333,0.0004477955373503676,345600,-10.7963833920102,0.0
18,2.661900281906128,-10.64914206898035,0.0754731418505585,-10.475699830108391,-10.809190398400487,0.0,4.160821810689946,0.1,0.012350320816040039,0.3095519542694092,0.05083732,0.019186128,-14.47524622559402,-0.05324253178876635,-0.05324253178876635,0.0,19200,2.427262306213379,0.0005093872944048014,0.0003766889665932384,364800,-10.837634657091577,0.0
19,2.6124074459075928,-10.687032533856588,0.07122449125740728,-10.505476589937771,-10.83350842009709,0.0,8.886724194906968,0.1,0.011008977890014648,0.31999683380126953,0.05404508,0.011577887,-14.096424856420278,-0.0534311280006447,-0.0534311280006447,0.0,19200,2.2942793369293213,0.0004986937042712624,0.0003548240987572649,384000,-10.81928333362534,0.0
20,2.6499178409576416,-10.638372057259813,0.08864689769575076,-10.455563892664662,-10.814334882724689,0.0,7.455467993107672,0.1,0.01117086410522461,0.33376026153564453,0.0520087,0.012604006,-13.750619576504231,-0.053187767459575534,-0.053187767459575534,0.0,19200,2.2470080852508545,0.00047679935370104005,0.0004307442777658707,403200,-10.834968742294587,0.0
21,2.4793379306793213,-10.629352514849918,0.09199109430676818,-10.424103167581086,-10.856878929250056,0.0,5.45896450505736,0.1,0.010544776916503906,0.3115978240966797,0.04944726,0.01615774,-13.4384928703388,-0.05314268314011589,-0.05314268314011589,0.0,19200,2.20752215385437,0.00044214550278297337,0.00039553842026178524,422400,-10.739682977364584,0.0
22,2.5790212154388428,-10.561966639669597,0.08034703609499427,-10.410595704911618,-10.7626228625991,0.0,7.822171550976227,0.1,0.01159524917602539,0.323559045791626,0.052850276,0.012650841,-13.15084024727188,-0.0528077459511171,-0.0528077459511171,0.0,19200,2.2455289363861084,0.0004310374941270821,0.00034526392074466866,441600,-10.637107131230152,0.0
23,2.6533780097961426,-10.483314237332552,0.07155498452187399,-10.339325365692233,-10.652602834670127,0.0,5.423610171580015,0.1,0.010820627212524414,0.3201305866241455,0.05164982,0.021541467,-12.884087646277948,-0.052416096612255235,-0.052416096612255235,0.0,19200,2.1837432384490967,0.0004272470433573724,0.00030076974606585405,460800,-10.495007748196393,0.0
24,2.580688238143921,-10.380902445720443,0.059136903878314655,-10.217060520235052,-10.508205237699777,0.0,4.268457072502601,0.1,0.011501073837280273,0.31114649772644043,0.0481854,0.017589588,-12.633769126222198,-0.05190603389866153,-0.05190603389866153,0.0,19200,2.0476136207580566,0.00037307780364799633,0.00026746977378766615,480000,-10.490466820173328,0.0
25,2.5813941955566406,-10.409989340279223,0.05735008615110419,-10.269592577611219,-10.556798054601645,0.0,5.433232802302107,0.1,0.013089656829833984,0.3500082492828369,0.050968587,0.025796177,-12.411391147627901,-0.05205179392545722,-0.05205179392545722,0.0,19200,2.6877686977386475,0.0002600944044523342,0.00026425859950405275,499200,-10.57494679262955,0.0
26,2.568220615386963,-10.422991159094336,0.06901620348196082,-10.283541261057971,-10.593191784429678,0.0,4.284666580891342,0.1,0.013495445251464844,0.3557901382446289,0.051417038,0.0074306345,-12.212551148774544,-0.05211484403467431,-0.05211484403467431,0.0,19200,2.598712205886841,0.0003865270675324812,0.00031772869740637205,518400,-10.511292542797507,0.0
27,2.524059772491455,-10.396848059571155,0.057090326614262894,-10.268223960362526,-10.525462408024902,0.0,5.743820924123741,0.1,0.010924100875854492,0.25727176666259766,0.049816832,0.019969052,-12.030980839854205,-0.051985205417950216,-0.051985205417950216,0.0,19200,2.0093753337860107,0.00029726079847132924,0.00027729740985228826,537600,-10.396717840998317,0.0
28,2.7002835273742676,-10.325490247254189,0.055409904563228245,-10.217122467033041,-10.521654605944537,0.0,4.926548288210785,0.1,0.010741710662841797,0.31420350074768066,0.04864253,0.02679657,-11.860431780594205,-0.051629858835858945,-0.051629858835858945,0.0,19200,2.0957694053649902,0.0004172600788705997,0.0002730574380225495,556800,-10.36269954655414,0.0
29,2.4843575954437256,-10.312686743766067,0.04549124391336275,-10.190740548346248,-10.42954907752682,0.0,4.474228511593918,0.1,0.011123180389404297,0.32803821563720703,0.05525992,0.016599955,-11.705657276911392,-0.05156632252310142,-0.05156632252310142,0.0,19200,2.1265954971313477,0.00028032664267249824,0.00026158529192428693,576000,-10.322585392026816,0.0
30,2.6147565841674805,-10.285553778298022,0.0487549164707908,-10.18260846427165,-10.398982565220651,0.0,5.747279803136988,0.1,0.011313676834106445,0.27699828147888184,0.050332047,0.011350026,-11.563646927050055,-0.051430916982212076,-0.051430916982212076,0.0,19200,2.1163814067840576,0.00029975499411443097,0.0002354773711455156,595200,-10.246719457848087,0.0
31,2.734684944152832,-10.23070767086607,0.04912835540338928,-10.120062405181066,-10.344943833627639,0.0,4.588518304047242,0.1,0.011317014694213867,0.29307031631469727,0.0533893,0.026623715,-11.430353001431657,-0.05115776612490874,-0.05115776612490874,0.0,19200,2.1690165996551514,0.0003563123148292443,0.00023704536832835498,614400,-10.18847674264931,0.0
32,2.511070966720581,-10.206559664758137,0.04747161412962664,-10.091571317638728,-10.314484303389053,0.0,6.809463395966098,0.1,0.01143026351928711,0.31105709075927734,0.04737942,0.021460842,-11.307973667764305,-0.05103760542079155,-0.05103760542079155,0.0,19200,1.9587831497192383,0.0002341610062529061,0.00029494548415317953,633600,-10.166089730633212,0.0
