iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,4.37083888053894,-4.901756777148093,196.18942622763691,644.0215782350144,-263.43991428847136,58.333333333333336,2.9457466199527844,0.1,0.09360885620117188,0.5396912097930908,0.04960557,0.034354646,-4.901756777148093,-0.7757483918380049,-0.05129386264756136,58.333333333333336,9600,2.03659987449646,1.0000066454619339,0.8779202608967248,9600,-112.380175223294,0.0
1,2.640643835067749,59.26960993982664,206.49183562495335,632.1193669761965,-222.2597052991691,68.75,3.037081398709092,0.1,0.0186617374420166,0.35102343559265137,0.06423125,0.03859381,1.5153798945493806,-0.562594771238147,0.5910140266641591,68.75,9600,0.4567272663116455,0.8970707564410567,0.7283491210770185,19200,-83.76594771552581,0.0
2,2.714016914367676,179.1491019455033,207.05083521859856,698.7061436036952,-169.0723453301713,89.58333333333333,3.1851308330582997,0.1,0.022751331329345703,0.5999093055725098,0.049428277,0.031724755,19.278752099644773,-0.3823529973838169,1.7858146152932488,89.58333333333333,9600,0.4746696949005127,0.7168119558015239,0.5596627948071676,28800,73.8995766406689,37.5
3,2.5158402919769287,224.83567811085697,209.40577416080302,713.020243930528,-134.27949396607244,93.75,3.3125046282056383,0.1,0.014716148376464844,0.36612772941589355,0.06077252,0.032890696,39.834444700766,-0.3202284119471339,2.2447488411662264,93.75,9600,0.4853627681732178,0.5377587722151552,0.4590533936708068,38400,233.81085991113042,68.75
4,2.7012948989868164,293.892581396356,191.9363317646888,673.4323786909638,-117.17749425033256,96.875,3.2454902168244866,0.1,0.014980554580688477,0.30007219314575195,0.059239063,0.03274501,65.240258370325,-0.263295002625895,2.9321954864080495,96.875,9600,0.5594892501831055,0.3751558473342602,0.31267845481793377,48000,474.7043545338639,100.0
5,2.8245670795440674,346.1746039076079,179.36063315125406,698.0559135513649,-89.28608544323359,98.95833333333333,3.6161865339369785,0.1,0.014308691024780273,0.2765836715698242,0.057429694,0.031923372,93.33369292405328,-0.23662656999919493,3.4542513010427016,98.95833333333333,9600,0.8341038227081299,0.23085326629172845,0.21144723976665186,57600,531.506422357989,100.0
6,2.9655704498291016,402.4897080982332,163.55348940334375,705.5126064731304,48.548410380103995,98.95833333333333,2.7291316774877874,0.1,0.014141559600830078,0.358426570892334,0.056448944,0.047256634,124.24929444147128,-0.20866171062245967,4.013505815255179,98.95833333333333,9600,0.9635152816772461,0.1593969531449496,0.14755169007798338,67200,563.2471148665558,100.0
7,2.705702543258667,441.341346743389,155.7384165222636,710.5283122820254,98.93136026779223,100.0,3.1151181284676293,0.1,0.02073979377746582,0.3077425956726074,0.067744665,0.033946298,155.95849967166305,-0.18918803764422623,4.402315228355335,100.0,9600,0.9388103485107422,0.11533237328158899,0.09622672412723508,76800,569.907389256867,100.0
8,2.629754066467285,479.59526591893274,141.2120967688236,705.4895902240219,67.28170474211669,100.0,3.315985404702345,0.1,0.017768383026123047,0.28763294219970703,0.050389264,0.027194837,188.32217629639004,-0.17554460779535552,4.7840389301635815,100.0,9600,1.1726295948028564,0.07405241532753337,0.06514243460363445,86400,575.5698765464728,100.0
9,2.7781872749328613,541.0905966805664,115.47011552886488,715.5995623382894,113.05784635854793,100.0,2.837904248978306,0.1,0.010627508163452148,0.30222058296203613,0.058233555,0.03972369,223.59901833480768,-0.15174470306744567,5.397874855699778,100.0,9600,1.0394008159637451,0.04103924611138031,0.0346467507295483,96000,606.8560267518699,100.0
10,2.83701229095459,561.6889362716182,135.56469927452582,718.8655355477115,112.64473868030171,100.0,2.7409942600207473,0.1,0.014000177383422852,0.35193634033203125,0.057591554,0.043468855,257.40801012848874,-0.14218885416841012,5.604097265078411,100.0,9600,1.072676420211792,0.04231784221305425,0.03868494993731296,105600,624.624907022769,100.0
11,2.8359031677246094,575.1337907837652,104.30078293521942,715.2431944444279,215.3674039664875,100.0,2.9597015577645953,0.1,0.012004375457763672,0.2797586917877197,0.051335935,0.029159533,289.1805881940164,-0.13761439329320993,5.738988739006729,100.0,9600,1.0485179424285889,0.0203693202397157,0.01921609208202287,115200,646.6985293585026,100.0
12,2.8241732120513916,598.3194460705411,90.00836351232769,719.7526280881892,245.1723852260497,100.0,2.497713047651261,0.1,0.016188859939575195,0.3180968761444092,0.052999422,0.048154213,320.0944739816689,-0.13126893730259168,5.971754765939195,100.0,9600,1.5197672843933105,0.014281730050424107,0.011978658165837146,124800,678.0759390924223,100.0
13,2.754448652267456,629.728606242484,64.03995248349246,719.4442028101274,456.65030816978066,100.0,2.7080135379793893,0.1,0.014174699783325195,0.3173511028289795,0.053307045,0.03660586,351.05788720775047,-0.1141447008481438,6.283651941652344,100.0,9600,1.1120891571044922,0.008449637343140035,0.006312358601974831,134400,678.4750985299393,100.0
14,2.9273414611816406,637.8853082932529,72.29939312261922,725.7011877398234,294.61108959456243,100.0,2.7995906428341804,0.1,0.02069544792175293,0.37879514694213867,0.051122915,0.03355753,379.7406293163007,-0.11132453043287643,6.3651316207555455,100.0,9600,1.1706428527832031,0.006673421400095378,0.005216446812499523,144000,683.7605441281273,100.0
15,2.931544780731201,627.1493673717569,108.08082226692868,727.8154992093946,219.3676560720591,98.95833333333333,3.064935563226899,0.1,0.01933121681213379,0.3196275234222412,0.052222487,0.027767131,404.48150312184634,-0.11370692997655137,6.258105717010369,98.95833333333333,9600,1.3931491374969482,0.013904228383098042,0.012431281648320636,153600,688.5810521193024,100.0
16,2.7076447010040283,650.2521251375239,66.59556246941344,728.3040905756022,374.83455334400446,100.0,2.4027211048410524,0.1,0.013144731521606445,0.2692112922668457,0.053394813,0.043444075,429.0585653234141,-0.10577375875742907,6.488306266638705,100.0,9600,1.4468164443969727,0.0062435989927851045,0.003482723928320699,163200,689.9436221250071,100.0
17,3.357271432876587,658.5073828504786,66.72013869266333,729.0205871870485,323.0127999497381,100.0,2.963707517444308,0.1,0.010026216506958008,0.2400498390197754,0.056043833,0.03271857,452.00344707612055,-0.10145830837617142,6.571414822350754,100.0,9600,1.5932660102844238,0.003655712419693642,0.0032932839081892475,172800,700.5520210291234,100.0
18,2.7664666175842285,658.8824759308415,74.06599456644092,733.2655190693063,377.2302744846866,100.0,2.356947535418917,0.1,0.011798381805419922,0.2682187557220459,0.053890247,0.05783494,472.69134996159266,-0.10246180936792322,6.574837880848523,100.0,9600,1.540611743927002,0.004048254838237459,0.004012286269789499,182400,704.4225155278182,100.0
19,2.777155637741089,685.8257356843757,40.71553523378214,734.377517777269,561.9238339600819,100.0,2.213116830209565,0.1,0.025045394897460938,0.3633711338043213,0.048916776,0.029660644,494.00478853387096,-0.07916304171429218,6.843937669009539,100.0,9600,1.1607019901275635,0.0011353848773028173,0.0004933193333697103,192000,704.2920287364543,100.0
20,2.8276751041412354,672.3427017721423,53.22290269544368,733.4027029805167,488.4989644569015,100.0,2.1753944094251465,0.1,0.010861396789550781,0.3037145137786865,0.049290173,0.054569364,511.8385798576981,-0.09123250157231196,6.709135869788732,100.0,9600,1.641620397567749,0.0017900778987442023,0.001607347735049433,201600,707.2737708903618,100.0
21,2.8696913719177246,686.252410283208,36.61623751610509,732.6244234192549,583.9752778479947,100.0,2.1316716844305614,0.1,0.020140647888183594,0.29963159561157227,0.048384093,0.028088484,529.2799629002491,-0.08217768282485856,6.848867519932358,100.0,9600,1.6655237674713135,0.0006901132790319568,0.0005025998319073008,211200,711.1962723515377,100.0
22,2.7649953365325928,684.430002630902,37.6157264535316,738.8258553788786,561.4662161802111,100.0,2.031738939366543,0.1,0.01354217529296875,0.297823429107666,0.05193772,0.04575298,544.7949668733144,-0.08365035715175655,6.829845863187785,100.0,9600,1.5486361980438232,0.0004929525764190597,0.0004610211280927049,220800,715.2522019675314,100.0
23,2.819610357284546,690.7862158858364,37.60608823551132,741.1379600579252,585.7452207800706,100.0,2.0463458462312296,0.1,0.008585453033447266,0.23854899406433105,0.05263679,0.03330495,559.3940917745665,-0.0779240384800695,6.893608667832304,100.0,9600,1.136040210723877,0.0007515252175283478,0.0006509969785291284,230400,715.5795920552459,100.0
24,2.7843878269195557,690.6997439140126,35.28463088090838,741.0959634091679,517.5867816503658,100.0,2.0213495355429583,0.1,0.015604734420776367,0.2913808822631836,0.052494016,0.034188896,572.5246569885111,-0.07904803551434929,6.892690546696275,100.0,9600,1.4987108707427979,0.00045651919851153453,0.00039695851584577526,240000,718.3397489464098,100.0
25,2.920757532119751,698.8394164425831,32.61382113618299,742.631248756494,607.8628839653588,100.0,2.4324706626888686,0.1,0.01179194450378418,0.34537768363952637,0.05252607,0.03787792,585.1561329339183,-0.06773907286286084,6.973878051254158,100.0,9600,1.511777639389038,0.0002417354029404687,0.0001943359813854746,249600,719.8210153262155,100.0
