iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,5.648012638092041,-332.99614154838173,28.25061834150431,-262.76569065165125,-407.57588560206636,0.0,1.002068527547455,0.1,0.05425238609313965,0.25007200241088867,0.054483566,0.10446381,-332.99614154838173,-3.2654810451987384,-3.329107081470261,0.0,9600,0.8886806964874268,0.9991915117540197,0.20188929684846665,9600,-297.59304519700675,0.0
1,5.598311424255371,-332.1679933096886,26.250956178347003,-275.145072336374,-398.880135877105,0.0,1.201574797525822,0.1,0.009344339370727539,0.2722632884979248,0.05539933,0.086898044,-332.91332672451244,-3.256939441493294,-3.3205891384534727,0.0,9600,0.905703067779541,0.20307286658197043,0.10476516916095285,19200,-298.0427415344691,0.0
2,5.70018196105957,-333.24718396297743,30.32103855409408,-261.7189624678688,-402.40132605168634,0.0,1.23092686343334,0.1,0.008139371871948242,0.26233410835266113,0.05288606,0.08464301,-332.94671244835894,-3.2676311103935802,-3.3314587635410042,0.0,9600,0.908397912979126,0.1118437098330479,0.07789168675385158,28800,-298.77083652395083,0.0
3,5.717658281326294,-332.71611598630074,31.029562415027332,-243.5972178413231,-401.1723991335755,0.0,1.212215504644274,0.1,0.008324146270751953,0.28388071060180664,0.050524577,0.083267145,-332.92365280215313,-3.262725257887078,-3.3262886432259435,0.0,9600,0.8669655323028564,0.0873000504109563,0.05185625491179866,38400,-298.0904633836883,0.0
4,5.701310396194458,-330.43806816846626,27.32533976264722,-253.70010963912765,-396.44086853808153,0.0,1.1699229750179392,0.1,0.008376836776733398,0.2724933624267578,0.050605804,0.093458556,-332.67509433878445,-3.239752789090504,-3.303474510579114,0.0,9600,0.9414834976196289,0.05576651020973517,0.023786539644239026,48000,-300.10663902821364,0.0
5,5.8019797801971436,-330.67719920193855,28.531553522345316,-279.18602403501654,-391.7009494655311,0.0,1.2026186508771672,0.1,0.008819818496704102,0.25882911682128906,0.050810516,0.08921397,-332.47530482509984,-3.2421519821708493,-3.3057973760695174,0.0,9600,1.145721197128296,0.030645669428670044,0.009953207301579926,57600,-297.5281364347711,0.0
6,5.945004224777222,-336.2402660593713,26.904657355159387,-274.29944802570975,-393.4802698749382,0.0,1.2008493085515115,0.1,0.008800029754638672,0.26933765411376953,0.048950598,0.082762465,-332.85180094852694,-3.2976303444022306,-3.361457348405803,0.0,9600,1.2482492923736572,0.01220181071322626,0.004552736350750322,67200,-299.3001195839088,0.0
7,5.698219537734985,-332.46401174638726,27.968764273184185,-278.6349079470215,-391.8496975494726,0.0,1.1380617798251251,0.1,0.009245872497558594,0.26322078704833984,0.051894613,0.089311965,-332.81302202831296,-3.2596873434935074,-3.323717186965723,0.0,9600,1.2917122840881348,0.005206583731948211,0.003364488584829584,76800,-298.5114391828125,0.0
8,5.7441534996032715,-325.85860594211726,28.802047251490016,-261.8219038937388,-390.9966364419092,0.0,1.1624689478381653,0.1,0.008066654205322266,0.26966190338134766,0.048635155,0.086805135,-332.1175804196934,-3.1936693249328805,-3.257744396772248,0.0,9600,1.3001413345336914,0.005287192242819201,0.0035872211190771204,86400,-295.349267642474,0.0
9,5.702984094619751,-329.6800505999983,30.19349359590626,-263.59045431431633,-410.0922263046104,0.0,1.2197377900800692,0.1,0.008540630340576172,0.24570107460021973,0.051831212,0.08014087,-331.8738274377239,-3.231850323155173,-3.2958495935542818,0.0,9600,1.301954984664917,0.005008263061208153,0.0034769315070310395,96000,-292.4100624511442,0.0
10,5.786077260971069,-326.7477258052291,28.510851316403077,-256.62382327983033,-385.3164107937259,0.0,1.1822182398173668,0.1,0.009518146514892578,0.29081177711486816,0.05162275,0.08348352,-331.3612172744744,-3.2024871918968674,-3.266597229279524,0.0,9600,1.3542706966400146,0.004334133500436553,0.002998623089376729,105600,-291.1250450026367,0.0
11,5.816183567047119,-321.68106126784267,29.668675275009413,-247.3889834848359,-392.70021279336385,0.0,1.1510231450074346,0.1,0.008649826049804688,0.21370697021484375,0.051545136,0.08913462,-330.39320167381123,-3.152115959805808,-3.2161486908010652,0.0,9600,1.3478896617889404,0.00477421841019972,0.0032267061403023585,115200,-289.6385844550146,0.0
12,5.681828022003174,-329.91661440475343,28.32540817912435,-261.12561496154194,-398.56240771604587,0.0,1.1361744243479261,0.1,0.008069038391113281,0.26022768020629883,0.048080485,0.08176524,-330.3455429469055,-3.234159058823978,-3.2983731083198347,0.0,9600,1.3416414260864258,0.005240567698523986,0.0028008461129700978,124800,-291.3332574388211,0.0
13,5.79883074760437,-322.0154352011704,26.441471176661352,-249.88716605598532,-374.059459438088,0.0,1.1481803409939648,0.1,0.008682489395141602,0.27797389030456543,0.050845392,0.085803725,-329.51253217233193,-3.1549437315628004,-3.219170497963385,0.0,9600,1.3225171566009521,0.00429042185669479,0.0021832872271839786,134400,-287.6436770074459,0.0
14,5.872191667556763,-322.1459869183734,29.957651228136942,-259.6575926183421,-402.509931655471,0.0,1.18318686606149,0.1,0.00860905647277832,0.2694666385650635,0.051401906,0.086480595,-328.7758776469361,-3.156146226515141,-3.2203937982070427,0.0,9600,1.3379781246185303,0.0035686053855269583,0.002681856378843153,144000,-286.547860737776,0.0
15,5.9451329708099365,-319.46677617591763,26.267668710273288,-250.14510121731752,-369.0524807182857,0.0,1.1789314349999678,0.1,0.008392810821533203,0.27933573722839355,0.049657114,0.082742125,-327.8449674998343,-3.130250347663575,-3.1939780048577675,0.0,9600,1.3753609657287598,0.0036884656938816346,0.0026150219796784086,153600,-283.5885638019704,0.0
16,5.719830751419067,-322.11075091816537,29.74950591286815,-241.31657803930497,-386.7981026133405,0.0,1.2176475135031157,0.1,0.008890867233276367,0.23798656463623047,0.050115097,0.080903396,-327.27154584166743,-3.1567206046145078,-3.220305729795576,0.0,9600,1.35546875,0.003467471006244804,0.002347209996150616,163200,-279.6050718562856,0.0
17,5.750934600830078,-316.62130120343977,29.664858265196475,-236.92024073941008,-383.65531883721235,0.0,1.203764897656944,0.1,0.00839686393737793,0.27680301666259766,0.052364275,0.08364941,-326.2065213778447,-3.1020565018027177,-3.1656790317655212,0.0,9600,1.3651154041290283,0.004763308570464278,0.002975176603300947,172800,-282.101153091368,0.0
18,5.745895147323608,-314.46503099918647,26.52875802862789,-236.72966236894217,-389.6516030171622,0.0,1.2014237931989615,0.1,0.008151054382324219,0.23931074142456055,0.05189516,0.08317052,-325.03237233997885,-3.080526100972841,-3.1438626637829423,0.0,9600,1.422712802886963,0.0034153059629391256,0.002126651775688586,182400,-280.89894105233003,0.0
19,5.76457667350769,-314.9725216967401,30.52408888694983,-242.12598915150838,-391.009166364454,0.0,1.252781585634798,0.1,0.008416891098022461,0.2879765033721924,0.050355878,0.0772931,-324.026387275655,-3.0862949554957453,-3.149155815842697,0.0,9600,1.4055373668670654,0.004525221455627616,0.0029944913339323407,192000,-279.6348086374383,0.0
20,5.781596422195435,-305.7783113455801,29.311822475908077,-233.5336173788803,-376.7596474603569,0.0,1.2110734900340487,0.1,0.008123397827148438,0.2577090263366699,0.050888196,0.08594039,-322.20157968264755,-2.994486320996392,-3.057370480881565,0.0,9600,1.4134321212768555,0.00440267761637709,0.0024125454824936087,201600,-280.49317638578475,0.0
21,5.774917840957642,-314.7480562035834,26.660452096638203,-251.30017696587964,-375.89226184869455,0.0,1.1458977929660683,0.1,0.00882720947265625,0.28883886337280273,0.052058283,0.08847955,-321.45622733474113,-3.0835706542197507,-3.1468830355388753,0.0,9600,1.4449403285980225,0.004154735558665676,0.0022310263203810933,211200,-283.19496473173797,0.0
22,5.747585773468018,-311.95602203275007,23.582491375475463,-267.83971153615,-368.03898941132877,0.0,1.139528476872487,0.1,0.008927106857299805,0.2822456359863281,0.050713666,0.08660805,-320.50620680454205,-3.0558079751559823,-3.1189234438771343,0.0,9600,1.4352049827575684,0.0029863737583105095,0.0015633814489508673,220800,-280.7363636587872,0.0
23,5.825955867767334,-309.1572687036267,29.065405020223952,-233.31257370070307,-389.6724907295224,0.0,1.205009062100042,0.1,0.009621620178222656,0.27800440788269043,0.05058032,0.085991725,-319.37131299445053,-3.02775687073728,-3.091049373518137,0.0,9600,1.4236724376678467,0.0035968737343185877,0.0020569355919173695,230400,-273.70179701359933,0.0
24,5.881970167160034,-308.75080345579903,30.675525619456668,-254.34081208304713,-389.14665048468123,0.0,1.141288611419126,0.1,0.008159875869750977,0.24464845657348633,0.048653442,0.08309393,-318.3092620405854,-3.0241451259354313,-3.08706876789463,0.0,9600,1.3995757102966309,0.00401564724930864,0.0019370248320425768,240000,-272.05724998916827,0.0
25,5.7189531326293945,-304.32739604959676,29.993051152950287,-228.3971310103461,-383.57121935577055,0.0,1.1921960266248643,0.1,0.008318662643432617,0.28060173988342285,0.050664905,0.08208065,-316.91107544148656,-2.9797706108138713,-3.042892372044058,0.0,9600,1.4279813766479492,0.003510347120913495,0.002096962537137923,249600,-272.66776251764304,0.0
26,5.737316846847534,-299.6612363616492,28.439282866845968,-234.13084367715604,-370.84832035409715,0.0,1.2222803877525008,0.1,0.008015155792236328,0.2700459957122803,0.05113802,0.08397364,-315.18609153350286,-2.9334476551756516,-2.9963277528038765,0.0,9600,1.406614065170288,0.003852731344143373,0.0016309488163292446,259200,-269.5976496362334,0.0
27,5.703582525253296,-300.37756347644,28.684003371066606,-249.9698607600961,-384.8447197990542,0.0,1.1640496895008785,0.1,0.008057117462158203,0.2643890380859375,0.050377596,0.083149984,-313.7052387277966,-2.940858007397065,-3.003598691133891,0.0,9600,1.4135675430297852,0.0033940115721748467,0.0018321078561828665,268800,-276.38074911258434,0.0
28,5.786700487136841,-293.1673497692203,25.590869398594727,-230.84549594295547,-352.63978105468743,0.0,1.1651568772202834,0.1,0.00838613510131836,0.2703588008880615,0.049852293,0.08489456,-311.651449831939,-2.8689533344944333,-2.931589435154228,0.0,9600,1.412017822265625,0.003999998983777334,0.0019060147737669467,278400,-274.07306748491135,0.0
29,5.659555673599243,-292.71015945364553,26.98176711052428,-213.3748242907425,-372.7442617731716,0.0,1.1654812282134186,0.1,0.00807499885559082,0.2509613037109375,0.05085941,0.08596134,-309.75732079410966,-2.864499912243429,-2.926840179069838,0.0,9600,1.367079257965088,0.0034975682965180306,0.001621906599751382,288000,-272.86890695137714,0.0
30,5.685489177703857,-295.2325683317969,30.13240651498439,-191.58563101877874,-367.8102642344459,0.0,1.2034320740491415,0.1,0.008327722549438477,0.27786755561828613,0.04948018,0.084070906,-308.3048455478784,-2.8898324998656695,-2.952331008010781,0.0,9600,1.3870549201965332,0.003394632028619354,0.001641075290640111,297600,-271.9758009710181,0.0
31,5.729064702987671,-293.587816150665,26.45398855851549,-217.60655724200348,-347.6104458666832,0.0,1.0846086945919955,0.1,0.009123086929321289,0.2706263065338135,0.051612414,0.0959505,-306.83314260815706,-2.873248939990949,-2.935660956564359,0.0,9600,1.394221305847168,0.003688387958595104,0.0016728823129907556,307200,-268.9283738011732,0.0
32,5.816927671432495,-290.3677380172239,27.21108457341605,-200.7660253038717,-358.4995015821124,0.0,1.149892338850065,0.1,0.008399009704589844,0.23032736778259277,0.050977167,0.08593102,-305.1866021490638,-2.8413206559853434,-2.903436696085572,0.0,9600,1.3681046962738037,0.003724984263145468,0.0017888157388446727,316800,-270.1831744365037,0.0
33,5.805901288986206,-285.3619778658714,27.16933599437121,-230.7601117015806,-357.1200489103729,0.0,1.1783162514787584,0.1,0.008372068405151367,0.2656280994415283,0.050386284,0.08035064,-303.20413972074454,-2.7916131265984814,-2.8536541096687116,0.0,9600,1.3794546127319336,0.003135912348720316,0.0013133960099732378,326400,-265.3779517317386,0.0
34,5.961059808731079,-284.9915192952145,27.248463740196094,-225.51621208829368,-349.70956527509225,0.0,1.1824985928129423,0.1,0.008095979690551758,0.26329851150512695,0.05092788,0.083107755,-301.38287767819156,-2.7879670549164275,-2.850287866753179,0.0,9600,1.372668981552124,0.002910830711371566,0.0012632645458345738,336000,-264.7262662137043,0.0
35,5.692497730255127,-286.6475512688798,28.158289452683775,-212.66148763066752,-362.09051358680335,0.0,1.1713403954619248,0.1,0.008710622787475586,0.239548921585083,0.05081938,0.08867682,-299.90934503726044,-2.8043730355940384,-2.866441864870589,0.0,9600,1.3390166759490967,0.0028991000056810827,0.0014266695583015584,345600,-263.13722595084477,0.0
36,5.6973676681518555,-279.38868101611325,27.53387519058696,-203.78517424049534,-339.2844983630074,0.0,1.1213021829514604,0.1,0.008207559585571289,0.27405619621276855,0.051619332,0.08648015,-297.85727863514575,-2.731694370625746,-2.793762020518417,0.0,9600,1.295818567276001,0.0032873908135561797,0.001738796692552487,355200,-261.2918506719228,0.0
37,5.865403413772583,-274.5161284652549,25.820432087924186,-192.29635273763992,-328.19649648924667,0.0,1.1559012688609114,0.1,0.008550405502319336,0.26096129417419434,0.05019016,0.086075775,-295.5231636181567,-2.6834817081789075,-2.745418055833815,0.0,9600,1.3255863189697266,0.003626564962902752,0.0015510442929576982,364800,-263.49043565704255,0.0
38,5.673174619674683,-277.91680437153053,27.10181750701502,-216.84921802329606,-340.70035538095715,0.0,1.0838213892425859,0.1,0.008453130722045898,0.2788112163543701,0.05082056,0.09144488,-293.76252769349406,-2.717526233709629,-2.7792844940918116,0.0,9600,1.2785460948944092,0.002609664349791122,0.0012736507600981904,374400,-261.792922676031,0.0
39,5.899986267089844,-282.45782643666683,27.761045603009922,-224.54111271437205,-365.02156160261876,0.0,1.161092140188031,0.1,0.008260250091552734,0.2532234191894531,0.05099737,0.08507551,-292.6320575678114,-2.762626817366988,-2.8245208483979067,0.0,9600,1.2860617637634277,0.002508628865691183,0.0010420164106874086,384000,-262.18525834810197,0.0
40,5.81835675239563,-273.46883285155826,27.310936394704658,-215.2816055237082,-341.34415244781695,0.0,1.1288724578401184,0.1,0.008374691009521484,0.2694542407989502,0.050419025,0.09010195,-290.7157350961861,-2.6736716316020366,-2.735014056885955,0.0,9600,1.2879924774169922,0.003667617110057174,0.0016117765016037309,393600,-259.2125060668017,0.0
41,5.627043008804321,-273.1013704615352,25.82800897772379,-203.29786661060191,-338.2282623840469,0.0,1.189533323678317,0.1,0.008383512496948242,0.25020432472229004,0.051517904,0.09091215,-288.954298632721,-2.6702606935687605,-2.731405451133542,0.0,9600,1.3053085803985596,0.003044540517814139,0.001312861636745363,403200,-256.76258752328124,0.0
42,5.761603116989136,-273.9171542223924,28.469659865121834,-209.21117599688407,-369.01565511200715,0.0,1.105283734855862,0.1,0.008389711380004883,0.2692229747772217,0.050451998,0.08897615,-287.45058419168816,-2.6783443209130766,-2.739552914231028,0.0,9600,1.3038616180419922,0.00295098405061642,0.0010856799959423021,412800,-255.09701509358945,0.0
43,6.010388612747192,-267.4956446105115,25.042213921605793,-203.85570996975687,-334.1664412513532,0.0,1.1812118332608768,0.1,0.008396625518798828,0.24657678604125977,0.05097128,0.08038673,-285.4550902335705,-2.6144469478320427,-2.6754464584862916,0.0,9600,1.2972900867462158,0.0031544345323386647,0.0010237507687880828,422400,-254.2772492465243,0.0
44,5.769207000732422,-272.9982947206245,28.81820496587861,-189.4468951044705,-335.5017961678706,0.0,1.1651250580171293,0.1,0.007902145385742188,0.2366173267364502,0.051093377,0.08860158,-284.2094106822759,-2.669498875732385,-2.730117674535108,0.0,9600,1.2720413208007812,0.0027892297235352624,0.001221151991927756,432000,-256.613028597684,0.0
45,5.71945595741272,-265.0131227743247,27.392867785951868,-187.45706258064607,-342.2059332650569,0.0,1.2187921249396705,0.1,0.008960485458374023,0.25164341926574707,0.051188465,0.08121553,-282.2897818914808,-2.5898435287545514,-2.650393324700284,0.0,9600,1.2885379791259766,0.0027671324248041934,0.00112957658227641,441600,-254.0957889014283,0.0
46,5.758738994598389,-272.9072988997985,26.359775773393338,-220.31493909739297,-348.55941473283434,0.0,1.102448368766942,0.1,0.00825953483581543,0.24668073654174805,0.050266333,0.08596795,-281.3515335923126,-2.668420376179958,-2.7293255639820018,0.0,9600,1.3050923347473145,0.002988953624355456,0.0011060722708362218,451200,-255.02801856484098,0.0
47,5.786072731018066,-268.02636819277814,24.408388242943005,-217.32709755715933,-335.3492216639273,0.0,1.0961959466741933,0.1,0.008293867111206055,0.27046799659729004,0.0515735,0.094350845,-280.0190170523592,-2.6197863336576916,-2.68070024032968,0.0,9600,1.28145432472229,0.0018688743386547904,0.000752140097025955,460800,-254.10525801782762,0.0
48,5.679072141647339,-266.07367441503624,26.527953921887427,-209.8817403214125,-349.57385356137956,0.0,1.169903767240853,0.1,0.008912801742553711,0.20777559280395508,0.050609484,0.08524971,-278.6244827886269,-2.600504563361721,-2.6610414786375816,0.0,9600,1.2670609951019287,0.0025265611711686982,0.0009777047835397201,470400,-253.66188646146173,0.0
49,5.761930465698242,-265.05894249869624,29.533177051843534,-187.83666886028507,-342.56817907401546,0.0,1.1605910955358383,0.1,0.008180856704711914,0.26895761489868164,0.050505556,0.0874081,-277.26792875963383,-2.5901324022165073,-2.6507938338643418,0.0,9600,1.3179244995117188,0.003348601603390513,0.0013368038855989081,480000,-251.4759468443966,0.0
50,5.792018413543701,-261.3222459093019,22.322118470399868,-206.02454716234095,-315.39005473167197,0.0,1.1896761246588385,0.1,0.008818387985229492,0.2833061218261719,0.05033467,0.08755522,-275.67336047460066,-2.553268383783141,-2.6137396521014806,0.0,9600,1.3482935428619385,0.0025110656050588566,0.0010958786851103062,489600,-251.79654505544323,0.0
51,5.7526514530181885,-261.67916417536907,21.976026722576858,-216.25675117749776,-324.76269755628164,0.0,1.2081383019984906,0.1,0.007917642593383789,0.26631593704223633,0.050171446,0.07799003,-274.2739408446775,-2.557178920546768,-2.617211712814814,0.0,9600,1.3512060642242432,0.0028854203678391377,0.0009935090939570076,499200,-251.14203833423304,0.0
52,6.000102519989014,-260.121093760648,21.297296403981633,-206.5303150216133,-310.8556082361918,0.0,1.1588096059428417,0.1,0.00850224494934082,0.2577247619628906,0.05081785,0.090761036,-272.85865613627453,-2.540920893332603,-2.6017965734431097,0.0,9600,1.3711025714874268,0.0018455371353538594,0.0007300335136480989,508800,-250.59311006568896,0.0
53,5.7618114948272705,-257.60964893405196,26.224398515511467,-186.33005766596355,-320.9174147160988,0.0,1.132382434617696,0.1,0.008294105529785156,0.1864790916442871,0.04947019,0.08787495,-271.33375541605227,-2.516047481937054,-2.5767888462563113,0.0,9600,1.4003264904022217,0.002181411634488448,0.0009276945718289053,518400,-251.58846625204797,0.0
54,5.7513697147369385,-260.2829457501473,26.122409860821154,-189.10045829162127,-327.35888785257345,0.0,1.1053276004278598,0.1,0.008550167083740234,0.20148825645446777,0.050443664,0.08860879,-270.2286744494618,-2.543182213809416,-2.60339636464447,0.0,9600,1.4120616912841797,0.0023538801271911127,0.0010128893181781764,528000,-253.6266092760912,0.0
55,5.780992746353149,-256.9973403022195,25.647482689022144,-199.9081968950215,-328.6165512745686,0.0,1.182062417047751,0.1,0.008428335189819336,0.2445828914642334,0.049560595,0.08356864,-268.90554103473755,-2.510371819566909,-2.5706065189784018,0.0,9600,1.4011878967285156,0.002574112564893704,0.0010789843651433124,537600,-254.19934580026518,0.0
56,5.764932870864868,-259.9610686679951,23.566706290702523,-211.25722150823907,-324.7349470874644,0.0,1.151110753507781,0.1,0.00813913345336914,0.20755481719970703,0.050635412,0.08673497,-268.0110937980633,-2.5398598752662664,-2.6000859505944685,0.0,9600,1.3988592624664307,0.0026642072752776124,0.0009599514941221952,547200,-253.23270155046507,0.0
57,5.728797912597656,-255.2222505064279,25.026224945510577,-195.11480829083806,-311.5254326366678,0.0,1.1326562434833305,0.1,0.008067607879638672,0.22742390632629395,0.050376967,0.08915483,-266.7322094688998,-2.4930017058109684,-2.552947877685502,0.0,9600,1.415625810623169,0.0021393989244306417,0.0008539350919840843,556800,-253.39163449027188,0.0
58,5.824779510498047,-256.5497025688586,23.240684545866447,-199.2239174659916,-317.2000417295634,0.0,1.2204126120579566,0.1,0.008561372756958008,0.2770419120788574,0.05026928,0.08431157,-265.71395877889563,-2.5060979743598804,-2.5661144179803466,0.0,9600,1.4120428562164307,0.002183327818623324,0.0008651683640560196,566400,-250.566395304923,0.0
59,5.767125606536865,-255.75951928646148,26.531087500844585,-183.45955930391372,-320.107437324328,0.0,1.0790798346564847,0.1,0.009018659591674805,0.2866499423980713,0.051065836,0.09119478,-264.71851482965224,-2.4980405200251217,-2.5580489677166445,0.0,9600,1.436206579208374,0.0022240008813696984,0.0009569954010021928,576000,-249.55865747087978,0.0
60,5.844689607620239,-258.4617430746194,25.5358663144389,-188.41204224254682,-343.7235809621422,0.0,1.1412017867635351,0.1,0.008226871490478516,0.2753326892852783,0.05067625,0.09261317,-264.092837654149,-2.5248323479224437,-2.5849231893196563,0.0,9600,1.4074575901031494,0.0022765423236947293,0.0008490933577498547,585600,-248.89884134342932,0.0
61,5.9499664306640625,-257.17173374703776,24.742976309377536,-203.41765864474564,-332.970527263831,0.0,1.0667135990174275,0.1,0.009526968002319336,0.2763381004333496,0.050376564,0.08864103,-263.40072726343783,-2.5118586748101515,-2.5722602107945662,0.0,9600,1.4165258407592773,0.002832060490395941,0.0009541235058561694,595200,-249.54654018019235,0.0
62,5.7471818923950195,-250.24405203153458,27.509331617619786,-168.4083555060283,-320.62003530865525,0.0,1.1049108369773422,0.1,0.008031129837036133,0.2873525619506836,0.050517064,0.09189598,-262.0850597402475,-2.4429202362983014,-2.5031940154512076,0.0,9600,1.4267420768737793,0.0023058057638585213,0.0008626256942304768,604800,-249.5906880106474,0.0
63,5.7372448444366455,-251.54857376076635,24.413084148257756,-203.00620187955852,-298.47572977418514,0.0,1.0898190659849876,0.1,0.008183717727661133,0.27497124671936035,0.050214555,0.09434218,-261.0314111422994,-2.455974985424256,-2.5159071940487783,0.0,9600,1.4438207149505615,0.001834161022826417,0.0008710450395638282,614400,-245.05041418696933,0.0
64,5.810141563415527,-250.20267865754593,27.659070451881746,-188.670389409154,-332.4094444707611,0.0,1.181153019823745,0.1,0.008035659790039062,0.2680983543395996,0.05038022,0.08740407,-259.9485378938241,-2.4425599516216097,-2.502826421458549,0.0,9600,1.4172306060791016,0.0021175729264374487,0.0008518275861216294,624000,-245.4972959974202,0.0
65,5.803774356842041,-251.06258028650345,24.09474592160833,-199.8538352078901,-311.5032643520206,0.0,1.089063961529666,0.1,0.00876617431640625,0.25815629959106445,0.050125416,0.09015211,-259.059942133092,-2.4514589908732876,-2.5112096317405026,0.0,9600,1.4170072078704834,0.002244062789010907,0.0008130957201052443,633600,-244.98397638791585,0.0
66,5.807308912277222,-249.83599887573868,24.53264655014876,-195.28303572659487,-305.5122192295859,0.0,1.1648098352481615,0.1,0.00801849365234375,0.25756311416625977,0.050883207,0.08484502,-258.1375478073567,-2.438940155091454,-2.4990217861609914,0.0,9600,1.426877737045288,0.0023956115845384205,0.0008856467998653537,643200,-246.20286470697374,0.0
