iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2593421936035156,-48.479043131203554,5.000198216276211,-27.671236651486424,-51.98391026483538,0.0,0.24745899439681265,0.1,0.035880327224731445,0.09506607055664062,0.060325935,0.62293905,-48.479043131203554,-0.3863024836832145,-0.40697038312797346,0.0,486,0.04137992858886719,1.0026654028401587,0.9930017041731093,486,-48.325407869527126,0.0
1,1.1638166904449463,-49.34041861065507,3.591382786856619,-31.523439782281606,-51.81145280461483,0.0,0.36327197367038166,0.1,0.0046939849853515625,0.10011553764343262,0.05202134,0.33667305,-48.56518067914871,-0.37524131291807733,-0.415588382801952,0.0,449,0.042742013931274414,0.9931490177672124,0.9747524075257642,935,-48.17723211732379,0.0
2,1.191230058670044,-48.287326100162204,4.629739482517897,-31.38667792350129,-51.6999911754005,0.0,0.3860081382961774,0.1,0.004870176315307617,0.11281752586364746,0.052800998,0.31585714,-48.537395221250065,-0.34155113395097986,-0.40506694756969003,0.0,533,0.05010795593261719,0.9740641616531446,0.9208194027348152,1468,-47.69130844005578,0.0
3,1.155625343322754,-49.55348202706339,3.2794051927677663,-35.545503659659346,-51.72708512257447,0.0,0.41837157265668345,0.1,0.0047283172607421875,0.09978914260864258,0.056283955,0.28530034,-48.6390039018314,-0.32734118488239966,-0.4177206787118559,0.0,532,0.052973031997680664,0.9226665661325523,0.8106882389761285,2000,-45.20998188749471,0.0
4,1.1895332336425781,-49.757760765705456,2.841543889520389,-35.38847483353087,-51.84527931168786,0.0,0.391641213699074,0.1,0.004808902740478516,0.10350561141967773,0.05106178,0.31189436,-48.75087958821881,-0.31712628664303155,-0.41976315737137676,0.0,531,0.04698371887207031,0.8103779923964489,0.6124423192401197,2531,-45.23691986859153,0.0
5,1.2250304222106934,-48.90660412039902,4.291463615813093,-35.089229786621324,-52.124682818194174,0.0,0.4318487593901561,0.1,0.00507807731628418,0.10312986373901367,0.051251985,0.27833998,-48.76645204143683,-0.33144436621123013,-0.41126229213725507,0.0,583,0.05508613586425781,0.6029784249574824,0.2886773278458462,3114,-44.986339846448736,0.0
6,1.1914381980895996,-48.40094504742277,4.652961837088938,-34.894376019374675,-52.31446425694826,0.0,0.4533005176829727,0.1,0.005125761032104492,0.10448431968688965,0.052937716,0.23801477,-48.72990134203542,-0.28608385688286925,-0.40620185463485387,0.0,610,0.0565035343170166,0.2862536088916816,0.054857224113089714,3724,-45.22520996064999,0.0
7,1.2618563175201416,-48.18605245562079,5.2183233546775964,-28.208862262304244,-51.81866276822229,0.0,0.4623765874427881,0.1,0.0049207210540771484,0.10416197776794434,0.050914116,0.24031112,-48.67551645339395,-0.2857214214542812,-0.4040525050330004,0.0,659,0.058950185775756836,0.05296259900965567,0.03457567393369753,4383,-44.986104222019314,0.0
8,1.203916311264038,-48.34453432631185,5.320183064048034,-27.402739803073707,-51.74479032229636,0.0,0.5028349368128888,0.1,0.0048601627349853516,0.10104250907897949,0.0491442,0.2015077,-48.64241824068574,-0.29447051223648146,-0.4056367997847699,0.0,626,0.05234479904174805,0.03499351234088258,0.029271745257632924,5009,-45.216506284486584,0.0
9,1.2131147384643555,-48.9990627770346,4.084182318705724,-35.558639742463455,-51.80052957934821,0.0,0.483731026425369,0.1,0.0052073001861572266,0.1024932861328125,0.047768015,0.17404345,-48.67808269432063,-0.2940508474712998,-0.41218722176168954,0.0,672,0.059691667556762695,0.02217261422049568,0.02042567422389069,5681,-45.210565709714295,0.0
