iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.913698673248291,-54.97588707933136,4.672632949719502,-51.05172506215559,-64.46365390920853,0.0,0.10364225418069757,0.05,0.049918174743652344,0.04397439956665039,0.025127387,0.55885416,-54.97588707933136,-0.6217075237323031,-0.08847863698389767,0.0,71,0.005401611328125,1.0030422784561195,1.0030422784561195,71,-29.105933915612678,0.0
1,0.8500723838806152,-50.33616229231215,10.582226912825636,-20.17230388731574,-61.08921251527987,0.0,0.09627995596412167,0.05,0.001926422119140625,0.04320716857910156,0.029505197,0.5286857,-54.51191460062944,-0.6008963531672957,-0.09672576977391442,0.0,94,0.00220489501953125,1.003655023398856,1.003655023398856,165,-63.144898839387196,0.0
2,0.8820602893829346,-51.72680216383581,11.921135507253185,-18.647947221965712,-62.68827533681832,0.0,0.09738758426479202,0.05,0.0020983219146728516,0.042527198791503906,0.028736169,0.56984764,-54.23340335695008,-0.5776525523815015,-0.12341050801987534,0.0,118,0.0025506019592285156,1.0035734638786775,1.0035734638786775,283,-27.584248659988134,0.0
3,0.8073358535766602,-54.24061300380371,5.238870322355288,-51.02390192764234,-68.16287574724109,0.0,0.09160674762929075,0.05,0.0020127296447753906,0.0404813289642334,0.023366597,0.73706365,-54.23412432163544,-0.6075960018091903,-0.07261920153076387,0.0,59,0.0018908977508544922,1.0031182140913455,1.0031182140913455,342,-26.74931310775805,0.0
4,0.8038687705993652,-54.1429847013959,5.297774043974651,-51.135776709182466,-69.87962575995755,0.0,0.08620151633649557,0.05,0.0019426345825195312,0.040886878967285156,0.024149606,0.8102711,-54.22501035961149,-0.607299292365685,-0.07115622850251328,0.0,56,0.0020685195922851562,1.0031482812211212,1.0031482812211212,398,-56.12427793467791,0.0
5,0.782658576965332,-54.86852370590657,4.183129741831519,-51.07555218751298,-63.73170982084061,0.0,0.0890386578485173,0.05,0.0019369125366210938,0.04036426544189453,0.024585357,0.5906688,-54.289361694240995,-0.6213231189418377,-0.08519479374782689,0.0,68,0.002602815628051758,1.0031340300621554,1.0031340300621554,466,-23.775595899432528,0.0
6,0.8806395530700684,-56.083673882045616,5.479956850645121,-51.06735758393576,-65.39108751479017,0.0,0.1001415199453291,0.05,0.002046823501586914,0.04176044464111328,0.023859814,0.68071914,-54.46879291302146,-0.5914927558399881,-0.11021093040785108,0.0,105,0.006018638610839844,1.0032085448594241,1.0032085448594241,571,-61.896465461431,0.0
7,0.8246874809265137,-58.49585324172828,5.919571220614256,-51.7962105723987,-71.3516599247492,0.0,0.10496576757471938,0.05,0.0021543502807617188,0.04302477836608887,0.02461273,0.60794485,-54.87149894589214,-0.6475445454195661,-0.1585803547353743,0.0,137,0.03195643424987793,1.0033299398279754,1.0004481011554829,708,-60.42344006718486,0.0
8,0.9047689437866211,-52.37616772670312,16.415258432792534,-18.75818104387235,-77.45142952817154,0.0,0.12433559211245004,0.05,0.002183675765991211,0.045229196548461914,0.02380777,0.36928508,-54.62196582397324,-0.565777096371644,-0.23874644203341946,0.0,223,0.014996767044067383,1.0004475525279197,0.9947331545890565,931,-26.203502823323056,0.0
9,0.9314842224121094,-54.39886131740682,12.356594561107672,-22.837499136773058,-72.12620088965075,0.0,0.11080655501545308,0.05,0.002105236053466797,0.04291248321533203,0.025750874,0.51002026,-54.599655373316594,-0.5496194142641995,-0.17630694871566818,0.0,161,0.011409997940063477,0.9949641058608947,0.9920606123341889,1092,-53.518507177362636,0.0
10,0.8220715522766113,-54.59016298059856,4.556480546839058,-51.213501376300115,-66.31570372508936,0.0,0.09729910288105843,0.05,0.0019235610961914062,0.040338993072509766,0.025230007,0.64931923,-54.5987061340448,-0.5663460503390465,-0.07845979943419898,0.0,66,0.0019817352294921875,0.992546190671033,0.992546190671033,1158,2.913862134301425,0.0
11,0.8276312351226807,-57.11632223204607,6.152308805464959,-51.110449367292404,-66.63665884555294,0.0,0.09777840474296118,0.05,0.0019769668579101562,0.04199361801147461,0.026236149,0.4910227,-54.85046774384493,-0.6277116566396768,-0.1300431580543892,0.0,97,0.00222015380859375,0.9924963491039971,0.9924963491039971,1255,-11.899871363324802,0.0
12,0.9282913208007812,-55.7306584792398,13.333975743792072,-24.366947802855428,-74.41813466335225,0.0,0.11925911421185055,0.05,0.002220630645751953,0.04456448554992676,0.026054893,0.42665926,-54.938486817384415,-0.5731437138139748,-0.2038062865794555,0.0,183,0.011908769607543945,0.9923512052994842,0.9893491272339044,1438,-54.57149711713249,0.0
13,0.9411537647247314,-53.23737141773923,2.4300660098182583,-51.006185532466084,-60.14350645030595,0.0,0.08815422946624862,0.05,0.001957416534423828,0.03991580009460449,0.022252146,0.82410514,-54.7683752774199,-0.575916067622935,-0.05312353740181439,0.0,45,0.0020017623901367188,0.9892287533545733,0.9892287533545733,1483,-26.62079629758493,0.0
14,0.8546261787414551,-55.699639385561134,4.111049081788347,-51.439947966360705,-62.753552452049846,0.0,0.0917274614807324,0.05,0.0021333694458007812,0.04119229316711426,0.023750626,0.8587538,-54.86150168823402,-0.569897980799271,-0.10278952381534415,0.0,88,0.0021424293518066406,0.9894471720494548,0.9894471720494548,1571,21.130132379169698,0.0
15,0.946648120880127,-56.96075536159682,12.397648272886316,-24.261062871012236,-71.33589148149353,0.0,0.12343857216375813,0.05,0.002156972885131836,0.04523730278015137,0.024631437,0.4439334,-55.071427055570304,-0.5967222718759888,-0.23820666147531583,0.0,213,0.01399683952331543,0.9891309003574305,0.9820231272085506,1784,-61.36868308547605,0.0
16,0.8760957717895508,-59.278353911579224,5.402218116498784,-52.61573088234775,-70.0027742673029,0.0,0.10422246371253013,0.05,0.0021572113037109375,0.04308748245239258,0.024647426,0.53459805,-55.492119741171194,-0.6498563957897561,-0.17264563152855503,0.0,140,0.011460304260253906,0.9827715171105095,0.9787608494607528,1924,-58.76448558079362,0.0
17,0.9398636817932129,-57.752944874855004,7.0091948236161015,-51.07555217794024,-74.63369328009597,0.0,0.11322309229593781,0.05,0.002099752426147461,0.04586911201477051,0.024855526,0.45238754,-55.71820225453958,-0.5816883267640706,-0.14436615277933898,0.0,132,0.011671304702758789,0.9794627077865534,0.9750969487044946,2056,-54.44961444298032,0.0
