iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,2.234804391860962,30.27732794574107,75.93472683253881,174.98831325757925,-35.60022664210017,10.0,0.735861284482227,0.05,0.003409862518310547,0.057436466217041016,0.025015138,0.07189516,30.27732794574107,-0.1823537121583931,0.5618174935595557,10.0,500,0.025783061981201172,0.999461307571503,0.9926735841930467,500,3.31014354909121,0.0
1,2.100020170211792,14.093547896640587,80.93557156971154,176.87082434696953,-86.12189641971037,10.0,1.036689350914966,0.05,0.0027320384979248047,0.055409908294677734,0.025434114,0.04850075,28.65894994083102,-0.24771356164923258,0.24202380085636693,10.0,500,0.024204015731811523,0.9960617954877373,0.992593883900352,1000,8.1119245301615,0.0
2,2.1458892822265625,22.02402290048883,82.23883545801613,161.39081110977466,-82.4762056756539,0.0,0.9837123413839095,0.05,0.002672433853149414,0.05567574501037598,0.026258469,0.051530562,27.995457236796803,-0.30195788771162946,0.40125162226705474,0.0,500,0.024013996124267578,0.989843338814032,0.9830309960178505,1500,43.137170447301116,5.0
3,2.132765054702759,-1.8681575776269033,54.940186872812646,144.45789859984734,-50.474671302982095,0.0,0.8284722449706737,0.05,0.0026569366455078125,0.0551605224609375,0.02556992,0.06003916,25.009095755354434,-0.3225502323447368,-0.06802355198016587,0.0,500,0.024744272232055664,1.0037898455974354,1.0057565627235145,2000,0.8802411783087325,0.0
4,2.1017825603485107,-8.792169493960468,46.38737262955116,124.87704632225831,-37.17957909570911,0.0,0.9676994219128484,0.05,0.0026543140411376953,0.05526447296142578,0.023878181,0.053133253,21.628969230422946,-0.3058436224617158,-0.19140936256052368,0.0,500,0.02597212791442871,1.076355639907337,1.0560186426843732,2500,7.825224310192203,6.0
5,2.1000454425811768,2.608520178292963,66.90141117563795,180.68030264544768,-67.51143108430236,0.0,0.805297442207979,0.05,0.002643108367919922,0.05464506149291992,0.025830721,0.07392932,19.72692432520995,-0.21808378260604339,0.1308150707117796,0.0,478,0.024088144302368164,1.006837557700217,1.0042439206129672,2978,-0.49561370062648197,0.0
6,2.185260534286499,13.997830481472414,44.81858863813428,86.27420144789657,-39.85498426621122,0.0,0.732509065899854,0.05,0.002710580825805664,0.05551338195800781,0.026093073,0.07542325,19.1540149408362,-0.21191767213205948,0.2380215632853857,0.0,500,0.02547931671142578,0.9833219107402291,0.9835233301429255,3478,-2.814830181296921,0.0
7,2.155895948410034,-21.921917700485096,28.49820310439763,54.77661561606934,-65.06506050251691,0.0,0.9196931300273289,0.05,0.0026810169219970703,0.05484819412231445,0.02527792,0.049247447,15.046421676704071,-0.2868842949235721,-0.3527636959730859,0.0,470,0.026437759399414062,1.062328914929298,1.0456046962501107,3948,-8.139954832814851,0.0
8,2.1624114513397217,15.60402155373409,67.88533266481848,182.17137201267076,-37.49630235128182,0.0,0.9209234503559021,0.05,0.002706289291381836,0.055872201919555664,0.023710491,0.06993796,15.102181664407073,-0.24509704549351125,0.2706635383343117,0.0,500,0.025676727294921875,0.9929924668563644,0.9938109525504701,4448,29.939268489614186,5.0
9,2.0964653491973877,59.14118280233761,77.84807116133861,171.02241759455848,-32.03142231353648,0.0,0.7400592847623896,0.05,0.00272369384765625,0.05543231964111328,0.024296083,0.07210431,19.506081778200127,-0.17601164562375848,1.1309578053461116,0.0,500,0.025864839553833008,0.9858846650132288,0.9727156925536744,4948,22.37689631402624,4.0
10,2.1569533348083496,-5.002175123511277,43.14785546898647,106.0961838389492,-48.41228594531514,0.0,0.9534101568260289,0.05,0.002854585647583008,0.05592226982116699,0.025049966,0.055444296,17.055256088028987,-0.22533022217366225,-0.12604982391035385,0.0,500,0.024359464645385742,1.0115053868247461,1.0173359818383714,5448,14.192726465284988,0.0
11,2.155656576156616,6.886446172264184,48.20894789641056,110.02307470802265,-38.237621777274015,10.0,0.9311105687712189,0.05,0.002714395523071289,0.05556821823120117,0.026493654,0.055915,16.03837509645251,-0.260567540195445,0.11176732877387441,10.0,500,0.025513410568237305,1.0012715142519926,1.0011537124071712,5948,16.010466451756855,0.0
12,2.1817259788513184,23.125268137980424,68.93592367160622,184.1986913926628,-30.28416833167801,10.0,0.7750465446052833,0.05,0.0027348995208740234,0.05540108680725098,0.024188742,0.09089442,16.7470644006053,-0.20341101393160935,0.43695161152974527,10.0,500,0.025347471237182617,0.9770458701940344,0.973355958971393,6448,0.7989644523172916,0.0
13,2.2184102535247803,25.844605246888097,56.257465254057685,158.4729417637794,-23.80286699848783,20.0,0.6030696426708461,0.05,0.0027379989624023438,0.05587625503540039,0.024512645,0.09446187,17.65681848523358,-0.19088903105103414,0.49095162190198705,20.0,500,0.024506568908691406,0.9609385473543827,0.94493251373795,6948,7.9990568324276925,0.0
14,2.1864264011383057,-3.67015705012646,51.24725882197474,146.12124551627244,-39.38829450590289,0.0,0.8209539947967384,0.05,0.0026824474334716797,0.05563712120056152,0.025275214,0.06718643,15.524120931697576,-0.23178045022228896,-0.09862079521616643,0.0,500,0.02558159828186035,1.042235085703529,1.041224778380163,7448,9.775693769387685,0.0
15,2.206773042678833,-13.514056343533573,31.970422495157198,68.0411295311565,-40.22075437131001,0.0,0.5851749829370302,0.05,0.002655029296875,0.05570793151855469,0.023734353,0.12081738,12.620303204174462,-0.2752456653682029,-0.2840260047700939,0.0,500,0.025143146514892578,1.2248645182228877,1.1356354262604105,7948,29.45753540333196,6.0
16,2.1592907905578613,35.022020672106365,71.77783834883735,166.42467110326425,-37.72647613015675,0.0,0.7637211821078537,0.05,0.00270843505859375,0.05548262596130371,0.02364967,0.070441045,14.860474950967653,-0.19781957665249444,0.648181077557141,0.0,500,0.02516913414001465,0.9620822502357441,0.9581595397649953,8448,5.430879755617108,0.0
17,2.164809465408325,-8.972143620451241,43.15141329584008,109.00167559929797,-57.48099733388115,10.0,0.7799139652396261,0.05,0.0026717185974121094,0.05710625648498535,0.02320315,0.06562414,12.477213093825764,-0.22629974635228517,-0.11674934060034414,10.0,464,0.025733232498168945,1.013061761354827,1.0161982648448669,8912,4.142448070005941,0.0
18,2.179269552230835,-4.656507691114086,41.71673828073145,111.76915757516566,-32.545311098953505,0.0,0.8949561685586264,0.05,0.002674102783203125,0.05573582649230957,0.024327345,0.059254024,10.763841015331778,-0.24546429033401015,-0.11926817675824722,0.0,500,0.0257415771484375,1.0155164606323048,1.012974285335153,9412,1.7933895639182427,0.0
19,2.1554744243621826,24.724462667414144,74.45907967535089,162.9648276136085,-62.12786650752655,20.0,0.8778748428783062,0.05,0.002886056900024414,0.055389404296875,0.02603689,0.05797955,12.159903180540015,-0.22699551687722455,0.5635143276974217,20.0,464,0.025040388107299805,0.9689504183851172,0.9643115628639264,9876,3.0642380028932625,0.0
20,2.171912431716919,-31.21255338465692,16.650588804077977,-16.068262137200012,-64.0346001444216,0.0,0.6985080374704808,0.05,0.0026035308837890625,0.05658435821533203,0.025821583,0.068780504,7.822657524020322,-0.3097617652804277,-0.3265363118446628,0.0,397,0.022177457809448242,1.2469195051388904,1.2171443164315683,10273,3.1170540454099385,0.0
21,2.1708526611328125,-2.143263455217686,64.87863203004301,189.61523200659403,-33.921462602790385,10.0,0.8912867772750033,0.05,0.0026903152465820312,0.055536508560180664,0.025870983,0.06499301,6.8260654260965214,-0.28354747356871524,-0.06778748621908515,10.0,500,0.025319337844848633,1.018270296465417,1.0115880514607005,10773,-0.48562711591231617,0.0
22,2.18239688873291,32.418807953063336,83.17731413334542,190.33733239097805,-36.76946408625943,30.0,0.8774580751434562,0.05,0.0035240650177001953,0.05626225471496582,0.025565553,0.059883494,9.385339678793203,-0.24002527046148908,0.6145145576781258,30.0,500,0.025693655014038086,0.9773263509702304,0.9752359746377041,11273,0.2615265467860871,0.0
23,2.1963882446289062,5.399950678182855,51.28018301928737,132.8394016734115,-32.43112468451347,0.0,0.9481243340781332,0.05,0.0027735233306884766,0.05551791191101074,0.023971219,0.05889791,8.986800778732169,-0.23339359776830187,0.08277061743000097,0.0,500,0.026576519012451172,0.9967810742990929,0.9971062345230545,11773,4.256868286942546,0.0
24,2.158673048019409,-16.144467587532272,61.89424458348694,151.33077366034078,-87.42107090338392,0.0,0.8467721500429753,0.05,0.0027284622192382812,0.0569453239440918,0.024573362,0.061955806,6.473673942105726,-0.3310262386079557,-0.35146404963948524,0.0,500,0.026454687118530273,1.0306156802280575,1.0254605786782873,12273,3.0057601756497108,0.0
25,2.2048072814941406,21.900726921077315,67.63244934727352,178.95276042808482,-35.167663457436284,10.0,0.9531910179317089,0.05,0.0026769638061523438,0.05674242973327637,0.025629997,0.055507917,8.016379240002884,-0.2400805467748745,0.4107963429653073,10.0,500,0.027146100997924805,0.9716146520990613,0.9700569105491993,12773,35.774500214861945,20.0
26,2.139176845550537,29.723971326023378,68.32109150237306,180.51096814903914,-35.83109287270668,10.0,0.845742275910869,0.05,0.002687692642211914,0.055814504623413086,0.023957584,0.07284659,10.187138448604934,-0.21466756671005646,0.5527054537485163,10.0,500,0.028827190399169922,0.9680918261794539,0.960055248723962,13273,4.887281013915152,2.0
27,2.244518756866455,-9.117939359124591,42.779713808251245,88.44554900098498,-56.90057163445397,0.0,0.6220413676572751,0.05,0.002777099609375,0.0551908016204834,0.02392865,0.08655976,8.256630667831981,-0.2988908402741489,-0.0958082662990039,0.0,460,0.026252269744873047,1.1216000435368274,1.1112005768636268,13733,1.045390659039735,0.0
28,2.162890911102295,8.126580902203884,59.1510690789542,152.7600697987577,-37.0981176071084,0.0,0.9702030043599423,0.05,0.0026836395263671875,0.05553174018859863,0.02487206,0.0512437,8.243625691269171,-0.2533315945433608,0.13667410306752342,0.0,500,0.02547907829284668,0.9960114388512857,0.9944834896925585,14233,11.488431668169007,2.0
29,2.1967227458953857,25.260888750236592,62.84889506897022,170.65769031185027,-33.72752237274806,0.0,0.847624108070259,0.05,0.0027365684509277344,0.05530142784118652,0.025226401,0.06525992,9.945351997165915,-0.24785431522183093,0.4715815372602939,0.0,500,0.025627613067626953,0.9761565081230699,0.9754465734939184,14733,12.777690049538114,2.0
