iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,5.753117322921753,-3.5947975812457993,6.0919859211726415,15.14577394742795,-8.687372397230801,0.0,2.953051911579243,0.1,0.00952911376953125,0.26892566680908203,0.06969339,0.035290387,-3.5947975812457993,-0.33052975970523923,-0.01796352168974506,0.0,18001,1.024611473083496,1.012949715341084,0.8324037012139064,18001,-3.4784570628200466,0.0
1,5.458057403564453,-1.6723825717228822,6.750628737706919,29.874740725108843,-7.782428345793303,0.0,4.190044606668125,0.1,0.2772233486175537,0.9093136787414551,0.049983565,0.025117427,-3.4025560802935075,-0.3579581044087758,-0.008350749805892777,0.0,17145,1.009126901626587,1.031172399380023,0.9774910362898829,35146,-3.5105215910242347,0.0
2,5.615764141082764,-1.3890009693698568,6.88288871447281,21.771786941296376,-8.762269467230043,0.0,4.538566842463881,0.1,0.27921509742736816,0.8956296443939209,0.05028018,0.02288841,-3.2012005692011423,-0.3570363500351268,-0.006932578983219383,0.0,16956,1.2016396522521973,0.9761916986414911,0.9693756677557522,52102,-3.6895861391649776,0.0
3,5.1064369678497314,1.4552732102898402,10.361284033794798,80.17617318071798,-8.137410726538732,1.0,3.790809823584496,0.1,0.008612394332885742,0.2138981819152832,0.051384944,0.03291371,-2.735553191252044,-0.3650641345966539,0.007267767133483077,1.0,14914,2.408027172088623,1.0200403212893834,0.9882372214856041,67016,-3.764461179149687,0.0
4,5.711386442184448,-0.48820141305269826,6.530369057000305,16.06685717838685,-7.816605332504548,0.0,3.65336444144788,0.1,0.010902881622314453,0.21358895301818848,0.049600575,0.027777888,-2.510818013432109,-0.360027152209492,-0.0024236292948378447,0.0,14972,1.3646411895751953,1.0293860287065553,0.9934915746196106,81988,-4.2734580775393765,0.0
5,4.969383478164673,0.44336593662363427,7.320459982379501,27.64724010911747,-8.50512025769226,0.0,3.7821724772275562,0.1,0.11349821090698242,0.19277048110961914,0.048449837,0.026726874,-2.2153996184265345,-0.3651192697416898,0.0022057732260683987,0.0,14509,2.089055061340332,0.9907663091447094,0.98300428250639,96497,-3.9106818454411085,0.0
6,5.097084999084473,0.6312615294765799,6.916940919482315,17.837574612505126,-7.98174578884875,0.0,3.651651990890199,0.1,0.009058952331542969,0.1967771053314209,0.05485035,0.030176003,-1.9307335036362232,-0.3754516502125756,0.003150310339974488,0.0,13905,1.2859127521514893,0.9720272488679298,0.9653670700269731,110402,-2.0938422775859116,0.0
7,4.956278324127197,-0.15589703362018192,6.21602932917363,14.963036448572977,-8.697180968443595,0.0,3.66933882113355,0.1,0.008741140365600586,0.20032119750976562,0.04781898,0.027233649,-1.753249856634619,-0.4036917673451667,-0.0007593021025568478,0.0,13443,1.1278526782989502,0.9304819363762441,0.9183352596514653,123845,-2.1028198930797473,0.0
8,5.424110651016235,0.32937390765086705,6.378586978590539,19.44436743879536,-8.353797437856516,0.0,4.517472945390856,0.1,0.008475780487060547,0.1782360076904297,0.051711343,0.021664277,-1.5449874802060706,-0.3865961579117534,0.0016451189659312394,0.0,13841,1.292982816696167,0.970394017835197,0.9612379973247115,137686,-3.5803681459826384,0.0
9,5.353567123413086,0.33628355229975226,8.74516113847345,51.780835818534754,-7.657342654267835,0.0,3.2914386407167604,0.1,0.018271923065185547,0.22878074645996094,0.0513715,0.036997013,-1.3568603769554883,-0.3827903057817992,0.0016489877227632299,0.0,14549,1.3483521938323975,0.9733376868347291,0.9701416353548151,152235,-3.6888651666669983,0.0
