iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,7.894454002380371,-100.14654788369262,4.705083609823271,-90.11188193968894,-127.70974702793809,0.0,1.9673024917467892,0.05,0.05706477165222168,0.13858914375305176,0.024592327,0.026187038,-100.14654788369262,-1.6311487335219068,-2.00276760157285,0.0,10000,0.507469892501831,1.0001712353906136,0.18008919395083745,10000,-96.82772775194161,0.0
1,7.92805814743042,-100.04433106008366,7.511293785119634,-89.20552804715024,-171.16087641604565,0.0,2.567566618503358,0.05,0.005768775939941406,0.14543938636779785,0.02440134,0.020284483,-100.13632620133173,-1.643622650512529,-2.000741782770517,0.0,10000,0.4857611656188965,0.1865286413818894,0.14203428690514444,20000,-97.49653463253954,0.0
2,8.093029737472534,-100.64671550103932,5.21404064149429,-90.29840549470485,-120.30343229560093,0.0,2.306162617779486,0.05,0.00592350959777832,0.1321871280670166,0.026966006,0.023164568,-100.1873651313025,-1.6365296674841312,-2.01279337764145,0.0,10000,0.48517560958862305,0.13662105914625175,0.10748162936965353,30000,-98.66475900350346,0.0
3,7.953786134719849,-100.2912466860244,5.44582958270316,-90.42438087738861,-135.62016741217508,0.0,2.4466570259468137,0.05,0.0061533451080322266,0.13358163833618164,0.024176188,0.020747365,-100.19775328677468,-1.6199379908145903,-2.005747639232581,0.0,10000,0.4859657287597656,0.09829248535764303,0.06624457531415898,40000,-103.66080882192323,0.0
4,8.01467752456665,-100.0812854666437,4.091247422571619,-92.39672460681413,-119.47249829117895,0.0,2.1504448546733803,0.05,0.0059490203857421875,0.1285400390625,0.024775486,0.022235846,-100.18610650476158,-1.6105172710539675,-2.0015627502968125,0.0,10000,0.6536545753479004,0.06799233589902953,0.025111198364190103,50000,-102.58889605100504,0.0
5,8.06153392791748,-100.79428023598985,4.288570381364149,-91.0825737031744,-119.24963235399846,0.0,1.8152947987524615,0.05,0.005776166915893555,0.13057827949523926,0.02852085,0.02845097,-100.2469238778844,-1.6046463854580728,-2.0157583477427243,0.0,10000,0.8731472492218018,0.026365097809368604,0.004743924728955866,60000,-102.04231637251202,0.0
6,8.0715491771698,-100.31553821657764,4.068543966558762,-91.41548922157646,-110.68630410484818,0.0,1.5923666067233597,0.05,0.0062901973724365234,0.13082528114318848,0.0257324,0.032206688,-100.25378531175373,-1.609189365044951,-2.0061023196251315,0.0,10000,0.9345619678497314,0.005140931378333247,0.0023975850319242664,70000,-97.25024734089017,0.0
7,8.146693706512451,-98.3178105520893,4.388867499057075,-90.44459186681695,-114.42202303789988,0.0,1.5034023590393475,0.05,0.005974292755126953,0.1271064281463623,0.023596969,0.033090748,-100.06018783578729,-1.6038771961606273,-1.9662745269119952,0.0,10000,0.9434895515441895,0.0033118030462422256,0.002007771523362323,80000,-96.46230209995053,0.0
8,8.511033296585083,-95.80345534594275,3.1179466338926622,-90.55962896149659,-112.88943166506971,0.0,1.4624084863714075,0.05,0.005800008773803711,0.13108539581298828,0.025552154,0.034379974,-99.63451458680284,-1.6037722695607937,-1.9161017180202824,0.0,10000,0.9194698333740234,0.0016064073471547158,0.0010612466022444753,90000,-95.8191320224035,0.0
9,8.333147287368774,-94.32203886649435,3.9471327983980697,-88.91042691157162,-135.23408620443334,0.0,1.7665364101266432,0.05,0.005926847457885742,0.13097739219665527,0.024232414,0.027644668,-99.10326701477199,-1.6098496146052128,-1.886404913620606,0.0,10000,0.9373359680175781,0.0020014373414949578,0.001305852867877425,100000,-95.49383565241564,0.0
