iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.641657829284668,-101.54146564303227,4.247540051461061,-91.34765935014835,-116.11367048938898,0.0,1.9222523899113624,0.05,0.033380746841430664,0.15155649185180664,0.024515558,0.026843185,-101.54146564303227,-1.6252959641417635,-2.0305995366543006,0.0,10000,0.5822262763977051,1.0002939790758154,0.17223674952752652,10000,-97.31540762711172,0.0
1,8.608822107315063,-101.57327893792028,5.825754318909575,-90.24245358097177,-140.04994265456907,0.0,2.5638600410260084,0.05,0.006661176681518555,0.16748404502868652,0.024177201,0.020557364,-101.54464697252108,-1.6426887351021213,-2.031264979344936,0.0,10000,0.5625593662261963,0.17622977459950948,0.1185153174167608,20000,-103.41662451177281,0.0
2,8.66181206703186,-101.98490398228974,4.249187936707355,-92.30189405673991,-120.29287056093217,0.0,2.2255519928527563,0.05,0.006615161895751953,0.157914400100708,0.024854453,0.023255795,-101.58867267349794,-1.6209856625478114,-2.0395074271705176,0.0,10000,0.5521085262298584,0.11299510420551258,0.08288908881385293,30000,-110.89186326725925,0.0
3,8.600889682769775,-102.85248588577664,4.84717144165746,-92.95080947616748,-122.33241820662504,0.0,2.267870438470641,0.05,0.006586551666259766,0.1494910717010498,0.024914104,0.022863097,-101.71505399472582,-1.6134464328277207,-2.056849416952252,0.0,10000,0.5556936264038086,0.0776236087983261,0.05212555377434366,40000,-106.71350445098491,0.0
4,8.55573844909668,-102.66842594874964,3.9333843759961375,-91.47042467332292,-112.72835341479185,0.0,2.1968152528744844,0.05,0.0064699649810791016,0.15868401527404785,0.024272576,0.021838821,-101.8103911901282,-1.6069190695091433,-2.053154550634019,0.0,10000,0.7097578048706055,0.052414306066775405,0.02766586516700276,50000,-109.04904661979585,0.0
5,8.665535926818848,-103.12642511191112,4.7376620491664365,-92.47222023276727,-118.67635303648782,0.0,2.0205182642449837,0.05,0.006627559661865234,0.14549827575683594,0.026059607,0.025325956,-101.94199458230649,-1.6051661106142459,-2.0622623534324287,0.0,10000,0.895319938659668,0.030836764940312743,0.011322169596645386,60000,-96.72036722536747,0.0
6,8.702679872512817,-101.62374501421435,4.638185411809947,-93.27134404759688,-113.24728776632668,0.0,1.5965129737457484,0.05,0.006419658660888672,0.1566305160522461,0.025658743,0.030775167,-101.91016962549729,-1.60548337787356,-2.032183797156687,0.0,10000,0.9764740467071533,0.011652078732441918,0.0037897368812835823,70000,-94.91926792979255,0.0
7,8.853022813796997,-99.18912816526283,5.557900166266585,-91.91014217812126,-133.03570812148914,0.0,1.3545743188108417,0.05,0.007069110870361328,0.14737915992736816,0.025355937,0.03638876,-101.63806547947385,-1.617108605417161,-1.9836279490633273,0.0,10000,1.0021910667419434,0.0055753837190026375,0.0036558463464007505,80000,-94.70639698639523,0.0
8,9.10016918182373,-95.63223093235965,3.0944349197595864,-91.1083073172528,-109.09173842941469,0.0,1.3585770135525066,0.05,0.0068817138671875,0.15186548233032227,0.022579564,0.034472816,-101.03748202476243,-1.604582131719946,-1.9126549013708671,0.0,10000,0.997300386428833,0.0022676007619993623,0.001192944869106147,90000,-94.87734206260174,0.0
9,9.007737159729004,-93.77473250143645,1.9767865363579014,-90.96067846945935,-104.0753797135566,0.0,1.321781654876884,0.05,0.007402658462524414,0.14502525329589844,0.023385035,0.036037937,-100.31120707242982,-1.601072962522636,-1.8754810501531625,0.0,10000,0.9802820682525635,0.0013107843293042236,0.0006184941081730043,100000,-94.61851116297366,0.0
