iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.775552749633789,-56.74064682119829,4.697295022838241,-47.24627584126301,-78.89860566480793,0.0,2.9529646153468754,0.05,0.020869970321655273,0.1469869613647461,0.033781573,0.018921409,-56.74064682119829,-0.7586721966473878,-1.1329326454647834,0.0,10000,0.5853850841522217,0.9990183596699078,0.011713667377242292,10000,-50.26360651624209,0.0
1,8.736266374588013,-56.303367184489964,8.020799390312881,-46.17391836565155,-128.38650375897464,0.0,3.4855127133452015,0.05,0.024753808975219727,0.14407944679260254,0.025703358,0.014819188,-56.69691885752746,-0.7826717974749781,-1.1242386153366848,0.0,10000,0.5172576904296875,0.03143362199800162,0.02995824457178152,20000,-51.028619167214,0.0
2,8.950741529464722,-53.7717994140929,4.211511188521111,-45.46020815432456,-71.70025279741921,0.0,2.041540053682967,0.05,0.00775909423828125,0.14067411422729492,0.025812158,0.024666823,-56.404406913184,-0.7425601742498472,-1.0737196156375384,0.0,10000,0.5181889533996582,0.011402378403170241,0.008474960096630978,30000,-52.3243056845025,0.0
3,8.752601623535156,-51.24145310142607,3.07446536943879,-45.201738071929704,-66.34874696734762,0.0,3.0195583125512275,0.05,0.00820469856262207,0.14369463920593262,0.025973145,0.017059533,-55.88811153200821,-0.7353737130490993,-1.02314892847263,0.0,10000,0.5328810214996338,0.007321523057380461,0.005111680610909379,40000,-54.225686795715454,0.0
4,8.866614818572998,-50.1555716260639,5.207579132934483,-43.959146187448454,-105.93135005545138,0.0,3.165057112968056,0.05,0.007473945617675781,0.15968823432922363,0.026278928,0.015477816,-55.31485754141378,-0.735895083857914,-1.001468251089067,0.0,10000,0.6967058181762695,0.014035517652967091,0.013837176368795556,50000,-50.88260671337794,0.0
5,8.933407068252563,-49.46016523514914,2.4722222836159276,-44.215959456377206,-67.22955189179321,0.0,3.3745931739011596,0.05,0.008164405822753906,0.15145564079284668,0.025813065,0.015174288,-54.729388310787314,-0.7278937746667945,-0.9875857709272363,0.0,10000,0.8682742118835449,0.0033174897345620022,0.003090837754008965,60000,-55.01948129795697,0.0
6,8.782257795333862,-48.603747898202165,2.6318920911643877,-42.72674943203121,-66.93775857630006,0.0,2.7027594787601554,0.05,0.006974458694458008,0.14640092849731445,0.025770795,0.01856007,-54.116824269528806,-0.7288410916571917,-0.9705126212774351,0.0,10000,0.8586530685424805,0.004365347222405321,0.00412614751589063,70000,-51.32949664519193,0.0
7,8.80485463142395,-48.61993806816167,4.299524101495996,-43.696641581292674,-85.57771990824777,0.0,3.2995190211349223,0.05,0.0077362060546875,0.13852977752685547,0.024983963,0.015557345,-53.56713564939209,-0.7336498897844171,-0.9707866050083234,0.0,10000,0.8785223960876465,0.009589663672564034,0.009553540357129135,80000,-51.792241230400165,0.0
8,9.05952525138855,-47.823538120056945,2.0204818114351957,-43.56627751556476,-53.69389981463443,0.0,3.1132233361284523,0.05,0.006781339645385742,0.14035487174987793,0.026007108,0.015778307,-52.99277589645858,-0.7245520957387442,-0.9548696464408926,0.0,10000,0.882178544998169,0.0028350899160571623,0.002461794609160358,90000,-51.54626073348368,0.0
9,8.844643831253052,-47.655411429380536,4.2559926279027875,-43.2730338891436,-96.73336363121533,0.0,3.4766553976209598,0.05,0.006689786911010742,0.1421663761138916,0.024643611,0.013321956,-52.45903944975078,-0.7350393950564589,-0.9515406405662836,0.0,10000,0.8505756855010986,0.009708587494058207,0.009656318082664562,100000,-51.7791070461341,0.0
