iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.684663534164429,-54.5828150167272,3.291911120392093,-49.34926229852289,-68.67684323054351,0.0,2.0438463505886313,0.05,0.01760578155517578,0.1544954776763916,0.024438888,0.025561778,-54.5828150167272,-1.3041998909244836,-1.0917672510973246,0.0,10000,0.5541558265686035,1.0016819083673505,0.16135160705254514,10000,-50.90167645411507,0.0
1,8.591468811035156,-54.96032800096531,5.23433107192716,-48.67045369009279,-98.58770130796019,0.0,2.6407966147357267,0.05,0.006751060485839844,0.18676257133483887,0.024723798,0.01930832,-54.62056631515101,-1.3199103950625826,-1.099352268684103,0.0,10000,0.5717456340789795,0.17113867427776008,0.11959569332782204,20000,-52.99022568014848,0.0
2,8.779978036880493,-55.41184392903321,4.587227653741516,-50.74847089037017,-94.34660069263253,0.0,2.154079494051774,0.05,0.007031679153442383,0.16203904151916504,0.026656274,0.023656473,-54.69969407653923,-1.302940750482867,-1.1085132590587539,0.0,10000,0.5640921592712402,0.11000016090190873,0.0721437229483665,30000,-55.3366543998816,0.0
3,8.66316819190979,-55.38688943438543,2.795319032449167,-50.610365647327725,-69.44959202408755,0.0,2.229035600880687,0.05,0.010391950607299805,0.1504521369934082,0.025124608,0.022518745,-54.768413612323855,-1.2882131451257903,-1.1079214156652144,0.0,10000,0.5625507831573486,0.0657295234059778,0.02826685205283356,40000,-57.97131126461639,0.0
4,8.72754168510437,-55.44761473887313,3.1174273680060915,-51.15313891598507,-76.48863182852843,0.0,2.1517613922209846,0.05,0.006621122360229492,0.1708543300628662,0.024652993,0.021374403,-54.836333724978786,-1.2857849818734466,-1.1091627015766299,0.0,10000,0.7488481998443604,0.029582528177643685,0.011276466122266657,50000,-57.57959370978791,0.0
5,8.731797218322754,-55.47431068505821,2.7030042810000325,-50.34328383372761,-73.73159237857264,0.0,1.8589781120265123,0.05,0.006509542465209961,0.1561717987060547,0.02435237,0.02577744,-54.90013142098673,-1.281752769835192,-1.1096613566781415,0.0,10000,0.9760031700134277,0.011158640391341788,0.0035967238085217344,60000,-52.578262961095,0.0
6,8.737426519393921,-54.432101757304565,2.41951037439477,-50.675292332613594,-68.74194500808039,0.0,1.5869707422161263,0.05,0.006586313247680664,0.15515422821044922,0.02567491,0.031903364,-54.85332845461851,-1.2880834531227001,-1.0888520794345766,0.0,10000,1.0250496864318848,0.004360059543580829,0.0033296422452461626,70000,-51.85719578497913,0.0
7,8.894256353378296,-53.45863109174932,2.7853297759786493,-49.70902173048052,-72.40774704596284,0.0,1.50759393492362,0.05,0.0067789554595947266,0.15430355072021484,0.022482222,0.02965947,-54.71385871833159,-1.2900393953276281,-1.0694072285243095,0.0,10000,1.031324863433838,0.005628759327756226,0.004354251910865875,80000,-51.19222151741152,0.0
8,8.99517273902893,-52.49817351920086,1.7342644028513856,-50.255895251293424,-60.99298623438998,0.0,1.572530161870401,0.05,0.00706171989440918,0.15392041206359863,0.027387662,0.03239457,-54.49229019841852,-1.2844329310125429,-1.0502057351045828,0.0,10000,1.0459787845611572,0.0020307542758221634,0.001672712072159398,90000,-50.825285749395114,0.0
9,9.28202486038208,-51.68353805686046,1.1007019366692006,-50.136947806891065,-56.77305092473471,0.0,1.4588103819263494,0.05,0.006474494934082031,0.152878999710083,0.028604105,0.036216605,-54.21141498426272,-1.280321724432681,-1.0339874786426415,0.0,10000,1.0405843257904053,0.000945834561177565,0.0007322262978566175,100000,-50.69424980359327,0.0
10,8.878674030303955,-51.28285024387608,1.2059450267678324,-49.699436781482774,-61.71661640199621,0.0,1.7737504994128248,0.05,0.006639242172241211,0.1513216495513916,0.028522119,0.028594865,-53.91855851022405,-1.2797948311339704,-1.026011948267977,0.0,10000,1.0417752265930176,0.0009789381056921405,0.0008985423203808591,110000,-50.60842934643022,0.0
11,8.87490463256836,-51.0966552091192,1.952717688263852,-49.2739716025467,-64.39701611542318,0.0,2.1235252684377968,0.05,0.006894111633300781,0.17174744606018066,0.027883701,0.023351379,-53.636368180113564,-1.2874595821748445,-1.022308166528464,0.0,10000,1.0508966445922852,0.002362249996324811,0.0022114800915032182,120000,-50.74962974929932,0.0
12,8.84419059753418,-50.68880916292017,0.9683477654675563,-49.36373289746113,-61.46105784669773,0.0,1.9358471082175772,0.05,0.006571054458618164,0.1505434513092041,0.02731512,0.025472857,-53.34161227839422,-1.2782999232420686,-1.0141046371898705,0.0,10000,1.0506460666656494,0.0008022026911419836,0.0006438540199005935,130000,-51.10605822629921,0.0
13,8.933075904846191,-50.55187252621552,1.2697871431355061,-48.96969356236602,-63.155161340200706,0.0,2.1592410929948307,0.05,0.00674748420715332,0.15616178512573242,0.026767902,0.022886062,-53.06263830317635,-1.2788899705096741,-1.0113615931951347,0.0,10000,1.0348889827728271,0.001024406865387804,0.0008463991059156772,140000,-50.77150302816169,0.0
14,8.893670082092285,-50.164597822373864,0.6152428393583564,-48.53980166480166,-53.26536845451698,0.0,1.4703449138300348,0.05,0.006420135498046875,0.15773892402648926,0.025594765,0.03524382,-52.7728342550961,-1.2778719366063784,-1.0036653126453485,0.0,10000,1.0044736862182617,0.00027758655411391255,0.00023618483324068079,150000,-51.08240536877848,0.0
15,8.838898181915283,-49.66575107877792,1.048877616640293,-48.06207023519208,-61.11199749338439,0.0,1.9267104338830585,0.05,0.007148027420043945,0.15837955474853516,0.027592342,0.026065474,-52.462125937464286,-1.2779621442917783,-0.9936975383078674,0.0,10000,0.9929337501525879,0.0009992144247329088,0.0007666324583943647,160000,-50.06580528621655,0.0
