iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.242388248443604,-87.40756989452005,3.6818788599216634,-85.45135374232264,-106.60816346923635,0.0,1.9971071781226748,0.05,0.018667936325073242,0.15191102027893066,0.024786003,0.025550934,-87.40756989452005,-1.7463073194033851,-1.745307319403385,0.0,10000,0.5017814636230469,1.0009480707412854,0.1694131433112191,10000,-85.78659993747371,0.0
1,8.231201171875,-87.54765661623819,5.015105875233954,-85.35041450973725,-130.28317419646467,0.0,2.635417198885133,0.05,0.006133079528808594,0.14015674591064453,0.02354851,0.019160109,-87.42157856669186,-1.7492174376487475,-1.7482174376487472,0.0,10000,0.49453306198120117,0.17026318086103837,0.11746518632560486,20000,-85.78659993747371,0.0
2,8.392761707305908,-86.82245376352778,3.7429525360451703,-85.65623428930682,-121.76569850708417,0.0,1.9075653690310124,0.05,0.005990743637084961,0.1380012035369873,0.025088945,0.026665173,-87.36166608637546,-1.734707338288112,-1.7337073382881119,0.0,10000,0.507009744644165,0.10372374036989566,0.07791863162156729,30000,-85.78659993747371,0.0
3,8.27717661857605,-86.15594985879551,1.8981043480469413,-85.7865999374737,-101.21772350514601,0.0,1.9382657512768888,0.05,0.006217002868652344,0.13222956657409668,0.025565572,0.025555938,-87.24109446361747,-1.7214110033559666,-1.7204110033559668,0.0,10000,0.507145881652832,0.07437648536720376,0.04869471827334342,40000,-85.78659993747371,0.0
4,8.205007314682007,-85.98531774353027,1.7053875087383248,-85.7865999374737,-107.70167204004298,0.0,1.972909191492826,0.05,0.006172657012939453,0.1376640796661377,0.02568496,0.025583344,-87.11551679160874,-1.7179989179220683,-1.7169989179220682,0.0,10000,0.6738102436065674,0.04792975716252124,0.028413231762936884,50000,-85.7865999374737,0.0
5,8.473782777786255,-85.88073509861053,0.9142760766497663,-85.78659993747368,-97.81525130522265,0.0,2.0666915298793964,0.05,0.006417512893676758,0.15380430221557617,0.025924167,0.024511663,-86.99203862230891,-1.7159072650236737,-1.7149072650236739,0.0,10000,0.9512631893157959,0.0320750511183927,0.01249682607871012,60000,-85.78659993747371,0.0
6,8.231352806091309,-85.79935205338465,0.17989073233743136,-85.7865999374737,-88.3370231196575,0.0,2.0769011013638754,0.05,0.006972789764404297,0.14433860778808594,0.02516182,0.023243392,-86.8727699654165,-1.7142796041191557,-1.7132796041191556,0.0,10000,1.029740810394287,0.015442536294983511,0.004527623972324421,70000,-85.78659993747371,0.0
7,8.303367376327515,-85.83270578128837,0.49426593432907767,-85.7865999374737,-92.5258279733551,0.0,2.02550477475759,0.05,0.0062787532806396484,0.13986921310424805,0.025026986,0.023548273,-86.76876354700369,-1.714941350027442,-1.713941350027442,0.0,10000,1.022953748703003,0.004704191797743,0.0008908566849984366,80000,-85.78659993747371,0.0
8,8.49030089378357,-85.78659993747372,2.842170943040401e-14,-85.7865999374737,-85.7865999374737,0.0,2.13038742472582,0.05,0.007621049880981445,0.13936686515808105,0.024535276,0.0223394,-86.6705471860507,-1.7140245618009373,-1.7130245618009372,0.0,10000,1.004162311553955,0.0007314337122745375,0.0002298338931845469,90000,-85.78659993747371,0.0
9,8.302302360534668,-85.79775978537997,0.14094939455901911,-85.7865999374737,-87.77074678110371,0.0,2.1704165509213986,0.05,0.006407022476196289,0.14653778076171875,0.023290275,0.022449864,-86.58326844598362,-1.7142477587590625,-1.7132477587590627,0.0,10000,1.0396339893341064,0.0003241508082305845,8.917170408898085e-05,100000,-85.7865999374737,0.0
