iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,9.574156999588013,-49.92692304213893,5.102513371762401,-38.185688969257086,-75.96517706229452,0.0,2.9795997732384802,0.05,0.023720264434814453,0.2082374095916748,0.024492579,0.016796388,-49.92692304213893,-0.5015642292207402,-0.9980639200176588,0.0,10000,0.5612483024597168,0.9939339007428928,0.01539128874573504,10000,-39.547435293760806,0.0
1,9.403635740280151,-48.73685057989929,7.336167571483817,-37.6138198144731,-99.3120457527605,0.0,2.3821501064878583,0.05,0.007241964340209961,0.16359901428222656,0.026368558,0.021728264,-49.80791579591497,-0.5194457994058103,-0.9742911587615711,0.0,10000,0.5298285484313965,0.0330167376171829,0.03125487137986027,20000,-39.251993053484995,0.0
2,9.690054655075073,-44.90065115679191,4.525394564819708,-36.632827328587894,-61.51742672611651,0.0,1.760478112155707,0.05,0.006979703903198242,0.14965057373046875,0.026729377,0.028367914,-49.31718933200267,-0.4855859612058586,-0.8977376213785908,0.0,10000,0.5232796669006348,0.02308312668232189,0.012706360768263168,30000,-39.83626289553151,0.0
3,9.606604099273682,-42.01642338791379,3.8180062560812833,-36.26741740229486,-67.92037086515148,0.0,2.170746850200453,0.05,0.007083415985107422,0.16024160385131836,0.027036881,0.022780763,-48.587112737593785,-0.47740836280330967,-0.8401258522985858,0.0,10000,0.5368707180023193,0.017807886671530365,0.011047125720515286,40000,-40.99784532265142,0.0
4,9.691895484924316,-39.521092075269934,2.2204827873684168,-34.15676710123056,-49.069206538634795,0.0,1.9202459578984037,0.05,0.0072705745697021484,0.15422725677490234,0.026247919,0.026001247,-47.680510671361404,-0.4676306924890231,-0.790304669614998,0.0,10000,0.7159366607666016,0.0074642053947503095,0.004158971863863043,50000,-41.496993023292944,0.0
5,9.883991956710815,-38.45147025272322,2.4015233927140893,-33.487772432768786,-50.401106793424425,0.0,2.624496694184629,0.05,0.007861614227294922,0.16059064865112305,0.026143942,0.019086104,-46.75760662949759,-0.4692840263670321,-0.7689189494894154,0.0,10000,0.9085214138031006,0.005931307847308165,0.005047027498292325,60000,-41.682312536792715,0.0
6,9.717432975769043,-37.234912124644495,2.1981760193757065,-32.51386698677401,-45.236239697723164,0.0,2.1174855756665023,0.05,0.007226467132568359,0.15853381156921387,0.025967102,0.023645697,-45.805337179012284,-0.4664125867149956,-0.744632337363793,0.0,10000,0.8819124698638916,0.005579223267587475,0.004609183121492952,70000,-37.15883693684332,0.0
7,9.470933437347412,-36.870353815639135,4.433478710083218,-32.06993668454844,-91.61561571142208,0.0,3.9214289791579224,0.05,0.0069582462310791016,0.1552717685699463,0.024646342,0.012733943,-44.911838842674975,-0.47297588218020714,-0.7373309688050961,0.0,10000,0.8562273979187012,0.01635341437090752,0.016138810023015725,80000,-37.98762972695097,0.0
8,9.647918224334717,-36.320456163812835,1.8913449430455995,-31.3834372300347,-41.25688563123734,0.0,3.091851059806428,0.05,0.007397890090942383,0.15289783477783203,0.026669592,0.015996145,-44.05270057478876,-0.46571456180093784,-0.7263636480536323,0.0,10000,0.8617744445800781,0.0037324123198545153,0.0036443115622454285,90000,-37.24002233128224,0.0
9,9.511841773986816,-35.4823167782948,2.3102771093515995,-30.997601509761022,-56.45838944372365,0.0,3.0423370868820907,0.05,0.007081508636474609,0.1551191806793213,0.02508419,0.015201367,-43.19566219513936,-0.4684562625032021,-0.7096129334783872,0.0,10000,0.8486547470092773,0.006209658620190113,0.00509419273418978,100000,-37.39997345278158,0.0
10,9.513861179351807,-35.52483016399574,2.431491287437723,-30.794231644457646,-58.314273218434465,0.0,2.7925659268308594,0.05,0.007493019104003906,0.15536975860595703,0.0262653,0.017456617,-42.428578992024995,-0.46825443872687555,-0.7104545517080042,0.0,10000,0.8657960891723633,0.0059262761963344655,0.0057465467491696785,110000,-37.497769073568165,0.0
11,9.528732061386108,-35.083058093108285,1.7116473686602725,-31.084486244994075,-42.41571930746212,0.0,2.778318795854916,0.05,0.007145881652832031,0.15141582489013672,0.02526406,0.017763833,-41.694026902133324,-0.46650410979434503,-0.701624532666646,0.0,10000,0.8767144680023193,0.0030434407412007498,0.0029756070214359814,120000,-37.52043927167874,0.0
12,9.697514057159424,-34.991731739037995,1.6966981470236093,-31.613788585159647,-39.450971522504844,0.0,2.7861185737564265,0.05,0.007441043853759766,0.15666675567626953,0.02592735,0.018171137,-41.02379738582379,-0.4656537521803293,-0.6997691135728984,0.0,10000,0.963731050491333,0.0030267364375443947,0.003020980838783527,130000,-37.64479769548157,0.0
13,9.62506628036499,-34.63801242057172,1.5840560942652673,-30.96551634158753,-39.27868584231905,0.0,3.0889949869355995,0.05,0.007249116897583008,0.15804815292358398,0.024955323,0.016137036,-40.385218889298585,-0.4659605091683408,-0.69272721876119,0.0,10000,0.9649059772491455,0.002892600580504018,0.002748438781728683,140000,-37.51329451648583,0.0
14,9.740382194519043,-34.40559033269531,1.6568593692837905,-30.95199400908252,-39.23035388231274,0.0,2.975738912411719,0.05,0.00748443603515625,0.16010141372680664,0.024497166,0.016512327,-39.78725603363826,-0.465907385750628,-0.6880832131254965,0.0,10000,0.9445841312408447,0.003107645371417529,0.0031277560888221772,150000,-37.5540628946391,0.0
15,9.618417263031006,-34.65300087415213,1.5380427361361004,-31.077784405562177,-38.436487496281494,0.0,3.292163835494469,0.05,0.0073893070220947266,0.15730619430541992,0.025412539,0.015420964,-39.273830517689646,-0.46599342233054925,-0.6930056943093738,0.0,10000,0.9643244743347168,0.0029397635505738254,0.0025006825974199553,160000,-36.926411707682426,0.0
16,9.931863784790039,-34.488461461526,1.864618525464237,-30.46778983667186,-44.177083012022514,0.0,3.104455582492447,0.05,0.00790715217590332,0.15414905548095703,0.025216004,0.015440653,-38.79529361207328,-0.46740655175465934,-0.6897434498648037,0.0,10000,0.9868474006652832,0.0034887967935358583,0.0034717662727020634,170000,-36.016204069774574,0.0
17,9.761873006820679,-34.35208973653196,1.6587542386374183,-30.929618431674424,-39.68563578640263,0.0,3.3415555720551295,0.05,0.007460594177246094,0.15498757362365723,0.025153767,0.014991078,-38.35097322451915,-0.4663448181739277,-0.687045805376307,0.0,10000,0.9857332706451416,0.003006806593927826,0.003076901302581435,180000,-36.25123845529683,0.0
18,9.789870262145996,-34.42666249140352,1.5197367812697695,-31.095154261371714,-37.91287588744766,0.0,3.0104650438627494,0.05,0.007073879241943359,0.16021394729614258,0.024940714,0.016361441,-37.95854215120759,-0.4657754386654281,-0.6884920521046664,0.0,10000,0.9903316497802734,0.0026338920207751287,0.002538155168547593,190000,-35.15709995395534,0.0
19,9.934731006622314,-34.394189080660134,2.3571092016301196,-30.605538433299756,-53.513594469075635,0.0,3.1489537778405032,0.05,0.00709223747253418,0.1539442539215088,0.02545235,0.014939014,-37.60210684415284,-0.47015077564085045,-0.6878409195597414,0.0,10000,0.999859094619751,0.005448258285905832,0.00553370401798684,200000,-34.61000906734368,0.0
20,9.778377294540405,-34.0723547986155,1.7829689577424703,-30.16677279280539,-39.19936279424847,0.0,3.6383717592926312,0.05,0.006879568099975586,0.1512899398803711,0.025367718,0.01274831,-37.249131639599106,-0.466003909446722,-0.6814289962630872,0.0,10000,0.9910197257995605,0.003599590375513048,0.003818975620730227,210000,-34.6279019237974,0.0
21,9.855447053909302,-34.0832585792803,2.0594312522529616,-28.79307604438993,-48.037617925628254,0.0,3.8103134431530714,0.05,0.007432699203491211,0.16199946403503418,0.025950942,0.013667988,-36.93254433356722,-0.4679366872110994,-0.6816867064804726,0.0,10000,1.0046560764312744,0.004999136279895326,0.004770940820896461,220000,-33.546111076083456,0.0
