iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,13.698289632797241,-36.77973548842869,3.57766883987554,-30.916241693037065,-59.36718067628983,0.0,1.9645657305325688,0.05,0.5840790271759033,7.227257966995239,0.025861492,0.026857143,-36.77973548842869,-0.539573601740142,-0.7357531129201199,0.0,10000,14.28443193435669,1.0020288053341655,0.16188602063994634,10000,-32.40910547935637,0.0
1,12.100421905517578,-36.534404545751265,4.669755089441828,-30.257393009488673,-80.23573539532703,0.0,2.3064915485386415,0.05,0.2940797805786133,9.967571496963501,0.023401102,0.021088468,-36.755202394160946,-0.5536460101719126,-0.7309398223807696,0.0,10000,14.878092527389526,0.1760017448803104,0.1434372145608694,20000,-32.86317871609721,0.0
2,13.843716621398926,-36.84978880013162,4.426266436650583,-30.828634003859793,-63.51899793346264,0.0,2.4764022978690354,0.05,0.05439043045043945,2.666566848754883,0.025830597,0.02168248,-36.764661034758014,-0.5510084123442005,-0.7372023418294953,0.0,10000,0.9364180564880371,0.1343314203055035,0.08921975428588959,30000,-36.683334541392355,0.0
3,12.008827924728394,-35.94875665984283,4.027439145595794,-30.54077804249078,-64.8032975750231,0.0,2.4379377379711276,0.05,0.2815279960632324,0.5560572147369385,0.023619046,0.020651072,-36.68307059726649,-0.5352061458278867,-0.7191822398746481,0.0,10000,1.8891403675079346,0.0814334292590795,0.028211340835970884,40000,-37.41310005013422,0.0
4,14.004422426223755,-34.94480896604717,3.039652155792153,-30.38730323316815,-60.559460791707515,0.0,1.6809270136838848,0.05,0.04922032356262207,0.20136785507202148,0.026387475,0.029868374,-36.50924443414456,-0.5320179669024934,-0.6991640666189209,0.0,10000,0.8020591735839844,0.022921541894123664,0.011476906707684073,50000,-35.273236025707135,0.0
5,13.717979669570923,-34.80551527890466,2.958558169334731,-30.103328396025493,-55.44991596501081,0.0,1.7446997878234098,0.05,0.009174108505249023,4.270637512207031,0.028999835,0.029576639,-36.33887151862058,-0.5273914469515578,-0.69636084110954,0.0,10000,4.293450117111206,0.010866825002797348,0.008702160279541056,60000,-36.40924183822364,0.0
6,14.208259344100952,-33.70268946947372,1.9583888055126135,-29.356755975029493,-41.94704834604951,0.0,1.7298384182905582,0.05,0.27546000480651855,2.1130762100219727,0.024051106,0.026382117,-36.07525331370589,-0.527673480038848,-0.674339053022299,0.0,10000,1.499704360961914,0.006187425994021546,0.004643735983023069,70000,-34.96936480969625,0.0
7,13.942918062210083,-33.44311880291391,2.473306480950458,-29.543551468751822,-50.32781682617289,0.0,1.8964339935568069,0.05,0.051570892333984375,0.34188389778137207,0.028964179,0.02781599,-35.8120398626267,-0.5267109244906694,-0.6692045054779078,0.0,10000,1.0448384284973145,0.007155193586249031,0.006996293885956237,80000,-34.58334918531102,0.0
8,13.712681293487549,-32.78941704493877,2.060584630646757,-29.38948153441663,-48.81620779747749,0.0,1.941998861170324,0.05,0.00864100456237793,1.3565411567687988,0.027278177,0.026367096,-35.5097775808579,-0.5233692176929458,-0.6561240601260286,0.0,10000,1.1420783996582031,0.005329720102882137,0.004837076441925499,90000,-32.49344827818805,0.0
9,14.06485891342163,-32.42311170138051,2.2411646966473673,-29.36227763148232,-47.74419799969156,0.0,2.1631925185309413,0.05,0.0076029300689697266,0.17978572845458984,0.030347187,0.02388469,-35.20111099291016,-0.5290718462426522,-0.6488383375969303,0.0,10000,1.1976516246795654,0.007325616567500598,0.006999006860942685,100000,-31.758640510274066,0.0
