iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.596815824508667,-33.327083603583795,3.2040656446647686,-28.39823314028553,-49.67956542236405,0.0,1.9456125853421136,0.05,0.0174102783203125,0.16049623489379883,0.02477532,0.026844325,-33.327083603583795,-0.4749717442068534,-0.6667037152202429,0.0,10000,0.5578808784484863,1.0028176779697593,0.15644890461718497,10000,-27.224973227038905,0.0
1,8.533521175384521,-32.71594938071653,3.847069567623742,-27.485484207447875,-51.16755189479206,0.0,2.665253033350979,0.05,0.006569385528564453,0.16039419174194336,0.024724616,0.01945521,-33.26597018129707,-0.48808077118202925,-0.654480500502665,0.0,10000,0.5577154159545898,0.16207199840387446,0.11008873950990732,20000,-31.06269560166332,0.0
2,8.693468809127808,-32.5792961986015,3.865075058412745,-23.600932032434013,-54.291465494384305,0.0,2.2275548738706212,0.05,0.006641864776611328,0.16787266731262207,0.024623971,0.022960091,-33.19730278302751,-0.47829887901843804,-0.6518611309386896,0.0,10000,0.5570368766784668,0.10968498789988866,0.06411706898512715,30000,-31.39641199614445,0.0
3,8.64540696144104,-32.06063479595355,3.882581693989355,-26.84501368695788,-62.79876893133177,0.0,1.9885150660600714,0.05,0.006601095199584961,0.16660475730895996,0.024717512,0.024780696,-33.08363598432012,-0.4705042202527902,-0.6414483238439104,0.0,10000,0.5586228370666504,0.05819577095253654,0.02407701613302515,40000,-30.525819975085184,0.0
4,8.723055362701416,-30.465627674390607,2.087008464508919,-27.007369880197885,-38.21670219598542,0.0,1.5726785224384598,0.05,0.0072782039642333984,0.1615924835205078,0.024655726,0.031179035,-32.82183515332717,-0.4653452447804203,-0.6096130946416696,0.0,10000,0.7303872108459473,0.012689859406545146,0.007044345570702913,50000,-30.19124262685888,0.0
5,8.992303133010864,-30.04993002960152,2.0806383307870413,-27.05487773939475,-44.000407257057454,0.0,1.6400849046547123,0.05,0.0065860748291015625,0.17859315872192383,0.02672919,0.030285198,-32.54464464095461,-0.46362739332027103,-0.6013275315418185,0.0,10000,0.9700601100921631,0.008096884476495746,0.00682965618543571,60000,-28.37314346541754,0.0
6,8.956273317337036,-29.025418826771855,2.1195828116967776,-26.127371126474813,-51.722728044661416,0.0,1.8845019274888586,0.05,0.007340908050537109,0.16050410270690918,0.02839461,0.027052203,-32.19272205953634,-0.4636517216042894,-0.58086232242322,0.0,10000,1.0229041576385498,0.008108205325262085,0.007428812849137788,70000,-27.44238150304535,0.0
7,8.875122785568237,-28.661953838454775,1.6361727501638859,-26.798454795585602,-37.00236919921731,0.0,2.0220619360116805,0.05,0.006610870361328125,0.1684272289276123,0.027393641,0.025527917,-31.83964523742818,-0.46672906078742626,-0.5736127408859051,0.0,10000,1.0308494567871094,0.006095314689146935,0.005297275989966583,80000,-26.283646473504213,0.0
8,9.024784564971924,-28.391984620454632,1.989675341445046,-26.12248916210278,-40.961045739078145,0.0,2.2897409880197808,0.05,0.006778240203857422,0.1625044345855713,0.029656475,0.022537371,-31.494879175730826,-0.46938958681380266,-0.5682346552287751,0.0,10000,1.0275804996490479,0.007500351744648064,0.006915722380884269,90000,-25.772353324177516,0.0
9,8.906731128692627,-27.957261677207644,1.1475569930591254,-26.522417878670158,-36.90889913107317,0.0,1.70947301788656,0.05,0.0063703060150146484,0.15862631797790527,0.028663201,0.029308086,-31.14111742587851,-0.46162828793487953,-0.5595359728898156,0.0,10000,1.0143587589263916,0.0038168883778358334,0.003529453274280833,100000,-26.273933144314924,0.0
10,8.964977741241455,-27.724304835066196,1.1157897799407475,-26.371170858263913,-36.194345753458066,0.0,1.6785634179723647,0.05,0.0065042972564697266,0.16102385520935059,0.02751502,0.028371219,-30.79943616679728,-0.45988390191656875,-0.5548850737701764,0.0,10000,1.017580270767212,0.0026985405835995282,0.0032308830625102946,110000,-26.32866047823523,0.0
11,8.940206527709961,-27.30977228713489,0.9056037374405477,-25.926714834063702,-33.5590729894673,0.0,2.469088716818479,0.05,0.006635427474975586,0.15964126586914062,0.027535949,0.02141568,-30.45046977883104,-0.4611493129827988,-0.5466063784651403,0.0,10000,1.0225121974945068,0.0021622595745523,0.0017521240017351744,120000,-26.26499742689228,0.0
12,8.989907026290894,-27.3769221537048,1.426478880404014,-25.827319063644552,-36.40757340784285,0.0,2.330868100413664,0.05,0.0065615177154541016,0.16956520080566406,0.028611617,0.021786517,-30.143115016318415,-0.4657644433408518,-0.5479294878344457,0.0,10000,1.048588752746582,0.005170060916094982,0.0048452422921840006,130000,-26.210129286428177,0.0
