iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.89368462562561,-33.53937206722114,3.409800377689624,-26.50321778678019,-50.75881795088329,0.0,2.7893592992194756,0.05,0.023155927658081055,0.1607074737548828,0.030620294,0.019427268,-33.53937206722114,-0.47582738957015747,-0.6709749083459227,0.0,10000,0.5623917579650879,0.9983445150470461,0.015112765504409485,10000,-31.70696376572879,0.0
1,8.800593376159668,-33.23297600663124,6.487830389644051,-24.43030371475311,-98.97467162062978,0.0,4.013669265364538,0.05,0.007909536361694336,0.1608870029449463,0.025392933,0.011872097,-33.50873246116215,-0.5016893664916701,-0.6649043912459862,0.0,10000,0.553551197052002,0.05815483821529077,0.05811821336591063,20000,-33.117011061501756,0.0
2,8.950162887573242,-32.880446082204784,4.165573720599805,-27.675741098598984,-59.4483639876295,0.0,3.0187709373913103,0.05,0.009749889373779297,0.18096637725830078,0.024864774,0.01617982,-33.44590382326641,-0.48189834981631025,-0.6578620969430802,0.0,10000,0.5496652126312256,0.022476297732794703,0.021344390780053363,30000,-34.58351839482566,0.0
3,8.931184768676758,-31.50154766041,3.1547734610868914,-27.094144896303213,-49.42658982770614,0.0,4.592618514830589,0.05,0.008312702178955078,0.16460537910461426,0.025830194,0.011311453,-33.251468206980775,-0.4784142083703685,-0.6303356697703576,0.0,10000,0.5443658828735352,0.0159614558224256,0.013780258852648015,40000,-35.11597850188697,0.0
4,8.942173480987549,-31.334693026422602,2.4112316982913873,-27.884055912329337,-47.370408092150264,0.0,3.762891817770454,0.05,0.024858474731445312,0.16717886924743652,0.02598298,0.013428894,-33.059790688924956,-0.4709254834272948,-0.6269806849649056,0.0,10000,0.7171769142150879,0.01027407500266569,0.01039973493024394,50000,-33.32891676849198,0.0
5,9.139392375946045,-31.280350706035208,2.524668724920645,-26.437776725355413,-51.966446665582595,0.0,3.292260043686813,0.05,0.02248549461364746,0.16084504127502441,0.025875488,0.015087506,-32.88184669063598,-0.46712894186333964,-0.6258988894492383,0.0,10000,0.9109034538269043,0.009566317098021613,0.009510654125975284,60000,-31.984999789415156,0.0
6,9.012383222579956,-30.904282217934437,3.0019742559556746,-27.39714622926655,-54.239197412620946,0.0,4.655961859641571,0.05,0.0076808929443359375,0.17162418365478516,0.024439499,0.010191585,-32.68409024336583,-0.47479864438909203,-0.6183494485782287,0.0,10000,0.9444897174835205,0.016595307845949637,0.01678683365351172,70000,-31.574642183156598,0.0
7,9.17549204826355,-31.118236079488593,4.207657613273888,-26.948200564044285,-61.02577221871681,0.0,3.78833188710355,0.05,0.009382009506225586,0.2004377841949463,0.025020653,0.012652659,-32.52750482697811,-0.47587515095598026,-0.6226461693229965,0.0,10000,0.9199295043945312,0.021684254145550703,0.021716361536492753,80000,-32.38902496842334,0.0
8,9.245493650436401,-30.793087285193877,2.1206071738396455,-26.6692777383395,-40.48851121898252,0.0,3.6935329056494095,0.05,0.05489397048950195,0.18374872207641602,0.02514596,0.013332057,-32.35406307279969,-0.46509773436963114,-0.6161858874828049,0.0,10000,0.9355645179748535,0.0065286148599697095,0.00658931542879172,90000,-30.606002644116103,0.0
9,9.067705631256104,-30.498138278665884,2.879059684588093,-26.56529348404348,-56.77863994758329,0.0,3.687557512952604,0.05,0.007185220718383789,0.188643217086792,0.025200764,0.013002543,-32.16847059338631,-0.4716958348522903,-0.610303030454288,0.0,10000,0.8714678287506104,0.011391056869960236,0.011458390283552495,100000,-30.76889785002929,0.0
10,9.11447262763977,-30.82116580236581,3.8080492245603867,-27.088045223804503,-68.04903271323944,0.0,3.1796519187644425,0.05,0.007970333099365234,0.21511363983154297,0.02573844,0.015851133,-32.033740114284264,-0.48008256824508705,-0.6167434164416796,0.0,10000,0.9092292785644531,0.020845102256437403,0.021021626447296073,110000,-30.03757777366689,0.0
11,9.118307828903198,-31.69174931769292,16.28553535461725,-22.563682087003045,-255.20018685033543,0.0,3.3605776585473777,0.05,0.007898092269897461,0.1690983772277832,0.025284655,0.013084426,-31.99954103462513,-0.5092485478834549,-0.6341643007122952,0.0,10000,0.842987060546875,0.2631787776769633,0.2630974227889319,120000,-32.97159941104207,0.0
12,9.115361452102661,-31.077338789303635,3.8329154455495624,-26.54606728818883,-70.59628197513781,0.0,3.0875764944135247,0.05,0.007844209671020508,0.1625831127166748,0.025581002,0.01564501,-31.90732081009298,-0.47609771917580135,-0.621782339149968,0.0,10000,0.9192826747894287,0.02274166052943675,0.022684554581789335,130000,-32.410278871083634,0.0
13,9.133545160293579,-30.25411567270406,2.5698437230378963,-26.505820690037066,-51.37888260518892,0.0,2.90364307672713,0.05,0.01719188690185547,0.1639270782470703,0.025499616,0.017091911,-31.74200029635409,-0.4678535772848235,-0.6054675287672788,0.0,10000,0.9197134971618652,0.013367059003747656,0.009996051599516272,140000,-29.866338189544585,0.0
14,9.218813180923462,-30.14285308529825,2.453159768855858,-26.402569159924667,-47.73083106728082,0.0,3.3581578273151638,0.05,0.014546394348144531,0.17590689659118652,0.024218567,0.015188082,-31.582085575248506,-0.4697915349600422,-0.6031739657881642,0.0,10000,0.8870525360107422,0.009673304543071248,0.009473809669698772,150000,-30.678276832817964,0.0
15,9.25251054763794,-30.327410529520808,2.4780675087707182,-26.48736470720509,-42.77865712903888,0.0,3.481254468645191,0.05,0.007470369338989258,0.17304086685180664,0.026221387,0.014581347,-31.456618070675734,-0.47232304856828206,-0.6068606326497175,0.0,10000,0.9696228504180908,0.008784269757016943,0.00900053026994438,160000,-29.92385248380215,0.0
16,9.43798017501831,-30.834277274701925,4.961809598051311,-26.70081329215591,-70.51807648663141,0.0,5.000763449550225,0.05,0.007459878921508789,0.15998435020446777,0.024456045,0.009080536,-31.394383991078357,-0.4852737656064717,-0.6170361047346523,0.0,10000,0.9125180244445801,0.031098249289115736,0.030218422832839733,170000,-30.91292346120755,0.0
17,9.154211044311523,-31.161653455416758,11.862762536766992,-26.78830566002536,-187.98682874444805,0.0,4.118307155626033,0.05,0.011769771575927734,0.2010488510131836,0.0256227,0.010177789,-31.3711109375122,-0.49123945138104147,-0.6235829300957232,0.0,10000,0.976747989654541,0.17578590365922064,0.17589892560462456,180000,-32.35197517455228,0.0
18,9.257696866989136,-30.171605374594456,2.5437132178909576,-26.58094434698437,-49.56475114326819,0.0,3.4332117564451567,0.05,0.007785797119140625,0.1792464256286621,0.023479218,0.014389315,-31.251160381220426,-0.46762885733105364,-0.6037738492122809,0.0,10000,0.9188475608825684,0.011589013182599302,0.010725581235370289,190000,-30.400141457354724,0.0
19,9.342899799346924,-30.274701489692575,3.221123694369109,-27.045076559131676,-52.035021294795605,0.0,3.487631011297882,0.05,0.00706934928894043,0.17656636238098145,0.025041563,0.014196458,-31.153514492067643,-0.4767823528508255,-0.6058258857092509,0.0,10000,0.9232563972473145,0.016200370368567592,0.016168759860400683,200000,-31.58749156063779,0.0
20,9.134196758270264,-30.028636068254045,2.6122596503177653,-26.508986480416265,-50.62034492869527,0.0,3.2259765185171156,0.05,0.007807731628417969,0.15946674346923828,0.025478415,0.014766973,-31.041026649686284,-0.46706082068457083,-0.6008815966748791,0.0,10000,0.9545464515686035,0.01079771899900564,0.010847669646997179,210000,-30.42880383431208,0.0
21,9.204536437988281,-30.51057614666518,2.7608520207628273,-26.74814729802702,-44.218017436163606,0.0,3.7315285515096246,0.05,0.007654905319213867,0.15524768829345703,0.026498063,0.012902764,-30.987981599384174,-0.4788894689217926,-0.6105608465810982,0.0,10000,0.9599227905273438,0.011902743654184084,0.011778268973449293,220000,-31.461487164190864,0.0
22,9.325370073318481,-30.184093511320697,3.6130713882962913,-26.586750693086437,-62.77936807353949,0.0,3.6114501574224525,0.05,0.007300376892089844,0.15410947799682617,0.02375164,0.013024905,-30.907592790577826,-0.4703243167205619,-0.6040345234144595,0.0,10000,0.9813446998596191,0.01716808470130658,0.01691394451241847,230000,-32.09161819885419,0.0
23,9.37564206123352,-29.817252770087602,3.2760885991934914,-26.764512923067816,-55.36434140106215,0.0,3.4634505330001106,0.05,0.008075237274169922,0.1794133186340332,0.024288947,0.013503272,-30.798558788528805,-0.47490552163419847,-0.5966613072314413,0.0,10000,1.0086793899536133,0.014486466483139847,0.01396416881083029,240000,-30.337774563857835,0.0
24,9.224815607070923,-29.776185684560186,2.1631746762695485,-26.410052560878626,-39.738905589576596,0.0,3.5246248994610774,0.05,0.008821725845336914,0.16138601303100586,0.025098177,0.014402805,-30.696321478131946,-0.47134738283462546,-0.5958802174620748,0.0,10000,0.9564282894134521,0.008180777034590005,0.008167015355959829,250000,-29.317086294948407,0.0
25,9.475619077682495,-29.917007108387796,3.307184783708832,-26.02375260046463,-52.08032169802936,0.0,3.994863021797633,0.05,0.008349180221557617,0.20118093490600586,0.025525037,0.012131743,-30.618390041157532,-0.47939375101333015,-0.5986766452202447,0.0,10000,0.9871337413787842,0.017325218718885267,0.017636705007590243,260000,-29.23658944008109,0.0
26,9.3241286277771,-30.256080671478355,3.6812006176316423,-26.806844314701664,-60.64648022575487,0.0,3.5949122684256642,0.05,0.02111506462097168,0.16386055946350098,0.026105499,0.013501086,-30.582159104189614,-0.4798100123356393,-0.6054530326805455,0.0,10000,0.9784138202667236,0.019494941860331124,0.01886734757340587,270000,-30.653867365234724,0.0
27,9.377146005630493,-30.063365386748618,3.1750004500770026,-26.418628061887723,-56.75263529855387,0.0,4.275680065379062,0.05,0.008647918701171875,0.17672967910766602,0.024879958,0.011765613,-30.530279732445514,-0.47276953024491136,-0.6016352125373717,0.0,10000,0.9788517951965332,0.013728419570656868,0.013693319959730985,280000,-30.546529070404354,0.0
28,9.365006685256958,-29.79236143458732,2.0524408404445103,-26.37263446423348,-40.27802386857374,0.0,3.9205095293280077,0.05,0.00830698013305664,0.21687030792236328,0.026296832,0.011780359,-30.456487902659696,-0.46732964758168377,-0.5961588813084686,0.0,10000,0.9669947624206543,0.006739311587619054,0.006616755946439149,290000,-31.188819726024963,0.0
29,9.252206325531006,-30.0025584790808,2.9605445129267927,-25.838149019542183,-50.56557587632695,0.0,4.026519014104213,0.05,0.008246421813964844,0.18603181838989258,0.024855137,0.011371252,-30.411094960301806,-0.4769114377593669,-0.6003765938764941,0.0,10000,0.9948327541351318,0.014677141411104846,0.014664667656190499,300000,-32.794814955045254,0.0
30,9.217046737670898,-29.790799830479987,3.2322557907861533,-26.51586058833085,-63.23306269551786,0.0,3.7456419588142658,0.05,0.01322627067565918,0.19586801528930664,0.024268955,0.012763322,-30.349065447319624,-0.47250530451312,-0.5961846703871454,0.0,10000,0.9516825675964355,0.014932364793987924,0.015268078242125954,310000,-33.35832338647725,0.0
31,9.22333574295044,-30.135524782763603,3.7570252346823336,-26.3250089870548,-64.94477572578651,0.0,4.4831049846529964,0.05,0.007824897766113281,0.1894378662109375,0.025248101,0.01033228,-30.327711380864024,-0.47732503960778216,-0.6029740627383795,0.0,10000,0.9781479835510254,0.024209928985033546,0.023039602222202336,320000,-32.495722251003144,0.0
32,9.260623693466187,-29.937663365891236,2.3692456702202516,-26.44456346128595,-43.105825461937066,0.0,2.7318079091241554,0.05,0.0077056884765625,0.1708216667175293,0.024862304,0.018017212,-30.288706579366746,-0.47119348508281456,-0.5991336669158476,0.0,10000,1.080411434173584,0.009189272206846675,0.009198449264165534,330000,-30.67016401122956,0.0
33,9.360942840576172,-30.03646031304449,4.0210196219341565,-26.590928884410182,-74.91383749947279,0.0,3.9690293988182366,0.05,0.011471748352050781,0.19104266166687012,0.024785595,0.01204931,-30.26348195273452,-0.47856678815585496,-0.6010737501845199,0.0,10000,1.1341912746429443,0.02287594924440341,0.023064909757615278,340000,-31.442106344585227,0.0
34,9.239868640899658,-29.880002451090277,3.036285857934483,-26.409604404167943,-55.94426603690411,0.0,3.5774450053198654,0.05,0.008032083511352539,0.18154001235961914,0.02570546,0.013147977,-30.225134002570094,-0.47075620216983877,-0.5979196502745842,0.0,10000,1.1686933040618896,0.012705422911103948,0.011996108388482873,350000,-32.31225374388198,0.0
35,9.112632274627686,-29.993484421101357,3.0181137791525514,-25.25311415794067,-51.01422956882547,0.0,3.726341156098848,0.05,0.008646726608276367,0.18103957176208496,0.024593003,0.0131151145,-30.201969044423222,-0.4788692085224742,-0.6001548156358092,0.0,10000,1.1554481983184814,0.014797112918167814,0.014651236726830937,360000,-30.801416482069154,0.0
36,9.341734886169434,-29.690293644862777,2.1339348950492654,-26.219265806933894,-44.5293479847302,0.0,3.7333119316528545,0.05,0.008384943008422852,0.2099013328552246,0.02557522,0.013911374,-30.15080150446718,-0.4664553540584795,-0.5941617695932628,0.0,10000,0.9840807914733887,0.0073674600631818896,0.007418698226292876,370000,-30.722089601622432,0.0
37,9.292255163192749,-29.86994012502347,2.7287150100945525,-26.49004235020415,-47.03273375597091,0.0,3.5595325593291984,0.05,0.007772207260131836,0.16655278205871582,0.025368182,0.013463111,-30.122715366522808,-0.4814356019715767,-0.597697235051945,0.0,10000,1.0192217826843262,0.010770804093554616,0.010715779072153993,380000,-31.031755948532595,0.0
38,9.335064172744751,-30.02762243671953,3.267479732433337,-26.334675719554784,-51.86757734522519,0.0,4.219119832399306,0.05,0.010457754135131836,0.16927695274353027,0.024590412,0.011265412,-30.11320607354248,-0.480262247627616,-0.6008698240683197,0.0,10000,0.998389482498169,0.01634358996684713,0.016272012215530134,390000,-29.61088775538896,0.0
