iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,8.077431440353394,-38.32579659604244,3.297167449247602,-31.295701568760286,-47.148554524090216,0.0,2.1354479279303784,0.05,0.0975489616394043,0.17432379722595215,0.024569279,0.023395251,-38.32579659604244,-0.43956000000000034,-0.7651977918204312,0.0,10000,0.6016550064086914,0.9974952650813049,0.22696532959199975,10000,-34.19038827154664,0.0
1,5.563087463378906,-36.58945253873024,3.4636296159362776,-29.50673511910733,-43.73952729790476,0.0,2.710940753292621,0.05,0.04290151596069336,0.4384133815765381,0.025545975,0.01896014,-38.152162190311216,-0.4395571733134655,-0.7305730678638284,0.0,10000,0.5769634246826172,0.23009544236601706,0.13527391653993315,20000,-32.764898630655054,0.0
2,6.813509702682495,-36.42208033474855,3.7018685527011668,-28.73799649814042,-45.39476099245509,0.0,2.0987353916669003,0.05,0.008618831634521484,0.15688824653625488,0.025046654,0.024410693,-37.979154004754946,-0.4395599785887545,-0.7272054509382845,0.0,10000,0.5648672580718994,0.14124721367137363,0.02476144093122288,30000,-32.723844146087835,0.0
3,5.69391942024231,-35.32294135297194,3.2604265682184885,-28.261117323040903,-45.643706067483386,0.0,1.3021004574210577,0.05,0.01756739616394043,0.16816163063049316,0.022998216,0.039056066,-37.71353273957664,-0.4395270416156814,-0.7052628480492273,0.0,10000,0.5658791065216064,0.01907446130130247,0.01008373100771207,40000,-30.498751678855907,0.0
4,7.160578966140747,-32.744056185115326,2.276002455642231,-27.13516282277953,-39.36337675396548,0.0,1.1103306946301088,0.05,0.010065793991088867,0.16687536239624023,0.024943367,0.044354353,-37.21658508413051,-0.4395319577105799,-0.6537229768003197,0.0,10000,0.7123758792877197,0.009878512400620017,0.005073537995966797,50000,-28.740517198981998,0.0
5,8.118975162506104,-31.099822884718137,1.806623187608687,-27.116139249575298,-37.46396855058265,0.0,1.164068434086861,0.05,0.007808208465576172,0.15560650825500488,0.026613604,0.04413038,-36.60490886418927,-0.4394483408788481,-0.620879036021331,0.0,10000,0.7951257228851318,0.005794810630962217,0.003418424623689674,60000,-28.522899161888564,0.0
6,7.67873740196228,-29.34451767290533,1.1824551194481432,-26.386837569965245,-33.91977610780667,0.0,1.2626268545435904,0.05,0.007132291793823242,0.1704118251800537,0.027723288,0.039311834,-35.878869745060875,-0.43928390104963105,-0.5858100117187193,0.0,10000,0.832658052444458,0.00412700537539821,0.0019476310368388239,70000,-28.537325637831895,0.0
7,8.605682373046875,-28.45295969449395,1.069760069016323,-23.982589152572807,-31.05590302046246,0.0,1.1827748304926335,0.05,0.010649919509887695,0.17101502418518066,0.027042206,0.042108852,-35.13627874000419,-0.43794296774577135,-0.5679919786723578,0.0,10000,0.8748009204864502,0.0026012075092530793,0.0020548200511681094,80000,-27.881475665071733,0.0
8,7.4303669929504395,-27.275922017950297,1.6671556187139143,-16.350383968755185,-29.40052667999721,0.0,1.4729700908745058,0.05,0.007731437683105469,0.1602330207824707,0.02538646,0.03436088,-34.3502430677988,-0.43495724082515236,-0.5444698724076908,0.0,10000,0.875725507736206,0.008479379870632364,0.006324869566544557,90000,-26.65449004287269,0.0
9,9.755803346633911,-26.140406586759433,1.956237303183151,-9.117870766258491,-29.130302951630572,0.0,1.9068387163113971,0.05,0.008986473083496094,0.16945123672485352,0.026722388,0.026461799,-33.52925941969487,-0.43087922100925036,-0.5217741614768863,0.0,10000,0.9895861148834229,0.012460079273373642,0.01103778192872866,100000,-24.27451445573972,0.0
10,9.120866537094116,-25.08518614346518,2.881258270436839,-10.153493413466613,-32.57397875781452,0.0,1.940021480836306,0.05,0.011546611785888672,0.1753377914428711,0.025434291,0.025779199,-32.6848520920719,-0.42683606629502824,-0.5008486284392369,0.0,10000,0.9224824905395508,0.028677006698137716,0.026612468889363302,110000,-24.129452776284996,0.0
11,8.540781021118164,-23.484220577222704,4.232595915200193,-6.854167039121096,-26.94054215554056,0.0,2.1424445587195913,0.05,0.00801992416381836,0.16701912879943848,0.02428749,0.022407113,-31.764788940586982,-0.4196257636909624,-0.46876482510259765,0.0,10000,0.8937380313873291,0.07266613765250005,0.05995857036035417,120000,-23.18748219248407,0.0
12,8.652903318405151,-21.690187809329135,5.525389507003275,-4.830073720771603,-27.546913466960014,0.0,1.8972272257387524,0.05,0.0077435970306396484,0.16281485557556152,0.026016021,0.02692447,-30.757328827461198,-0.4087509120196259,-0.43293798259996846,0.0,10000,0.9059634208679199,0.1309027860123654,0.11184509123560718,130000,-17.769571403367912,0.0
13,8.504658937454224,-19.488409985074142,6.115328419498264,-2.8607840168028895,-28.636470243525626,0.0,2.0735477330432515,0.05,0.011184930801391602,0.16632509231567383,0.026326837,0.024132917,-29.63043694322249,-0.39516001126537764,-0.38910616851225194,0.0,10000,0.9058701992034912,0.19513541761914724,0.18127054187367103,140000,-15.837759903028816,0.0
14,8.752068758010864,-17.005130334615956,6.500154274945847,-0.4895434674375807,-27.158660757408242,0.5,2.5236696785332127,0.05,0.010365962982177734,0.1694929599761963,0.02654609,0.019550228,-28.36790628236184,-0.37943303735781675,-0.3393273292871342,0.5,10000,0.9330217838287354,0.2844948898259241,0.24549759852261946,150000,-12.765401918979553,0.0
15,8.97953486442566,-14.815841598443546,7.553799337237336,5.032256328558518,-29.987069819727775,1.0,2.268587201342714,0.05,0.007922887802124023,0.1694049835205078,0.02650719,0.021746524,-27.012699813970013,-0.36445447232705364,-0.29590233658174236,1.0,10000,0.9633824825286865,0.4191114979852825,0.39304714095370996,160000,-12.321286546908915,0.0
16,8.698283433914185,-12.93362408890448,8.406500666551425,7.90823330624526,-28.266580219450088,6.5,2.5604095513847063,0.05,0.0074689388275146484,0.1568140983581543,0.026626391,0.019786743,-25.60479224146346,-0.35426692213349964,-0.2585340745656629,6.5,10000,0.9555237293243408,0.519021489143113,0.48818436810989446,170000,-12.657635703456247,0.0
17,8.54574990272522,-9.526749410125733,8.197537986411323,10.23371025309434,-28.053685632098162,14.0,2.3348039623735084,0.05,0.008031368255615234,0.16965436935424805,0.024430778,0.02054465,-23.99698795832969,-0.3325910274941911,-0.19053469805463014,14.0,10000,0.9537112712860107,0.6690764213594338,0.6178894674597447,180000,-14.296498500683876,0.0
18,8.35763430595398,-7.115134715690633,10.427204306565029,12.019644913352044,-28.939549833892396,33.0,1.9971865586388196,0.05,0.009526252746582031,0.16960763931274414,0.026177783,0.024281431,-22.308802634065785,-0.31736838394122896,-0.14205182633584829,33.0,10000,0.938035249710083,0.725360819893717,0.6778345211326563,190000,-14.135122781224082,0.0
19,7.9581568241119385,-2.37721918509317,9.705505129936466,15.794049265546434,-29.79100868827624,51.0,2.161254899890522,0.05,0.007205963134765625,0.15345454216003418,0.025955295,0.02310624,-20.31564428916852,-0.2910807766108565,-0.04747405710903952,51.0,10000,0.9214479923248291,0.6538466941343314,0.5306329581429127,200000,2.4339617096484796,0.0
20,7.457767724990845,-0.6069588138239442,9.61780123212899,12.382281559664415,-28.58899397564216,66.0,2.2687322668120835,0.05,0.008437871932983398,0.16367101669311523,0.026747482,0.021142341,-18.344775741634063,-0.28104797962868194,-0.011973878083675735,66.0,10000,0.9180207252502441,0.4890346646765206,0.4416041425846319,210000,-9.588823338405561,0.0
21,7.219626426696777,1.6573054983722146,8.970883680126198,13.097607825041116,-31.29693900242212,81.0,2.2801135208328023,0.05,0.00778651237487793,0.16809773445129395,0.027084144,0.022994012,-16.344567617633437,-0.26736607339805674,0.03298107480264309,81.0,10000,0.9877009391784668,0.3877318362070411,0.3464349243614306,220000,3.5518594193417123,28.0
22,8.140121698379517,4.029320114682813,6.937627239933298,14.152943228331093,-28.24094675370584,84.5,2.2168024716143293,0.05,0.007965564727783203,0.17267537117004395,0.02641031,0.020899037,-14.307178844401811,-0.25245441179242334,0.08045290600795461,84.5,10000,0.9376726150512695,0.23966141359604343,0.21636776071552224,230000,6.857349675281734,60.0
23,8.389114141464233,5.649092286491602,5.550882455731376,15.844182981276951,-29.027926205615213,94.5,2.4718892395511256,0.05,0.007365226745605469,0.17194628715515137,0.02634743,0.01879178,-12.31155173131247,-0.24374970234216153,0.11263369569695034,94.5,10000,0.9294009208679199,0.1682182063361477,0.14231336639820452,240000,7.778941677089888,100.0
24,7.585878372192383,6.676679523592393,5.202672436769395,15.47804591683404,-27.881820890307456,96.5,2.3142189394378936,0.05,0.007875442504882812,0.15989446640014648,0.026414441,0.02111714,-10.412728605821982,-0.23827967138514372,0.1331507270237334,96.5,10000,0.946253776550293,0.13377048910007053,0.1137317500521618,250000,9.806331909363646,100.0
25,8.514853954315186,7.8397268080893,5.094736854583572,16.09664025880153,-28.59994060308385,97.0,2.4435923939776827,0.05,0.007950067520141602,0.18465185165405273,0.024669545,0.019618286,-8.587483064430854,-0.23206995708181716,0.15654760375959095,97.0,10000,0.9602541923522949,0.10355714951852128,0.09251072637013853,260000,11.462834179043496,100.0
26,8.49338150024414,7.554078017071048,7.383405530243753,16.854807520892162,-29.817183768595104,95.0,2.7133536117174986,0.05,0.008089303970336914,0.1592111587524414,0.02707988,0.018559676,-6.973326956280664,-0.23519929984891086,0.1506500943850929,95.0,10000,0.9356985092163086,0.1519187375735387,0.14001263680440737,270000,11.79024345470479,100.0
27,8.433133125305176,8.420075720191084,5.132150906929504,17.533496240603373,-28.224947649506216,95.0,2.199849600048404,0.05,0.007653713226318359,0.16332769393920898,0.026364477,0.021869015,-5.433986688633489,-0.23078467559154373,0.16800205507964627,95.0,10000,0.9508340358734131,0.08917616856526152,0.08254841095194805,280000,12.276397210696075,100.0
28,8.834248304367065,9.160804376426775,6.943996450304796,17.697133543293155,-29.808756718074843,96.0,2.524901794327834,0.05,0.007831811904907227,0.15755462646484375,0.028733984,0.018982181,-3.9745075821274627,-0.22545238728799039,0.18285562846622264,96.0,10000,0.9370260238647461,0.11085399249906437,0.10300890289250607,290000,11.86436745215003,100.0
29,6.842429876327515,8.489580033630634,5.085025945747264,16.836943044539368,-28.30397021893003,97.0,2.5622935473139754,0.05,0.007745981216430664,0.15978193283081055,0.025757276,0.01917779,-2.7280988205516534,-0.22910498243473348,0.16936351112024467,97.0,10000,0.9366157054901123,0.07888934180998508,0.07309732683242268,300000,13.055320450008248,100.0
30,8.46722149848938,10.063852440929065,4.269806305364182,17.619459495253945,-22.5785330544203,99.0,2.2545501617955948,0.05,0.007645606994628906,0.1614534854888916,0.025846234,0.021239404,-1.4489036944035816,-0.2214782356009464,0.2008263043243683,99.0,10000,0.9001471996307373,0.0644714233942783,0.048255952363236626,310000,14.088182900098532,100.0
31,6.928008317947388,10.7689414263628,5.70542613090428,18.312534254735098,-29.756509152590887,97.0,2.3882131001725524,0.05,0.007428646087646484,0.15771102905273438,0.02675656,0.020771978,-0.2271191823269436,-0.2168536252997378,0.21501603009955977,97.0,10000,0.8999831676483154,0.06818220777612101,0.06401390062419514,320000,13.965845677370845,100.0
32,6.611430644989014,11.154756670441529,4.088465181468947,17.94973778105853,-28.249456844528254,98.5,2.6646074753135713,0.05,0.007781267166137695,0.1649305820465088,0.025745984,0.018237364,0.9110684029499038,-0.21462065153593798,0.22273544285611543,98.5,10000,0.9101431369781494,0.035939327100342214,0.033061239867731684,330000,13.683262390395344,100.0
33,8.785584449768066,11.34747740530043,3.2143091035084503,17.51401374371829,-5.089571874628117,96.5,2.3101989024253418,0.05,0.007499217987060547,0.16678977012634277,0.026242344,0.021491809,1.9547093031849565,-0.21305742494795624,0.2265672277304159,96.5,10000,0.9228606224060059,0.026887023551951446,0.026449251004867846,340000,14.935105756836297,100.0
34,8.555915594100952,11.873543083916802,4.151877374705714,18.254472493252216,-28.84378037452094,99.0,2.6826843113842225,0.05,0.00803828239440918,0.1588747501373291,0.025216592,0.017584354,2.9465926812581413,-0.2109315101605703,0.23704022404347938,99.0,10000,0.9464840888977051,0.03380236733855424,0.028544460638791194,350000,14.236107671186874,59.0
35,8.863279819488525,12.26971900445988,2.6497326017547724,18.69860689104637,1.6999343265298976,99.0,2.6420443350396234,0.05,0.008541107177734375,0.21212387084960938,0.026029391,0.018659309,3.878905313578315,-0.2085660314953552,0.24496308878868903,99.0,10000,0.9389724731445312,0.01561188645494257,0.011589785064258284,360000,0.6706344194548683,2.0
36,8.050795555114746,12.615294315749153,2.967839971278674,18.191478823530208,-3.2489645649174377,97.5,2.6151907586712246,0.05,0.007691383361816406,0.1616346836090088,0.025821524,0.018485356,4.752544213795399,-0.20724860246935833,0.2518954845363642,97.5,10000,0.9382526874542236,0.01651588332436337,0.013291279855856562,370000,7.3125926548508335,13.0
37,9.246400117874146,13.008782611422076,3.879781604422954,19.484147759730185,-29.010933873601275,98.0,2.7382688799318897,0.05,0.015621185302734375,0.1858501434326172,0.026846692,0.01798859,5.578168053558066,-0.204812254122857,0.25974774080957574,98.0,10000,0.9002528190612793,0.023620708421888893,0.02104065793609048,380000,2.8951812046043837,4.0
38,8.822293758392334,12.965780956416546,4.768158778330756,19.44984072926723,-27.58520496170501,98.5,2.7403569745142304,0.05,0.00775599479675293,0.15415000915527344,0.025765842,0.017618665,6.316929343843914,-0.20517830536934936,0.2588940722043352,98.5,10000,0.8989086151123047,0.033635320161488125,0.03225816997577415,390000,2.204671580081569,2.0
39,6.254284381866455,13.604088292493893,2.828243259974711,19.29734010199885,-1.0092657537441407,99.0,2.3727903975307822,0.05,0.009411096572875977,0.1709914207458496,0.02581236,0.020203324,7.045645238708913,-0.20127730667555546,0.27172761028128994,99.0,10000,0.8632354736328125,0.00844667350722199,0.00774089427085023,400000,-2.667189840733095,0.0
40,9.175588130950928,14.027899266383029,4.292832412575534,20.749915545095742,-28.374257248191487,98.5,2.632235179984566,0.05,0.007536172866821289,0.16014456748962402,0.02483426,0.018311419,7.743870641476325,-0.19883299604870744,0.2801203496479009,98.5,10000,0.8968541622161865,0.020092288527227505,0.01936235328204272,410000,-3.2442371534888785,0.0
41,8.644783735275269,14.160369905875937,5.501283845633031,20.673117998637032,-27.10489210672224,95.5,2.533210975165369,0.05,0.008314371109008789,0.16870975494384766,0.026489014,0.018816683,8.385520567916286,-0.19873240447171095,0.2827881345137287,95.5,10000,0.8942508697509766,0.0408180419723075,0.03885143467653948,420000,-2.8884382351636755,0.0
42,8.950336694717407,13.63927015322356,6.841161731635674,20.4398988068669,-28.81547616254096,96.0,2.0925496965592973,0.05,0.008148193359375,0.17139887809753418,0.028468499,0.020437682,8.910895526447014,-0.20133860199427162,0.2723571943773417,96.0,10000,0.8753201961517334,0.06082769552285322,0.06183207059290736,430000,1.8258524613221545,10.0
