Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  1.22  1.22 -100000000.00 
   1  1.23  1.22  1.22 
   2  1.23  1.22  1.23 
   3  1.24  1.22  1.23 
   4  1.23  1.22  1.24 
   5  1.24  1.21  1.24 
   6  1.23  1.22  1.24 
   7  1.22  1.22  1.24 
   8  1.24  1.22  1.24 
   9  1.24  1.23  1.24 
  10  1.23  1.21  1.24 
  11  1.24  1.21  1.24 
  12  1.27  1.22  1.24 
  13  1.24  1.22  1.27 
  14  1.28  1.24  1.27 
  15  1.26  1.25  1.28 
  16  1.24  1.26  1.28 
  17  1.24  1.27  1.28 
  18  1.29  1.24  1.28 
  19  1.24  1.24  1.29 
  20  1.25  1.24  1.29 
  21  1.25  1.24  1.29 
  22  1.31  1.23  1.29 
  23  1.23  1.22  1.31 
  24  1.28  1.22  1.31 
  25  1.23  1.23  1.31 
  26  1.24  1.23  1.31 
  27  1.23  1.24  1.31 
  28  1.27  1.24  1.31 
  29  1.23  1.22  1.31 
  30  1.22  1.22  1.31 
  31  1.27  1.22  1.31 
  32  1.25  1.23  1.31 
  33  1.31  1.22  1.31 
  34  1.24  1.23  1.31 
  35  1.27  1.23  1.31 
  36  1.31  1.23  1.31 
  37  1.27  1.23  1.31 
  38  1.31  1.24  1.31 
  39  1.33  1.23  1.31 
  40  1.33  1.26  1.33 
  41  1.32  1.27  1.33 
  42  1.29  1.27  1.33 
  43  1.48  1.28  1.33 
  44  1.55  1.28  1.48 
  45  1.40  1.28  1.55 
  46  1.35  1.28  1.55 
  47  1.51  1.33  1.55 
  48  1.44  1.31  1.55 
  49  1.40  1.31  1.55 
  50  1.32  1.29  1.55 
  51  1.34  1.30  1.55 
  52  1.38  1.30  1.55 
  53  1.81  1.33  1.55 
  54  1.49  1.41  1.81 
  55  1.33  1.50  1.81 
  56  1.36  1.59  1.81 
  57  1.49  1.52  1.81 
  58  1.59  1.44  1.81 
  59  1.42  1.58  1.81 
  60  1.70  1.44  1.81 
  61  1.48  1.38  1.81 
  62  1.66  1.49  1.81 
  63  1.60  1.68  1.81 
  64  1.42  1.71  1.81 
  65  1.50  1.65  1.81 
  66  1.54  1.70  1.81 
  67  1.49  1.63  1.81 
  68  1.83  1.80  1.81 
  69  1.58  2.34  1.83 
  70  1.55  2.07  1.83 
  71  1.73  2.15  1.83 
  72  1.93  3.56  1.83 
  73  2.47  3.64  1.93 
  74  1.87  4.34  2.47 
  75  1.51  4.04  2.47 
  76  2.07  2.53  2.47 
  77  1.88  2.66  2.47 
  78  1.40  2.35  2.47 
  79  2.11  2.14  2.47 
  80  1.90  2.59  2.47 
  81  2.63  2.46  2.47 
  82  1.67  2.12  2.63 
  83  2.31  1.93  2.63 
  84  1.52  1.63  2.63 
  85  2.26  1.54  2.63 
  86  3.12  1.53  2.63 
  87  3.10  1.47  3.12 
