Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.03 -100000000.00 
   1  0.03  0.03  0.03 
   2  0.03  0.03  0.03 
   3  0.03  0.03  0.03 
   4  0.03  0.03  0.03 
   5  0.04  0.04  0.03 
   6  0.03  0.03  0.04 
   7  0.03  0.04  0.04 
   8  0.06  0.04  0.04 
   9  0.04  0.04  0.06 
  10  0.04  0.04  0.06 
  11  0.05  0.03  0.06 
  12  0.06  0.05  0.06 
  13  0.05  0.05  0.06 
  14  0.11  0.05  0.06 
  15  0.05  0.04  0.11 
  16  0.06  0.05  0.11 
  17  0.07  0.05  0.11 
  18  0.11  0.05  0.11 
  19  0.11  0.05  0.11 
  20  0.14  0.05  0.11 
  21  0.10  0.06  0.14 
  22  0.13  0.07  0.14 
  23  0.16  0.08  0.14 
  24  0.08  0.08  0.16 
  25  0.05  0.10  0.16 
  26  0.16  0.11  0.16 
  27  0.05  0.11  0.16 
  28  0.08  0.16  0.16 
  29  0.08  0.15  0.16 
  30  0.14  0.21  0.16 
  31  0.07  0.14  0.16 
  32  0.09  0.15  0.16 
  33  0.12  0.16  0.16 
  34  0.12  0.14  0.16 
  35  0.21  0.19  0.16 
  36  0.19  0.18  0.21 
  37  0.11  0.20  0.21 
  38  0.20  0.21  0.21 
  39  0.19  0.30  0.21 
  40  0.13  0.23  0.21 
  41  0.12  0.28  0.21 
  42  0.35  0.37  0.21 
  43  0.67  0.48  0.35 
  44  0.37  0.73  0.67 
  45  0.17  0.58  0.67 
  46  0.30  0.80  0.67 
  47  0.22  1.24  0.67 
  48  0.17  2.20  0.67 
  49  0.25  1.70  0.67 
  50  0.30  1.86  0.67 
  51  0.28  2.10  0.67 
  52  0.21  2.39  0.67 
  53  0.38  2.19  0.67 
  54  0.26  2.38  0.67 
  55  0.45  2.97  0.67 
  56  0.25  1.38  0.67 
  57  0.73  0.80  0.67 
  58  0.27  0.34  0.73 
  59  0.22  0.74  0.73 
  60  0.20  0.45  0.73 
  61  1.06  0.56  0.73 
  62  0.44  0.57  1.06 
  63  0.52  0.45  1.06 
  64  0.38  0.42  1.06 
  65  0.63  0.20  1.06 
  66  0.93  0.19  1.06 
  67  0.54  0.26  1.06 
  68  0.47  0.19  1.06 
  69  1.23  0.20  1.06 
  70  0.53  0.10  1.23 
  71  1.19  0.09  1.23 
  72  0.68  0.10  1.23 
  73  0.50  0.09  1.23 
  74  0.56  0.08  1.23 
  75  0.46  0.10  1.23 
  76  0.70  0.09  1.23 
  77  0.76  0.11  1.23 
  78  0.64  0.14  1.23 
  79  0.55  0.15  1.23 
  80  0.86  0.13  1.23 
  81  0.68  0.14  1.23 
  82  0.60  0.19  1.23 
  83  0.58  0.12  1.23 
  84  0.47  0.15  1.23 
  85  0.66  0.16  1.23 
  86  1.08  0.18  1.23 
  87  0.52  0.25  1.23 
  88  0.68  0.18  1.23 
  89  0.48  0.32  1.23 
  90  0.76  0.53  1.23 
  91  0.31  0.48  1.23 
  92  1.05  0.41  1.23 
  93  0.48  0.59  1.23 
