iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.301347255706787,2.168962323851288,2.182441835377205,5.9490590544846,0.904778546077163,0.0,0.20969558926752618,0.1,0.044091224670410156,0.06501197814941406,0.05218654,0.8784475,2.168962323851288,0.0,0.025986849122516417,0.0,300,0.052277565002441406,1.0594426809961424,0.9949300035212273,300,0.9023384081495149,0.0
1,1.2397608757019043,9.186941602314883,9.835987575684788,24.988665191921992,0.9173256199194835,0.0,0.18329858320549722,0.1,0.0031371116638183594,0.06274056434631348,0.047822434,0.984729,2.870760251697648,0.0,0.11957842473161895,0.0,300,0.024914026260375977,0.998689809117228,0.9809031573378489,600,0.9001936735648468,0.0
2,1.3920092582702637,0.9034570726537722,0.019951257066194533,0.9303266588558572,0.8817542106751034,0.0,0.1506564517800467,0.1,0.003452301025390625,0.06565380096435547,0.0570258,2.7494023,2.67402993379326,0.0,0.012460769953628206,0.0,300,0.0335240364074707,0.7389766636784636,1.15208485825885,900,0.898192092017574,0.0
3,1.3624334335327148,4.451546502976154,6.079506783866353,14.98145800819302,0.9066871911066341,0.0,0.19366275701918928,0.1,0.003424406051635742,0.0622410774230957,0.05251582,1.0597423,2.8517815907115494,0.0,0.0564400675976396,0.0,300,0.04263162612915039,0.9530743441087414,0.9185950254170113,1200,0.8960702799710165,0.0
4,1.4311013221740723,4.198321791165155,3.2699889621500855,7.9443621515360405,0.9077317541199699,0.0,0.16643272844327672,0.1,0.0054399967193603516,0.10959982872009277,0.045786437,1.1004114,2.9864356107569097,0.0,0.05635836668299345,0.0,300,0.05275392532348633,0.8405700856558098,0.767523737386377,1500,0.8951871410856608,0.0
5,1.4307866096496582,5.910350422605926,8.658397946104715,20.907068485454293,0.8876672791756018,0.0,0.1857839143634481,0.1,0.003281116485595703,0.07374930381774902,0.04859027,0.91449094,3.278827091941811,0.0,0.07922387990206528,0.0,300,0.022417068481445312,0.9034113584707707,0.8508004542727496,1800,0.897637348918531,0.0
6,1.395364761352539,8.916847246552505,13.310799740116257,31.961023748116222,0.8934404571677225,0.0,0.20330646666958763,0.1,0.0033435821533203125,0.06166267395019531,0.05394429,0.8901827,3.842629107402881,0.0,0.11593922211020752,0.0,300,0.027133703231811523,0.8830108267618733,0.8233334370670601,2100,0.8945338749168932,0.0
7,1.398190975189209,12.918553384737674,8.850054451711781,21.919691202306687,0.9207392978149134,0.0,0.17943235680253566,0.1,0.003008604049682617,0.06114673614501953,0.052603252,0.78367805,4.75022153513636,0.0,0.1726630577310427,0.0,300,0.06947612762451172,0.6989989437807066,0.5653857548525641,2400,0.8906003205945575,0.0
8,1.439427137374878,3.4204658622806954,4.357907562120964,10.968499225546147,0.8860272917312462,0.0,0.16974662833486023,0.1,0.0032477378845214844,0.07055473327636719,0.048229586,1.2623206,4.617245967850794,0.0,0.04601776952903563,0.0,300,0.03108692169189453,1.7841971362944953,2.09210996852869,2700,0.897272597240964,0.0
9,1.460702896118164,3.6517150326636587,4.761036128449605,11.898011753760214,0.8793907080607846,0.0,0.18001145648650374,0.1,0.005245208740234375,0.06075239181518555,0.050331775,0.85698617,4.52069287433208,0.0,0.04911003244532289,0.0,300,0.028473854064941406,1.2977500787920169,1.0310530462102725,3000,0.8941025247792068,0.0
10,1.4916846752166748,4.6621954172049875,6.516277134022848,15.948697208868309,0.8870252895389359,0.0,0.17047137571430698,0.1,0.0032587051391601562,0.06181502342224121,0.051560078,1.6178478,4.534843128619371,0.0,0.06257324415129412,0.0,300,0.04619145393371582,0.9770985233343635,0.8561641823020645,3300,20.908068276596847,0.0
11,1.4490468502044678,9.493115565860489,9.281160270995432,23.164440156764424,0.9359300672862042,0.0,0.1670648929642184,0.1,0.004538536071777344,0.061974287033081055,0.0497543,1.0455838,5.030670372343483,0.0,0.12359035993571874,0.0,300,0.030214309692382812,0.6724226186355592,0.681500003600964,3600,3.9065230922283836,0.0
12,1.470116376876831,11.17357595848488,11.233417833565301,27.92748115677011,0.9248136287980434,0.0,0.18478946738102947,0.1,0.005392789840698242,0.06896162033081055,0.05067345,0.6607662,5.644960930957623,0.0,0.14605889734679092,0.0,300,0.03795456886291504,0.726931982148031,0.6926121636090427,3900,0.9079095732191901,0.0
13,1.3889765739440918,4.1600986681073335,3.2763881924365514,7.898209488459963,0.8981316391035405,0.0,0.173346727926214,0.1,0.0033249855041503906,0.060997962951660156,0.04834327,0.930677,5.496474704672594,0.0,0.0558812277160823,0.0,300,0.023192405700683594,0.8488905654937875,0.9375870489895732,4200,17.91680232779154,0.0
