Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.04 -100000000.00 
   1  0.04  0.04  0.04 
   2  0.03  0.03  0.04 
   3  0.05  0.04  0.04 
   4  0.06  0.04  0.05 
   5  0.05  0.05  0.06 
   6  0.06  0.09  0.06 
   7  0.03  0.13  0.06 
   8  0.09  0.20  0.06 
   9  0.07  0.21  0.09 
  10  0.12  0.20  0.09 
  11  0.10  0.23  0.12 
  12  0.06  0.34  0.12 
  13  0.15  0.35  0.12 
  14  0.20  0.41  0.15 
  15  0.06  0.36  0.20 
  16  0.09  0.68  0.20 
  17  0.10  0.71  0.20 
  18  0.32  0.55  0.20 
  19  0.27  0.60  0.32 
  20  0.12  0.59  0.32 
  21  0.18  0.61  0.32 
  22  0.23  0.53  0.32 
  23  0.18  0.55  0.32 
  24  0.32  0.47  0.32 
  25  0.11  0.58  0.32 
  26  0.10  0.72  0.32 
  27  0.19  0.80  0.32 
  28  0.12  0.77  0.32 
  29  0.17  0.77  0.32 
  30  0.22  0.94  0.32 
  31  0.23  0.86  0.32 
  32  0.23  0.96  0.32 
  33  0.28  0.92  0.32 
  34  0.14  0.49  0.32 
  35  0.31  0.72  0.32 
  36  0.33  0.60  0.32 
  37  0.12  0.56  0.33 
  38  0.27  0.51  0.33 
  39  0.24  0.78  0.33 
  40  0.32  0.75  0.33 
  41  0.51  0.73  0.33 
  42  0.52  0.50  0.51 
  43  0.57  0.62  0.52 
  44  0.42  0.84  0.57 
  45  0.27  0.91  0.57 
  46  0.31  0.82  0.57 
  47  0.38  0.93  0.57 
  48  0.43  0.99  0.57 
  49  0.26  1.01  0.57 
  50  0.21  0.98  0.57 
  51  0.33  1.19  0.57 
  52  0.21  1.29  0.57 
  53  0.36  1.16  0.57 
  54  0.54  1.16  0.57 
  55  0.35  1.34  0.57 
  56  0.19  1.37  0.57 
  57  0.34  1.25  0.57 
  58  0.23  1.37  0.57 
  59  0.37  1.31  0.57 
  60  0.23  1.29  0.57 
  61  0.39  1.04  0.57 
  62  0.46  1.00  0.57 
  63  0.30  0.88  0.57 
  64  0.40  1.01  0.57 
  65  0.50  1.16  0.57 
  66  0.50  1.26  0.57 
  67  0.27  1.17  0.57 
  68  0.39  0.98  0.57 
  69  0.49  1.09  0.57 
  70  0.30  0.92  0.57 
  71  0.63  1.21  0.57 
  72  0.52  1.00  0.63 
  73  0.51  1.17  0.63 
  74  0.49  0.25  0.63 
  75  0.42  1.09  0.63 
  76  0.53  1.45  0.63 
  77  0.36  0.91  0.63 
  78  0.40  1.63  0.63 
  79  0.54  1.42  0.63 
  80  0.26  1.05  0.63 
  81  0.38  1.21  0.63 
  82  0.47  0.89  0.63 
  83  0.66  1.01  0.63 
  84  0.73  1.17  0.66 
  85  0.47  1.12  0.73 
  86  0.42  1.77  0.73 
  87  0.48  1.46  0.73 
  88  0.45  1.29  0.73 
  89  0.40  1.09  0.73 
  90  0.39  1.43  0.73 
  91  0.13  1.58  0.73 
  92  0.27  1.52  0.73 
  93  0.34  1.74  0.73 
  94  0.76  1.80  0.73 
  95  0.67  2.14  0.76 
  96  0.86  0.87  0.76 
  97  0.42  1.54  0.86 
  98  0.48  1.57  0.86 
  99  0.47  1.96  0.86 
 100  0.37  2.11  0.86 
 101  0.35  1.38  0.86 
 102  0.44  1.04  0.86 
 103  0.61  0.84  0.86 
 104  0.51  1.08  0.86 
 105  0.49  1.64  0.86 
 106  0.62  1.45  0.86 
 107  0.68  1.84  0.86 
 108  0.65  0.78  0.86 
 109  0.39  0.62  0.86 
 110  0.45  0.58  0.86 
 111  0.67  0.07  0.86 
 112  0.51  0.43  0.86 
 113  0.35  0.32  0.86 
 114  0.89  0.22  0.86 
 115  0.51  0.27  0.89 
 116  0.58  0.40  0.89 
 117  0.60  0.50  0.89 
 118  0.56  0.29  0.89 
 119  0.55  0.83  0.89 
 120  0.31  1.02  0.89 
 121  0.31  0.88  0.89 
 122  0.41  1.59  0.89 
 123  0.49  0.87  0.89 
 124  0.47  0.79  0.89 
 125  0.40  0.73  0.89 
 126  0.44  0.88  0.89 
 127  0.58  0.73  0.89 
 128  0.66  0.56  0.89 
 129  0.62  0.17  0.89 
 130  0.62  0.15  0.89 
 131  0.47  0.38  0.89 
 132  0.54  1.52  0.89 
 133  0.82  0.50  0.89 
 134  0.80  0.81  0.89 
 135  0.22  1.07  0.89 
 136  0.66  1.02  0.89 
 137  0.59  0.33  0.89 
 138  0.67  1.19  0.89 
 139  0.88  1.62  0.89 
 140  0.71  1.23  0.89 
 141  0.41  2.00  0.89 
 142  0.57  0.94  0.89 
 143  0.75  0.77  0.89 
 144  0.66  1.04  0.89 
 145  0.57  0.89  0.89 
 146  0.45  0.74  0.89 
 147  0.47  0.75  0.89 
 148  0.63  0.85  0.89 
 149  0.62  0.79  0.89 
 150  0.50  0.86  0.89 
 151  0.64  0.68  0.89 
 152  0.56  0.88  0.89 
 153  0.69  0.61  0.89 
 154  0.59  0.72  0.89 
 155  0.93  0.64  0.89 
 156  0.64  0.41  0.93 
 157  0.37  0.51  0.93 
 158  0.91  0.35  0.93 
 159  0.54  0.51  0.93 
 160  1.58  0.58  0.93 
 161  0.53  0.55  1.58 
 162  0.47  0.82  1.58 
 163  0.69  0.59  1.58 
 164  1.60  0.40  1.58 
 165  0.67  0.34  1.60 
 166  0.85  1.03  1.60 
 167  0.54  0.75  1.60 
 168  0.56  0.87  1.60 
 169  0.80  0.76  1.60 
 170  0.49  0.88  1.60 
 171  1.14  0.63  1.60 
 172  0.45  0.72  1.60 
 173  1.08  0.83  1.60 
 174  0.36  2.13  1.60 
 175  0.61  1.10  1.60 
 176  1.26  1.28  1.60 
 177  0.62  0.55  1.60 
 178  1.07  0.99  1.60 
 179  0.90  0.94  1.60 
