iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2375056743621826,0.033151343096330374,0.016151777644391938,0.05554075194555141,0.013179853385779214,0.0,0.14310695303797208,0.1,0.04950571060180664,0.05570650100708008,0.05525546,1.2493469,0.033151343096330374,0.0,0.0006570650176867001,0.0,200,0.07153773307800293,2.084086856486875,0.6258457739358523,200,0.02974133414877517,0.0
1,1.2633616924285889,0.03675704060201787,0.008734298813096699,0.048882229039584356,0.024220503962772262,0.0,0.1485934129037983,0.1,0.002826690673828125,0.0523991584777832,0.04948485,0.8159407,0.033511912846899125,0.0,0.0007177111404536717,0.0,200,0.13780856132507324,0.4765768558560996,0.2542489740184112,400,0.03438570103611882,0.0
2,1.2804946899414062,0.029436770030329542,0.005460078449543075,0.03467456149946662,0.020483821367154768,0.0,0.145015103478167,0.1,0.005694150924682617,0.11774063110351562,0.053004712,0.9669059,0.033104398565242166,0.0,0.000582659869000456,0.0,200,0.03054070472717285,0.5873454628364515,0.20114243560334383,600,0.03665067864388581,0.0
3,1.2675817012786865,0.032409147315155436,0.016486629396401338,0.05387884515447705,0.01292184729290675,0.0,0.14408929469810594,0.1,0.0030488967895507812,0.0558011531829834,0.051670857,0.89087784,0.033034873440233495,0.0,0.0006457033651796845,0.0,200,0.03424239158630371,0.3958078529201534,0.33053157398945004,800,0.05011935755747316,0.0
4,1.2730095386505127,0.11228295143969749,0.0752423748247952,0.22863728872915864,0.025695353359906446,0.0,0.141428639775373,0.1,0.08434796333312988,0.07268452644348145,0.051402327,1.6155341,0.040959681240179895,0.0,0.0022211331094407413,0.0,200,0.11938238143920898,0.7859661189343088,0.4580110327862769,1000,0.0674726298766486,0.0
5,1.4063751697540283,0.08808122305748904,0.0073423329582455185,0.09311019601094667,0.07541269009701712,0.0,0.13986894826207202,0.1,0.08355474472045898,0.053984642028808594,0.047750354,0.66780245,0.04567183542191081,0.0,0.0017442700986171084,0.0,200,0.03218793869018555,0.250119674185853,0.4570829740184641,1200,0.08856802515829183,0.0
6,1.3396859169006348,0.04708572383698946,0.031169224371853224,0.09683699579466444,0.016530843334628904,0.0,0.15051489993155254,0.1,0.0064487457275390625,0.1299450397491455,0.05057677,0.9355226,0.04581322426341868,0.0,0.000946554284590516,0.0,200,0.03256416320800781,2.369344677237746,0.9015096954865557,1400,0.13235821482251417,0.0
7,1.2598402500152588,0.037876549507298296,0.021632586031185633,0.07335851274006662,0.01975032451146445,0.0,0.15088876209606977,0.1,0.003041982650756836,0.06096696853637695,0.04928022,1.026864,0.04501955678780664,0.0,0.0007542822336144663,0.0,200,0.023123502731323242,1.7536188343793113,0.34799631745038623,1600,0.11541216386871352,0.0
8,1.3790009021759033,0.14798099914430946,0.15490949580294286,0.405078522787575,0.020820725167612738,0.0,0.1394502109265148,0.1,0.003907442092895508,0.0726020336151123,0.049618937,1.421954,0.055315701023456926,0.0,0.0029447020890454255,0.0,200,0.1043093204498291,0.831090678147385,0.7983727217658888,1800,0.13601523873689045,0.0
9,1.339507818222046,0.09623773528680768,0.08238015258643719,0.20967878764040285,0.012928109747341867,0.0,0.14850401347192413,0.1,0.01515817642211914,0.056444644927978516,0.05142059,0.9728976,0.059407904449792,0.0,0.0018984338176794603,0.0,200,0.04218435287475586,0.648339733735826,0.5203325424102512,2000,0.1564455837317453,0.0
10,1.3802533149719238,0.04424487059431051,0.023212649160242012,0.07597766280637203,0.015467951662827934,0.0,0.1439551009883818,0.1,0.0838625431060791,0.054071664810180664,0.04831592,1.1288579,0.05789160106424385,0.0,0.0008875647965041035,0.0,200,0.08494830131530762,0.8806617638587806,1.34548256293495,2200,0.1106594844253071,0.0
11,1.3230628967285156,0.15967903604185643,0.16920882310153906,0.44216085589632304,0.01774860406358775,0.0,0.134911831783854,0.1,0.006344318389892578,0.12052106857299805,0.049205422,1.374644,0.06807034456200511,0.0,0.0032000677125336363,0.0,200,0.06336331367492676,0.7031743308949294,0.6633126668959947,2400,0.12499065680367977,0.0
12,1.2990727424621582,0.11951168923184206,0.07854229380177528,0.2262011166348708,0.04302560117098188,0.0,0.1440941592362066,0.1,0.0835123062133789,0.05514097213745117,0.04952669,1.2607474,0.07321447902898881,0.0,0.002386549490165211,0.0,200,0.03569483757019043,0.4453139116682435,0.43551795725517245,2600,0.15800646200929014,0.0
13,1.2434461116790771,0.12457719516205161,0.15126901379082178,0.3830851812760375,0.015640852468823845,0.0,0.1430378058976586,0.1,0.032564640045166016,0.07416653633117676,0.04822937,1.3860614,0.0783507506422951,0.0,0.0024824062832490847,0.0,200,0.03291606903076172,0.6799760306707731,0.6793825608067072,2800,0.16763098817503355,0.0
14,1.4143495559692383,0.2323542314003357,0.19415062898683857,0.5670340314503538,0.09110317612137978,0.0,0.14190239211123115,0.1,0.004862070083618164,0.07266426086425781,0.048958555,1.5852393,0.09375109871809917,0.0,0.004642554924609922,0.0,200,0.09261298179626465,0.5734614354034984,0.5115740100104191,3000,0.3060692321183725,0.0
15,1.3741343021392822,0.06889984847546396,0.012591071830610548,0.08658784840992075,0.0532193925061544,0.0,0.13519225043548203,0.1,0.0035636425018310547,0.06323409080505371,0.050673626,4.864305,0.09126597369383566,0.0,0.001376605901078578,0.0,200,0.14876413345336914,4.06789437408439,3.2700471286117714,3200,0.2642500211616515,0.0
16,1.4675939083099365,0.09375577295391811,0.03590275382365671,0.14530975626896067,0.0499308163660951,0.0,0.13094865241905024,0.1,0.005443096160888672,0.22060894966125488,0.050289787,1.0703132,0.09151495361984391,0.0,0.001813635743169252,0.0,200,0.04239964485168457,0.7451867577642977,0.23487332795204546,3400,0.3249870175819663,0.0
17,1.3577978610992432,0.12665309791653603,0.07695632952291417,0.20359092590620473,0.03612470731729484,0.0,0.13867961702229664,0.1,0.003117799758911133,0.06755542755126953,0.051123153,1.0566707,0.09502876804951313,0.0,0.002524838424365806,0.0,200,0.11231637001037598,0.3466444812823076,0.42382145237118457,3600,0.5143413358071413,0.0
18,1.3795967102050781,0.4138766268095991,0.20429174619592858,0.6705440331126342,0.10369441611508491,0.0,0.14561773171288345,0.1,0.004799842834472656,0.06036043167114258,0.048493553,1.2248769,0.12691355392552173,0.0,0.008273925341572936,0.0,200,0.027098417282104492,0.7501210313004463,0.6134772314624027,3800,0.5141530946159812,0.0
19,1.3803532123565674,0.12026951906048833,0.1079219564993723,0.3047666917808131,0.030491617899765094,0.0,0.14029225074878912,0.1,0.0029828548431396484,0.05463981628417969,0.04894855,1.6045909,0.12624915043901838,0.0,0.0023955175647786247,0.0,200,0.038451433181762695,0.5124130934394404,0.7214740031451041,4000,0.4722732782354386,0.0
20,1.3460919857025146,0.14123036413887513,0.021691718554789057,0.1672530980718385,0.1075694856169056,0.0,0.13870148389002407,0.1,0.014870882034301758,0.056691884994506836,0.050186586,0.98859483,0.12774727180900405,0.0,0.00281215373475599,0.0,200,0.13614249229431152,0.2326602271677112,0.28653406885432486,4200,0.4515276374081139,0.0
21,1.3963401317596436,0.11375406799088361,0.08121648869106797,0.19882436589608807,0.0278181990141856,0.0,0.13667454553093578,0.1,0.0756382942199707,0.08775520324707031,0.050175007,1.2359629,0.12634795142719202,0.0,0.002224520084566942,0.0,200,0.14739489555358887,0.7610938433288367,0.6403872967024403,4400,0.5125875920375721,0.0
22,1.438119649887085,0.3486376762936029,0.29898591265962793,0.8217048285407019,0.03722933675038493,0.0,0.13869533239043982,0.1,0.004701375961303711,0.06662607192993164,0.051235903,1.3557594,0.14857692391383312,0.0,0.00695470260686377,0.0,200,0.04270195960998535,0.6220553815813934,0.6198542671969414,4600,0.6710515461374734,0.0
23,1.3097598552703857,0.12056532774780618,0.06368330067234877,0.22202271093404224,0.04758972228513336,0.0,0.13858056982039796,0.1,0.0032033920288085938,0.053795576095581055,0.04875659,1.7166551,0.1457757642972304,0.0,0.0024120610829627817,0.0,200,0.04940438270568848,0.5290497655046452,0.48833914314799903,4800,0.7662741286849427,0.0
24,1.4208130836486816,0.3117624759685276,0.2964558637839314,0.8197880604921068,0.07248606677902993,0.0,0.12960846828041336,0.1,0.0837562084197998,0.06633520126342773,0.050682206,1.8397583,0.16237443546436012,0.0,0.006169237623662904,0.0,200,0.03229856491088867,0.6711184101765527,0.64839057037246,5000,0.681687476176355,0.0
25,1.3144047260284424,0.1642683487406617,0.10617014125963672,0.34324712371415006,0.06479926967585597,0.0,0.13326442836022845,0.1,0.08222556114196777,0.05864310264587402,0.049773205,1.7766913,0.1625638267919903,0.0,0.0032036287504065655,0.0,200,0.04011201858520508,0.4147260411910817,0.43124609940407,5200,0.6200053213216551,0.0
26,1.3929152488708496,0.17072114959565182,0.0938187037220264,0.28010962947357054,0.030685281379320528,0.0,0.12872888899092322,0.1,0.0031948089599609375,0.06350898742675781,0.05014368,1.4193053,0.16337955907235646,0.0,0.003412523242651203,0.0,200,0.07414627075195312,0.3843772663619275,0.3784561937580958,5400,0.8164092477033996,0.0
27,1.3573532104492188,0.07169000531749573,0.05659371612677248,0.16602085882885104,0.016360211327528084,0.0,0.1339608824842139,0.1,0.08416604995727539,0.18555831909179688,0.05064315,1.1926919,0.1542106036968704,0.0,0.0014367719971113246,0.0,200,0.10675597190856934,2.757706081553659,1.7332357102678755,5600,0.7194723733217986,0.0
28,1.4054548740386963,0.0893324007844842,0.039827303682770356,0.15707367349086926,0.056285568603323066,0.0,0.13342438019133365,0.1,0.002959012985229492,0.0837397575378418,0.05071292,1.2572508,0.14772278340563177,0.0,0.0017808366351151886,0.0,200,0.0669853687286377,1.2207273877808287,0.45422905609944464,5800,0.491141413140034,0.0
29,1.3205952644348145,0.08014612371981568,0.046404064330623114,0.1365898251361359,0.018108158712635946,0.0,0.13399356442643223,0.1,0.08148598670959473,0.07638716697692871,0.049517356,1.0418247,0.14096511743705017,0.0,0.0015858103068230366,0.0,200,0.06384158134460449,0.5728409590659423,0.378329521240834,6000,0.36900375414760717,0.0
30,1.4811456203460693,0.1842982887232542,0.12585734496159998,0.34529451894642876,0.031820566360675824,0.0,0.1403733346129606,0.1,0.0030975341796875,0.055237770080566406,0.05005791,1.05484,0.14529843456567057,0.0,0.003685477490823306,0.0,200,0.051967620849609375,0.5893964337510366,0.5772185341249866,6200,0.31524890665075195,0.0
31,1.3936924934387207,0.17377843747525734,0.1440209169780743,0.4214271508022266,0.0637587281671775,0.0,0.13983916335195795,0.1,0.004849433898925781,0.12495875358581543,0.04994094,1.4024216,0.14814643485662926,0.0,0.0034752124617670574,0.0,200,0.0768289566040039,0.5929655312966106,0.5334767452120601,6400,0.41621933785040927,0.0
32,1.3800280094146729,0.13128082748683279,0.056265943616550254,0.18424499233391395,0.03801882912130344,0.0,0.13550059897297217,0.1,0.004978656768798828,0.16678977012634277,0.049941197,0.9351202,0.1464598741196496,0.0,0.002621238157938406,0.0,200,0.04539370536804199,0.2473046021143113,0.23309856499233358,6600,0.31243441412054457,0.0
