Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  1.18  1.16 -100000000.00 
   1  1.13  1.16  1.18 
   2  1.18  1.17  1.18 
   3  1.20  1.16  1.18 
   4  1.03  1.18  1.20 
   5  0.97  1.18  1.20 
   6  1.18  1.19  1.20 
   7  1.18  1.22  1.20 
   8  0.90  1.22  1.20 
   9  1.23  1.24  1.20 
  10  1.18  1.19  1.23 
  11  1.19  1.21  1.23 
  12  1.24  1.23  1.23 
  13  1.21  1.24  1.24 
  14  1.17  1.29  1.24 
  15  1.21  1.30  1.24 
  16  1.19  1.25  1.24 
  17  0.91  1.25  1.24 
  18  1.11  1.33  1.24 
  19  0.82  1.38  1.24 
  20  1.08  0.75  1.24 
  21  1.18  0.93  1.24 
  22  1.04  1.02  1.24 
  23  1.21  0.81  1.24 
  24  1.20  1.33  1.24 
  25  1.18  0.67  1.24 
  26  1.06  0.85  1.24 
  27  1.17  0.94  1.24 
  28  1.19  0.94  1.24 
  29  1.27  1.11  1.24 
  30  1.20  1.35  1.27 
  31  1.21  1.28  1.27 
  32  1.22  1.30  1.27 
  33  1.23  1.22  1.27 
  34  1.18  1.17  1.27 
  35  1.19  1.08  1.27 
  36  1.18  0.69  1.27 
  37  1.26  0.50  1.27 
  38  1.06  0.83  1.27 
  39  1.21  0.79  1.27 
  40  1.19  0.78  1.27 
  41  1.25  0.44  1.27 
  42  1.19  0.45  1.27 
  43  1.05  0.50  1.27 
  44  1.28  1.16  1.27 
  45  1.19  1.16  1.28 
  46  1.15  0.49  1.28 
  47  1.22  1.16  1.28 
  48  1.11  0.58  1.28 
  49  1.26  0.48  1.28 
  50  1.16  0.46  1.28 
  51  0.92  1.15  1.28 
  52  1.10  1.16  1.28 
  53  0.98  1.16  1.28 
  54  1.10  1.16  1.28 
  55  1.30  1.15  1.28 
  56  1.12  1.21  1.30 
  57  1.05  1.17  1.30 
  58  1.27  0.59  1.30 
  59  0.97  0.50  1.30 
  60  1.18  1.16  1.30 
  61  1.19  1.15  1.30 
  62  1.19  0.45  1.30 
  63  1.20  1.28  1.30 
  64  1.16  1.22  1.30 
  65  1.30  1.18  1.30 
  66  1.30  1.17  1.30 
  67  1.02  1.19  1.30 
  68  1.02  1.17  1.30 
  69  1.22  1.19  1.30 
  70  1.19  1.21  1.30 
  71  1.02  1.18  1.30 
  72  1.06  1.16  1.30 
  73  1.13  1.15  1.30 
  74  1.10  1.15  1.30 
  75  0.95  1.15  1.30 
  76  1.02  1.15  1.30 
  77  1.20  1.15  1.30 
  78  1.20  1.15  1.30 
  79  1.36  1.15  1.30 
  80  1.25  1.15  1.36 
  81  0.95  1.14  1.36 
  82  1.26  1.15  1.36 
  83  0.97  1.14  1.36 
  84  1.22  1.14  1.36 
  85  1.29  1.14  1.36 
  86  1.19  1.14  1.36 
  87  1.05  1.14  1.36 
  88  1.16  1.14  1.36 
  89  1.11  1.14  1.36 
  90  0.89  1.14  1.36 
