iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.6420526504516602,0.5782246557383041,0.012583133460889928,0.5987957714509347,0.5658843478272002,0.0,0.15047024669137202,0.1,0.03368067741394043,0.059241294860839844,0.05058071,2.2008166,0.5782246557383041,0.0,0.007768576749016374,0.0,300,0.05024576187133789,2.2333107747289853,0.8533142704252362,300,0.5753090047211239,0.0
1,1.3199214935302734,0.5784547887198771,0.008032745488547705,0.5914455331908339,0.5694958421380204,0.0,0.1516713256437154,0.1,0.0031995773315429688,0.0742800235748291,0.048878897,2.6838357,0.5782476690364613,0.0,0.00784045674577345,0.0,300,0.02482748031616211,0.8518449503644017,0.44883497557669305,600,0.5706981413391563,0.0
2,1.2540521621704102,0.5632043788305513,0.013205965051038788,0.5776842611875288,0.5499909821789779,0.0,0.15607430584636106,0.1,0.002944469451904297,0.05970478057861328,0.048721924,1.71389,0.5767433400158704,0.0,0.0075866902537340625,0.0,300,0.18671202659606934,0.46081610656946587,0.39762248351258705,900,0.5651878969762086,0.0
3,1.310577630996704,0.6032457639928119,0.021311316377398463,0.6358343190902365,0.5764419597353241,0.0,0.16493984397130376,0.1,0.0031027793884277344,0.060362815856933594,0.053199343,1.7633566,0.5793935824135645,0.0,0.008152317938241496,0.0,300,0.08899235725402832,0.3447915140407011,0.22102923071966513,1200,0.5705611249001502,0.0
4,1.23227858543396,1.1160833686721388,0.857484847406956,2.6006565361969893,0.5815609400561398,0.0,0.18083633884647107,0.1,0.002922534942626953,0.05914115905761719,0.05136831,1.2362002,0.633062561039422,0.0,0.014972148588721854,0.0,300,0.04718422889709473,0.8326682887245007,0.7318240494029993,1500,0.5708083492725237,0.0
5,1.2782108783721924,0.587471222950448,0.05690439098285735,0.6856334459958368,0.5470629935464206,0.0,0.15985731998579972,0.1,0.006170511245727539,0.25035929679870605,0.05499406,4.305762,0.6285034272305247,0.0,0.007972674145638762,0.0,300,0.03591346740722656,0.5757553668224572,0.8071533300491903,1800,0.5703652292829621,0.0
6,1.3197758197784424,0.585631373310928,0.0215596567093099,0.6206729353725986,0.5643983985599812,0.0,0.1448300466648704,0.1,0.0030663013458251953,0.05882763862609863,0.04994687,3.0565603,0.624216221838565,0.0,0.00784855496619568,0.0,300,0.1863868236541748,0.7762981364124953,0.2010785864134351,2100,0.5683195827565894,0.0
7,1.3170535564422607,0.5822178573190726,0.012409890960836912,0.6011864626084089,0.5667264170526839,0.0,0.14618874722763034,0.1,0.0035135746002197266,0.05995965003967285,0.04947765,3.5326726,0.6200163853866157,0.0,0.007835494060274327,0.0,300,0.1295781135559082,0.20457744913361733,0.13920487334709147,2400,0.5745245749866151,0.0
8,1.3665413856506348,4.110723236916211,6.063429938992873,14.612629982828516,0.5556289029853589,0.0,0.1659947763724906,0.1,0.004510164260864258,0.06492280960083008,0.05076533,1.5186279,0.9690870705395753,0.0,0.0548548317031257,0.0,300,0.04152035713195801,0.9793756320166294,0.9473046987726559,2700,0.5763885777071565,0.0
9,1.4115617275238037,0.5739592173426307,0.0081000166214527,0.5878710309392584,0.5678303372927254,0.0,0.15193451101873093,0.1,0.09844970703125,0.16774892807006836,0.049925465,2.5587583,0.929574285219881,0.0,0.007765463232442299,0.0,300,0.07925605773925781,1.050548003942194,4.7345537787548535,3000,0.5785611412546112,0.0
10,1.3913593292236328,0.6034965802037101,0.0589260066067522,0.696409123617412,0.5389038755360666,0.0,0.15562188721967116,0.1,0.0033011436462402344,0.07433533668518066,0.052970093,5.8207765,0.8969665147182639,0.0,0.008188204047734087,0.0,300,0.06659626960754395,4.181500939404726,3.84207249175416,3300,0.5606496908752207,0.0
11,1.3403468132019043,0.5819145749922972,0.004070499594985597,0.5871557077857192,0.5772049156353298,0.0,0.1355354777286144,0.1,0.002972126007080078,0.05938839912414551,0.04941993,8.439212,0.8654613207456673,0.0,0.007853987449896394,0.0,300,0.023267269134521484,4.314433623647324,2.0161640865732093,3600,0.5673063246426083,0.0
12,1.2594099044799805,0.5937855732115922,0.02326074971230333,0.6174142096404286,0.5581097887381792,0.0,0.14581074313690445,0.1,0.00331878662109375,0.060227155685424805,0.045644198,2.9963138,0.8382937459922598,0.0,0.007991092967523464,0.0,300,0.025441646575927734,1.7802228523833163,0.6204323398587954,3900,0.5808414762642794,0.0
13,1.330721378326416,0.5941106354685595,0.02858681075008536,0.6397440820340669,0.5628779647461206,0.0,0.15633615116185737,0.1,0.0031287670135498047,0.0724492073059082,0.051177487,2.855044,0.8138754349398898,0.0,0.00797127217320596,0.0,300,0.018666744232177734,0.6351799361678332,0.2502539403522799,4200,0.6075489006914137,0.0
14,1.313253402709961,0.7296649654072052,0.22748598149398838,1.117036421891392,0.565843559542875,0.0,0.15800133552419232,0.1,0.0031070709228515625,0.05767393112182617,0.04834811,1.5555029,0.8054543879866214,0.0,0.009853589556488785,0.0,300,0.02803969383239746,0.360028594951403,0.40388811237970484,4500,0.6441377147776687,0.0
15,1.3005626201629639,0.6319219093124608,0.026961583771493845,0.6725135814752102,0.5970112815432688,0.0,0.14239923252026718,0.1,0.0030698776245117188,0.0633387565612793,0.051383406,3.9986372,0.7881011401192053,0.0,0.008529592899213928,0.0,300,0.024816036224365234,0.19021315055595592,0.19109881272408596,4800,0.6853217182639506,0.0
