Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.04 -100000000.00 
   1  0.03  0.03  0.04 
   2  0.02  0.03  0.04 
   3  0.04  0.04  0.04 
   4  0.06  0.03  0.04 
   5  0.05  0.04  0.06 
   6  0.05  0.07  0.06 
   7  0.04  0.08  0.06 
   8  0.10  0.15  0.06 
   9  0.07  0.10  0.10 
  10  0.11  0.08  0.10 
  11  0.10  0.08  0.11 
  12  0.06  0.10  0.11 
  13  0.12  0.13  0.11 
  14  0.22  0.14  0.12 
  15  0.05  0.17  0.22 
  16  0.09  0.28  0.22 
  17  0.09  0.27  0.22 
  18  0.22  0.27  0.22 
  19  0.13  0.48  0.22 
  20  0.11  0.44  0.22 
  21  0.10  0.63  0.22 
  22  0.27  0.50  0.22 
  23  0.15  0.52  0.27 
  24  0.40  0.54  0.27 
  25  0.08  0.66  0.40 
  26  0.13  0.57  0.40 
  27  0.10  0.71  0.40 
  28  0.14  0.62  0.40 
  29  0.24  0.59  0.40 
  30  0.28  0.47  0.40 
  31  0.11  0.59  0.40 
  32  0.11  0.50  0.40 
  33  0.26  0.43  0.40 
  34  0.17  0.40  0.40 
  35  0.24  0.42  0.40 
  36  0.15  0.47  0.40 
  37  0.13  0.49  0.40 
  38  0.35  0.36  0.40 
  39  0.34  0.50  0.40 
  40  0.18  0.53  0.40 
  41  0.44  0.66  0.40 
  42  0.32  0.75  0.44 
  43  0.54  0.78  0.44 
  44  0.61  0.83  0.54 
  45  0.32  0.97  0.61 
  46  0.47  1.07  0.61 
  47  0.27  1.14  0.61 
  48  0.41  1.02  0.61 
  49  0.40  0.97  0.61 
  50  0.33  1.32  0.61 
  51  0.34  1.27  0.61 
  52  0.20  1.17  0.61 
  53  0.55  1.14  0.61 
  54  0.62  1.24  0.61 
  55  0.45  1.20  0.62 
  56  0.31  1.26  0.62 
  57  0.48  1.34  0.62 
  58  0.39  1.32  0.62 
  59  0.50  1.23  0.62 
  60  0.30  1.20  0.62 
  61  0.46  1.16  0.62 
  62  0.80  1.19  0.62 
  63  0.38  1.00  0.80 
  64  0.20  0.82  0.80 
  65  0.69  1.14  0.80 
  66  0.54  0.93  0.80 
  67  0.63  0.84  0.80 
  68  0.66  0.86  0.80 
  69  0.86  0.84  0.80 
  70  0.35  0.86  0.86 
  71  0.70  0.96  0.86 
  72  0.91  0.93  0.86 
  73  0.44  0.41  0.91 
  74  0.46  0.17  0.91 
  75  0.68  0.15  0.91 
  76  0.68  0.20  0.91 
  77  0.73  0.35  0.91 
  78  0.49  0.27  0.91 
  79  0.92  0.23  0.91 
  80  0.70  0.27  0.92 
  81  1.16  0.19  0.92 
  82  0.51  0.42  1.16 
  83  0.73  0.62  1.16 
  84  0.94  0.29  1.16 
  85  0.76  0.73  1.16 
  86  0.59  1.07  1.16 
  87  0.96  1.41  1.16 
  88  0.92  0.75  1.16 
  89  0.75  1.27  1.16 
  90  1.00  0.62  1.16 
  91  0.59  0.98  1.16 
  92  0.75  1.29  1.16 
  93  0.72  1.16  1.16 
  94  0.95  1.59  1.16 
  95  0.80  0.77  1.16 
  96  1.19  0.56  1.16 
  97  0.99  0.52  1.19 
  98  0.89  0.31  1.19 
  99  0.83  0.14  1.19 
 100  0.65  0.15  1.19 
 101  0.69  0.15  1.19 
 102  0.60  0.14  1.19 
 103  0.99  0.10  1.19 
 104  0.71  0.14  1.19 
 105  1.13  0.13  1.19 
 106  1.20  0.20  1.19 
 107  1.09  0.16  1.20 
 108  0.89  0.20  1.20 
 109  1.05  0.17  1.20 
 110  1.49  0.17  1.20 
 111  0.92  0.22  1.49 
 112  0.82  0.22  1.49 
 113  0.90  0.16  1.49 
 114  0.87  0.17  1.49 
 115  1.26  0.18  1.49 
 116  0.60  0.24  1.49 
 117  0.76  0.24  1.49 
 118  1.16  0.28  1.49 
 119  0.94  0.22  1.49 
 120  0.51  0.26  1.49 
 121  0.86  0.24  1.49 
 122  0.73  0.25  1.49 
 123  0.83  0.25  1.49 
 124  0.83  0.25  1.49 
 125  1.44  0.19  1.49 
 126  0.61  0.18  1.49 
 127  0.97  0.21  1.49 
 128  0.89  0.30  1.49 
 129  0.71  0.26  1.49 
 130  1.32  0.31  1.49 
 131  1.20  0.30  1.49 
 132  0.35  0.48  1.49 
 133  0.83  0.27  1.49 
 134  0.75  0.20  1.49 
 135  0.50  0.20  1.49 
 136  1.58  0.26  1.49 
 137  0.55  0.24  1.58 
 138  1.75  0.25  1.58 
 139  1.48  1.24  1.75 
 140  1.77  1.20  1.75 
 141  0.44  0.32  1.77 
 142  0.78  1.40  1.77 
 143  1.13  1.30  1.77 
 144  0.94  1.59  1.77 
 145  0.63  1.46  1.77 
 146  1.08  1.27  1.77 
 147  1.22  1.19  1.77 
 148  1.16  1.49  1.77 
 149  0.86  1.49  1.77 
 150  0.60  1.16  1.77 
 151  0.92  1.06  1.77 
 152  1.42  2.07  1.77 
 153  1.48  1.59  1.77 
 154  1.13  1.10  1.77 
 155  0.73  0.45  1.77 
 156  1.62  0.58  1.77 
 157  1.21  1.61  1.77 
 158  1.43  1.05  1.77 
 159  1.11  1.08  1.77 
 160  1.35  0.72  1.77 
 161  1.97  0.84  1.77 
 162  0.93  1.13  1.97 
 163  1.29  0.88  1.97 
 164  1.83  1.23  1.97 
 165  1.29  0.76  1.97 
 166  0.83  1.85  1.97 
 167  1.10  2.32  1.97 
 168  1.67  2.38  1.97 
 169  1.25  2.19  1.97 
 170  1.23  1.94  1.97 
 171  1.60  2.28  1.97 
 172  1.31  1.63  1.97 
 173  1.62  1.56  1.97 
 174  0.71  1.27  1.97 
 175  1.03  1.34  1.97 
 176  1.57  1.39  1.97 
 177  0.61  1.57  1.97 
 178  1.49  1.86  1.97 
 179  1.74  1.69  1.97 
 180  0.86  1.19  1.97 
 181  0.97  1.01  1.97 
 182  2.14  0.97  1.97 
 183  1.28  1.00  2.14 
 184  1.12  0.94  2.14 
 185  1.12  1.76  2.14 
 186  1.21  1.49  2.14 
 187  1.43  1.73  2.14 
 188  2.19  2.26  2.14 
 189  1.26  1.26  2.19 
 190  1.26  1.34  2.19 
 191  1.15  1.70  2.19 
 192  0.80  2.49  2.19 
 193  1.21  2.17  2.19 
 194  1.32  2.95  2.19 
 195  1.56  2.65  2.19 
 196  0.98  2.70  2.19 
 197  0.96  2.59  2.19 
 198  1.90  1.86  2.19 
 199  1.05  1.92  2.19 
 200  1.50  1.44  2.19 
 201  1.66  2.42  2.19 
 202  2.00  2.75  2.19 
 203  1.72  2.86  2.19 
 204  1.80  2.94  2.19 
 205  1.18  2.39  2.19 
 206  1.12  3.03  2.19 
 207  0.75  3.01  2.19 
 208  1.24  3.05  2.19 
 209  1.67  3.15  2.19 
 210  1.26  2.80  2.19 
 211  1.98  2.80  2.19 
 212  0.93  2.10  2.19 
 213  1.15  2.94  2.19 
 214  1.23  3.02  2.19 
 215  1.48  2.21  2.19 
 216  1.26  3.10  2.19 
 217  1.02  2.98  2.19 
 218  1.37  1.85  2.19 
 219  1.22  2.44  2.19 
 220  0.88  1.96  2.19 
 221  1.06  2.68  2.19 
 222  1.26  2.51  2.19 
 223  1.93  2.44  2.19 
 224  1.07  2.38  2.19 
 225  1.65  2.33  2.19 
