iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.9131865501403809,-0.9999999689195925,1.4751006229415641e-09,-0.9999999674219264,-0.9999999710272012,0.0,46.961619089253595,0.1,0.011743307113647461,0.005683422088623047,0.049507797,0.0031465567,-0.9999999689195925,0.0,-0.03999995969504347,0.0,4,0.0011868476867675781,1.091031917113223,1.091031917113223,4,-0.9999999669727991,0.0
1,0.8581483364105225,-0.9999999644397518,1.4502015716669993e-09,-0.9999999629490346,-0.999999966809842,0.0,41.52250240547581,0.1,0.0015516281127929688,0.011693000793457031,0.05077806,0.0028011925,-0.9999999684716084,0.0,-0.03999995969504347,0.0,4,0.001195669174194336,1.091031917113223,1.091031917113223,8,-0.9999999668547942,0.0
2,0.9156193733215332,-0.999999968174141,1.1535270188121182e-09,-0.9999999665457335,-0.9999999696415656,0.0,54.47075584000008,0.1,0.0016207695007324219,0.01101231575012207,0.04995644,0.003756639,-0.9999999684418617,0.0,-0.03999995969504347,0.0,4,0.0011157989501953125,1.091031917113223,1.091031917113223,12,-0.9999999667729668,0.0
3,0.8496270179748535,-0.9999999673718191,1.3363148718572859e-09,-0.9999999660550207,-0.9999999694239827,0.0,57.75298559005533,0.1,0.0014662742614746094,0.010448217391967773,0.050655127,0.0015375492,-0.9999999683348575,0.0,-0.03999995969504347,0.0,4,0.001079559326171875,1.091031917113223,1.091031917113223,16,-0.999999966683392,0.0
4,0.8634569644927979,-0.9999999656258389,1.2609927340635154e-09,-0.9999999639235815,-0.9999999674470414,0.0,50.609691858824505,0.1,0.0016055107116699219,0.014809846878051758,0.047782093,0.007265549,-0.9999999680639557,0.0,-0.03999995969504347,0.0,4,0.0013606548309326172,1.091031917113223,1.091031917113223,20,-0.9999999665891743,0.0
5,0.925971269607544,-0.9999999687472063,4.5947391840601216e-10,-0.9999999681304661,-0.9999999694199135,0.0,170.79149265306626,0.1,0.0016796588897705078,0.01178288459777832,0.04940954,0.0011254207,-0.9999999681322808,0.0,-0.03999995969504347,0.0,4,0.0012240409851074219,1.091031917113223,1.091031917113223,24,-0.9999999665417557,0.0
6,0.9257407188415527,-0.9999999656924229,1.0961288906472904e-09,-0.9999999639718458,-0.999999967003619,0.0,65.31821553831412,0.1,0.0014545917510986328,0.014369964599609375,0.05006495,0.0024795018,-0.999999967888295,0.0,-0.03999995969504347,0.0,4,0.0011897087097167969,1.091031917113223,1.091031917113223,28,-0.9999999664578952,0.0
7,0.9147810935974121,-0.9999999659864267,1.2323333483438645e-09,-0.9999999646559499,-0.9999999679499363,0.0,62.60408713505316,0.1,0.0015692710876464844,0.014284849166870117,0.049501956,0.0025997902,-0.9999999676981082,0.0,-0.03999995969504347,0.0,4,0.0013511180877685547,1.091031917113223,1.091031917113223,32,-0.9999999663526841,0.0
8,0.9132792949676514,-0.9999999664330552,2.058885196944164e-09,-0.9999999634694141,-0.9999999687352044,0.0,39.83272235090199,0.1,0.0013546943664550781,0.013401985168457031,0.050419897,0.0032199542,-0.9999999675716029,0.0,-0.03999995969504347,0.0,4,0.0012946128845214844,1.091031917113223,1.091031917113223,36,-0.9999999661758583,0.0
9,0.8982634544372559,-0.9999999646160265,7.036396229135036e-10,-0.999999963981822,-0.9999999658077208,0.0,96.38381113776448,0.1,0.0014102458953857422,0.013277292251586914,0.049922526,0.0014694878,-0.9999999672760452,0.0,-0.03999995969504347,0.0,4,0.001239776611328125,1.091031917113223,1.091031917113223,40,-0.9999999660908063,0.0
