iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3580751419067383,0.11017763761806487,0.008434175030593866,0.11969219597670402,0.09710025345752261,0.0,0.1511000121740898,0.1,0.05673408508300781,0.06133913993835449,0.0537701,1.3407286,0.11017763761806487,0.0,0.0013659736747444683,0.0,300,0.09801340103149414,0.1562102951860457,0.061479964697521185,300,0.0975139146600652,0.0
1,1.3039462566375732,0.11649709867154368,0.013730491406240655,0.14006415347045345,0.10596811618031471,0.0,0.16621234804515297,0.1,0.00357818603515625,0.06606626510620117,0.052100386,0.88993794,0.11080958372341276,0.0,0.0014554551742590252,0.0,300,0.020880460739135742,0.09155996697189338,0.06501970511591083,600,0.10106023821567882,0.0
2,1.329207420349121,0.11752780899383046,0.006264055527031019,0.12246039186956324,0.10678872408141474,0.0,0.17425510975118055,0.1,0.003189563751220703,0.05923295021057129,0.05358921,1.0268109,0.11148140625045454,0.0,0.001468455332417505,0.0,300,0.17783284187316895,0.04808661475866741,0.043879770707037316,900,0.0984316920519621,0.0
3,1.3601937294006348,0.13389382045516413,0.05580740133639977,0.2302405709828694,0.09620887286836131,0.0,0.18482925733547617,0.1,0.0032401084899902344,0.08060097694396973,0.051277056,0.88994825,0.1137226476709255,0.0,0.0017021777553708336,0.0,300,0.019053220748901367,0.3161634746076092,0.2969425690953793,1200,0.09913366696539945,0.0
4,1.3621933460235596,0.126995994975555,0.00428964958032426,0.13309405400506372,0.12217569171504306,0.0,0.16606112908815496,0.1,0.008823633193969727,0.0627598762512207,0.048800323,1.065837,0.11504998240138846,0.0,0.0015933451698839686,0.0,300,0.01940441131591797,0.19223736800844174,0.10312296923531429,1500,0.10558629659367381,0.0
5,1.4044833183288574,0.13222000591082686,0.03244817802231645,0.1629723390044184,0.07895682729546835,0.0,0.16479285278852784,0.1,0.0030868053436279297,0.05994987487792969,0.05502108,1.2936804,0.1167669847523323,0.0,0.0016871627536939647,0.0,300,0.018785953521728516,0.20096467479239874,0.158425978557857,1800,0.10850851270669348,0.0
6,1.426600694656372,0.14505344622274682,0.06636741920510776,0.2598963724778961,0.10216278416637228,0.0,0.1891169653332002,0.1,0.0031480789184570312,0.06102275848388672,0.0501831,1.0946006,0.11959563089937375,0.0,0.0017218344618312753,0.0,300,0.018720149993896484,0.3392747331798132,0.31545549793794825,2100,0.12740225185174944,0.0
7,1.3668544292449951,0.12183541035131183,0.01183395241540113,0.13464224420240906,0.10449485955650444,0.0,0.16237690651358516,0.1,0.0031681060791015625,0.06199193000793457,0.052262902,1.1251168,0.11981960884456756,0.0,0.001523700366527508,0.0,300,0.018008947372436523,0.36716919260175274,0.09190408449692672,2400,0.12666306489534077,0.0
8,1.3958561420440674,0.1377580054222906,0.03257436336483868,0.19321080736714605,0.10960088991991987,0.0,0.1695850716621375,0.1,0.0029544830322265625,0.06711316108703613,0.05074593,1.1618899,0.12161344850233986,0.0,0.0017569591879389485,0.0,300,0.020568370819091797,0.21738366890175792,0.204956296611465,2700,0.15783587986846137,0.0
9,1.4062163829803467,0.13716170181505846,0.03285451483956583,0.18367789233315893,0.09952777400169321,0.0,0.17108733989856448,0.1,0.003050565719604492,0.061289072036743164,0.049345765,0.81914073,0.12316827383361173,0.0,0.0017104322454882662,0.0,300,0.02117013931274414,0.18186551659436076,0.13436137481322316,3000,0.1727789427444161,0.0
10,1.4306182861328125,0.12342021175271213,0.01811238039345837,0.1500930513837418,0.10089251860102977,0.0,0.16070411790342617,0.1,0.003042936325073242,0.06106853485107422,0.04960692,1.3908311,0.12319346762552177,0.0,0.001547428498770557,0.0,300,0.018735408782958984,0.16177624690736728,0.09304350568271148,3300,0.15202841164845896,0.0
11,1.561457633972168,0.16420176228238065,0.029880678344459295,0.1931022190194186,0.11409086994602263,0.0,0.18106546404276866,0.1,0.0036993026733398438,0.06098747253417969,0.050697107,0.7217726,0.12729429709120768,0.0,0.0019960378363816345,0.0,300,0.02164626121520996,0.15066754762144213,0.13966747341531208,3600,0.15488997700037951,0.0
12,1.3591904640197754,0.20817817951597667,0.10287755548001556,0.3809973180971327,0.128738439154797,0.0,0.1975008854807486,0.1,0.0032269954681396484,0.06336474418640137,0.05029856,1.0018768,0.13538268533368458,0.0,0.0027021337051302717,0.0,300,0.0203702449798584,0.49074471244162704,0.3995820796775165,3900,0.16615861041483163,0.0
13,1.2319633960723877,0.24649478420386403,0.11798179583183196,0.4275040840117401,0.12076251069765073,0.0,0.1723275000901618,0.1,0.0030364990234375,0.057825326919555664,0.048972465,1.0261754,0.14649389522070252,0.0,0.0031074992097172563,0.0,300,0.016927719116210938,0.2985575383529239,0.28907449567423976,4200,0.24080662191525215,0.0
14,1.2839961051940918,0.2932782827620912,0.1854143577063819,0.6098072169460488,0.14030292787223336,0.0,0.1648492875242106,0.1,0.0030095577239990234,0.05583691596984863,0.050401106,2.299289,0.16117233397484138,0.0,0.0037824996758989778,0.0,300,0.01768183708190918,0.468211210720518,0.42602898087424623,4500,0.3348858726120203,0.0
15,1.234694480895996,0.289540337758885,0.08939776679245037,0.4050254902251486,0.15605633918210074,0.0,0.18366386420849695,0.1,0.0028641223907470703,0.05765342712402344,0.049737748,0.66708213,0.17400913435324575,0.0,0.00369305828883905,0.0,300,0.01718282699584961,0.21603302222164705,0.1826671569136705,4800,0.4118620969570104,0.0
