Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  3.25  2.75 -100000000.00 
   1  3.26  3.93  3.25 
   2  4.00  4.01  3.26 
   3  3.75  3.26  4.00 
   4  2.75  3.51  4.00 
   5  3.25  4.01  4.00 
   6  1.00  3.84  4.00 
   7  2.76  4.01  4.00 
   8  4.00  3.01  4.00 
   9  2.77  3.59  4.00 
  10  3.50  3.67  4.00 
  11  2.28  3.60  4.00 
  12  3.02  3.43  4.00 
  13  4.00  3.44  4.00 
  14  2.25  3.52  4.00 
  15  2.75  4.19  4.00 
  16  2.26  3.26  4.00 
  17  2.50  4.03  4.00 
  18  1.50  3.35  4.00 
  19  3.26  3.10  4.00 
  20  3.51  3.20  4.00 
  21  1.75  4.19  4.00 
  22  3.00  3.69  4.00 
  23  3.26  4.04  4.00 
  24  3.26  3.61  4.00 
  25  2.50  3.44  4.00 
  26  4.02  3.25  4.00 
  27  4.00  4.10  4.02 
  28  2.50  3.03  4.02 
  29  3.75  3.43  4.02 
  30  3.25  3.51  4.02 
  31  4.56  3.76  4.02 
  32  4.05  4.04  4.56 
  33  3.50  4.31  4.56 
  34  3.79  3.18  4.56 
  35  4.01  4.19  4.56 
  36  3.50  3.77  4.56 
  37  4.05  3.18  4.56 
  38  4.06  3.93  4.56 
  39  4.02  4.02  4.56 
  40  3.00  3.52  4.56 
  41  4.01  3.09  4.56 
  42  2.05  3.44  4.56 
  43  3.31  3.52  4.56 
  44  2.86  4.36  4.56 
  45  4.00  4.05  4.56 
  46  3.01  4.03  4.56 
  47  3.53  4.03  4.56 
  48  1.26  3.76  4.56 
  49  3.02  4.11  4.56 
  50  3.25  3.86  4.56 
  51  4.00  2.52  4.56 
  52  3.51  4.02  4.56 
  53  3.76  3.53  4.56 
  54  3.50  3.72  4.56 
  55  2.25  4.02  4.56 
  56  4.00  4.15  4.56 
  57  3.25  4.00  4.56 
  58  4.00  4.12  4.56 
  59  3.25  3.96  4.56 
  60  3.75  3.18  4.56 
  61  4.00  3.89  4.56 
  62  2.75  3.71  4.56 
  63  3.51  3.86  4.56 
  64  2.76  3.74  4.56 
  65  4.05  3.86  4.56 
  66  1.75  3.78  4.56 
  67  3.52  3.79  4.56 
  68  3.40  4.09  4.56 
  69  4.01  4.19  4.56 
  70  3.25  4.07  4.56 
  71  4.00  3.69  4.56 
  72  3.50  4.01  4.56 
  73  4.00  3.59  4.56 
  74  4.00  4.01  4.56 
  75  3.26  3.92  4.56 
  76  3.76  4.27  4.56 
  77  4.09  3.51  4.56 
  78  3.81  3.61  4.56 
  79  1.75  4.20  4.56 
  80  4.00  3.97  4.56 
  81  2.26  4.12  4.56 
  82  3.53  3.53  4.56 
  83  4.02  4.11  4.56 
  84  4.01  3.62  4.56 
  85  3.00  3.78  4.56 
  86  3.81  3.78  4.56 
  87  4.00  3.60  4.56 
  88  4.15  3.76  4.56 
  89  3.00  4.17  4.56 
  90  4.33  3.18  4.56 
  91  4.55  3.18  4.56 
  92  2.51  4.02  4.56 
  93  4.00  3.34  4.56 
  94  2.76  3.67  4.56 
  95  3.06  3.60  4.56 
  96  2.76  4.01  4.56 
  97  4.01  3.84  4.56 
  98  3.00  4.01  4.56 
  99  2.76  3.67  4.56 
 100  2.25  3.26  4.56 
 101  4.00  3.84  4.56 
 102  4.01  4.01  4.56 
 103  4.00  3.77  4.56 
