iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3113234043121338,70.05797323269583,0.02145653192961686,70.08459046483404,70.02495885663168,0.0,0.16188582225799736,0.1,0.05787181854248047,0.060857534408569336,0.054464594,0.5192645,70.05797323269583,0.0,0.9207618093110683,0.0,300,0.0477902889251709,0.9979123375725598,0.9913504718299223,300,70.05258428694538,0.0
1,1.2101151943206787,67.32678841244825,3.6136615853922383,70.06243923375321,61.107329464770885,0.0,0.16213473396111225,0.1,0.0029463768005371094,0.057240962982177734,0.051416993,0.5346302,69.78485475067107,0.0,0.8876878797498654,0.0,300,0.08700752258300781,0.9911216606764803,0.9814399032174111,600,70.0595667770017,0.0
2,1.145552635192871,70.0692335232515,0.01444772187004944,70.08642144351651,70.04662325042294,0.0,0.17612392329968365,0.1,0.002934694290161133,0.06142735481262207,0.053470712,0.52294356,69.81329262792912,0.0,0.9209197126053349,0.0,300,0.0175473690032959,0.9823584572422779,0.966416158924834,900,70.0643915523326,0.0
3,1.168654203414917,70.05014834109711,0.01787362575752034,70.07658595964834,70.03235333190686,0.0,0.17218491058775498,0.1,0.0030035972595214844,0.061295270919799805,0.050644226,0.5354135,69.83697819924592,0.0,0.92065968899895,0.0,300,0.03343796730041504,0.9660634494551033,0.938215455936401,1200,70.06347288223755,0.0
4,1.264814853668213,64.61486438793152,9.476009394346423,70.09107750833446,48.20193738967258,0.0,0.17047595864966777,0.1,0.0029010772705078125,0.05941057205200195,0.050604902,0.5207534,69.31476681811448,0.0,0.8514995056778579,0.0,300,0.017415523529052734,0.9356029119099586,0.8891554054805155,1500,70.0740586984855,0.0
5,1.2695465087890625,37.3893132562401,19.350771071708035,70.15904422073008,23.102491894655277,0.0,0.17450925689622823,0.1,0.0030760765075683594,0.05865669250488281,0.05239142,1.0279285,66.12222146192704,0.0,0.4951354976760196,0.0,300,0.01760387420654297,0.8751303462826091,0.8129645237605811,1800,70.07616951179419,0.0
6,1.2883849143981934,68.30395770146029,3.0051979982886152,70.04529177275694,63.09880642992141,0.0,0.17778260050488012,0.1,0.002886533737182617,0.059273719787597656,0.049685635,0.514481,66.34039508588037,0.0,0.9007200118764099,0.0,300,0.017577171325683594,0.83272001743082,0.7484829567678655,2100,70.07244245729008,0.0
7,1.3498990535736084,57.556736591684654,20.50230141974543,70.04213550302893,22.052415063923778,0.0,0.1749487296698688,0.1,0.008174419403076172,0.06147122383117676,0.050560765,0.5724348,65.46202923646081,0.0,0.7640710726197727,0.0,300,0.02842998504638672,0.7485798175095618,0.6397224532672594,2400,70.08024918767406,0.0
8,1.2866933345794678,51.406577416004104,18.85797467310406,70.1097743280621,29.077669740312448,0.0,0.16788261953364975,0.1,0.004589557647705078,0.0612483024597168,0.05135015,0.6514582,64.05648405441514,0.0,0.6787300421808368,0.0,300,0.03873395919799805,0.628642738633957,0.5205920116945983,2700,37.10422518770074,0.0
9,1.3127305507659912,61.09419757472904,11.40578489074057,70.1001931393972,42.16173479789102,0.0,0.17190956518557338,0.1,0.0029401779174804688,0.06276059150695801,0.051556755,0.6607111,63.76025540644653,0.0,0.8079026774113452,0.0,300,0.0402226448059082,0.5001545805606384,0.37768161626234503,3000,29.1082235680302,0.0
10,1.2065637111663818,60.566152914998774,16.42463318153604,70.05859313259515,32.11785925506157,0.0,0.16024264067824462,0.1,0.003184795379638672,0.06783008575439453,0.05056867,0.6236172,63.44084515730175,0.0,0.7975382900366531,0.0,300,0.11932682991027832,0.39016891690326044,0.2973003394888498,3300,31.10815714623151,0.0
11,1.329310655593872,63.88574467895976,10.72510406973969,70.11597394433903,45.30938177846713,0.0,0.17498329249154793,0.1,0.0029675960540771484,0.058382272720336914,0.049652997,0.53277624,63.485335109467556,0.0,0.84176249737419,0.0,300,0.02731490135192871,0.2847288650531349,0.2277202169681553,3600,33.09940073408614,0.0
12,1.333268404006958,60.884354512192786,15.41957959106153,70.19956539363696,34.18815546043651,0.0,0.16743778034723275,0.1,0.002887248992919922,0.05885720252990723,0.050180186,0.62936765,63.22523704974009,0.0,0.8051005662900954,0.0,300,0.029430389404296875,0.2461361349678179,0.23502352968855048,3900,29.128618833308323,0.0
13,1.264932632446289,60.097703284797134,11.169906641963426,70.11526185577196,43.07774999896842,0.0,0.16679741192392833,0.1,0.0030236244201660156,0.05846714973449707,0.0505303,0.6845283,62.91248367324579,0.0,0.7946166379888964,0.0,300,0.11897897720336914,0.24216560916599386,0.21450220164985892,4200,30.148884208157128,0.0
14,1.3053967952728271,44.416929443633855,15.07915288359046,70.06375546777309,31.352012681106874,0.0,0.1632714053626053,0.1,0.003087282180786133,0.059760093688964844,0.049681768,0.94257414,61.0629282502846,0.0,0.5888443767920375,0.0,300,0.019222736358642578,0.7283302380297068,0.50738060925083,4500,28.162231450661608,0.0
