Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.03 -100000000.00 
   1  0.04  0.04  0.03 
   2  0.03  0.04  0.04 
   3  0.03  0.05  0.04 
   4  0.11  0.06  0.04 
   5  0.08  0.08  0.11 
   6  0.05  0.10  0.11 
   7  0.03  0.11  0.11 
   8  0.14  0.12  0.11 
   9  0.11  0.14  0.14 
  10  0.05  0.09  0.14 
  11  0.17  0.09  0.14 
  12  0.12  0.10  0.17 
  13  0.12  0.11  0.17 
  14  0.20  0.13  0.17 
  15  0.07  0.17  0.20 
  16  0.08  0.35  0.20 
  17  0.15  0.34  0.20 
  18  0.34  0.31  0.20 
  19  0.18  0.31  0.34 
  20  0.14  0.31  0.34 
  21  0.13  0.31  0.34 
  22  0.31  0.33  0.34 
  23  0.13  0.41  0.34 
  24  0.17  0.42  0.34 
  25  0.13  0.23  0.34 
  26  0.16  0.19  0.34 
  27  0.05  0.20  0.34 
  28  0.08  0.21  0.34 
  29  0.14  0.23  0.34 
  30  0.16  0.25  0.34 
  31  0.22  0.22  0.34 
  32  0.15  0.33  0.34 
  33  0.25  0.32  0.34 
  34  0.16  0.38  0.34 
  35  0.22  0.30  0.34 
  36  0.18  0.33  0.34 
  37  0.18  0.34  0.34 
  38  0.16  0.50  0.34 
  39  0.21  0.43  0.34 
  40  0.25  0.44  0.34 
  41  0.31  0.64  0.34 
  42  0.21  0.44  0.34 
  43  0.45  0.45  0.34 
  44  0.35  0.67  0.45 
  45  0.12  0.68  0.45 
  46  0.17  0.58  0.45 
  47  0.25  0.53  0.45 
  48  0.45  0.97  0.45 
  49  0.26  0.79  0.45 
  50  0.20  0.84  0.45 
  51  0.21  0.67  0.45 
  52  0.20  0.63  0.45 
  53  0.18  0.62  0.45 
  54  0.31  1.06  0.45 
  55  0.23  1.07  0.45 
  56  0.38  0.73  0.45 
  57  0.23  0.67  0.45 
  58  0.27  1.40  0.45 
  59  0.18  0.92  0.45 
  60  0.32  0.68  0.45 
  61  0.22  0.39  0.45 
  62  0.35  0.46  0.45 
  63  0.23  0.50  0.45 
  64  0.23  0.53  0.45 
  65  0.46  0.53  0.45 
  66  0.27  0.51  0.46 
  67  0.20  0.44  0.46 
  68  0.48  0.54  0.46 
  69  0.39  0.45  0.48 
  70  0.27  0.39  0.48 
  71  0.26  0.45  0.48 
  72  0.52  0.33  0.48 
  73  0.59  0.42  0.52 
  74  0.25  0.58  0.59 
  75  0.24  0.48  0.59 
  76  0.53  0.76  0.59 
  77  0.55  0.74  0.59 
  78  0.30  0.62  0.59 
  79  0.31  0.51  0.59 
  80  0.41  0.77  0.59 
  81  0.62  0.46  0.59 
  82  0.37  0.77  0.62 
  83  0.66  0.40  0.62 
  84  0.42  0.40  0.66 
  85  0.63  1.00  0.66 
  86  0.69  1.32  0.66 
  87  0.35  1.02  0.69 
  88  0.60  1.07  0.69 
  89  0.55  1.35  0.69 
  90  0.39  0.86  0.69 
  91  0.29  0.68  0.69 
  92  0.34  0.83  0.69 
  93  0.38  0.59  0.69 
  94  0.37  0.45  0.69 
  95  0.23  0.36  0.69 
  96  0.53  0.38  0.69 
  97  0.59  0.44  0.69 
  98  0.41  0.41  0.69 
  99  0.55  0.42  0.69 
 100  0.32  0.53  0.69 
 101  0.47  0.39  0.69 
 102  0.74  0.49  0.69 
 103  0.81  0.36  0.74 
 104  0.43  0.36  0.81 
 105  0.58  0.31  0.81 
 106  0.52  0.31  0.81 
 107  0.53  0.29  0.81 
 108  0.61  0.32  0.81 
 109  0.20  0.36  0.81 
 110  0.41  0.44  0.81 
 111  0.59  0.44  0.81 
 112  0.63  0.32  0.81 
 113  0.33  0.73  0.81 
 114  0.54  0.43  0.81 
 115  0.50  0.64  0.81 
 116  0.46  0.69  0.81 
 117  0.51  0.56  0.81 
 118  0.71  0.81  0.81 
 119  0.77  0.72  0.81 
 120  0.50  1.13  0.81 
 121  0.57  0.92  0.81 
 122  0.63  0.72  0.81 
 123  0.29  0.51  0.81 
 124  0.38  0.79  0.81 
 125  0.80  1.47  0.81 
 126  0.46  0.41  0.81 
 127  0.67  0.52  0.81 
 128  0.55  0.71  0.81 
 129  0.45  1.00  0.81 
 130  0.38  0.79  0.81 
 131  0.73  0.60  0.81 
 132  0.75  0.94  0.81 
 133  0.64  0.82  0.81 
 134  0.45  0.82  0.81 
 135  0.42  1.23  0.81 
 136  0.73  1.10  0.81 
 137  0.47  0.91  0.81 
 138  0.69  0.92  0.81 
 139  0.51  0.85  0.81 
 140  0.91  0.83  0.81 
 141  0.51  0.66  0.91 
 142  0.40  0.60  0.91 
 143  0.71  0.60  0.91 
 144  0.36  0.90  0.91 
 145  0.65  0.86  0.91 
 146  0.64  0.47  0.91 
 147  0.45  0.33  0.91 
 148  0.86  0.40  0.91 
 149  0.45  0.60  0.91 
 150  0.70  0.94  0.91 
 151  0.58  1.00  0.91 
 152  0.63  1.26  0.91 
 153  0.41  1.21  0.91 
 154  0.69  0.94  0.91 
 155  0.78  0.52  0.91 
 156  0.83  0.62  0.91 
 157  0.75  1.02  0.91 
 158  0.59  0.87  0.91 
 159  0.77  1.01  0.91 
 160  0.82  1.30  0.91 
 161  0.43  1.29  0.91 
 162  0.55  1.07  0.91 
 163  0.42  0.65  0.91 
 164  0.78  0.68  0.91 
 165  0.61  0.77  0.91 
 166  0.87  0.75  0.91 
 167  0.53  1.32  0.91 
 168  0.52  0.84  0.91 
 169  0.83  0.85  0.91 
 170  1.00  1.10  0.91 
 171  0.74  1.31  1.00 
 172  0.63  1.15  1.00 
 173  1.06  0.98  1.00 
 174  0.83  0.92  1.06 
 175  0.44  1.02  1.06 
 176  0.66  1.52  1.06 
 177  0.70  1.58  1.06 
 178  0.66  1.50  1.06 
 179  0.63  1.24  1.06 
 180  0.39  1.12  1.06 
 181  0.57  1.01  1.06 
 182  0.63  0.77  1.06 
 183  0.70  1.89  1.06 
 184  0.58  1.07  1.06 
 185  0.63  0.77  1.06 
 186  1.05  0.73  1.06 
 187  0.55  0.79  1.06 
 188  0.78  2.33  1.06 
 189  0.73  1.97  1.06 
 190  0.67  0.83  1.06 
 191  0.54  0.72  1.06 
 192  0.51  0.88  1.06 
 193  0.70  1.31  1.06 
 194  0.41  0.62  1.06 
 195  0.64  0.52  1.06 
 196  0.47  0.50  1.06 
 197  0.62  0.44  1.06 
 198  0.60  0.42  1.06 
 199  0.67  0.45  1.06 
 200  0.75  0.50  1.06 
 201  0.95  0.80  1.06 
 202  0.64  0.44  1.06 
 203  0.35  0.59  1.06 
 204  0.78  0.87  1.06 
 205  0.89  0.39  1.06 
 206  0.71  0.45  1.06 
 207  0.91  0.47  1.06 
 208  0.68  0.47  1.06 
 209  0.50  0.92  1.06 
 210  1.45  1.08  1.06 
 211  1.01  0.48  1.45 
 212  0.39  0.77  1.45 
 213  0.58  0.56  1.45 
 214  0.62  1.13  1.45 
 215  0.80  0.51  1.45 
 216  0.71  1.36  1.45 
 217  1.18  1.13  1.45 
 218  0.52  0.71  1.45 
 219  0.69  0.84  1.45 
 220  0.47  0.51  1.45 
 221  0.55  1.05  1.45 
 222  1.02  1.19  1.45 
 223  0.80  1.08  1.45 
 224  0.73  1.20  1.45 
 225  0.55  1.04  1.45 
 226  0.73  1.40  1.45 
 227  1.46  1.66  1.45 
 228  0.60  1.29  1.46 
 229  0.36  1.29  1.46 
 230  0.59  1.09  1.46 
 231  0.27  1.28  1.46 
 232  0.86  1.32  1.46 
 233  1.08  0.48  1.46 
 234  0.74  0.45  1.46 
 235  0.71  0.41  1.46 
 236  0.74  0.37  1.46 
 237  0.72  0.42  1.46 
 238  0.47  0.46  1.46 
 239  0.66  0.37  1.46 
 240  0.60  0.42  1.46 
 241  0.67  0.55  1.46 
 242  0.94  0.44  1.46 
 243  0.80  0.38  1.46 
 244  0.64  0.39  1.46 
 245  0.85  1.38  1.46 
 246  0.62  1.45  1.46 
 247  1.06  0.53  1.46 
 248  0.66  0.43  1.46 
 249  0.89  0.42  1.46 
 250  0.46  0.42  1.46 
 251  0.60  0.44  1.46 
 252  0.86  0.93  1.46 
 253  0.77  0.40  1.46 
 254  0.62  0.38  1.46 
 255  0.86  0.45  1.46 
 256  0.82  0.37  1.46 
 257  0.67  0.34  1.46 
 258  0.50  0.42  1.46 
 259  0.77  0.42  1.46 
 260  0.68  0.40  1.46 
 261  1.34  0.39  1.46 
 262  1.10  0.35  1.46 
 263  0.34  0.31  1.46 
 264  0.84  0.43  1.46 
 265  0.77  0.36  1.46 
 266  1.30  0.41  1.46 
 267  0.69  0.42  1.46 
 268  1.01  0.40  1.46 
 269  1.00  0.52  1.46 
 270  0.47  0.43  1.46 
 271  0.95  0.72  1.46 
 272  0.85  0.83  1.46 
 273  0.55  1.38  1.46 
 274  0.97  1.35  1.46 
 275  0.92  2.26  1.46 
 276  1.28  2.28  1.46 
 277  0.69  2.24  1.46 
 278  0.54  0.96  1.46 
 279  0.78  0.61  1.46 
 280  0.84  0.87  1.46 
 281  1.05  1.36  1.46 
 282  0.93  0.34  1.46 
 283  1.17  0.52  1.46 
 284  1.18  0.50  1.46 
 285  1.07  0.73  1.46 
 286  1.32  0.49  1.46 
 287  0.90  0.65  1.46 
 288  0.77  0.45  1.46 
 289  1.18  0.65  1.46 
 290  0.75  0.89  1.46 
 291  1.40  0.96  1.46 
 292  0.73  1.18  1.46 
 293  1.31  1.27  1.46 
 294  0.76  1.27  1.46 
 295  1.03  1.14  1.46 
 296  1.15  1.64  1.46 
 297  0.75  2.09  1.46 
 298  0.74  1.49  1.46 
 299  0.81  1.59  1.46 
 300  0.44  1.62  1.46 
 301  0.72  1.54  1.46 
 302  0.95  1.38  1.46 
 303  1.34  1.14  1.46 
 304  1.10  0.78  1.46 
 305  1.19  0.73  1.46 
 306  0.51  0.84  1.46 
 307  0.94  0.87  1.46 
 308  1.41  0.74  1.46 
 309  1.67  0.54  1.46 
 310  0.88  0.86  1.67 
 311  1.23  0.86  1.67 
 312  1.29  0.77  1.67 
 313  0.69  0.61  1.67 
 314  1.67  0.79  1.67 
 315  1.26  0.84  1.67 
 316  1.33  0.88  1.67 
 317  0.90  0.86  1.67 
 318  0.93  0.75  1.67 
 319  0.75  0.92  1.67 
 320  0.90  0.92  1.67 
 321  1.04  1.00  1.67 
 322  0.70  0.93  1.67 
 323  1.39  0.94  1.67 
 324  1.22  0.88  1.67 
 325  0.96  0.99  1.67 
 326  1.46  0.95  1.67 
 327  0.91  0.85  1.67 
 328  1.09  1.06  1.67 
 329  0.70  1.00  1.67 
 330  1.35  1.04  1.67 
 331  0.86  1.18  1.67 
 332  1.13  1.04  1.67 
 333  1.16  1.04  1.67 
 334  1.15  0.93  1.67 
 335  0.73  1.10  1.67 
 336  1.05  1.06  1.67 
 337  1.10  0.84  1.67 
 338  0.74  1.12  1.67 
 339  1.22  1.11  1.67 
 340  1.06  1.13  1.67 
 341  1.51  1.09  1.67 
 342  0.75  0.67  1.67 
 343  1.64  0.90  1.67 
 344  0.78  0.76  1.67 
 345  1.47  0.69  1.67 
 346  0.60  0.70  1.67 
 347  1.31  1.06  1.67 
 348  1.73  0.57  1.67 
 349  1.46  0.98  1.73 
 350  1.01  0.96  1.73 
 351  1.38  0.85  1.73 
 352  1.47  0.84  1.73 
 353  1.09  0.97  1.73 
 354  0.94  0.93  1.73 
 355  1.25  0.34  1.73 
 356  1.40  0.91  1.73 
 357  1.43  0.34  1.73 
 358  1.48  0.81  1.73 
 359  1.48  0.26  1.73 
 360  1.01  0.94  1.73 
 361  0.96  1.13  1.73 
 362  0.72  1.10  1.73 
 363  0.72  0.46  1.73 
 364  0.78  0.26  1.73 
 365  1.97  0.37  1.73 
 366  2.06  0.39  1.97 
 367  1.44  0.42  2.06 
 368  1.34  0.32  2.06 
