Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.02 -100000000.00 
   1  0.02  0.02  0.02 
   2  0.01  0.02  0.02 
   3  0.04  0.02  0.02 
   4  0.04  0.03  0.04 
   5  0.02  0.04  0.04 
   6  0.03  0.04  0.04 
   7  0.02  0.05  0.04 
   8  0.04  0.05  0.04 
   9  0.03  0.05  0.04 
  10  0.05  0.05  0.04 
  11  0.06  0.06  0.05 
  12  0.07  0.09  0.06 
  13  0.03  0.12  0.07 
  14  0.16  0.13  0.07 
  15  0.09  0.11  0.16 
  16  0.05  0.16  0.16 
  17  0.15  0.20  0.16 
  18  0.17  0.38  0.16 
  19  0.14  0.43  0.17 
  20  0.13  0.58  0.17 
  21  0.15  0.57  0.17 
  22  0.18  0.77  0.17 
  23  0.36  0.57  0.18 
  24  0.19  0.51  0.36 
  25  0.09  0.64  0.36 
  26  0.12  0.58  0.36 
  27  0.13  0.52  0.36 
  28  0.14  0.49  0.36 
  29  0.20  0.47  0.36 
  30  0.25  0.66  0.36 
  31  0.17  0.70  0.36 
  32  0.17  0.60  0.36 
  33  0.19  0.82  0.36 
  34  0.20  0.70  0.36 
  35  0.20  0.90  0.36 
  36  0.18  0.83  0.36 
  37  0.15  1.03  0.36 
  38  0.15  0.83  0.36 
  39  0.22  1.78  0.36 
  40  0.38  1.25  0.36 
  41  0.27  0.70  0.38 
  42  0.29  0.38  0.38 
  43  0.35  0.40  0.38 
  44  0.22  0.39  0.38 
  45  0.26  0.56  0.38 
  46  0.35  0.46  0.38 
  47  0.32  0.43  0.38 
  48  0.30  0.64  0.38 
  49  0.20  0.69  0.38 
  50  0.24  0.44  0.38 
  51  0.21  0.68  0.38 
  52  0.14  0.67  0.38 
  53  0.21  0.96  0.38 
  54  0.25  0.59  0.38 
  55  0.28  0.49  0.38 
  56  0.16  0.36  0.38 
  57  0.35  0.32  0.38 
  58  0.10  0.34  0.38 
  59  0.26  0.41  0.38 
  60  0.18  0.12  0.38 
  61  0.39  0.13  0.38 
  62  0.21  0.61  0.39 
  63  0.24  1.16  0.39 
  64  0.24  0.86  0.39 
  65  0.39  0.47  0.39 
  66  0.36  0.13  0.39 
  67  0.40  0.13  0.39 
  68  0.30  0.18  0.40 
  69  0.31  0.10  0.40 
  70  0.47  0.08  0.40 
  71  0.34  0.03  0.47 
  72  0.79  0.02  0.47 
  73  0.37  0.08  0.79 
  74  0.42  0.04  0.79 
  75  0.36  0.02  0.79 
  76  0.22  0.10  0.79 
  77  0.23  0.15  0.79 
  78  0.57  0.17  0.79 
  79  0.30  0.09  0.79 
  80  0.47  0.16  0.79 
  81  0.31  0.13  0.79 
  82  0.56  0.08  0.79 
  83  0.34  0.11  0.79 
  84  0.58  0.09  0.79 
  85  0.43  0.22  0.79 
  86  0.53  0.48  0.79 
  87  0.36  1.34  0.79 
  88  0.59  0.76  0.79 
  89  0.36  0.84  0.79 
  90  0.36  1.20  0.79 
  91  0.34  2.29  0.79 
  92  0.53  2.08  0.79 
  93  0.34  1.58  0.79 
  94  0.53  0.47  0.79 
  95  0.56  1.26  0.79 
  96  0.69  1.20  0.79 
  97  0.60  1.36  0.79 
  98  0.61  1.18  0.79 
  99  0.43  0.90  0.79 
 100  0.49  0.49  0.79 
 101  0.56  0.16  0.79 
 102  0.81  0.34  0.79 
 103  0.52  0.38  0.81 
 104  0.57  0.50  0.81 
 105  0.64  0.47  0.81 
 106  0.44  0.68  0.81 
 107  0.61  0.67  0.81 
 108  0.29  1.25  0.81 
 109  0.71  1.32  0.81 
 110  0.44  1.07  0.81 
 111  0.76  0.82  0.81 
 112  0.20  0.39  0.81 
 113  0.58  0.25  0.81 
 114  0.68  0.20  0.81 
 115  0.66  0.21  0.81 
 116  0.50  0.15  0.81 
 117  0.47  0.07  0.81 
 118  0.46  0.05  0.81 
 119  0.55  0.42  0.81 
 120  0.94  0.40  0.81 
 121  0.19  0.13  0.94 
 122  0.46  0.12  0.94 
 123  0.70  0.04  0.94 
 124  0.52  0.04  0.94 
 125  0.52  0.01  0.94 
 126  0.58  0.01  0.94 
 127  0.89  0.01  0.94 
 128  1.10  0.02  0.94 
 129  0.42  0.03  1.10 
 130  0.49  0.01  1.10 
 131  0.96  0.08  1.10 
 132  0.34  1.04  1.10 
 133  0.85  0.28  1.10 
 134  0.40  1.11  1.10 
 135  0.23  1.24  1.10 
 136  0.94  0.33  1.10 
 137  0.64  0.85  1.10 
 138  0.82  0.11  1.10 
 139  0.55  0.05  1.10 
 140  0.73  0.03  1.10 
 141  0.29  0.05  1.10 
 142  0.48  0.03  1.10 
 143  0.53  0.03  1.10 
