iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2978055477142334,0.01945938249857826,0.01015401697040843,0.035569015813610244,0.009456037081375839,0.0,0.14538966326132652,0.1,0.04706573486328125,0.061673641204833984,0.053411838,0.98376787,0.01945938249857826,0.0,0.00038866645702639944,0.0,200,0.03681683540344238,74.94073242801919,8.14494883826766,200,0.015990963807756137,0.0
1,1.165330410003662,0.020220812527160986,0.005697588181204362,0.028482968696870326,0.01453191976863523,0.0,0.1422176065347201,0.1,0.002923250198364258,0.0543980598449707,0.04702467,0.5975269,0.019535525501436533,0.0,0.0003951347703763526,0.0,200,0.014579296112060547,8.49109532003918,3.794572510356454,400,0.01588481226623689,0.0
2,1.1834242343902588,0.01069520420192607,0.007269908514776554,0.02280441607738972,0.00485751686156244,0.0,0.16613010844903536,0.1,0.002858400344848633,0.05392122268676758,0.06488555,0.8176142,0.018651493371485486,0.0,0.00021146111860047582,0.0,200,0.014541149139404297,16.69687633560508,18.684748362319326,600,0.015862418558645654,0.0
3,1.2108466625213623,0.042389099740455564,0.029102505237220935,0.09158070309138974,0.016476500013299592,0.0,0.14738109680403597,0.1,0.0028159618377685547,0.05367136001586914,0.053348597,0.9643588,0.021025254008382496,0.0,0.0008458359400647055,0.0,200,0.014560461044311523,0.5897169793736148,0.5219307312908793,800,0.02467578871292542,0.0
4,1.209639072418213,0.04187181754366764,0.027957739684686147,0.08755860447645779,0.01598239267047175,0.0,0.14890553647573648,0.1,0.007100582122802734,0.0540776252746582,0.047306895,0.97392344,0.023109910361911012,0.0,0.0008369614373829701,0.0,200,0.013839244842529297,0.5458331154295053,0.5815938248020285,1000,0.027748681621068267,0.0
5,1.2141709327697754,0.02242197345114572,0.013669839357934994,0.046057863624137774,0.01370366124856839,0.0,0.14686776714024588,0.1,0.0027937889099121094,0.05505561828613281,0.050378267,1.2200749,0.023041116670834486,0.0,0.00044432035775961523,0.0,200,0.015369415283203125,0.5812189968344643,0.48501343053201157,1200,0.04207358942654429,0.0
6,1.2128989696502686,0.03286862858306749,0.029203926458411383,0.07922534461350464,0.00593746550245485,0.0,0.14423466572099403,0.1,0.0027141571044921875,0.05858182907104492,0.05266583,1.4369562,0.024023867862057787,0.0,0.0006554867460101316,0.0,200,0.014525413513183594,0.7127318330053692,0.7086617628691027,1400,0.03805483920300259,0.0
7,1.2152717113494873,0.019637725002925713,0.006748275005509203,0.03021888451014694,0.013115922657562118,0.0,0.14654783567005425,0.1,0.002866029739379883,0.054696083068847656,0.047433883,0.7127667,0.02358525357614458,0.0,0.00038066954248832405,0.0,200,0.014657258987426758,0.4086754754080982,0.3506906442179843,1600,0.04833850009091963,0.0
8,1.2315363883972168,0.038524321467977,0.030851229508507074,0.0795624600080833,0.003675404608465878,0.0,0.14039163843863547,0.1,0.0028715133666992188,0.0554049015045166,0.053153895,2.0036366,0.02507916036532782,0.0,0.0007700269700016396,0.0,200,0.014910697937011719,0.6320168426087691,0.5500244724224016,1800,0.05487589126148474,0.0
9,1.2001018524169922,0.028080857028558625,0.027480191119621918,0.07447899659397539,0.0026912105423700984,0.0,0.1511619018483534,0.1,0.0029468536376953125,0.05460715293884277,0.05182419,1.1779026,0.0253793300316509,0.0,0.0005500249012753939,0.0,200,0.015001535415649414,0.6440284325749639,0.6420727931852782,2000,0.047352323124856426,0.0
10,1.2099788188934326,0.04967930542707141,0.05464235999234179,0.1433135679100955,0.007364017474396892,0.0,0.13808825274698613,0.1,0.0027811527252197266,0.0541081428527832,0.04876477,1.837312,0.027809327571192952,0.0,0.0009933779093213183,0.0,200,0.014792680740356445,0.6819471902916868,0.6534283650119027,2200,0.049101316950498554,0.0
11,1.1952900886535645,0.05572796315078032,0.033647861909237284,0.09456008590397166,0.018613165598863744,0.0,0.13971839938939828,0.1,0.002817869186401367,0.06129002571105957,0.050360072,1.2139968,0.03060119112915169,0.0,0.0011081048337602992,0.0,200,0.015336275100708008,0.41846222769354147,0.38657449486846174,2400,0.05848842364089104,0.0
12,1.3012948036193848,0.06857405358752501,0.047156680342203085,0.12534767877047936,0.020797058996285384,0.0,0.1406485997035548,0.1,0.0029578208923339844,0.05802607536315918,0.049456105,1.1963428,0.03439847737498902,0.0,0.0013691572663772677,0.0,200,0.015363693237304688,0.4940462995886897,0.4753705470888195,2600,0.08889646426850885,0.0
13,1.280829906463623,0.026296911339092656,0.020118892049225557,0.05885305387418003,0.009521459575705273,0.0,0.1359269654311847,0.1,0.002750396728515625,0.0555880069732666,0.049733706,1.6894394,0.03358832077139939,0.0,0.000525410296578392,0.0,200,0.015630483627319336,1.9844962660662637,0.872707104095448,2800,0.11576238392244215,0.0
14,1.2727999687194824,0.1597809928118346,0.18528632816680585,0.47715033425093395,0.028223900809406902,0.0,0.13778254193854464,0.1,0.0027189254760742188,0.0531010627746582,0.047850274,1.6514289,0.04620758797544291,0.0,0.003186226845882569,0.0,200,0.014781475067138672,0.8306780567897318,0.7412608626475605,3000,0.12572067604242937,0.0
15,1.3042583465576172,0.09090617612199026,0.06758832885960236,0.19762231377546916,0.023559645365731824,0.0,0.1332054792742244,0.1,0.0028450489044189453,0.0557711124420166,0.051026206,1.3823856,0.05067744679009764,0.0,0.0017731264960296686,0.0,200,0.015224695205688477,0.4789022876511926,0.5200858487563355,3200,0.11445738488726703,0.0
16,1.3004465103149414,0.052463356703351165,0.022406435165516936,0.08536900966118317,0.022173665767868816,0.0,0.1419743327340284,0.1,0.002823352813720703,0.05402970314025879,0.051432066,1.006851,0.050856037781422996,0.0,0.0010097279046691332,0.0,200,0.014254570007324219,1.2786706085708295,0.6256976723661334,3400,0.16338208654605718,0.0
17,1.3144347667694092,0.15239928571729125,0.11684855830651368,0.30261562666738107,0.02559110635756315,0.0,0.13693113316194067,0.1,0.0027647018432617188,0.05488991737365723,0.050078228,1.3459291,0.061010362575009816,0.0,0.0030321447375995826,0.0,200,0.01348733901977539,0.520149055149642,0.5014267382419806,3600,0.20272424893067117,0.0
18,1.292248010635376,0.17436887453722066,0.20680213878859385,0.5259773889554572,0.020221374834578906,0.0,0.12385879119515476,0.1,0.002711057662963867,0.05983591079711914,0.050539874,2.680654,0.0723462137712309,0.0,0.003477726204080716,0.0,200,0.01395559310913086,0.7068583652704669,0.6402036184131058,3800,0.3769339249718797,0.0
19,1.303386926651001,0.14063815293741347,0.0486376635666144,0.1913224420482528,0.06030950878358777,0.0,0.13784528390445744,0.1,0.002788543701171875,0.05475974082946777,0.050306454,0.8820468,0.07917540768784916,0.0,0.002786782424100462,0.0,200,0.014183998107910156,0.19722425229790166,0.24341679586306025,4000,0.4312825893980057,0.0
20,1.295785903930664,0.12613024924063782,0.09466314214490563,0.27504953439885665,0.030057782215904123,0.0,0.13469702305303835,0.1,0.002816915512084961,0.055741071701049805,0.049198613,1.5481887,0.08387089184312803,0.0,0.002522258481447751,0.0,200,0.014380693435668945,0.5964001940038326,0.4611833096742322,4200,0.5780173916851482,0.0
21,1.3108811378479004,0.15367243239417094,0.13131538358267644,0.36414262973212574,0.01725247808017206,0.0,0.12347987517036632,0.1,0.0027348995208740234,0.054634809494018555,0.0504805,2.673482,0.09085104589823233,0.0,0.003035828280452702,0.0,200,0.014338970184326172,0.4727964488705237,0.49923276904209984,4400,0.5695912365742126,0.0
22,1.3239500522613525,0.18391789110491782,0.1667789645122507,0.4608838030364995,0.018335474749642408,0.0,0.14441557969654312,0.1,0.002714395523071289,0.05338144302368164,0.050383717,1.3925769,0.10015773041890089,0.0,0.003636648827172045,0.0,200,0.013876676559448242,0.5693627214797177,0.5128019157899248,4600,0.7674616571566178,0.0
23,1.4753129482269287,0.3569170836537907,0.24193904406722214,0.7326040951110947,0.06204112871108472,0.0,0.13136122870486525,0.1,0.002669811248779297,0.053847551345825195,0.048886117,1.6535933,0.12583366574238988,0.0,0.00709347924023573,0.0,200,0.014286994934082031,0.6407707431599069,0.4374548747709592,4800,0.5725809401913154,0.0
24,1.2475612163543701,0.1898804903814823,0.17475040664438402,0.4562335227258828,0.01970120307777845,0.0,0.13880204676093766,0.1,0.0029191970825195312,0.05474233627319336,0.050269824,1.0392394,0.13223834820629912,0.0,0.003766532523558181,0.0,200,0.014499187469482422,0.6010557513899006,0.7076590530828745,5000,0.5115321059856356,0.0
25,1.270681619644165,0.0941473637973066,0.049654269053919,0.17618979511433747,0.05040386461222362,0.0,0.1403236634560773,0.1,0.002951383590698242,0.05761909484863281,0.0488003,4.0084443,0.12842924976539988,0.0,0.0018477500126347218,0.0,200,0.014728546142578125,5.393867757113619,1.2555725207860131,5200,0.6397129488408114,0.0
26,1.2463905811309814,0.12392104953041147,0.08288920259462834,0.2473341521439773,0.021955963906332924,0.0,0.13362997920894784,0.1,0.003220081329345703,0.05927300453186035,0.050055142,1.2001337,0.12797842974190105,0.0,0.002460857844779446,0.0,200,0.014976024627685547,0.5197189944610344,0.4067719101315855,5400,0.5754141341829665,0.0
27,1.2460176944732666,0.1322503915158079,0.1386581037664829,0.36981084336315084,0.024570094385003523,0.0,0.13426841712475743,0.1,0.0028357505798339844,0.05493640899658203,0.050331518,1.799166,0.12840562591929172,0.0,0.002642099884353042,0.0,200,0.014973640441894531,0.608883844972297,0.7098122352612698,5600,0.5237436442801463,0.0
28,1.2871589660644531,0.14216545196807867,0.0840731928293865,0.2686872429445262,0.03446970499791459,0.0,0.126046675087232,0.1,0.0028743743896484375,0.05532264709472656,0.049453136,1.5239488,0.12978160852417042,0.0,0.0028345241599518575,0.0,200,0.014873266220092773,0.5579227124515286,0.5808926093170859,5800,0.49170081003744953,0.0
