Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.02  0.01  0.01 
   2  0.01  0.01  0.02 
   3  0.03  0.02  0.02 
   4  0.03  0.02  0.03 
   5  0.02  0.03  0.03 
   6  0.02  0.03  0.03 
   7  0.02  0.03  0.03 
   8  0.04  0.04  0.03 
   9  0.02  0.04  0.04 
  10  0.03  0.05  0.04 
  11  0.04  0.05  0.04 
  12  0.07  0.07  0.04 
  13  0.02  0.10  0.07 
  14  0.15  0.10  0.07 
  15  0.06  0.10  0.15 
  16  0.08  0.14  0.15 
  17  0.08  0.10  0.15 
  18  0.23  0.11  0.15 
  19  0.11  0.19  0.23 
  20  0.09  0.13  0.23 
  21  0.15  0.17  0.23 
  22  0.25  0.20  0.23 
  23  0.32  0.19  0.25 
  24  0.08  0.20  0.32 
  25  0.04  0.29  0.32 
  26  0.09  0.37  0.32 
  27  0.06  0.48  0.32 
  28  0.11  0.58  0.32 
  29  0.13  0.88  0.32 
  30  0.31  1.31  0.32 
  31  0.10  1.21  0.32 
  32  0.20  1.14  0.32 
  33  0.28  1.10  0.32 
  34  0.22  1.10  0.32 
  35  0.18  1.40  0.32 
  36  0.25  1.28  0.32 
  37  0.09  1.38  0.32 
  38  0.24  1.42  0.32 
  39  0.33  1.60  0.32 
  40  0.17  1.50  0.33 
  41  0.30  1.42  0.33 
  42  0.51  1.59  0.33 
  43  0.62  1.33  0.51 
  44  0.24  1.32  0.62 
  45  0.25  1.50  0.62 
  46  0.46  1.28  0.62 
  47  0.40  1.37  0.62 
  48  0.37  1.48  0.62 
  49  0.66  1.54  0.62 
  50  0.23  1.40  0.66 
  51  0.37  1.68  0.66 
  52  0.40  1.52  0.66 
  53  0.38  1.32  0.66 
  54  0.34  1.63  0.66 
  55  0.44  1.55  0.66 
  56  0.34  1.41  0.66 
  57  0.49  0.86  0.66 
  58  0.39  0.84  0.66 
  59  0.38  0.65  0.66 
  60  0.29  0.56  0.66 
  61  0.73  0.36  0.66 
  62  0.45  1.10  0.73 
  63  0.20  1.20  0.73 
  64  0.23  1.22  0.73 
  65  0.48  1.55  0.73 
  66  0.81  0.97  0.73 
  67  0.32  0.84  0.81 
  68  0.78  0.47  0.81 
  69  0.56  0.77  0.81 
  70  0.84  1.09  0.81 
  71  0.69  1.17  0.84 
  72  0.62  1.18  0.84 
  73  0.57  0.79  0.84 
  74  0.45  0.69  0.84 
  75  0.49  0.43  0.84 
  76  0.38  0.64  0.84 
  77  0.38  0.92  0.84 
  78  0.75  0.84  0.84 
  79  0.24  0.53  0.84 
  80  0.69  0.74  0.84 
  81  0.71  0.77  0.84 
  82  0.49  0.37  0.84 
  83  0.76  0.28  0.84 
  84  0.52  0.15  0.84 
  85  0.81  0.16  0.84 
  86  0.70  0.34  0.84 
  87  0.37  0.52  0.84 
  88  0.51  0.80  0.84 
  89  0.31  1.14  0.84 
  90  0.55  1.08  0.84 
