Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.03 -100000000.00 
   1  0.03  0.03  0.03 
   2  0.03  0.03  0.03 
   3  0.05  0.03  0.03 
   4  0.05  0.04  0.05 
   5  0.04  0.05  0.05 
   6  0.04  0.05  0.05 
   7  0.03  0.06  0.05 
   8  0.09  0.08  0.05 
   9  0.05  0.07  0.09 
  10  0.07  0.08  0.09 
  11  0.06  0.09  0.09 
  12  0.11  0.12  0.09 
  13  0.06  0.16  0.11 
  14  0.16  0.16  0.11 
  15  0.11  0.15  0.16 
  16  0.12  0.18  0.16 
  17  0.15  0.21  0.16 
  18  0.32  0.19  0.16 
  19  0.15  0.31  0.32 
  20  0.12  0.23  0.32 
  21  0.23  0.21  0.32 
  22  0.28  0.61  0.32 
  23  0.35  0.61  0.32 
  24  0.17  1.14  0.35 
  25  0.09  0.90  0.35 
  26  0.23  1.04  0.35 
  27  0.11  1.06  0.35 
  28  0.24  0.66  0.35 
  29  0.29  0.93  0.35 
  30  0.30  0.58  0.35 
  31  0.14  0.66  0.35 
  32  0.27  0.79  0.35 
  33  0.35  0.88  0.35 
  34  0.39  1.11  0.35 
  35  0.28  1.31  0.39 
  36  0.33  1.14  0.39 
  37  0.19  0.70  0.39 
  38  0.26  0.84  0.39 
  39  0.40  1.14  0.39 
  40  0.25  1.15  0.40 
  41  0.47  1.12  0.40 
  42  0.73  1.04  0.47 
  43  0.99  0.95  0.73 
  44  0.35  1.14  0.99 
  45  0.21  1.08  0.99 
  46  0.49  1.25  0.99 
  47  0.65  1.52  0.99 
  48  0.51  1.45  0.99 
  49  0.93  2.16  0.99 
  50  0.58  2.15  0.99 
  51  0.51  1.76  0.99 
  52  0.45  2.13  0.99 
  53  0.75  0.91  0.99 
  54  0.76  1.14  0.99 
  55  0.58  1.06  0.99 
  56  0.50  1.03  0.99 
  57  0.83  1.17  0.99 
  58  0.76  0.94  0.99 
  59  0.33  0.17  0.99 
  60  0.43  0.19  0.99 
  61  0.79  0.31  0.99 
  62  0.55  0.18  0.99 
  63  0.55  0.33  0.99 
  64  0.51  0.18  0.99 
  65  0.68  0.17  0.99 
  66  0.87  0.16  0.99 
  67  0.32  0.21  0.99 
  68  0.75  0.13  0.99 
  69  0.60  0.17  0.99 
  70  0.89  0.19  0.99 
  71  0.83  0.23  0.99 
  72  1.07  0.24  0.99 
  73  0.63  0.39  1.07 
  74  0.64  0.28  1.07 
  75  0.59  0.14  1.07 
  76  0.83  0.14  1.07 
  77  0.62  0.29  1.07 
  78  0.96  0.18  1.07 
  79  0.60  0.57  1.07 
  80  1.08  0.25  1.07 
  81  0.94  1.25  1.08 
  82  0.78  1.35  1.08 
  83  0.68  0.25  1.08 
  84  1.40  0.50  1.08 
  85  0.81  1.65  1.40 
  86  1.03  1.46  1.40 
  87  0.87  0.67  1.40 
  88  0.65  0.56  1.40 
  89  0.96  0.72  1.40 
  90  0.86  0.69  1.40 
  91  0.29  0.71  1.40 
  92  1.11  0.71  1.40 
  93  0.95  0.82  1.40 
  94  0.67  0.76  1.40 
  95  0.31  0.90  1.40 
  96  1.47  0.44  1.40 
  97  0.98  0.42  1.47 
  98  1.11  0.46  1.47 
  99  0.73  0.73  1.47 
 100  0.78  0.35  1.47 
 101  0.51  0.42  1.47 
 102  0.74  0.42  1.47 
