iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1840276718139648,0.030802175273549712,0.01711607709849388,0.05785155055170325,0.01467168697278516,0.0,0.14358742630808644,0.1,0.05909252166748047,0.05572223663330078,0.054452732,0.93885154,0.030802175273549712,0.0,0.0006152060097814356,0.0,200,0.03688383102416992,31.86245872651228,4.215084586760305,200,0.023231810225076532,0.0
1,0.9508366584777832,0.028526916140802914,0.006974022999965203,0.03782579818975183,0.021577954360041323,0.0,0.14439415649310605,0.1,0.002652883529663086,0.05215287208557129,0.047989536,0.6782069,0.03057464936027503,0.0,0.000563683958236366,0.0,200,0.01868891716003418,5.3501320277686215,1.872261648413449,400,0.021983777799300188,0.0
2,0.9735827445983887,0.01529253355671924,0.009408901117991446,0.030788607506214982,0.007544302039425575,0.0,0.16156247587551234,0.1,0.0026552677154541016,0.05223345756530762,0.059456483,0.91691285,0.029046437779919453,0.0,0.00030221972358703193,0.0,200,0.013883829116821289,9.260646905104418,11.290877439017605,600,0.018198745458089412,0.0
3,0.9918346405029297,0.06706881543918629,0.05018309648659314,0.15172314055343664,0.025788031229585312,0.0,0.14974756865184208,0.1,0.0027320384979248047,0.0523228645324707,0.052766357,0.9280031,0.03284867554584614,0.0,0.0013358220037130064,0.0,200,0.013741254806518555,0.5339357314201377,0.550609335260081,800,0.024284596148101866,0.0
4,0.9777109622955322,0.06010224288057382,0.04165744797253333,0.12562149280543627,0.018390379326242816,0.0,0.142782761565432,0.1,0.0025815963745117188,0.05216026306152344,0.048551768,1.0636916,0.03557403227931891,0.0,0.001201198343525981,0.0,200,0.012904167175292969,0.5226195815881003,0.5072795587129122,1000,0.02097916768251384,0.0
5,1.0144267082214355,0.04227640806102946,0.026881986148156935,0.08880811112229234,0.02522489974377018,0.0,0.13869907917330454,0.1,0.002583742141723633,0.05200767517089844,0.05068103,1.6305952,0.036244269857489964,0.0,0.0008380627825577738,0.0,200,0.013534784317016602,0.5138347247530357,0.425268044559356,1200,0.04219927253549194,0.0
6,0.9898250102996826,0.02467233025433423,0.01571026384310989,0.04733392381492586,0.006725122713800516,0.0,0.15155887513325728,0.1,0.0026862621307373047,0.05284428596496582,0.053168517,1.0286123,0.03508707589717439,0.0,0.0004921207330015585,0.0,200,0.015629053115844727,0.9083011037283669,0.5320330295099742,1400,0.05419423260543774,0.0
7,1.0447337627410889,0.020432636019215633,0.00494754733365445,0.02691224303166734,0.014603010933329242,0.0,0.142095409864977,0.1,0.0026018619537353516,0.05178403854370117,0.050808877,0.9309369,0.033621631909378516,0.0,0.0003978198879792164,0.0,200,0.013417959213256836,0.4341107647644676,0.4027381078083177,1600,0.05925610332336804,0.0
8,1.012181043624878,0.10492162437645067,0.0872570743195186,0.21669870002924488,0.008712262761983643,0.0,0.14257480475074485,0.1,0.0026068687438964844,0.05166029930114746,0.052596036,1.5350044,0.04075163115608573,0.0,0.0020943792514735325,0.0,200,0.013783454895019531,0.8734938613938096,0.7081915244591895,1800,0.0692908490684304,0.0
9,1.0163910388946533,0.04768813734855039,0.03594746566902188,0.10595848962062576,0.007694612469612233,0.0,0.15103515083237515,0.1,0.0026900768280029297,0.05225086212158203,0.05324423,1.1345696,0.0414452817753322,0.0,0.0009355900826245743,0.0,200,0.01507258415222168,0.5667122039535267,0.6085139398328002,2000,0.06490382956525918,0.0
10,1.036534309387207,0.06557301249093184,0.04651620150360008,0.14578648996288526,0.03396594811908748,0.0,0.1372184649021233,0.1,0.002641439437866211,0.05276751518249512,0.04843014,1.9924843,0.04385805484689217,0.0,0.001310572071704674,0.0,200,0.014344215393066406,0.49979323078213644,0.53399614065233,2200,0.05411481350536209,0.0
11,1.1011922359466553,0.06707774655145456,0.041345496659517464,0.1219573971363857,0.020716489469662615,0.0,0.14290175984148892,0.1,0.0030069351196289062,0.05290055274963379,0.050086398,1.1864392,0.04618002401734841,0.0,0.0013252558989763272,0.0,200,0.014052152633666992,0.4292597618663514,0.39627564042983654,2400,0.05851204835106196,0.0
12,1.1186938285827637,0.13874830531214802,0.09337508306667491,0.23855235159890534,0.022058909193328157,0.0,0.1402783094780901,0.1,0.00273895263671875,0.05324959754943848,0.052329253,1.0388229,0.055436852146828364,0.0,0.002748251056541964,0.0,200,0.013264894485473633,0.5534436779886932,0.4734565269999165,2600,0.08894547294248097,0.0
