Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.03 -100000000.00 
   1  0.04  0.03  0.04 
   2  0.02  0.03  0.04 
   3  0.07  0.03  0.04 
   4  0.06  0.03  0.07 
   5  0.05  0.06  0.07 
   6  0.03  0.06  0.07 
   7  0.03  0.06  0.07 
   8  0.12  0.07  0.07 
   9  0.06  0.07  0.12 
  10  0.09  0.05  0.12 
  11  0.08  0.06  0.12 
  12  0.12  0.09  0.12 
  13  0.05  0.09  0.12 
  14  0.14  0.09  0.12 
  15  0.08  0.11  0.14 
  16  0.06  0.35  0.14 
  17  0.15  0.39  0.14 
  18  0.15  0.33  0.15 
  19  0.20  0.37  0.15 
  20  0.11  0.27  0.20 
  21  0.19  0.36  0.20 
  22  0.11  0.38  0.20 
  23  0.20  0.44  0.20 
  24  0.13  0.43  0.20 
  25  0.08  0.43  0.20 
  26  0.09  0.40  0.20 
  27  0.11  0.40  0.20 
  28  0.13  0.40  0.20 
  29  0.20  0.40  0.20 
  30  0.23  0.41  0.20 
  31  0.18  0.38  0.23 
  32  0.15  0.43  0.23 
  33  0.21  0.51  0.23 
  34  0.18  0.41  0.23 
  35  0.18  0.52  0.23 
  36  0.18  0.43  0.23 
  37  0.10  0.45  0.23 
  38  0.25  0.42  0.23 
  39  0.27  0.46  0.25 
  40  0.24  0.80  0.27 
  41  0.21  0.68  0.27 
  42  0.19  0.44  0.27 
  43  0.20  0.19  0.27 
  44  0.16  0.22  0.27 
  45  0.28  0.32  0.27 
  46  0.20  0.22  0.28 
  47  0.22  0.21  0.28 
  48  0.31  0.23  0.28 
  49  0.31  0.46  0.31 
  50  0.32  0.25  0.31 
  51  0.18  0.66  0.32 
  52  0.19  0.33  0.32 
  53  0.12  0.41  0.32 
  54  0.21  0.29  0.32 
  55  0.33  0.31  0.32 
  56  0.29  0.34  0.33 
  57  0.25  0.19  0.33 
  58  0.15  0.18  0.33 
  59  0.22  0.27  0.33 
  60  0.15  0.20  0.33 
  61  0.41  0.27  0.33 
  62  0.28  0.46  0.41 
  63  0.29  0.46  0.41 
  64  0.28  0.51  0.41 
  65  0.27  0.21  0.41 
  66  0.25  0.19  0.41 
  67  0.26  0.35  0.41 
  68  0.27  0.40  0.41 
  69  0.26  0.61  0.41 
  70  0.22  0.36  0.41 
  71  0.27  0.26  0.41 
  72  0.35  0.14  0.41 
  73  0.25  0.15  0.41 
  74  0.32  0.44  0.41 
  75  0.33  0.46  0.41 
  76  0.24  0.68  0.41 
  77  0.25  0.96  0.41 
  78  0.32  0.99  0.41 
  79  0.24  0.99  0.41 
  80  0.29  0.95  0.41 
  81  0.25  1.01  0.41 
  82  0.27  0.85  0.41 
  83  0.28  0.35  0.41 
  84  0.36  0.85  0.41 
  85  0.22  0.74  0.41 
  86  0.26  0.59  0.41 
  87  0.31  0.75  0.41 
  88  0.34  0.88  0.41 
  89  0.27  0.61  0.41 
  90  0.32  0.96  0.41 
  91  0.24  0.49  0.41 
  92  0.23  0.50  0.41 
  93  0.28  0.36  0.41 
  94  0.26  0.51  0.41 
  95  0.28  0.95  0.41 
  96  0.31  0.43  0.41 
  97  0.34  0.37  0.41 
  98  0.35  0.43  0.41 
  99  0.27  0.38  0.41 
 100  0.23  0.61  0.41 
 101  0.21  0.55  0.41 
 102  0.41  0.66  0.41 
 103  0.34  0.66  0.41 
 104  0.29  0.71  0.41 
 105  0.32  0.81  0.41 
 106  0.26  0.67  0.41 
 107  0.42  0.86  0.41 
 108  0.22  0.86  0.42 
 109  0.24  0.96  0.42 
 110  0.32  1.00  0.42 
 111  0.47  0.95  0.42 
 112  0.22  0.99  0.47 
 113  0.38  0.90  0.47 
 114  0.42  0.84  0.47 
 115  0.34  0.91  0.47 
 116  0.33  0.83  0.47 
 117  0.49  0.86  0.47 
 118  0.39  0.70  0.49 
 119  0.29  0.69  0.49 
 120  0.32  0.77  0.49 
 121  0.19  0.87  0.49 
 122  0.33  0.91  0.49 
 123  0.23  0.76  0.49 
 124  0.48  0.93  0.49 
 125  0.27  0.91  0.49 
 126  0.42  0.93  0.49 
 127  0.52  0.79  0.49 
 128  0.44  0.99  0.52 
 129  0.52  0.90  0.52 
 130  0.41  0.85  0.52 
 131  0.36  0.91  0.52 
 132  0.41  1.01  0.52 
 133  0.37  0.92  0.52 
 134  0.52  0.95  0.52 
 135  0.23  1.06  0.52 
 136  0.33  1.01  0.52 
 137  0.40  1.05  0.52 
 138  0.44  0.99  0.52 
 139  0.41  0.86  0.52 
 140  0.35  0.67  0.52 
 141  0.40  0.60  0.52 
 142  0.42  0.61  0.52 
 143  0.28  1.02  0.52 
 144  0.41  0.67  0.52 
 145  0.35  0.72  0.52 
 146  0.45  0.75  0.52 
 147  0.34  0.74  0.52 
 148  0.37  1.01  0.52 
 149  0.43  1.09  0.52 
 150  0.32  0.84  0.52 
 151  0.47  0.66  0.52 
 152  0.44  0.78  0.52 
 153  0.41  0.85  0.52 
 154  0.52  0.64  0.52 
 155  0.41  0.42  0.52 
 156  0.38  0.64  0.52 
 157  0.38  0.68  0.52 
 158  0.49  0.59  0.52 
 159  0.45  0.68  0.52 
 160  0.53  0.66  0.52 
 161  0.56  0.71  0.53 
 162  0.44  0.54  0.56 
 163  0.58  0.60  0.56 
 164  0.34  0.53  0.58 
 165  0.42  0.59  0.58 
 166  0.65  0.54  0.58 
 167  0.35  0.54  0.65 
