Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  3.27  3.88 -100000000.00 
   1  1.26  4.19  3.27 
   2  1.76  4.24  3.27 
   3  4.09  4.39  3.27 
   4  3.79  4.05  4.09 
   5  3.91  3.96  4.09 
   6  4.02  3.61  4.09 
   7  3.05  4.30  4.09 
   8  4.02  4.12  4.09 
   9  2.26  3.52  4.09 
  10  3.04  4.45  4.09 
  11  3.50  4.20  4.09 
  12  3.27  3.94  4.09 
  13  4.29  4.37  4.09 
  14  4.54  4.04  4.29 
  15  3.28  4.20  4.54 
  16  2.00  2.97  4.54 
  17  3.81  4.39  4.54 
  18  4.05  4.23  4.54 
  19  3.03  3.80  4.54 
  20  3.83  2.61  4.54 
  21  4.01  2.68  4.54 
  22  3.02  3.77  4.54 
  23  4.15  4.21  4.54 
  24  4.54  4.06  4.54 
  25  4.55  3.90  4.54 
  26  3.57  3.79  4.55 
  27  2.78  4.08  4.55 
  28  4.54  3.65  4.55 
  29  3.51  3.04  4.55 
  30  3.52  4.04  4.55 
  31  3.04  3.78  4.55 
  32  2.78  2.96  4.55 
  33  4.57  4.07  4.55 
  34  4.06  4.04  4.57 
  35  2.52  3.45  4.57 
  36  4.05  3.53  4.57 
  37  2.55  3.80  4.57 
  38  6.17  3.53  4.57 
  39  4.07  4.05  6.17 
  40  4.65  4.65  6.17 
  41  3.54  3.62  6.17 
  42  4.05  2.95  6.17 
  43  4.00  3.67  6.17 
  44  3.03  4.74  6.17 
  45  3.54  3.79  6.17 
  46  2.27  3.70  6.17 
  47  3.30  3.72  6.17 
  48  3.32  4.06  6.17 
  49  4.05  4.21  6.17 
  50  4.60  3.65  6.17 
  51  4.06  4.20  6.17 
  52  4.04  4.06  6.17 
  53  4.09  4.16  6.17 
  54  3.55  4.20  6.17 
  55  3.27  4.22  6.17 
  56  3.04  4.40  6.17 
  57  3.93  3.79  6.17 
  58  3.51  4.13  6.17 
  59  4.02  3.18  6.17 
  60  4.04  3.55  6.17 
  61  4.58  3.00  6.17 
  62  3.36  3.40  6.17 
  63  5.15  4.11  6.17 
  64  3.56  4.09  6.17 
  65  4.02  4.06  6.17 
  66  4.06  3.53  6.17 
  67  2.77  3.90  6.17 
  68  2.78  2.87  6.17 
  69  2.77  3.04  6.17 
  70  3.78  3.68  6.17 
  71  4.14  3.70  6.17 
  72  3.02  3.41  6.17 
  73  3.78  3.73  6.17 
  74  3.06  3.63  6.17 
  75  3.57  3.90  6.17 
  76  4.04  3.21  6.17 
  77  4.04  3.75  6.17 
  78  3.78  3.62  6.17 
  79  3.79  3.38  6.17 
  80  3.52  4.38  6.17 
  81  2.54  3.14  6.17 
  82  4.06  3.28  6.17 
  83  3.53  3.28  6.17 
  84  3.78  3.57  6.17 
  85  4.03  3.80  6.17 
  86  4.04  3.21  6.17 
  87  4.07  3.89  6.17 
  88  4.09  3.98  6.17 
  89  2.78  3.27  6.17 
  90  3.29  3.91  6.17 
