iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.979435920715332,-0.999999971354534,1.9608970133013993e-09,-0.9999999692751624,-0.9999999739910641,0.0,35.336829272025525,0.1,0.050719261169433594,0.008622407913208008,0.05029607,0.003923413,-0.999999971354534,0.0,-0.03999995187785069,0.0,4,0.0023195743560791016,0.8229508379389608,0.8229508379389608,4,-0.9999999718454872,0.0
1,0.9035913944244385,-0.9999999713248917,1.7013019093530154e-09,-0.9999999686637471,-0.9999999734020832,0.0,38.33124224379691,0.1,0.0015475749969482422,0.011347770690917969,0.048994243,0.0074767396,-0.9999999713515698,0.0,-0.03999995187785069,0.0,4,0.0013518333435058594,0.8229508379389608,0.8229508379389608,8,-0.9999999716983718,0.0
2,0.9344058036804199,-0.9999999722628758,1.2502973729106856e-09,-0.9999999710426926,-0.9999999742087051,0.0,51.53518933035954,0.1,0.001667022705078125,0.011499881744384766,0.051503897,0.0013833947,-0.9999999714427005,0.0,-0.03999995187785069,0.0,4,0.0012409687042236328,0.8229508975436054,0.8229508975436054,12,-0.9999999716174933,0.0
3,0.9222316741943359,-0.9999999715286882,1.795463889801472e-09,-0.999999969355899,-0.9999999740177623,0.0,33.20039776859387,0.1,0.0013766288757324219,0.014411449432373047,0.048983514,0.008384038,-0.9999999714512993,0.0,-0.03999995187785069,0.0,4,0.0011413097381591797,0.8229508379389608,0.8229508379389608,16,-0.9999999715057529,0.0
4,0.900367259979248,-0.9999999724547932,1.2054891679436612e-09,-0.9999999707007305,-0.999999974032519,0.0,53.258102362996745,0.1,0.0013835430145263672,0.014374017715454102,0.049050987,0.006582413,-0.9999999715516488,0.0,-0.03999995187785069,0.0,4,0.001165628433227539,0.8229508975436054,0.8229508975436054,20,-0.9999999714153526,0.0
5,0.9284961223602295,-0.9999999720352895,1.2176242368364306e-09,-0.9999999706614746,-0.9999999733115619,0.0,53.003161518809485,0.1,0.0015730857849121094,0.014414787292480469,0.049737096,0.0035270173,-0.9999999716000129,0.0,-0.03999995187785069,0.0,4,0.001232147216796875,0.8229508975436054,0.8229508975436054,24,-0.9999999713356509,0.0
6,0.914161205291748,-0.9999999705098859,8.877295831603112e-10,-0.9999999695293196,-0.9999999716534429,0.0,75.14118884090438,0.1,0.001961231231689453,0.018470048904418945,0.05039859,0.0015153105,-0.9999999714910002,0.0,-0.03999995187785069,0.0,4,0.0014660358428955078,0.8229508379389608,0.8229508379389608,28,-0.9999999712529933,0.0
7,0.9869024753570557,-0.9999999716474919,1.2513436994102106e-09,-0.999999970295596,-0.9999999732403049,0.0,55.21313088432793,0.1,0.001809835433959961,0.01829361915588379,0.048479974,0.0041677454,-0.9999999715066493,0.0,-0.03999995187785069,0.0,4,0.0015513896942138672,0.8229508975436054,0.8229508975436054,32,-0.9999999711769766,0.0
8,0.9681229591369629,-0.9999999701474412,1.3921127094061858e-09,-0.9999999687421597,-0.9999999724631052,0.0,47.047896163919205,0.1,0.0014958381652832031,0.013918638229370117,0.051982492,0.0013129727,-0.9999999713707286,0.0,-0.03999995187785069,0.0,4,0.001352071762084961,0.822950936042357,0.822950936042357,36,-0.9999999710741947,0.0
9,0.9249672889709473,-0.9999999713892331,1.3854034605166406e-09,-0.9999999695506729,-0.9999999732770364,0.0,46.29566750672511,0.1,0.0014452934265136719,0.01353597640991211,0.04891476,0.0053803157,-0.9999999713725791,0.0,-0.03999995187785069,0.0,4,0.001161336898803711,0.8229508379389608,0.8229508379389608,40,-0.9999999709291619,0.0
10,0.945512056350708,-0.9999999726971194,9.627941812519854e-10,-0.999999971162089,-0.99999997379093,0.0,74.35815374947654,0.1,0.0014064311981201172,0.013912200927734375,0.04964754,0.0022154285,-0.9999999715050332,0.0,-0.03999995187785069,0.0,4,0.0011513233184814453,0.8229508975436054,0.8229508975436054,44,-0.9999999708375243,0.0
11,0.9203956127166748,-0.9999999691634172,1.3109200332091173e-09,-0.9999999679762204,-0.9999999713706751,0.0,48.76749746956116,0.1,0.0014958381652832031,0.01412653923034668,0.051672935,0.001105674,-0.9999999712708716,0.0,-0.03999995187785069,0.0,4,0.0011529922485351562,0.8229508764377053,0.8229508764377053,48,-0.9999999707462058,0.0
