Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.05  0.04 -100000000.00 
   1  0.05  0.04  0.05 
   2  0.05  0.04  0.05 
   3  0.06  0.05  0.05 
   4  0.05  0.05  0.06 
   5  0.05  0.06  0.06 
   6  0.05  0.07  0.06 
   7  0.06  0.07  0.06 
   8  0.12  0.08  0.06 
   9  0.06  0.07  0.12 
  10  0.09  0.07  0.12 
  11  0.07  0.07  0.12 
  12  0.08  0.10  0.12 
  13  0.05  0.11  0.12 
  14  0.21  0.09  0.12 
  15  0.07  0.09  0.21 
  16  0.10  0.14  0.21 
  17  0.14  0.12  0.21 
  18  0.17  0.13  0.21 
  19  0.15  0.18  0.21 
  20  0.12  0.21  0.21 
  21  0.19  0.29  0.21 
  22  0.27  0.41  0.21 
  23  0.31  0.57  0.27 
  24  0.19  0.43  0.31 
  25  0.13  0.41  0.31 
  26  0.12  0.33  0.31 
  27  0.08  0.51  0.31 
  28  0.17  0.72  0.31 
  29  0.21  0.70  0.31 
  30  0.44  0.75  0.31 
  31  0.19  0.95  0.44 
  32  0.22  1.11  0.44 
  33  0.13  0.82  0.44 
  34  0.22  0.89  0.44 
  35  0.28  0.96  0.44 
  36  0.17  0.93  0.44 
  37  0.14  0.81  0.44 
  38  0.19  0.63  0.44 
  39  0.43  0.63  0.44 
  40  0.20  0.56  0.44 
  41  0.35  0.52  0.44 
  42  0.51  0.71  0.44 
  43  0.60  0.82  0.51 
  44  0.25  0.88  0.60 
  45  0.26  0.61  0.60 
  46  0.37  0.69  0.60 
  47  0.29  0.68  0.60 
  48  0.36  0.68  0.60 
  49  0.37  0.55  0.60 
  50  0.38  0.61  0.60 
  51  0.38  0.39  0.60 
  52  0.20  0.60  0.60 
  53  0.54  0.55  0.60 
  54  0.38  0.47  0.60 
  55  0.52  0.87  0.60 
  56  0.17  1.11  0.60 
  57  0.48  0.85  0.60 
  58  0.38  1.08  0.60 
  59  0.29  0.94  0.60 
  60  0.24  1.04  0.60 
  61  0.65  1.14  0.60 
  62  0.45  0.91  0.65 
  63  0.38  0.74  0.65 
  64  0.30  0.90  0.65 
  65  0.47  0.86  0.65 
  66  0.64  1.08  0.65 
  67  0.23  0.91  0.65 
  68  0.38  1.06  0.65 
  69  0.54  1.08  0.65 
  70  0.65  1.01  0.65 
  71  0.33  0.51  0.65 
  72  0.82  0.70  0.65 
  73  0.33  0.47  0.82 
