Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.06  0.05 -100000000.00 
   1  0.07  0.06  0.06 
   2  0.05  0.06  0.07 
   3  0.07  0.05  0.07 
   4  0.07  0.06  0.07 
   5  0.06  0.06  0.07 
   6  0.05  0.06  0.07 
   7  0.06  0.07  0.07 
   8  0.08  0.06  0.07 
   9  0.06  0.07  0.08 
  10  0.06  0.06  0.08 
  11  0.08  0.06  0.08 
  12  0.10  0.06  0.08 
  13  0.07  0.07  0.10 
  14  0.22  0.08  0.10 
  15  0.07  0.09  0.22 
  16  0.08  0.09  0.22 
  17  0.11  0.07  0.22 
  18  0.15  0.08  0.22 
  19  0.06  0.08  0.22 
  20  0.09  0.10  0.22 
  21  0.09  0.08  0.22 
  22  0.38  0.12  0.22 
  23  0.10  0.12  0.38 
  24  0.10  0.10  0.38 
  25  0.05  0.11  0.38 
  26  0.12  0.11  0.38 
  27  0.09  0.10  0.38 
  28  0.10  0.10  0.38 
  29  0.10  0.13  0.38 
  30  0.08  0.11  0.38 
  31  0.09  0.13  0.38 
  32  0.08  0.14  0.38 
  33  0.14  0.18  0.38 
  34  0.11  0.15  0.38 
  35  0.23  0.17  0.38 
  36  0.16  0.26  0.38 
  37  0.08  0.33  0.38 
  38  0.25  0.32  0.38 
  39  0.09  0.46  0.38 
  40  0.14  0.46  0.38 
  41  0.12  0.58  0.38 
  42  0.15  0.63  0.38 
  43  0.32  0.66  0.38 
  44  0.92  0.96  0.38 
  45  0.15  1.10  0.92 
  46  0.13  1.73  0.92 
  47  0.22  1.27  0.92 
  48  0.55  1.63  0.92 
  49  0.39  2.32  0.92 
  50  0.30  1.35  0.92 
  51  0.39  1.88  0.92 
  52  0.41  2.15  0.92 
  53  0.66  1.95  0.92 
  54  0.80  3.16  0.92 
  55  0.38  2.07  0.92 
  56  0.27  3.01  0.92 
  57  0.28  3.44  0.92 
  58  0.67  3.01  0.92 
  59  0.26  1.78  0.92 
  60  0.15  2.35  0.92 
  61  0.40  2.81  0.92 
  62  0.47  0.73  0.92 
  63  0.24  2.21  0.92 
  64  0.48  2.35  0.92 
  65  0.26  2.47  0.92 
  66  1.21  2.77  0.92 
  67  0.50  2.92  1.21 
  68  0.50  2.30  1.21 
  69  0.50  1.95  1.21 
  70  0.39  1.14  1.21 
  71  0.43  0.93  1.21 
  72  1.57  0.74  1.21 
  73  0.35  0.42  1.57 
  74  0.33  0.37  1.57 
  75  0.56  0.45  1.57 
  76  0.34  0.43  1.57 
  77  0.25  0.56  1.57 
  78  0.34  0.77  1.57 
  79  0.74  0.97  1.57 
  80  0.45  0.75  1.57 
  81  0.81  0.85  1.57 
  82  0.38  0.84  1.57 
  83  0.60  1.00  1.57 
  84  0.76  0.69  1.57 
  85  0.56  0.89  1.57 
  86  0.80  0.96  1.57 
  87  0.54  1.37  1.57 
  88  0.70  1.04  1.57 
  89  0.38  1.17  1.57 
  90  0.34  2.36  1.57 
  91  0.25  2.67  1.57 
  92  0.32  2.72  1.57 
  93  0.73  2.49  1.57 
  94  1.24  1.36  1.57 
  95  0.59  1.25  1.57 
  96  1.13  1.55  1.57 
  97  0.82  2.02  1.57 
  98  1.33  1.42  1.57 
  99  0.69  1.23  1.57 
 100  0.29  1.46  1.57 
 101  1.00  0.98  1.57 
 102  0.86  0.91  1.57 
 103  1.06  1.43  1.57 
 104  0.62  1.03  1.57 
 105  0.55  0.95  1.57 
 106  0.93  1.69  1.57 
 107  1.35  2.07  1.57 
 108  1.24  1.84  1.57 
 109  0.53  1.46  1.57 
 110  0.76  2.61  1.57 
 111  0.49  1.22  1.57 
 112  0.35  1.16  1.57 
 113  1.09  1.22  1.57 
 114  1.27  1.10  1.57 
 115  1.61  0.77  1.57 
 116  1.47  0.76  1.61 
 117  0.53  0.76  1.61 
