iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2391917705535889,1.5639166225812706,2.610033398094406,6.084611747419167,0.04816205285474372,0.0,0.18994925725112263,0.1,0.012807369232177734,0.05671811103820801,0.053939324,4.0223145,1.5639166225812706,0.0,0.017512753776020972,0.0,300,0.018291950225830078,0.9710894803552504,0.9206619241904423,300,0.047434704377136226,0.0
1,1.0694725513458252,3.569912407908758,6.088538229441256,14.115569281887423,0.051425170837121274,0.0,0.22744755764572958,0.1,0.003576993942260742,0.0717463493347168,0.048493594,0.8368296,1.7645162011140194,0.0,0.04760683572094258,0.0,300,0.017545223236083984,0.963939391963617,0.9335116689246907,600,0.04681198672871847,0.0
2,1.1655869483947754,0.052271682914081546,0.013202054047362726,0.06327396220708362,0.029828214366799603,0.0,0.188708638184264,0.1,0.0029015541076660156,0.05719590187072754,0.053309955,0.52555764,1.5932917492940257,0.0,0.0007011879316750258,0.0,300,0.017166852951049805,286.1215665992513,543.6528458841514,900,0.05017481144405963,0.0
3,1.2124450206756592,5.326866933617549,5.303158784062068,11.12717578635108,0.026448682871244328,0.0,0.19326670071784638,0.1,0.0030612945556640625,0.05770587921142578,0.049915172,0.7649825,1.9666492677263783,0.0,0.07103541494833096,0.0,300,0.021094083786010742,0.8845457689754237,0.8311328381016073,1200,0.05742810693079827,0.0
4,1.1231610774993896,1.8620048037209713,3.0420115330009234,7.130184778767088,0.048625207609184,0.0,0.1689550341782907,0.1,0.002817869186401367,0.05697512626647949,0.053868543,1.7648923,1.9561848213258377,0.0,0.024778153217113817,0.0,300,0.016942739486694336,0.8703027240834722,0.8972763800784981,1500,0.05253026211815152,0.0
5,1.146902084350586,8.835562224135618,5.326991275979261,13.09448809394963,0.04039827534416224,0.0,0.1867063666924679,0.1,0.0027823448181152344,0.056732177734375,0.050701443,0.7411444,2.6441225616068156,0.0,0.11447796831496507,0.0,300,0.018342256546020508,0.787526257256895,0.6970796123952652,1800,0.04931916703408231,0.0
6,1.1424107551574707,4.587281645686744,5.007745827710214,12.08935420421935,0.030976471311548702,0.0,0.18782261496858021,0.1,0.002805471420288086,0.059041738510131836,0.0498817,0.9359672,2.8384384700148084,0.0,0.06116741784391771,0.0,300,0.024765729904174805,0.7324224497868527,0.7122633325779861,2100,0.052403908262429355,0.0
7,1.1636102199554443,2.300279875293245,2.8589048011341105,7.045168382666886,0.040553668361608765,0.0,0.1859068180294678,0.1,0.003172636032104492,0.057000160217285156,0.051331624,1.0769358,2.7846226105426526,0.0,0.03066870920293699,0.0,300,0.019977092742919922,1.1276971028828655,1.0303068470972911,2400,0.04749220810920928,0.0
8,1.156139850616455,5.5940140680371835,7.036463613806868,17.249353052367667,0.026691548383332573,0.0,0.17905869004298955,0.1,0.0028328895568847656,0.05690193176269531,0.05084696,1.2113117,3.065561756292106,0.0,0.0712460892810842,0.0,300,0.017284154891967773,0.7218738182861058,0.7151340133141257,2700,0.054385360648007953,0.0
9,1.2271056175231934,10.363475466942615,6.58525014241401,18.073942482138854,0.05202263923087449,0.0,0.1820726071857763,0.1,0.0027632713317871094,0.05580759048461914,0.05153059,0.6745745,3.7953531273571572,0.0,0.13818508864273693,0.0,300,0.017356395721435547,0.6891662693302788,0.5998659043437143,3000,0.0642016480858207,0.0
10,1.259209156036377,12.086302221873293,13.985861888902011,34.17053441388261,0.026180712170110948,0.0,0.16743090340144845,0.1,0.0028781890869140625,0.055657148361206055,0.049263917,1.123743,4.62444803680877,0.0,0.15781730477497724,0.0,300,0.01739025115966797,0.7445197716914178,0.6553402876371884,3300,0.06868576153501482,0.0
11,1.25433349609375,8.140894383491538,8.336821916838911,19.2179840158235,0.036721896036464696,0.0,0.18163771560575556,0.1,0.002847909927368164,0.05530500411987305,0.050010838,0.7424774,4.976092671477048,0.0,0.10850236662165727,0.0,300,0.015551328659057617,0.5827837649744396,0.6082543959615894,3600,0.06809252106183285,0.0
12,1.227048635482788,3.0897916855362517,3.08389887992128,7.074428061336272,0.0810163427466797,0.0,0.1928306976503088,0.1,0.002950429916381836,0.06468725204467773,0.04985964,0.5932539,4.787462572882968,0.0,0.04118206436078313,0.0,300,0.017865896224975586,2.5338204595961384,1.5357726717305777,3900,27.16394119220001,0.0
13,1.1484997272491455,3.3416909575634417,5.69924612055256,13.213069440430285,0.043496310073001955,0.0,0.17494782325410682,0.1,0.0029404163360595703,0.05670499801635742,0.050244287,1.0151664,4.642885411351016,0.0,0.04455462448752344,0.0,300,0.017093181610107422,1.373975001208332,0.9176252321688114,4200,9.16729082872483,0.0
14,1.188887596130371,20.308528858570355,10.231013291025757,33.289665565586084,7.083640992965967,0.0,0.17599978467324673,0.1,0.0028426647186279297,0.05559182167053223,0.0509464,0.74756736,6.209449756072949,0.0,0.27074962583983486,0.0,300,0.0175020694732666,0.6463192856952995,0.6306253650726291,4500,14.273464900168157,0.0
15,1.137582778930664,14.11782388285556,5.632714979511327,21.09474610875131,8.071476953116603,0.0,0.17456942243210183,0.1,0.003152132034301758,0.056046485900878906,0.049959812,0.64801115,7.0002871687512105,0.0,0.18157440420763268,0.0,300,0.017400026321411133,0.49068541429529433,0.3610038043163499,4800,11.293225448812416,0.0
16,1.1953034400939941,14.164273923272665,6.643839587094437,21.302655735138245,6.050825066388825,0.0,0.16138177289320957,0.1,0.0028383731842041016,0.056101322174072266,0.05001702,1.1936619,7.716685844203356,0.0,0.1855271668389087,0.0,300,0.017167091369628906,0.4754779872415065,0.4026807680963655,5100,17.26665841220257,0.0
