Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.02 -100000000.00 
   1  0.03  0.02  0.02 
   2  0.02  0.03  0.03 
   3  0.02  0.04  0.03 
   4  0.09  0.05  0.03 
   5  0.07  0.06  0.09 
   6  0.04  0.10  0.09 
   7  0.03  0.08  0.09 
   8  0.12  0.10  0.09 
   9  0.10  0.09  0.12 
  10  0.03  0.08  0.12 
  11  0.11  0.08  0.12 
  12  0.11  0.09  0.12 
  13  0.13  0.10  0.12 
  14  0.22  0.14  0.13 
  15  0.05  0.13  0.22 
  16  0.07  0.24  0.22 
  17  0.14  0.35  0.22 
  18  0.32  0.26  0.22 
  19  0.18  0.23  0.32 
  20  0.13  0.34  0.32 
  21  0.10  0.28  0.32 
  22  0.31  0.24  0.32 
  23  0.12  0.25  0.32 
  24  0.24  0.25  0.32 
  25  0.11  0.24  0.32 
  26  0.20  0.50  0.32 
  27  0.07  0.42  0.32 
  28  0.07  0.52  0.32 
  29  0.19  0.44  0.32 
  30  0.16  0.44  0.32 
  31  0.17  0.70  0.32 
  32  0.11  0.54  0.32 
  33  0.31  0.74  0.32 
  34  0.09  0.61  0.32 
  35  0.25  0.58  0.32 
  36  0.28  0.62  0.32 
  37  0.10  0.68  0.32 
  38  0.21  0.60  0.32 
  39  0.17  0.60  0.32 
  40  0.33  0.58  0.32 
  41  0.32  0.83  0.33 
  42  0.28  0.88  0.33 
  43  0.61  1.06  0.33 
  44  0.56  0.37  0.61 
  45  0.24  0.25  0.61 
  46  0.20  0.49  0.61 
  47  0.26  0.68  0.61 
  48  0.46  0.23  0.61 
  49  0.49  0.61  0.61 
  50  0.30  0.27  0.61 
  51  0.28  0.30  0.61 
  52  0.20  0.30  0.61 
  53  0.26  0.33  0.61 
  54  0.59  0.24  0.61 
  55  0.23  0.26  0.61 
  56  0.46  0.75  0.61 
  57  0.19  0.22  0.61 
  58  0.44  0.29  0.61 
  59  0.26  0.18  0.61 
  60  0.24  0.53  0.61 
  61  0.22  0.25  0.61 
  62  0.34  0.23  0.61 
  63  0.36  0.26  0.61 
  64  0.29  0.37  0.61 
  65  0.32  0.34  0.61 
  66  0.60  0.40  0.61 
  67  0.42  0.38  0.61 
  68  0.38  0.40  0.61 
  69  0.42  0.46  0.61 
  70  0.33  0.43  0.61 
  71  0.76  0.40  0.61 
  72  0.75  0.29  0.76 
  73  0.49  0.34  0.76 
  74  0.39  0.74  0.76 
  75  0.21  0.38  0.76 
  76  0.52  0.56  0.76 
  77  0.56  0.60  0.76 
  78  0.39  0.67  0.76 
  79  0.31  0.43  0.76 
  80  0.34  0.38  0.76 
  81  0.59  0.37  0.76 
  82  0.23  0.46  0.76 
  83  0.47  0.53  0.76 
  84  0.42  0.57  0.76 
  85  0.69  0.62  0.76 
  86  0.55  0.92  0.76 
  87  0.49  1.28  0.76 
  88  0.61  0.51  0.76 
  89  0.31  0.43  0.76 
  90  0.23  1.33  0.76 
  91  0.21  0.67  0.76 
  92  0.57  1.33  0.76 
  93  0.51  0.99  0.76 
  94  0.41  0.39  0.76 
  95  0.53  1.31  0.76 
  96  0.61  1.89  0.76 
  97  0.92  0.74  0.76 
  98  0.63  2.15  0.92 
  99  0.99  1.12  0.92 
 100  0.32  0.67  0.99 
 101  0.52  0.18  0.99 
 102  0.61  1.19  0.99 
 103  0.64  1.05  0.99 
 104  0.74  0.68  0.99 
 105  0.34  1.68  0.99 
 106  0.29  1.48  0.99 
 107  0.68  1.65  0.99 
 108  0.59  1.88  0.99 
 109  0.58  1.16  0.99 
 110  0.55  1.02  0.99 
 111  0.54  1.17  0.99 
 112  0.72  1.57  0.99 
 113  0.38  1.18  0.99 
 114  0.71  0.77  0.99 
 115  0.54  0.64  0.99 
 116  0.45  0.77  0.99 
 117  0.47  1.07  0.99 
 118  0.45  1.14  0.99 
 119  0.69  0.88  0.99 
 120  0.55  1.18  0.99 
 121  0.63  0.89  0.99 
 122  0.41  1.00  0.99 
 123  0.34  0.49  0.99 
 124  0.53  0.48  0.99 
 125  0.54  0.43  0.99 
 126  0.50  1.23  0.99 
 127  0.74  1.29  0.99 
 128  0.78  1.00  0.99 
 129  0.50  1.21  0.99 
 130  0.42  0.94  0.99 
 131  0.85  0.85  0.99 
 132  0.42  0.64  0.99 
 133  0.50  0.87  0.99 
 134  0.68  0.34  0.99 
 135  0.29  0.26  0.99 
 136  0.55  0.74  0.99 
 137  0.32  0.33  0.99 
 138  0.58  0.92  0.99 
 139  0.62  0.65  0.99 
 140  1.01  0.85  0.99 
 141  0.53  0.36  1.01 
 142  0.60  0.43  1.01 
 143  0.42  0.70  1.01 
 144  0.49  0.74  1.01 
 145  0.58  0.83  1.01 
 146  0.60  0.57  1.01 
 147  0.55  0.79  1.01 
 148  0.45  0.79  1.01 
 149  0.58  0.85  1.01 
 150  0.39  0.26  1.01 
 151  0.75  0.95  1.01 
 152  0.55  0.86  1.01 
 153  0.75  0.28  1.01 
 154  0.57  0.25  1.01 
 155  0.42  0.24  1.01 
 156  0.76  0.59  1.01 
 157  0.62  0.67  1.01 
 158  0.48  1.15  1.01 
 159  0.63  1.15  1.01 
 160  0.83  0.94  1.01 
 161  0.60  1.36  1.01 
 162  0.52  1.24  1.01 
 163  0.56  0.61  1.01 
 164  0.72  0.70  1.01 
 165  0.56  0.88  1.01 
 166  0.69  0.79  1.01 
 167  0.51  1.24  1.01 
 168  0.64  1.30  1.01 
 169  0.64  0.12  1.01 
 170  0.99  0.09  1.01 
 171  0.35  0.15  1.01 
 172  0.67  0.19  1.01 
 173  0.56  0.15  1.01 
 174  0.59  0.21  1.01 
 175  0.53  0.88  1.01 
 176  0.59  1.56  1.01 
 177  0.70  1.19  1.01 
 178  0.68  0.63  1.01 
 179  0.81  1.03  1.01 
 180  0.42  1.14  1.01 
 181  0.42  1.15  1.01 
 182  0.72  1.37  1.01 
 183  0.57  1.06  1.01 
 184  0.90  1.22  1.01 
 185  0.40  0.87  1.01 
 186  0.83  0.79  1.01 
 187  0.66  1.72  1.01 
 188  1.18  1.60  1.01 
 189  0.66  1.16  1.18 
 190  1.08  1.69  1.18 
 191  0.46  1.48  1.18 
 192  0.72  1.73  1.18 
 193  0.94  1.77  1.18 
 194  0.69  0.96  1.18 
 195  0.45  0.99  1.18 
 196  0.55  1.27  1.18 
 197  0.88  1.50  1.18 
 198  0.85  1.71  1.18 
 199  0.57  1.65  1.18 
 200  0.49  2.13  1.18 
 201  0.90  1.47  1.18 
 202  0.81  1.46  1.18 
 203  0.35  1.89  1.18 
 204  0.78  1.77  1.18 
 205  0.84  1.86  1.18 
 206  0.65  1.45  1.18 
 207  0.55  1.63  1.18 
 208  0.70  1.13  1.18 
 209  0.70  0.97  1.18 
 210  1.11  1.38  1.18 
 211  1.07  1.09  1.18 
 212  0.36  0.73  1.18 
 213  0.67  0.40  1.18 
 214  0.91  0.37  1.18 
 215  0.86  0.60  1.18 
 216  0.67  0.44  1.18 
 217  0.86  0.32  1.18 
 218  0.84  0.31  1.18 
 219  1.00  0.52  1.18 
 220  0.89  0.77  1.18 
 221  0.29  1.49  1.18 
 222  0.97  1.26  1.18 
 223  0.86  1.30  1.18 
 224  0.86  1.15  1.18 
 225  0.81  1.21  1.18 
 226  1.11  1.13  1.18 
 227  0.47  1.29  1.18 
 228  0.67  1.54  1.18 
 229  0.60  1.37  1.18 
 230  0.61  1.64  1.18 
 231  0.49  1.86  1.18 
 232  0.93  1.44  1.18 
 233  0.64  1.60  1.18 
 234  1.22  1.96  1.18 
 235  0.40  1.90  1.22 
 236  0.89  1.99  1.22 
 237  0.91  1.64  1.22 
 238  0.72  1.91  1.22 
 239  0.92  0.68  1.22 
 240  0.65  1.44  1.22 
 241  1.32  0.77  1.22 
 242  1.08  0.78  1.32 
 243  0.78  1.15  1.32 
 244  0.50  1.74  1.32 
 245  0.83  1.31  1.32 
 246  0.80  0.43  1.32 
 247  1.12  1.40  1.32 
 248  0.72  1.41  1.32 
 249  0.95  2.08  1.32 
 250  0.78  2.06  1.32 
 251  0.64  2.66  1.32 
 252  1.10  1.58  1.32 
 253  0.82  1.84  1.32 
 254  0.74  1.75  1.32 
 255  1.26  2.08  1.32 
 256  0.87  2.84  1.32 
 257  1.02  2.22  1.32 
 258  0.54  1.77  1.32 
 259  0.75  2.27  1.32 
 260  1.37  2.11  1.32 
 261  0.66  1.95  1.37 
 262  0.71  2.04  1.37 
 263  1.01  1.79  1.37 
 264  0.99  1.88  1.37 
 265  0.96  1.98  1.37 
 266  1.27  1.65  1.37 
 267  0.60  2.02  1.37 
 268  1.15  1.73  1.37 
 269  0.66  1.79  1.37 
 270  0.77  1.75  1.37 
 271  0.67  1.71  1.37 
 272  0.86  2.42  1.37 
 273  1.10  1.85  1.37 
 274  0.87  1.86  1.37 
 275  1.28  1.66  1.37 
 276  0.76  2.05  1.37 
 277  1.04  1.24  1.37 
 278  0.98  1.21  1.37 
 279  0.77  1.89  1.37 
 280  0.74  1.99  1.37 
 281  0.87  1.72  1.37 
 282  0.88  1.76  1.37 
 283  1.14  2.17  1.37 
 284  1.58  1.76  1.37 
 285  0.37  2.18  1.58 
 286  0.66  2.09  1.58 
 287  0.77  2.21  1.58 
 288  0.95  1.71  1.58 
 289  0.99  1.14  1.58 
 290  1.01  1.46  1.58 
 291  0.79  1.49  1.58 
 292  0.79  1.65  1.58 
 293  1.04  1.50  1.58 
 294  0.99  1.55  1.58 
 295  1.05  0.72  1.58 
 296  1.45  1.90  1.58 
 297  0.88  2.04  1.58 
 298  1.58  1.38  1.58 
 299  0.67  0.72  1.58 
 300  0.61  0.87  1.58 
 301  0.52  1.02  1.58 
 302  0.96  0.90  1.58 
 303  1.37  1.70  1.58 
 304  0.88  1.13  1.58 
 305  1.01  0.97  1.58 
 306  1.35  1.44  1.58 
 307  1.02  2.04  1.58 
 308  1.25  1.26  1.58 
 309  1.10  1.22  1.58 
 310  1.56  1.33  1.58 
 311  1.00  1.64  1.58 
 312  0.89  0.65  1.58 
 313  1.07  0.83  1.58 
 314  1.34  1.05  1.58 
 315  1.26  1.10  1.58 
 316  1.02  2.52  1.58 
 317  1.02  1.25  1.58 
 318  0.90  2.05  1.58 
 319  0.92  2.24  1.58 
 320  1.01  2.05  1.58 
 321  1.39  0.82  1.58 
 322  1.57  1.35  1.58 
 323  1.09  1.06  1.58 
 324  1.30  1.16  1.58 
 325  1.01  1.28  1.58 
 326  1.03  1.86  1.58 
 327  1.15  1.44  1.58 
 328  1.09  2.47  1.58 
 329  1.05  1.98  1.58 
 330  1.70  1.93  1.58 
 331  1.12  0.77  1.70 
 332  1.05  1.33  1.70 
 333  1.33  1.97  1.70 
 334  1.06  2.26  1.70 
 335  0.95  0.77  1.70 
 336  0.95  1.13  1.70 
 337  1.10  0.46  1.70 
 338  1.25  1.26  1.70 
 339  1.79  1.70  1.70 
 340  1.01  1.80  1.79 
 341  1.53  2.19  1.79 
 342  1.42  1.51  1.79 
 343  0.95  0.68  1.79 
 344  1.33  0.55  1.79 
 345  1.29  0.91  1.79 
 346  0.78  0.62  1.79 
 347  1.79  0.70  1.79 
 348  1.21  0.51  1.79 
 349  1.79  1.27  1.79 
 350  1.12  0.78  1.79 
 351  0.81  2.27  1.79 
 352  1.06  1.60  1.79 
 353  1.71  2.23  1.79 
 354  1.47  0.81  1.79 
 355  1.42  0.73  1.79 
 356  0.95  1.11  1.79 
 357  0.92  0.87  1.79 
 358  1.30  0.57  1.79 
 359  0.86  0.63  1.79 
 360  1.17  0.58  1.79 
 361  0.66  0.46  1.79 
 362  1.32  0.63  1.79 
 363  1.40  0.37  1.79 
 364  1.05  0.47  1.79 
 365  1.30  0.98  1.79 
 366  1.49  1.72  1.79 
 367  1.86  2.00  1.79 
 368  1.40  1.58  1.86 
 369  0.74  1.30  1.86 
 370  1.63  1.57  1.86 
 371  1.13  0.88  1.86 
 372  1.46  1.68  1.86 
 373  1.15  0.75  1.86 
 374  1.52  1.30  1.86 
 375  1.17  0.71  1.86 
 376  1.31  0.95  1.86 
 377  1.51  0.82  1.86 
 378  1.38  1.05  1.86 
 379  1.46  1.81  1.86 
 380  0.86  1.10  1.86 
 381  1.20  0.76  1.86 
 382  1.60  1.40  1.86 
 383  1.21  1.47  1.86 
 384  1.30  1.86  1.86 
 385  1.66  1.08  1.86 
 386  1.33  0.37  1.86 
 387  1.38  1.37  1.86 
 388  1.77  0.77  1.86 
 389  1.28  0.54  1.86 
 390  1.10  0.58  1.86 
 391  1.11  0.40  1.86 
 392  1.35  0.90  1.86 
 393  1.35  0.68  1.86 
 394  1.20  1.33  1.86 
 395  1.33  0.98  1.86 
 396  1.68  1.06  1.86 
 397  1.58  0.87  1.86 
 398  1.72  0.79  1.86 
 399  1.17  0.86  1.86 
 400  1.26  0.75  1.86 
 401  1.23  0.53  1.86 
 402  1.82  0.24  1.86 
 403  1.80  0.73  1.86 
 404  1.33  0.28  1.86 
 405  1.61  0.34  1.86 
 406  1.60  0.09  1.86 
 407  1.95  0.40  1.86 
 408  1.70  0.55  1.95 
 409  1.44  0.15  1.95 
 410  1.20  0.55  1.95 
 411  1.47  1.12  1.95 
 412  2.04  1.33  1.95 
 413  1.94  1.39  2.04 
 414  0.95  2.07  2.04 
 415  1.75  2.62  2.04 
 416  1.34  1.95  2.04 
 417  1.78  1.83  2.04 
 418  1.45  1.45  2.04 
 419  1.58  1.18  2.04 
 420  1.17  0.89  2.04 
 421  1.81  2.66  2.04 
 422  1.39  2.50  2.04 
 423  1.11  2.19  2.04 
 424  1.63  2.82  2.04 
 425  1.78  2.88  2.04 
 426  1.77  2.23  2.04 
 427  1.20  2.72  2.04 
 428  1.55  2.58  2.04 
 429  1.68  2.93  2.04 
 430  1.50  2.44  2.04 
 431  1.15  2.49  2.04 
 432  1.21  1.82  2.04 
 433  1.19  2.72  2.04 
 434  1.47  0.33  2.04 
 435  1.65  0.97  2.04 
 436  1.43  1.01  2.04 
 437  1.76  0.65  2.04 
 438  1.23  1.83  2.04 
 439  1.32  0.89  2.04 
 440  1.53  0.48  2.04 
 441  1.11  0.27  2.04 
 442  2.28  0.32  2.04 
 443  1.31  0.85  2.28 
 444  1.93  0.17  2.28 
 445  1.16  0.07  2.28 
 446  1.91  0.15  2.28 
 447  1.25  0.18  2.28 
 448  2.33  0.28  2.28 
 449  0.68  0.55  2.33 
 450  1.61  0.55  2.33 
 451  1.75  0.97  2.33 
 452  1.53  2.18  2.33 
 453  0.91  1.86  2.33 
 454  1.42  0.49  2.33 
 455  1.76  1.38  2.33 
 456  1.43  0.74  2.33 
 457  1.03  2.74  2.33 
 458  0.73  2.17  2.33 
 459  1.15  1.88  2.33 
 460  1.67  2.85  2.33 
 461  1.74  1.88  2.33 
 462  1.90  2.27  2.33 
 463  1.34  2.93  2.33 
 464  2.02  2.36  2.33 
 465  1.98  2.57  2.33 
 466  1.40  2.74  2.33 
 467  1.63  1.93  2.33 
 468  0.94  1.51  2.33 
 469  1.18  1.47  2.33 
 470  1.78  1.57  2.33 
 471  0.89  1.87  2.33 
 472  1.31  2.55  2.33 
 473  1.68  2.12  2.33 
 474  1.37  1.46  2.33 
 475  1.48  1.92  2.33 
 476  1.58  2.65  2.33 
 477  0.62  2.88  2.33 
 478  1.66  2.78  2.33 
 479  1.18  2.63  2.33 
 480  1.14  2.95  2.33 
 481  1.62  2.57  2.33 
 482  2.09  2.72  2.33 
 483  1.50  0.90  2.33 
 484  1.74  1.04  2.33 
 485  1.54  1.45  2.33 
 486  1.35  2.59  2.33 
 487  1.26  0.94  2.33 
 488  1.83  1.74  2.33 
 489  0.96  0.94  2.33 
 490  1.20  1.46  2.33 
 491  1.43  1.40  2.33 
 492  1.61  1.01  2.33 
 493  1.97  0.49  2.33 
 494  1.77  0.88  2.33 
 495  1.50  1.82  2.33 
 496  2.03  0.66  2.33 
 497  2.52  1.01  2.33 
 498  1.94  1.28  2.52 
 499  1.21  2.96  2.52 
 500  1.55  2.75  2.52 
 501  1.80  2.18  2.52 
 502  0.72  1.55  2.52 
 503  1.30  1.36  2.52 
 504  1.89  2.03  2.52 
 505  1.59  1.65  2.52 
 506  1.20  2.21  2.52 
 507  1.07  1.27  2.52 
 508  1.03  0.32  2.52 
 509  1.56  1.42  2.52 
 510  1.43  1.52  2.52 
 511  1.17  1.30  2.52 
 512  1.75  1.30  2.52 
 513  0.86  1.52  2.52 
 514  1.77  1.49  2.52 
 515  1.64  2.30  2.52 
 516  1.78  1.45  2.52 
 517  1.51  2.29  2.52 
 518  1.83  1.70  2.52 
 519  1.51  1.50  2.52 
 520  2.46  2.55  2.52 
 521  1.96  1.69  2.52 
 522  1.68  2.23  2.52 
 523  1.27  1.71  2.52 
 524  1.53  1.47  2.52 
 525  1.84  1.75  2.52 
 526  2.32  2.03  2.52 
 527  2.17  2.47  2.52 
 528  1.24  1.97  2.52 
 529  1.43  2.80  2.52 
 530  1.47  1.81  2.52 
 531  0.76  1.59  2.52 
 532  1.05  1.83  2.52 
 533  1.65  1.80  2.52 
 534  1.38  2.20  2.52 
 535  1.38  1.66  2.52 
 536  1.48  1.83  2.52 
 537  1.39  1.94  2.52 
 538  1.76  3.14  2.52 
 539  1.54  2.47  2.52 
 540  1.76  1.88  2.52 
 541  2.07  1.65  2.52 
