Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.03 -100000000.00 
   1  0.04  0.04  0.03 
   2  0.03  0.04  0.04 
   3  0.04  0.05  0.04 
   4  0.10  0.06  0.04 
   5  0.08  0.08  0.10 
   6  0.05  0.13  0.10 
   7  0.04  0.12  0.10 
   8  0.14  0.20  0.10 
   9  0.11  0.13  0.14 
  10  0.04  0.09  0.14 
  11  0.13  0.10  0.14 
  12  0.12  0.12  0.14 
  13  0.15  0.13  0.14 
  14  0.23  0.15  0.15 
  15  0.06  0.12  0.23 
  16  0.09  0.16  0.23 
  17  0.12  0.28  0.23 
  18  0.26  0.16  0.23 
  19  0.12  0.14  0.26 
  20  0.14  0.23  0.26 
  21  0.11  0.27  0.26 
  22  0.34  0.22  0.26 
  23  0.10  0.24  0.34 
  24  0.32  0.29  0.34 
  25  0.12  0.21  0.34 
  26  0.17  0.40  0.34 
  27  0.10  0.32  0.34 
  28  0.08  0.29  0.34 
  29  0.10  0.19  0.34 
  30  0.13  0.20  0.34 
  31  0.17  0.12  0.34 
  32  0.09  0.12  0.34 
  33  0.30  0.19  0.34 
  34  0.09  0.15  0.34 
  35  0.19  0.19  0.34 
  36  0.12  0.18  0.34 
  37  0.07  0.24  0.34 
  38  0.14  0.35  0.34 
  39  0.22  0.61  0.34 
  40  0.22  0.65  0.34 
  41  0.23  0.67  0.34 
  42  0.17  0.25  0.34 
  43  0.29  0.21  0.34 
  44  0.30  0.27  0.34 
  45  0.22  0.28  0.34 
  46  0.20  0.28  0.34 
  47  0.26  0.26  0.34 
  48  0.39  0.23  0.34 
  49  0.35  0.25  0.39 
  50  0.33  0.37  0.39 
  51  0.28  0.48  0.39 
  52  0.31  0.51  0.39 
  53  0.30  0.70  0.39 
  54  0.33  0.71  0.39 
  55  0.22  1.08  0.39 
  56  0.40  0.68  0.39 
  57  0.28  0.64  0.40 
  58  0.45  0.69  0.40 
  59  0.26  0.78  0.45 
  60  0.28  0.62  0.45 
  61  0.26  0.72  0.45 
  62  0.52  0.73  0.45 
  63  0.32  0.93  0.52 
  64  0.31  0.80  0.52 
  65  0.38  0.80  0.52 
  66  0.53  0.62  0.52 
  67  0.31  0.48  0.53 
  68  0.42  0.52  0.53 
  69  0.53  0.50  0.53 
  70  0.61  0.53  0.53 
  71  0.64  0.53  0.61 
  72  0.70  0.57  0.64 
  73  0.52  0.56  0.70 
  74  0.38  0.44  0.70 
  75  0.38  0.40  0.70 
  76  0.43  0.43  0.70 
  77  0.49  0.64  0.70 
  78  0.33  0.84  0.70 
  79  0.51  1.05  0.70 
  80  0.41  1.11  0.70 
  81  0.79  0.64  0.70 
  82  0.35  0.61  0.79 
  83  0.60  0.63  0.79 
  84  0.78  0.63  0.79 
  85  0.55  0.45  0.79 
  86  0.90  0.82  0.79 
  87  0.50  0.88  0.90 
  88  0.59  0.83  0.90 
  89  0.54  0.65  0.90 
  90  0.45  1.05  0.90 
  91  0.31  1.24  0.90 
  92  0.54  1.16  0.90 
  93  0.33  0.85  0.90 
  94  0.54  1.07  0.90 
  95  0.48  1.00  0.90 
  96  0.73  0.50  0.90 
  97  0.60  0.47  0.90 
  98  0.70  0.35  0.90 
  99  0.69  0.29  0.90 
 100  0.29  0.29  0.90 
 101  0.35  0.33  0.90 
 102  0.83  0.33  0.90 
 103  0.58  0.43  0.90 
 104  0.72  0.65  0.90 
 105  0.43  0.78  0.90 
 106  0.58  0.85  0.90 
 107  0.57  1.19  0.90 
 108  0.66  1.21  0.90 
 109  0.41  0.96  0.90 
 110  0.77  1.38  0.90 
 111  0.44  1.33  0.90 
 112  0.49  0.92  0.90 
 113  0.47  0.79  0.90 
 114  0.79  1.26  0.90 
 115  0.63  1.31  0.90 
 116  0.51  1.18  0.90 
 117  0.50  1.21  0.90 
 118  0.73  1.07  0.90 
 119  0.95  0.85  0.90 
 120  0.52  0.89  0.95 
 121  0.84  1.42  0.95 
 122  0.44  1.54  0.95 
 123  0.49  1.42  0.95 
 124  0.36  1.46  0.95 
 125  0.52  1.38  0.95 
 126  0.44  1.48  0.95 
 127  0.73  1.57  0.95 
 128  0.78  1.37  0.95 
 129  0.43  1.33  0.95 
 130  0.37  1.41  0.95 
 131  0.65  1.31  0.95 
 132  0.51  1.24  0.95 
 133  0.67  1.37  0.95 
 134  0.47  1.29  0.95 
 135  0.35  1.27  0.95 
 136  0.52  1.17  0.95 
 137  0.44  1.05  0.95 
 138  0.41  1.10  0.95 
 139  0.54  0.84  0.95 
 140  0.75  0.82  0.95 
 141  0.48  1.29  0.95 
 142  0.55  1.20  0.95 
 143  0.42  1.19  0.95 
 144  0.45  1.09  0.95 
 145  0.72  0.69  0.95 
 146  0.63  0.86  0.95 
 147  0.44  1.12  0.95 
 148  0.62  1.35  0.95 
 149  0.80  1.31  0.95 
 150  0.88  1.18  0.95 
 151  0.82  1.02  0.95 
 152  0.76  1.08  0.95 
 153  0.96  0.65  0.95 
 154  0.54  1.32  0.96 
 155  0.59  1.21  0.96 
 156  1.08  1.21  0.96 
 157  1.18  1.48  1.08 
 158  0.39  1.54  1.18 
 159  0.61  1.45  1.18 
 160  0.81  1.50  1.18 
 161  0.68  1.54  1.18 
 162  0.67  1.23  1.18 
 163  0.80  1.53  1.18 
 164  0.95  1.45  1.18 
 165  0.96  1.24  1.18 
 166  0.78  0.99  1.18 
 167  0.77  0.42  1.18 
 168  0.64  0.55  1.18 
 169  0.62  0.44  1.18 
 170  0.67  0.49  1.18 
 171  0.69  0.74  1.18 
 172  0.60  0.44  1.18 
 173  0.93  0.57  1.18 
 174  0.83  1.65  1.18 
 175  0.73  1.01  1.18 
 176  0.81  1.24  1.18 
 177  1.13  1.25  1.18 
 178  0.91  0.43  1.18 
 179  0.80  1.08  1.18 
 180  0.31  1.25  1.18 
 181  0.88  0.96  1.18 
 182  0.81  2.44  1.18 
 183  0.60  2.10  1.18 
 184  0.79  2.44  1.18 
 185  0.74  2.29  1.18 
 186  1.04  2.13  1.18 
 187  0.92  2.43  1.18 
 188  1.12  1.29  1.18 
 189  0.79  1.00  1.18 
 190  0.73  1.81  1.18 
 191  1.08  1.39  1.18 
 192  0.41  1.19  1.18 
 193  0.73  1.34  1.18 
 194  0.70  0.96  1.18 
 195  0.34  1.11  1.18 
 196  0.78  0.80  1.18 
 197  0.61  0.75  1.18 
 198  0.89  0.38  1.18 
 199  0.57  0.19  1.18 
 200  0.65  0.93  1.18 
 201  0.64  0.11  1.18 
 202  0.91  0.84  1.18 
 203  0.51  0.27  1.18 
 204  0.78  1.60  1.18 
 205  0.44  1.25  1.18 
 206  1.22  2.06  1.18 
 207  0.83  1.97  1.22 
 208  0.49  0.50  1.22 
 209  0.71  0.22  1.22 
 210  0.53  0.22  1.22 
 211  0.63  0.85  1.22 
 212  0.67  0.41  1.22 
 213  1.21  0.31  1.22 
 214  0.77  0.66  1.22 
 215  0.77  0.33  1.22 
 216  0.85  0.61  1.22 
 217  0.65  0.84  1.22 
 218  0.63  0.36  1.22 
 219  0.83  0.29  1.22 
 220  0.56  0.58  1.22 
 221  0.60  1.06  1.22 
 222  0.60  0.43  1.22 
 223  0.78  0.12  1.22 
 224  0.81  1.85  1.22 
 225  1.13  0.17  1.22 
 226  0.78  0.09  1.22 
 227  0.58  0.08  1.22 
 228  0.98  0.17  1.22 
 229  0.37  0.08  1.22 
 230  0.80  0.55  1.22 
 231  0.24  0.12  1.22 
 232  1.15  0.19  1.22 
 233  0.76  0.07  1.22 
 234  0.93  0.35  1.22 
 235  0.52  0.31  1.22 
 236  0.75  0.37  1.22 
 237  0.96  0.45  1.22 
 238  1.07  0.47  1.22 
 239  1.02  0.14  1.22 
 240  1.15  0.30  1.22 
 241  1.15  0.38  1.22 
 242  1.40  0.27  1.22 
 243  0.93  0.43  1.40 
 244  0.83  0.47  1.40 
 245  0.80  0.39  1.40 
 246  0.98  0.37  1.40 
 247  1.04  0.04  1.40 
 248  0.60  0.06  1.40 
 249  1.08  0.27  1.40 
 250  0.45  0.14  1.40 
 251  0.68  0.53  1.40 
 252  0.84  0.32  1.40 
 253  0.63  0.43  1.40 
 254  0.66  0.04  1.40 
 255  0.61  0.06  1.40 
 256  0.60  0.64  1.40 
 257  0.73  0.73  1.40 
 258  0.73  0.41  1.40 
 259  0.94  0.28  1.40 
 260  1.11  0.78  1.40 
 261  0.85  0.64  1.40 
 262  0.97  0.06  1.40 
 263  0.81  0.32  1.40 
 264  0.94  0.47  1.40 
 265  1.00  0.57  1.40 
 266  0.96  0.62  1.40 
 267  1.15  0.71  1.40 
 268  1.43  0.87  1.40 
 269  0.91  0.61  1.43 
 270  0.95  0.38  1.43 
 271  1.00  0.38  1.43 
 272  0.67  0.49  1.43 
 273  0.48  0.45  1.43 
 274  1.65  0.28  1.43 
 275  1.14  0.08  1.65 
 276  0.64  0.22  1.65 
 277  0.81  0.25  1.65 
 278  0.85  0.15  1.65 
 279  0.72  0.47  1.65 
 280  0.71  0.47  1.65 
 281  0.66  0.48  1.65 
 282  0.85  0.52  1.65 
 283  0.93  0.32  1.65 
 284  0.65  0.29  1.65 
 285  1.00  0.74  1.65 
 286  1.12  1.51  1.65 
 287  0.76  1.65  1.65 
 288  0.83  1.70  1.65 
 289  0.75  0.28  1.65 
 290  0.71  1.64  1.65 
 291  1.10  1.31  1.65 
 292  0.33  1.45  1.65 
 293  1.17  1.62  1.65 
 294  0.95  0.10  1.65 
 295  1.08  0.20  1.65 
 296  0.92  0.77  1.65 
 297  0.38  1.52  1.65 
 298  0.83  0.79  1.65 
 299  0.81  1.65  1.65 
 300  0.62  1.63  1.65 
 301  0.70  0.52  1.65 
 302  0.93  1.57  1.65 
 303  1.20  1.41  1.65 
 304  0.97  1.54  1.65 
 305  0.75  1.32  1.65 
 306  1.16  1.52  1.65 
 307  0.98  1.45  1.65 
 308  1.09  1.47  1.65 
 309  1.09  1.50  1.65 
 310  0.62  0.71  1.65 
 311  0.95  0.72  1.65 
 312  1.05  0.90  1.65 
 313  0.73  0.33  1.65 
 314  1.19  0.48  1.65 
 315  0.51  0.42  1.65 
 316  1.05  1.33  1.65 
 317  0.77  0.59  1.65 
 318  0.96  1.58  1.65 
 319  0.63  2.16  1.65 
 320  0.87  1.14  1.65 
 321  0.91  1.29  1.65 
 322  1.06  1.64  1.65 
 323  0.87  0.70  1.65 
 324  1.33  0.82  1.65 
 325  1.36  0.66  1.65 
 326  0.62  1.78  1.65 
 327  0.67  0.52  1.65 
 328  0.95  1.52  1.65 
 329  1.02  0.49  1.65 
 330  0.97  0.38  1.65 
 331  0.72  1.80  1.65 
 332  1.35  1.84  1.65 
 333  0.78  0.33  1.65 
 334  0.90  1.89  1.65 
 335  0.71  1.65  1.65 
 336  0.47  0.70  1.65 
 337  1.13  0.47  1.65 
 338  1.01  0.31  1.65 
 339  0.97  0.46  1.65 
 340  1.13  0.39  1.65 
 341  0.68  1.62  1.65 
 342  0.93  1.21  1.65 
