Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.04 -100000000.00 
   1  0.04  0.03  0.03 
   2  0.03  0.04  0.04 
   3  0.03  0.04  0.04 
   4  0.08  0.05  0.04 
   5  0.07  0.06  0.08 
   6  0.03  0.08  0.08 
   7  0.04  0.07  0.08 
   8  0.15  0.09  0.08 
   9  0.06  0.09  0.15 
  10  0.04  0.06  0.15 
  11  0.11  0.06  0.15 
  12  0.09  0.07  0.15 
  13  0.14  0.07  0.15 
  14  0.28  0.08  0.15 
  15  0.04  0.09  0.28 
  16  0.05  0.12  0.28 
  17  0.08  0.14  0.28 
  18  0.23  0.18  0.28 
  19  0.12  0.13  0.28 
  20  0.10  0.15  0.28 
  21  0.08  0.15  0.28 
  22  0.40  0.24  0.28 
  23  0.09  0.36  0.40 
  24  0.24  0.35  0.40 
  25  0.08  0.39  0.40 
  26  0.15  0.29  0.40 
  27  0.10  0.32  0.40 
  28  0.07  0.40  0.40 
  29  0.09  0.51  0.40 
  30  0.16  0.34  0.40 
  31  0.24  0.59  0.40 
  32  0.10  0.86  0.40 
  33  0.28  0.79  0.40 
  34  0.14  0.72  0.40 
  35  0.30  0.64  0.40 
  36  0.22  0.55  0.40 
  37  0.14  0.55  0.40 
  38  0.16  0.52  0.40 
  39  0.12  0.62  0.40 
  40  0.25  0.72  0.40 
  41  0.26  0.81  0.40 
  42  0.18  0.53  0.40 
  43  0.28  0.63  0.40 
  44  0.43  0.77  0.40 
  45  0.08  0.88  0.43 
  46  0.21  0.85  0.43 
  47  0.28  0.94  0.43 
  48  0.52  0.79  0.43 
  49  0.41  0.62  0.52 
  50  0.19  0.70  0.52 
  51  0.41  1.00  0.52 
  52  0.27  1.08  0.52 
  53  0.28  0.86  0.52 
  54  0.45  0.78  0.52 
  55  0.25  1.07  0.52 
  56  0.59  1.11  0.52 
  57  0.45  1.24  0.59 
  58  0.37  0.75  0.59 
  59  0.21  0.89  0.59 
  60  0.11  0.89  0.59 
  61  0.24  0.73  0.59 
  62  0.43  0.68  0.59 
  63  0.29  0.62  0.59 
  64  0.28  0.61  0.59 
  65  0.47  0.58  0.59 
  66  0.56  0.60  0.59 
  67  0.56  0.55  0.59 
  68  0.48  0.65  0.59 
  69  0.53  0.60  0.59 
  70  0.33  0.54  0.59 
  71  0.72  0.55  0.59 
  72  0.96  0.70  0.72 
  73  0.55  1.27  0.96 
  74  0.50  0.98  0.96 
  75  0.49  0.82  0.96 
  76  0.43  0.77  0.96 
  77  0.44  0.96  0.96 
  78  0.35  0.92  0.96 
  79  0.59  1.19  0.96 
  80  0.67  1.70  0.96 
  81  0.95  1.32  0.96 
  82  0.53  1.22  0.96 
  83  0.58  0.90  0.96 
  84  0.41  1.07  0.96 
  85  0.72  0.92  0.96 
  86  0.72  1.33  0.96 
  87  0.31  0.78  0.96 
  88  0.55  1.25  0.96 
  89  0.76  0.83  0.96 
  90  0.37  1.21  0.96 
  91  0.19  1.36  0.96 
  92  0.64  1.17  0.96 
  93  0.58  1.57  0.96 
  94  0.63  1.52  0.96 
  95  0.42  1.04  0.96 
  96  0.70  1.74  0.96 
  97  0.64  0.98  0.96 
  98  0.75  0.74  0.96 
  99  0.80  0.57  0.96 
 100  0.42  1.04  0.96 
 101  0.67  0.97  0.96 
 102  0.52  0.76  0.96 
 103  0.61  0.76  0.96 
 104  0.65  0.83  0.96 
 105  0.43  1.15  0.96 
 106  0.45  1.14  0.96 
 107  0.91  1.15  0.96 
 108  0.61  1.11  0.96 
 109  0.42  1.16  0.96 
 110  0.57  0.90  0.96 
 111  0.75  0.70  0.96 
 112  0.65  0.84  0.96 
 113  0.34  1.17  0.96 
 114  0.61  1.31  0.96 
 115  0.81  0.59  0.96 
 116  0.49  0.72  0.96 
 117  0.25  0.73  0.96 
 118  0.57  0.65  0.96 
 119  0.66  0.80  0.96 
 120  0.56  1.36  0.96 
 121  0.48  1.44  0.96 
 122  0.51  1.58  0.96 
 123  0.51  1.48  0.96 
 124  0.59  1.36  0.96 
 125  0.53  1.36  0.96 
 126  0.51  1.40  0.96 
 127  0.77  1.32  0.96 
 128  0.89  1.36  0.96 
 129  0.54  1.26  0.96 
 130  0.52  1.31  0.96 
 131  0.80  1.12  0.96 
 132  0.43  1.41  0.96 
 133  0.57  1.53  0.96 
 134  0.62  1.01  0.96 
 135  0.15  0.96  0.96 
