Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.02  0.01  0.01 
   4  0.02  0.01  0.02 
   5  0.02  0.02  0.02 
   6  0.01  0.02  0.02 
   7  0.01  0.02  0.02 
   8  0.03  0.03  0.02 
   9  0.01  0.03  0.03 
  10  0.02  0.03  0.03 
  11  0.02  0.03  0.03 
  12  0.04  0.04  0.03 
  13  0.01  0.05  0.04 
  14  0.11  0.05  0.04 
  15  0.03  0.05  0.11 
  16  0.04  0.05  0.11 
  17  0.07  0.04  0.11 
  18  0.16  0.03  0.11 
  19  0.08  0.05  0.16 
  20  0.14  0.06  0.16 
  21  0.12  0.11  0.16 
  22  0.28  0.11  0.16 
  23  0.16  0.09  0.28 
  24  0.06  0.10  0.28 
  25  0.03  0.10  0.28 
  26  0.10  0.09  0.28 
  27  0.07  0.10  0.28 
  28  0.09  0.23  0.28 
  29  0.14  0.26  0.28 
  30  0.10  0.55  0.28 
  31  0.04  0.29  0.28 
  32  0.05  0.43  0.28 
  33  0.18  0.36  0.28 
  34  0.18  0.29  0.28 
  35  0.20  0.46  0.28 
  36  0.09  0.40  0.28 
  37  0.12  0.32  0.28 
  38  0.24  0.36  0.28 
  39  0.16  0.47  0.28 
  40  0.12  0.43  0.28 
  41  0.12  0.34  0.28 
  42  0.45  0.38  0.28 
  43  0.97  0.47  0.45 
  44  0.29  0.30  0.97 
  45  0.19  0.23  0.97 
  46  0.27  0.28  0.97 
  47  0.27  0.46  0.97 
  48  0.40  1.49  0.97 
  49  0.73  1.68  0.97 
  50  0.59  1.27  0.97 
  51  0.45  1.11  0.97 
  52  0.19  0.74  0.97 
  53  0.75  0.31  0.97 
  54  0.54  0.48  0.97 
  55  0.65  0.56  0.97 
  56  0.26  0.55  0.97 
  57  0.50  0.81  0.97 
  58  0.47  0.16  0.97 
  59  0.37  0.14  0.97 
  60  0.12  0.08  0.97 
  61  0.80  0.44  0.97 
  62  0.59  0.67  0.97 
  63  0.46  0.81  0.97 
  64  0.39  0.63  0.97 
  65  0.45  0.22  0.97 
  66  1.59  0.21  0.97 
  67  0.25  0.26  1.59 
  68  0.39  0.25  1.59 
  69  0.68  0.15  1.59 
  70  0.99  0.11  1.59 
  71  1.03  0.08  1.59 
  72  1.59  0.09  1.59 
  73  0.30  0.09  1.59 
  74  1.09  0.06  1.59 
  75  0.42  0.04  1.59 
  76  0.72  0.03  1.59 
  77  0.51  0.06  1.59 
  78  0.82  0.06  1.59 
  79  0.79  0.05  1.59 
  80  1.08  0.05  1.59 
  81  0.77  0.08  1.59 
  82  0.56  0.08  1.59 
  83  0.56  0.10  1.59 
  84  0.79  0.07  1.59 
  85  1.01  0.13  1.59 
  86  0.92  0.08  1.59 
  87  1.63  0.23  1.59 
  88  0.81  0.35  1.63 
  89  0.65  0.51  1.63 
  90  0.61  0.78  1.63 
  91  0.29  0.70  1.63 
  92  1.74  0.53  1.63 
  93  0.56  0.68  1.74 
  94  0.80  0.65  1.74 
  95  2.00  1.02  1.74 
  96  0.54  0.91  2.00 
  97  1.30  0.99  2.00 
  98  0.62  1.03  2.00 
  99  0.69  1.02  2.00 
 100  0.62  1.24  2.00 
 101  0.61  1.47  2.00 
 102  1.79  3.65  2.00 
 103  1.13  5.39  2.00 
 104  0.81  3.93  2.00 
 105  0.84  5.45  2.00 
 106  1.19  4.18  2.00 
 107  2.30  4.37  2.00 
