Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  1.75  3.02 -100000000.00 
   1  2.51  3.94  1.75 
   2  3.55  3.44  2.51 
   3  2.79  3.62  3.55 
   4  4.06  3.53  3.55 
   5  3.26  3.36  4.06 
   6  4.02  3.60  4.06 
   7  4.02  3.70  4.06 
   8  2.53  3.69  4.06 
   9  4.01  3.19  4.06 
  10  4.04  4.21  4.06 
  11  3.51  3.85  4.06 
  12  2.76  4.04  4.06 
  13  4.03  3.78  4.06 
  14  4.03  4.03  4.06 
  15  1.76  3.28  4.06 
  16  2.02  3.62  4.06 
  17  3.51  3.36  4.06 
  18  4.04  3.87  4.06 
  19  3.52  4.21  4.06 
  20  3.60  4.30  4.06 
  21  3.29  3.78  4.06 
  22  2.76  3.64  4.06 
  23  3.52  3.78  4.06 
  24  3.75  3.78  4.06 
  25  3.52  3.78  4.06 
  26  4.02  4.04  4.06 
  27  4.02  3.95  4.06 
  28  2.78  4.22  4.06 
  29  2.77  3.54  4.06 
  30  4.05  4.04  4.06 
  31  4.02  3.96  4.06 
  32  2.27  4.20  4.06 
  33  2.76  3.73  4.06 
  34  3.02  3.47  4.06 
  35  3.27  2.94  4.06 
  36  4.02  4.23  4.06 
  37  2.77  4.14  4.06 
  38  3.53  3.31  4.06 
  39  2.26  3.80  4.06 
  40  4.80  3.96  4.06 
  41  3.54  3.89  4.80 
  42  4.05  3.52  4.80 
  43  3.08  3.61  4.80 
  44  4.05  3.78  4.80 
  45  3.50  3.61  4.80 
  46  2.80  3.66  4.80 
  47  3.81  4.04  4.80 
  48  3.52  2.95  4.80 
  49  3.27  3.63  4.80 
  50  4.02  4.04  4.80 
  51  4.56  4.03  4.80 
  52  4.13  4.54  4.80 
  53  4.01  3.61  4.80 
  54  4.05  3.71  4.80 
  55  4.03  3.61  4.80 
  56  3.55  3.28  4.80 
  57  4.03  3.12  4.80 
  58  3.81  3.66  4.80 
  59  2.52  4.03  4.80 
  60  2.76  3.72  4.80 
  61  3.53  4.08  4.80 
  62  1.76  3.63  4.80 
  63  3.53  4.25  4.80 
