Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  2.32  3.44 -100000000.00 
   1  4.03  3.79  2.32 
   2  2.76  2.43  4.03 
   3  2.27  4.04  4.03 
   4  4.06  3.60  4.03 
   5  3.35  3.44  4.06 
   6  4.05  4.29  4.06 
   7  2.75  3.94  4.06 
   8  4.03  3.86  4.06 
   9  3.01  4.03  4.06 
  10  3.54  3.61  4.06 
  11  3.05  3.45  4.06 
  12  4.30  3.46  4.06 
  13  3.29  4.03  4.30 
  14  4.56  3.95  4.30 
  15  3.26  3.89  4.56 
  16  3.27  4.04  4.56 
  17  3.28  3.41  4.56 
  18  2.53  3.85  4.56 
  19  2.25  3.75  4.56 
  20  2.80  3.31  4.56 
  21  4.83  4.75  4.56 
  22  3.02  4.14  4.83 
  23  3.29  4.12  4.83 
  24  4.07  3.64  4.83 
  25  3.29  3.47  4.83 
  26  4.05  3.83  4.83 
  27  4.03  4.07  4.83 
  28  3.02  4.19  4.83 
  29  4.01  3.12  4.83 
  30  3.79  4.24  4.83 
  31  3.34  4.05  4.83 
  32  2.77  4.49  4.83 
  33  4.15  3.88  4.83 
  34  4.02  3.65  4.83 
  35  3.26  3.20  4.83 
  36  3.03  4.14  4.83 
  37  4.07  4.21  4.83 
  38  4.08  3.86  4.83 
  39  3.03  3.70  4.83 
  40  4.54  3.86  4.83 
  41  4.03  3.07  4.83 
  42  2.00  3.47  4.83 
  43  4.09  3.88  4.83 
  44  2.76  4.40  4.83 
  45  4.01  3.61  4.83 
  46  4.04  4.11  4.83 
  47  3.53  3.20  4.83 
  48  3.91  3.45  4.83 
  49  2.26  3.37  4.83 
  50  4.03  3.53  4.83 
  51  4.01  4.21  4.83 
  52  2.75  3.04  4.83 
  53  3.26  3.71  4.83 
  54  2.77  3.03  4.83 
  55  2.26  3.91  4.83 
  56  1.79  3.96  4.83 
  57  4.12  3.54  4.83 
  58  2.51  3.98  4.83 
  59  2.77  3.70  4.83 
  60  3.30  4.23  4.83 
  61  4.09  3.79  4.83 
  62  3.77  2.35  4.83 
  63  3.28  3.96  4.83 
  64  4.01  3.97  4.83 
  65  2.77  3.19  4.83 
  66  4.63  4.25  4.83 
  67  4.02  3.58  4.83 
  68  3.54  4.39  4.83 
  69  2.27  3.80  4.83 
  70  4.59  3.97  4.83 
  71  2.51  3.20  4.83 
  72  4.04  3.86  4.83 
  73  4.29  3.45  4.83 
  74  4.02  3.87  4.83 
  75  3.26  4.19  4.83 
  76  4.02  4.05  4.83 
  77  2.77  4.32  4.83 
  78  2.78  3.79  4.83 
  79  3.58  4.38  4.83 
  80  4.03  3.95  4.83 
  81  2.54  4.12  4.83 
  82  2.27  3.56  4.83 
  83  1.52  3.96  4.83 
  84  2.76  3.27  4.83 
  85  4.56  3.46  4.83 
  86  3.82  3.95  4.83 
  87  3.01  3.18  4.83 
  88  4.03  4.04  4.83 
  89  4.15  3.54  4.83 
  90  3.36  3.70  4.83 
  91  4.03  3.60  4.83 
  92  4.58  3.88  4.83 
  93  2.77  4.02  4.83 
  94  4.04  4.28  4.83 
  95  3.09  3.52  4.83 
  96  3.04  3.63  4.83 
  97  3.76  3.62  4.83 
  98  4.08  3.61  4.83 
  99  4.03  3.20  4.83 
 100  3.05  3.68  4.83 
 101  3.78  3.44  4.83 
 102  4.07  4.04  4.83 
 103  3.27  3.99  4.83 
 104  4.03  3.86  4.83 
 105  4.05  3.78  4.83 
 106  2.76  3.87  4.83 
 107  3.02  3.11  4.83 
 108  5.54  3.69  4.83 
 109  4.01  3.86  5.54 
 110  4.11  3.69  5.54 
 111  4.03  3.63  5.54 
 112  3.79  3.69  5.54 
 113  3.76  3.21  5.54 
 114  3.58  3.71  5.54 
 115  4.03  4.04  5.54 
 116  3.53  3.36  5.54 
 117  4.04  3.69  5.54 
 118  4.52  3.61  5.54 
 119  2.51  3.77  5.54 
 120  2.76  3.19  5.54 
 121  4.03  3.61  5.54 
 122  3.02  4.01  5.54 
 123  1.50  3.37  5.54 
 124  3.03  3.44  5.54 
 125  2.76  3.05  5.54 
 126  2.82  3.69  5.54 
 127  4.00  3.52  5.54 
 128  3.79  3.81  5.54 
 129  1.26  3.69  5.54 
 130  3.83  3.63  5.54 
 131  3.51  3.48  5.54 
 132  4.03  3.48  5.54 
 133  2.80  4.04  5.54 
 134  4.03  3.04  5.54 
 135  4.09  3.36  5.54 
 136  2.76  3.73  5.54 
 137  4.05  3.58  5.54 
 138  4.60  3.78  5.54 
 139  2.01  3.97  5.54 
 140  3.77  3.38  5.54 
 141  4.02  3.44  5.54 
 142  3.78  4.04  5.54 
 143  2.51  4.04  5.54 
 144  4.03  4.02  5.54 
 145  4.04  3.46  5.54 
 146  3.79  3.69  5.54 
 147  4.00  3.03  5.54 
 148  4.03  3.61  5.54 
 149  4.59  3.61  5.54 
 150  4.03  3.78  5.54 
 151  4.04  3.96  5.54 
 152  4.09  3.36  5.54 
 153  4.08  3.60  5.54 
 154  3.27  3.44  5.54 
 155  4.14  3.11  5.54 
 156  2.05  3.31  5.54 
 157  2.25  4.03  5.54 
 158  4.01  3.63  5.54 
 159  4.02  3.18  5.54 
 160  3.04  4.20  5.54 
 161  3.26  3.20  5.54 
 162  1.50  3.85  5.54 
 163  2.78  3.53  5.54 
 164  4.07  3.43  5.54 
 165  2.82  3.19  5.54 
 166  4.27  3.18  5.54 
 167  3.03  3.85  5.54 
 168  4.04  3.89  5.54 
 169  4.04  3.44  5.54 
 170  4.10  4.03  5.54 
 171  2.03  3.88  5.54 
 172  4.60  3.95  5.54 
 173  4.32  4.05  5.54 
 174  4.02  3.55  5.54 
 175  3.56  3.77  5.54 
 176  4.53  4.59  5.54 
 177  4.37  4.21  5.54 
 178  4.04  4.39  5.54 
 179  3.31  4.02  5.54 
 180  3.78  3.45  5.54 
 181  4.56  3.86  5.54 
 182  4.01  3.61  5.54 
 183  4.05  3.20  5.54 
 184  3.28  3.59  5.54 
 185  4.06  3.69  5.54 
 186  4.06  3.78  5.54 
 187  3.82  3.96  5.54 
 188  3.52  4.04  5.54 
 189  4.02  4.07  5.54 
 190  4.02  4.05  5.54 
 191  4.04  4.03  5.54 
 192  3.51  3.78  5.54 
 193  4.03  3.20  5.54 
 194  4.07  4.02  5.54 
 195  2.82  4.11  5.54 
 196  3.76  3.56  5.54 
 197  4.02  3.78  5.54 
 198  2.81  3.77  5.54 
 199  3.79  3.62  5.54 
 200  3.34  3.92  5.54 
 201  4.02  4.04  5.54 
 202  4.12  3.04  5.54 
 203  4.01  4.82  5.54 
 204  3.28  4.57  5.54 
 205  3.51  3.61  5.54 
 206  3.54  4.73  5.54 
 207  4.04  4.08  5.54 
 208  4.04  4.08  5.54 
 209  4.09  3.71  5.54 
 210  2.77  3.86  5.54 
 211  4.57  3.37  5.54 
