Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.01 -100000000.00 
   1  0.02  0.01  0.02 
   2  0.01  0.01  0.02 
   3  0.03  0.02  0.02 
   4  0.03  0.02  0.03 
   5  0.03  0.03  0.03 
   6  0.02  0.03  0.03 
   7  0.02  0.03  0.03 
   8  0.04  0.05  0.03 
   9  0.02  0.04  0.04 
  10  0.04  0.04  0.04 
  11  0.04  0.05  0.04 
  12  0.07  0.06  0.04 
  13  0.02  0.07  0.07 
  14  0.14  0.08  0.07 
  15  0.04  0.09  0.14 
  16  0.06  0.08  0.14 
  17  0.07  0.10  0.14 
  18  0.21  0.10  0.14 
  19  0.14  0.10  0.21 
  20  0.10  0.10  0.21 
  21  0.10  0.26  0.21 
  22  0.22  0.22  0.21 
  23  0.28  0.08  0.22 
  24  0.08  0.12  0.28 
  25  0.04  0.28  0.28 
  26  0.09  0.22  0.28 
  27  0.05  0.63  0.28 
  28  0.11  0.59  0.28 
  29  0.19  0.58  0.28 
  30  0.29  0.67  0.28 
  31  0.09  0.59  0.29 
  32  0.23  0.49  0.29 
  33  0.22  0.51  0.29 
  34  0.25  0.63  0.29 
  35  0.18  0.91  0.29 
  36  0.14  0.79  0.29 
  37  0.07  0.74  0.29 
  38  0.26  0.70  0.29 
  39  0.30  0.83  0.29 
  40  0.18  0.66  0.30 
  41  0.14  0.65  0.30 
  42  0.36  0.79  0.30 
  43  0.58  0.74  0.36 
  44  0.44  0.68  0.58 
  45  0.38  0.49  0.58 
  46  0.44  0.62  0.58 
  47  0.41  0.83  0.58 
  48  0.30  0.86  0.58 
  49  0.49  0.86  0.58 
  50  0.25  1.01  0.58 
  51  0.34  0.90  0.58 
  52  0.62  1.38  0.58 
  53  0.32  0.82  0.62 
  54  0.49  1.04  0.62 
  55  0.43  1.05  0.62 
  56  0.33  1.21  0.62 
  57  0.51  1.14  0.62 
  58  0.29  1.36  0.62 
  59  0.25  1.58  0.62 
  60  0.17  1.57  0.62 
  61  0.63  1.65  0.62 
  62  0.51  1.21  0.63 
  63  0.49  1.63  0.63 
  64  0.38  1.57  0.63 
  65  0.38  1.80  0.63 
  66  0.57  1.82  0.63 
  67  0.23  1.69  0.63 
  68  0.53  1.63  0.63 
  69  0.43  1.41  0.63 
  70  0.70  1.39  0.63 
  71  0.78  1.84  0.70 
  72  0.68  0.78  0.78 
  73  0.56  1.44  0.78 
  74  0.61  1.18  0.78 
  75  0.48  1.75  0.78 
  76  0.56  1.77  0.78 
  77  0.32  1.64  0.78 
  78  0.83  1.77  0.78 
  79  0.56  1.95  0.83 
  80  0.75  1.85  0.83 
  81  0.62  1.85  0.83 
  82  0.36  1.92  0.83 
  83  0.60  2.10  0.83 
  84  0.66  1.69  0.83 
  85  0.45  2.26  0.83 
