Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  3.03  4.36 -100000000.00 
   1  3.53  4.20  3.03 
   2  2.27  4.39  3.53 
   3  4.04  4.20  3.53 
   4  5.05  4.21  4.04 
   5  3.27  4.38  5.05 
   6  4.54  4.03  5.05 
   7  3.01  4.11  5.05 
   8  2.78  4.20  5.05 
   9  3.27  3.62  5.05 
  10  3.05  3.62  5.05 
  11  2.50  3.70  5.05 
  12  3.51  3.21  5.05 
  13  3.26  3.13  5.05 
  14  5.08  3.63  5.05 
  15  3.51  4.88  5.08 
  16  4.37  3.88  5.08 
  17  2.03  4.64  5.08 
  18  0.75  5.04  5.08 
  19  4.07  5.44  5.08 
  20  3.55  6.85  5.08 
  21  4.05  3.20  5.08 
  22  2.38  4.00  5.08 
  23  3.54  3.57  5.08 
  24  4.05  4.23  5.08 
  25  3.02  3.56  5.08 
  26  4.29  5.82  5.08 
  27  3.26  4.07  5.08 
  28  4.11  4.30  5.08 
  29  2.51  6.42  5.08 
  30  4.05  5.23  5.08 
  31  3.27  4.72  5.08 
  32  4.04  6.08  5.08 
  33  4.06  5.91  5.08 
  34  4.03  4.13  5.08 
  35  4.81  2.26  5.08 
  36  3.76  5.33  5.08 
  37  2.77  4.50  5.08 
  38  5.56  5.00  5.08 
  39  3.78  4.41  5.56 
  40  4.01  3.71  5.56 
  41  3.26  3.71  5.56 
  42  3.51  4.32  5.56 
  43  7.34  4.14  5.56 
  44  4.08  2.52  7.34 
  45  4.03  3.27  7.34 
  46  3.27  3.61  7.34 
  47  2.76  3.81  7.34 
  48  2.53  3.54  7.34 
  49  3.00  3.59  7.34 
  50  4.29  4.75  7.34 
  51  3.11  6.09  7.34 
  52  4.06  3.44  7.34 
  53  3.32  3.56  7.34 
  54  3.26  3.49  7.34 
  55  4.03  5.22  7.34 
  56  2.52  4.04  7.34 
  57  3.04  4.22  7.34 
  58  3.02  3.61  7.34 
  59  3.01  4.23  7.34 
  60  4.02  3.29  7.34 
  61  4.06  3.55  7.34 
  62  3.29  4.42  7.34 
  63  4.02  3.59  7.34 
  64  3.54  3.26  7.34 
  65  2.51  2.71  7.34 
  66  2.28  3.89  7.34 
  67  3.30  4.08  7.34 
  68  3.77  3.95  7.34 
  69  4.57  3.19  7.34 
  70  4.14  4.54  7.34 
  71  3.31  4.20  7.34 
  72  1.77  3.55  7.34 
  73  4.06  3.78  7.34 
  74  2.51  4.03  7.34 
  75  3.76  3.02  7.34 
  76  4.60  3.87  7.34 
  77  3.27  2.95  7.34 
  78  4.05  3.60  7.34 
  79  4.03  3.44  7.34 
  80  4.08  3.36  7.34 
  81  4.57  3.28  7.34 
  82  6.70  3.28  7.34 
  83  4.61  3.90  7.34 
  84  5.08  3.15  7.34 
  85  3.78  3.89  7.34 
  86  6.61  3.90  7.34 
  87  4.83  3.61  7.34 
  88  4.03  3.90  7.34 
  89  2.01  3.03  7.34 
  90  2.83  2.71  7.34 
  91  4.05  2.79  7.34 
  92  1.75  3.72  7.34 
  93  3.80  3.92  7.34 
  94  4.54  4.41  7.34 
  95  4.13  4.04  7.34 
  96  5.84  3.31  7.34 
  97  4.06  4.01  7.34 
  98  4.07  3.83  7.34 
  99  3.28  3.49  7.34 
 100  2.26  3.66  7.34 
 101  4.01  3.11  7.34 
 102  5.20  3.09  7.34 
 103  3.80  5.64  7.34 
 104  3.54  3.59  7.34 
 105  4.07  4.02  7.34 
 106  2.79  3.47  7.34 
 107  4.06  4.14  7.34 
 108  3.03  3.28  7.34 
 109  3.77  3.71  7.34 
 110  3.55  3.84  7.34 
 111  4.02  3.75  7.34 
 112  4.04  3.99  7.34 
 113  4.02  4.06  7.34 
 114  6.37  4.03  7.34 
 115  3.52  3.60  7.34 
 116  3.77  3.82  7.34 
 117  4.06  3.77  7.34 
 118  5.22  3.60  7.34 
 119  3.28  3.63  7.34 
 120  3.31  3.89  7.34 
 121  1.77  3.74  7.34 
 122  4.53  3.06  7.34 
 123  4.03  3.08  7.34 
 124  3.56  4.43  7.34 
 125  3.81  3.82  7.34 
 126  3.52  3.81  7.34 
 127  4.54  3.81  7.34 
 128  4.02  4.27  7.34 
 129  4.94  3.73  7.34 
 130  4.58  3.62  7.34 
 131  2.50  2.55  7.34 
 132  2.32  4.10  7.34 
 133  5.05  3.76  7.34 
 134  4.14  3.38  7.34 
 135  9.73  3.67  7.34 
 136  3.84  4.01  9.73 
 137  8.43  3.89  9.73 
 138  4.05  3.47  9.73 
 139  4.32  4.26  9.73 
 140  3.52  4.03  9.73 
 141  3.54  4.26  9.73 
 142  4.02  4.02  9.73 
 143  3.51  3.36  9.73 
 144  6.17  4.26  9.73 
 145  4.07  4.56  9.73 
 146  4.37  3.47  9.73 
 147  3.77  4.18  9.73 
 148  3.52  3.49  9.73 
 149  4.01  4.21  9.73 
 150 11.13  3.90  9.73 
 151  3.38  3.89 11.13 
 152  4.09  3.41 11.13 
 153  1.50  3.91 11.13 
 154  6.33  3.70 11.13 
 155  4.05  4.02 11.13 
 156  4.03  3.21 11.13 
 157  3.53  4.04 11.13 
 158  4.02  3.46 11.13 
 159  4.01  3.45 11.13 
 160  2.53  3.71 11.13 
 161  3.52  4.20 11.13 
 162  4.10  3.71 11.13 
 163  5.37  3.20 11.13 
 164  4.03  3.72 11.13 
 165  4.61  3.65 11.13 
 166  3.34  4.60 11.13 
 167  5.62  3.32 11.13 
 168  4.54  4.43 11.13 
 169  3.02  4.21 11.13 
 170  2.77  3.72 11.13 
 171  3.87  4.37 11.13 
 172  2.52  3.47 11.13 
 173  4.01  4.05 11.13 
 174  4.03  3.93 11.13 
 175  4.05  3.71 11.13 
 176  4.12  4.07 11.13 
 177  6.66  4.05 11.13 
 178  4.98  4.11 11.13 
 179  6.93  3.32 11.13 
 180  4.03  3.76 11.13 
 181  2.75  4.18 11.13 
 182  4.64  3.78 11.13 
 183  4.66  3.65 11.13 
 184  4.01  2.87 11.13 
 185  4.66  4.08 11.13 
 186  6.51  4.65 11.13 
 187  5.53  3.58 11.13 
 188  3.57  4.20 11.13 
 189  4.65  4.37 11.13 
 190  3.27  3.45 11.13 
 191  3.54  2.86 11.13 
 192  3.02  3.72 11.13 
 193  4.54  3.46 11.13 
 194  4.06  3.55 11.13 
 195  6.57  4.03 11.13 
 196  1.25  4.66 11.13 
 197  1.84  3.84 11.13 
 198  3.59  3.27 11.13 
 199  3.51  4.00 11.13 
 200  3.52  3.63 11.13 
 201  4.68  3.86 11.13 
 202  4.04  4.21 11.13 
 203  4.62  3.63 11.13 
 204  4.77  3.68 11.13 
 205  4.02  3.71 11.13 
 206  4.28  3.77 11.13 
 207  2.52  4.06 11.13 
 208  6.55  3.62 11.13 
 209  3.76  3.81 11.13 
 210  2.78  4.07 11.13 
 211  4.03  4.72 11.13 
 212  4.02  3.83 11.13 
 213  2.76  2.86 11.13 
 214  1.76  4.31 11.13 
 215  4.02  3.57 11.13 
 216  3.02  4.26 11.13 
 217  0.78  3.94 11.13 
 218  4.53  3.23 11.13 
 219  4.01  3.54 11.13 
 220  4.14  3.90 11.13 
 221  5.33  4.41 11.13 
 222  3.85  5.97 11.13 
 223  4.62  3.29 11.13 
 224  3.52  7.46 11.13 
 225  1.87  4.21 11.13 
 226  5.71  3.13 11.13 
 227  3.26  4.14 11.13 
 228  2.26  5.69 11.13 
 229  4.02  4.09 11.13 
 230  3.59  3.41 11.13 
 231  4.02  4.95 11.13 
 232  3.51  5.00 11.13 
 233  3.27  3.67 11.13 
 234  5.15  3.31 11.13 
 235  8.41  3.82 11.13 
 236  8.90  3.65 11.13 
 237  4.03  3.55 11.13 
 238  3.39  4.14 11.13 
 239  7.61  3.97 11.13 
 240  6.37  3.66 11.13 
 241  3.80  4.58 11.13 
 242  4.06  4.11 11.13 
 243  4.02  4.82 11.13 
 244  3.02  4.30 11.13 
 245  2.26  3.74 11.13 
 246  4.04  3.59 11.13 
 247  4.07  7.11 11.13 
 248  3.32  3.50 11.13 
 249  4.14  7.10 11.13 
 250  4.04  3.41 11.13 
 251  6.15  4.19 11.13 
 252  6.19  4.94 11.13 
 253  3.52  3.20 11.13 
 254  3.77  3.94 11.13 
 255  3.52  5.34 11.13 
 256  3.89  9.61 11.13 
 257  4.03  3.80 11.13 
 258  4.04  6.53 11.13 
 259  4.09  5.06 11.13 
 260  4.14  2.96 11.13 
 261  3.03  2.92 11.13 
 262  4.01  5.50 11.13 
 263  8.15  5.25 11.13 
 264  1.76  5.66 11.13 
 265  4.03  4.07 11.13 
 266  4.81  3.51 11.13 
 267  6.80  3.49 11.13 
 268  4.26  5.90 11.13 
 269  4.56  4.50 11.13 
 270  3.39  6.30 11.13 
 271  2.77  3.52 11.13 
 272  3.26  4.16 11.13 
 273  4.04  3.06 11.13 
 274  4.11  4.47 11.13 
 275 11.21  4.14 11.13 
 276  3.56  3.81 11.21 
 277  1.51  3.69 11.21 
 278  0.77  3.91 11.21 
 279  3.51  5.61 11.21 
 280  8.93  4.09 11.21 
 281  2.79  3.62 11.21 
 282  4.05  5.38 11.21 
 283  2.77  5.63 11.21 
 284  6.35  4.89 11.21 
 285  4.83  5.10 11.21 
 286  6.34  3.59 11.21 
 287  4.05  4.42 11.21 
 288  4.02  3.66 11.21 
 289  6.07  3.54 11.21 
 290  6.88  4.27 11.21 
 291  4.57  3.89 11.21 
 292  4.93  3.50 11.21 
 293  2.81  4.83 11.21 
 294 10.25  6.82 11.21 
 295  3.28  3.28 11.21 
 296  5.15  3.98 11.21 
 297  3.04  4.58 11.21 
 298  3.04  7.37 11.21 
 299  4.06  3.47 11.21 
 300  4.05  5.57 11.21 
 301  4.04  5.02 11.21 
 302  5.21  4.66 11.21 
 303  6.38  3.60 11.21 
 304  3.99  4.71 11.21 
 305  5.32  5.13 11.21 
 306  3.02  5.01 11.21 
 307  7.01  3.24 11.21 
 308  4.91  3.57 11.21 
 309  4.12  4.43 11.21 
 310  3.78  3.62 11.21 
 311  3.84  4.06 11.21 
 312  4.19  4.72 11.21 
 313  5.37  4.55 11.21 
 314  5.32  4.68 11.21 
 315  8.33  5.99 11.21 
 316  4.62  7.12 11.21 
 317  4.24  4.80 11.21 
 318  3.05  4.90 11.21 
 319  3.30  5.22 11.21 
 320  3.08  3.15 11.21 
 321  5.32  4.73 11.21 
 322  3.76  4.81 11.21 
 323  4.37  3.92 11.21 
 324  3.78  4.87 11.21 
 325  3.04  3.76 11.21 
 326  3.96  5.27 11.21 
 327  3.27  3.63 11.21 
 328  5.04  3.55 11.21 
 329  6.91  4.19 11.21 
 330  4.02  4.49 11.21 
 331  4.37  4.39 11.21 
 332 10.23  3.57 11.21 
 333  4.11  5.40 11.21 
 334  6.21  3.51 11.21 
 335  4.05  5.03 11.21 
 336  4.27  4.16 11.21 
 337  2.76  4.27 11.21 
 338  4.05  4.91 11.21 
 339  4.19  4.74 11.21 
 340  3.51  4.74 11.21 
 341  3.02  3.99 11.21 
 342  3.57  4.60 11.21 
 343  3.87  4.87 11.21 
 344  4.15  4.61 11.21 
 345  4.10  4.34 11.21 
 346  3.55  4.89 11.21 
 347  6.48  4.24 11.21 
 348  2.87  4.18 11.21 
 349  3.08  3.92 11.21 
 350  4.63  4.54 11.21 
 351  5.55  4.65 11.21 
 352  3.84  4.74 11.21 
 353  2.30  4.08 11.21 
 354  6.96  6.66 11.21 
 355  3.30  5.17 11.21 
 356  4.43  4.30 11.21 
 357  6.98  5.23 11.21 
 358  3.42  4.85 11.21 
 359  3.55  4.77 11.21 
 360  4.32  4.47 11.21 
 361  4.05  3.71 11.21 
 362  2.85  4.56 11.21 
 363  6.35  3.70 11.21 
 364  5.64  3.77 11.21 
 365  4.09  4.22 11.21 
 366  4.13  3.46 11.21 
 367  6.14  3.71 11.21 
 368  2.02  4.49 11.21 
 369  3.26  4.05 11.21 
 370  6.34  3.81 11.21 
 371  5.48  3.63 11.21 
 372  4.02  3.80 11.21 
 373  4.09  3.71 11.21 
 374  2.79  3.81 11.21 
 375  2.77  4.80 11.21 
 376  3.01  4.92 11.21 
 377  5.41  5.03 11.21 
 378  5.45  4.58 11.21 
 379  4.37  4.45 11.21 
 380  2.34  3.83 11.21 
 381  4.04  4.96 11.21 
 382  6.02  3.31 11.21 
 383  5.20  6.16 11.21 
 384  4.04  4.22 11.21 
 385  6.82  4.55 11.21 
 386  9.20  8.06 11.21 
 387  3.75  4.87 11.21 
 388  5.94  4.71 11.21 
 389  3.28  3.47 11.21 
 390  2.81  7.00 11.21 
 391  7.14  4.38 11.21 
 392  5.10  3.91 11.21 
 393  3.39  5.18 11.21 
 394  4.98  5.24 11.21 
 395  4.30  4.48 11.21 
 396  3.84  5.49 11.21 
 397  5.04  3.70 11.21 
 398  2.80  3.55 11.21 
 399  3.05  3.70 11.21 
 400  5.39  4.54 11.21 
 401  3.33  3.35 11.21 
 402  2.90  4.63 11.21 
 403  4.05  4.47 11.21 
 404  3.32  5.01 11.21 
 405  2.76  4.31 11.21 
 406  5.11  3.73 11.21 
 407  6.19  4.08 11.21 
 408  5.74  4.25 11.21 
 409  4.04  4.08 11.21 
 410  3.79  6.05 11.21 
 411  4.05  3.62 11.21 
 412  4.04  4.56 11.21 
 413  4.38  5.16 11.21 
 414  4.05  4.67 11.21 
 415  5.08  6.11 11.21 
 416  4.04  5.33 11.21 
 417  4.64  3.87 11.21 
 418  4.03  4.04 11.21 
 419  4.38  4.25 11.21 
 420  4.85  3.93 11.21 
 421  3.38  5.73 11.21 
 422  4.13  4.30 11.21 
 423  9.80  5.99 11.21 
 424  4.02  6.72 11.21 
 425  3.52  3.30 11.21 
 426  3.84  3.61 11.21 
 427  3.54  6.00 11.21 
 428  2.77  3.91 11.21 
 429  4.05  6.89 11.21 
 430  5.03  3.52 11.21 
 431  2.79  4.40 11.21 
 432  3.81  3.97 11.21 
 433  5.34  3.98 11.21 
 434  4.06  4.98 11.21 
 435  4.08  3.86 11.21 
 436  3.34  3.45 11.21 
 437  2.82  3.80 11.21 
 438  4.84  3.80 11.21 
 439  4.08  2.95 11.21 
 440  6.31  3.20 11.21 
 441  2.77  4.63 11.21 
 442  4.28  4.42 11.21 
 443  4.03  4.46 11.21 
 444  3.12  4.82 11.21 
 445  6.40  5.75 11.21 
 446  5.62  5.43 11.21 
 447  4.09  3.04 11.21 
 448  2.93  4.35 11.21 
 449  7.30  4.54 11.21 
 450  5.63  5.77 11.21 
 451  4.09  4.85 11.21 
 452  4.89  4.83 11.21 
 453  3.55  6.37 11.21 
 454  3.01  5.96 11.21 
 455  4.02  5.30 11.21 
 456  4.06  3.64 11.21 
 457  5.11  4.32 11.21 
 458  6.10  3.80 11.21 
 459  2.78  4.30 11.21 
 460  3.54  4.72 11.21 
 461  4.11  3.84 11.21 
 462  4.04  4.53 11.21 
 463  2.77  6.55 11.21 
 464  4.07  6.53 11.21 
 465  4.60  5.12 11.21 
 466  5.60  4.69 11.21 
 467  2.58  4.67 11.21 
 468  4.05  5.64 11.21 
 469  7.96  3.95 11.21 
 470  5.58  4.48 11.21 
 471  4.07  3.03 11.21 
 472  4.03  3.93 11.21 
 473  5.63  3.46 11.21 
 474  3.30  4.01 11.21 
 475  2.76  4.78 11.21 
 476  3.85  3.25 11.21 
 477  4.05  3.85 11.21 
 478  2.77  4.12 11.21 
 479  4.86  4.14 11.21 
 480  5.83  4.67 11.21 
 481  3.86  4.80 11.21 
 482  4.04  3.26 11.21 
 483  3.80  4.02 11.21 
 484  3.76  5.66 11.21 
 485  4.08  4.27 11.21 
 486  3.53  3.69 11.21 
 487  5.45  4.15 11.21 
 488  4.03  4.59 11.21 
 489  4.13  3.84 11.21 
 490  4.85  5.51 11.21 
 491  4.06  2.69 11.21 
 492  6.13  3.35 11.21 
