iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.9892706871032715,0.029794425716493503,0.016295913190275065,0.055399721511618386,0.014357490989303381,0.0,0.1438175580093425,0.1,0.017208337783813477,0.05194282531738281,0.053684723,0.9433326,0.029794425716493503,0.0,0.0005950559188845474,0.0,200,0.01458120346069336,34.02190806525852,4.4150408091185,200,0.024080465684530955,0.0
1,1.0692529678344727,0.029457959330570754,0.008168252805795485,0.04152779134137945,0.021769325940815282,0.0,0.14466654612981036,0.1,0.0026695728302001953,0.05208420753479004,0.04783976,0.5989426,0.029760779077901228,0.0,0.0005745359844520803,0.0,200,0.015032052993774414,5.061030702018827,1.6829445980643194,400,0.02445753332496801,0.0
2,1.0393579006195068,0.015069125280919754,0.009539883007627913,0.030712396174021203,0.006986465555517622,0.0,0.16158184940373468,0.1,0.002914905548095703,0.06532692909240723,0.064172834,0.951047,0.028291613698203082,0.0,0.00029801993790441224,0.0,200,0.014612197875976562,10.049830956217988,12.149538593412032,600,0.02274439344654731,0.0
3,1.0815250873565674,0.056755473497282966,0.03582792623893208,0.11645925895061549,0.021476871609681335,0.0,0.14764513270546398,0.1,0.002664804458618164,0.05302023887634277,0.05303116,0.9189156,0.031137999678111074,0.0,0.0011319971410148279,0.0,200,0.018571853637695312,0.499674004359079,0.4883173895708432,800,0.039455412781675754,0.0
4,1.2021195888519287,0.05872567267134873,0.03488902430421004,0.11396814187236468,0.02112022447013834,0.0,0.14870197337612057,0.1,0.002714872360229492,0.05367422103881836,0.048432894,0.96696806,0.03389676697743484,0.0,0.001173836029471897,0.0,200,0.016434192657470703,0.49964483140846666,0.5055160677543361,1000,0.04454928047044921,0.0
5,1.0990748405456543,0.03487426305440603,0.016689102948296966,0.06341423237525505,0.022782571833166645,0.0,0.14454010034969864,0.1,0.002980470657348633,0.053339242935180664,0.05075285,1.151495,0.033994516585131966,0.0,0.000689207624506518,0.0,200,0.013714790344238281,0.4436642576050164,0.360395799500018,1200,0.05723204667130435,0.0
6,1.1202843189239502,0.04514041306039248,0.0364553461637388,0.09722779418307698,0.008751616058751759,0.0,0.1481446504487083,0.1,0.0026154518127441406,0.05445575714111328,0.051584482,1.1417108,0.03510910623265802,0.0,0.0009006664109036515,0.0,200,0.01892375946044922,0.5939213405209361,0.5951162333447482,1400,0.057074783797589894,0.0
7,1.1533451080322266,0.030386765121990563,0.015475356568883531,0.056631649594574,0.016534433629288255,0.0,0.15401530873619967,0.1,0.0026018619537353516,0.05199170112609863,0.051545545,0.8094416,0.03463687212159128,0.0,0.0005896602888818663,0.0,200,0.013475656509399414,0.40403822763700575,0.3871884440336043,1600,0.07538309263295585,0.0
8,1.1985125541687012,0.08590913338218194,0.08985045301159729,0.23336142973859708,0.0052187420331203365,0.0,0.14464181481754557,0.1,0.0026743412017822266,0.05199456214904785,0.052607995,2.4143567,0.03976409824765034,0.0,0.0017169686701387081,0.0,200,0.012706279754638672,0.7857281698538569,0.6729556774307521,1800,0.0839426043990289,0.0
9,1.1365571022033691,0.04250605810179684,0.03610249088398106,0.10037546478182541,0.0044320381855073665,0.0,0.151303504908791,0.1,0.0026040077209472656,0.0554046630859375,0.051690873,1.090424,0.04003829423306499,0.0,0.0008339456077672832,0.0,200,0.013478279113769531,0.5814366508036621,0.7264100841570026,2000,0.06407530756042144,0.0
