iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0577263832092285,0.03199092166743249,0.021122701658973085,0.0622985757949229,0.005581106035808557,0.0,0.1417849671627839,0.1,0.015369176864624023,0.05324244499206543,0.05550004,1.3509129,0.03199092166743249,0.0,0.000643092004077386,0.0,200,0.013281822204589844,1.9988900732320007,0.6848109388775326,200,0.030991127213219657,0.0
1,0.9945211410522461,0.03639295719017606,0.012509832800397146,0.05479826366532124,0.024166610519335822,0.0,0.1487579086434702,0.1,0.002747058868408203,0.0529940128326416,0.0504211,0.8492893,0.03243112521970685,0.0,0.0007187678433679575,0.0,200,0.0162966251373291,0.5124275363148632,0.29744199042537345,400,0.03507563199382757,0.0
2,1.0062587261199951,0.030963804978205126,0.006796555437795274,0.039927057099061254,0.022419225676724212,0.0,0.14863419992226387,0.1,0.002736330032348633,0.052706003189086914,0.05226415,0.93839616,0.032284393195556677,0.0,0.000615610091799132,0.0,200,0.013330936431884766,0.6086645935028515,0.2113670136121811,600,0.03583314071564821,0.0
3,1.1001362800598145,0.033320392808969604,0.0223640368635365,0.06595711141316804,0.00859048143243028,0.0,0.14506731390507235,0.1,0.0027437210083007812,0.051607608795166016,0.051252794,0.9513909,0.03238799315689797,0.0,0.0006620960087085513,0.0,200,0.012955427169799805,0.44917260534649034,0.4007380421864821,800,0.05352542012788158,0.0
4,1.190769910812378,0.11546804041326102,0.0733485032817531,0.22373784637894534,0.026376269283636955,0.0,0.1424863581569408,0.1,0.0027740001678466797,0.053319692611694336,0.050324198,1.4860932,0.04069599788253428,0.0,0.002295067488139378,0.0,200,0.014889001846313477,0.7783984805162614,0.4475873719664215,1000,0.08044740994257692,0.0
5,1.1959946155548096,0.09266202454026892,0.02085780297633429,0.11611511224303064,0.06131594869623772,0.0,0.14374928829846922,0.1,0.0026290416717529297,0.05236530303955078,0.04884826,0.7386137,0.045892600548307745,0.0,0.0018453671981529546,0.0,200,0.014212846755981445,0.25253712118802096,0.4414511099364821,1200,0.10650888375688343,0.0
6,1.2109923362731934,0.04981179501326663,0.03630906573485924,0.10722837684495326,0.015202704923806022,0.0,0.15380419719174637,0.1,0.002701997756958008,0.05192828178405762,0.051670708,0.90274674,0.04628451999480363,0.0,0.0009850297466708414,0.0,200,0.013796329498291016,1.8969533493218942,0.8253403058819901,1400,0.16515368185443002,0.0
7,1.1930077075958252,0.054522679562569926,0.04434503199180718,0.13059164816265054,0.023241464444340255,0.0,0.1446794905621632,0.1,0.002618551254272461,0.052075862884521484,0.04989001,1.6184043,0.04710833595158026,0.0,0.0010865425285526698,0.0,200,0.014096260070800781,0.7948823473911178,0.4876440503795395,1600,0.12802951051969497,0.0
8,1.266230821609497,0.19076683695508515,0.22328818864380282,0.5702800649349354,0.022103400273881652,0.0,0.1382946339567657,0.1,0.0027480125427246094,0.052468299865722656,0.04744332,1.4873886,0.06147418605193075,0.0,0.003806020298273034,0.0,200,0.013806581497192383,0.8584456454769219,0.8072061207947752,1800,0.1514234093892023,0.0
9,1.1902778148651123,0.11693448247546795,0.09920521846868392,0.2492087490697842,0.014143218968097691,0.0,0.14720094250592708,0.1,0.002679109573364258,0.053395748138427734,0.05081216,1.0105311,0.06702021569428447,0.0,0.002319300455321323,0.0,200,0.013415336608886719,0.6101749276993427,0.50762412913034,2000,0.22622002201974137,0.0
