Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.04 -100000000.00 
   1  0.04  0.05  0.04 
   2  0.03  0.04  0.04 
   3  0.05  0.05  0.04 
   4  0.07  0.06  0.05 
   5  0.06  0.07  0.07 
   6  0.08  0.10  0.07 
   7  0.05  0.13  0.08 
   8  0.13  0.27  0.08 
   9  0.11  0.25  0.13 
  10  0.16  0.19  0.13 
  11  0.18  0.20  0.16 
  12  0.10  0.18  0.18 
  13  0.12  0.23  0.18 
  14  0.26  0.29  0.18 
  15  0.09  0.24  0.26 
  16  0.09  0.43  0.26 
  17  0.12  0.52  0.26 
  18  0.28  0.61  0.26 
  19  0.36  0.62  0.28 
  20  0.12  0.54  0.36 
  21  0.09  0.39  0.36 
  22  0.33  0.51  0.36 
  23  0.22  0.61  0.36 
  24  0.50  0.52  0.36 
  25  0.11  0.62  0.50 
  26  0.12  0.65  0.50 
  27  0.05  0.73  0.50 
  28  0.16  0.76  0.50 
  29  0.24  0.64  0.50 
  30  0.35  0.48  0.50 
  31  0.28  0.49  0.50 
  32  0.17  0.46  0.50 
  33  0.32  0.68  0.50 
  34  0.25  0.92  0.50 
  35  0.24  0.75  0.50 
  36  0.22  0.73  0.50 
  37  0.12  1.01  0.50 
  38  0.22  0.71  0.50 
  39  0.21  0.57  0.50 
  40  0.24  0.51  0.50 
  41  0.30  0.48  0.50 
  42  0.28  0.53  0.50 
  43  0.41  0.78  0.50 
  44  0.44  0.79  0.50 
  45  0.16  0.60  0.50 
  46  0.22  0.59  0.50 
  47  0.32  0.72  0.50 
  48  0.27  0.99  0.50 
  49  0.46  0.67  0.50 
  50  0.22  0.96  0.50 
  51  0.22  0.78  0.50 
  52  0.18  1.02  0.50 
  53  0.34  0.58  0.50 
  54  0.23  0.64  0.50 
  55  0.26  0.84  0.50 
  56  0.23  0.94  0.50 
  57  0.41  0.74  0.50 
  58  0.28  0.88  0.50 
  59  0.33  0.85  0.50 
  60  0.14  0.64  0.50 
  61  0.51  0.76  0.50 
  62  0.27  0.77  0.51 
  63  0.33  0.90  0.51 
  64  0.14  0.94  0.51 
  65  0.39  0.93  0.51 
  66  0.40  1.01  0.51 
  67  0.48  1.15  0.51 
  68  0.32  1.32  0.51 
  69  0.37  0.86  0.51 
  70  0.57  0.80  0.51 
  71  0.72  0.77  0.57 
  72  0.62  0.69  0.72 
  73  0.63  0.60  0.72 
  74  0.52  0.41  0.72 
  75  0.42  0.57  0.72 
  76  0.33  0.60  0.72 
  77  0.54  1.23  0.72 
  78  0.56  0.62  0.72 
  79  0.40  0.66  0.72 
  80  0.48  1.37  0.72 
  81  0.57  1.53  0.72 
  82  0.36  1.28  0.72 
  83  0.49  1.22  0.72 
  84  0.80  1.17  0.72 
