Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.22  0.22 -100000000.00 
   1  0.24  0.22  0.22 
   2  0.24  0.22  0.24 
   3  0.27  0.23  0.24 
   4  0.26  0.23  0.27 
   5  0.26  0.22  0.27 
   6  0.26  0.25  0.27 
   7  0.24  0.27  0.27 
   8  0.30  0.28  0.27 
   9  0.28  0.28  0.30 
  10  0.27  0.23  0.30 
  11  0.26  0.27  0.30 
  12  0.34  0.28  0.30 
  13  0.30  0.32  0.34 
  14  0.40  0.40  0.34 
  15  0.28  0.41  0.40 
  16  0.35  0.41  0.40 
  17  0.32  0.35  0.40 
  18  0.54  0.36  0.40 
  19  0.29  0.47  0.54 
  20  0.36  0.45  0.54 
  21  0.41  0.49  0.54 
  22  0.67  0.76  0.54 
  23  0.42  0.68  0.67 
  24  0.93  0.76  0.67 
  25  0.37  1.42  0.93 
  26  0.43  1.13  0.93 
  27  0.58  0.96  0.93 
  28  0.45  0.75  0.93 
  29  0.84  0.92  0.93 
  30  0.65  1.26  0.93 
  31  0.65  1.25  0.93 
  32  0.49  2.00  0.93 
  33  0.83  1.47  0.93 
  34  0.67  1.49  0.93 
  35  0.79  1.40  0.93 
  36  0.50  1.44  0.93 
  37  0.60  1.84  0.93 
  38  0.71  2.03  0.93 
  39  1.16  1.61  0.93 
  40  0.85  1.97  1.16 
  41  1.13  1.88  1.16 
  42  0.79  1.78  1.16 
  43  1.22  2.15  1.16 
  44  1.10  1.86  1.22 
  45  0.94  1.98  1.22 
  46  0.84  1.89  1.22 
  47  0.89  1.98  1.22 
  48  1.50  1.75  1.22 
  49  1.27  1.44  1.50 
  50  0.76  1.22  1.50 
  51  0.78  1.77  1.50 
  52  0.69  1.76  1.50 
  53  1.02  1.45  1.50 
  54  1.26  1.25  1.50 
  55  0.95  1.12  1.50 
  56  0.99  1.71  1.50 
  57  1.22  2.05  1.50 
  58  0.96  1.82  1.50 
  59  1.40  2.09  1.50 
  60  0.86  2.24  1.50 
  61  1.37  2.29  1.50 
  62  1.11  2.35  1.50 
  63  0.83  2.26  1.50 
  64  0.62  3.01  1.50 
  65  4.98  3.03  1.50 
  66  0.83  2.91  4.98 
  67  1.25  1.88  4.98 
  68  1.03  1.45  4.98 
  69  1.07  1.52  4.98 
  70  1.22  1.29  4.98 
  71  1.48  1.69  4.98 
  72  1.37  2.04  4.98 
  73  1.10  3.00  4.98 
  74  6.30  3.38  4.98 
  75  1.29  2.89  6.30 
  76  8.35  2.84  6.30 
  77  1.17  2.83  8.35 
  78  1.30  1.59  8.35 
  79  1.42  1.24  8.35 
  80  1.11  0.64  8.35 
  81  1.52  0.64  8.35 
  82  1.11  0.63  8.35 
  83  1.30  0.59  8.35 
  84  1.75  0.61  8.35 
  85  1.66  0.61  8.35 
  86  1.65  0.65  8.35 
  87  0.64  0.69  8.35 
  88  0.90  0.93  8.35 
  89  1.27  0.86  8.35 
  90  1.56  0.85  8.35 
  91  0.75  1.37  8.35 
  92  0.84  1.59  8.35 
  93  1.13  1.51  8.35 
  94  1.52  1.55  8.35 
  95  1.63  1.77  8.35 
  96  2.50  1.43  8.35 
  97  1.93  1.76  8.35 
  98  1.76  1.86  8.35 
  99  1.76  2.19  8.35 
 100  0.83  0.73  8.35 
 101  2.27  0.72  8.35 
 102  1.73  0.70  8.35 
 103  1.93  0.65  8.35 
 104  1.48  0.69  8.35 
