iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2672793865203857,0.018149586051941398,0.004338843193879565,0.0248439300011294,0.012730468629431875,0.0,0.13486414286236995,0.1,0.04890155792236328,0.055866241455078125,0.052726075,2.033618,0.018149586051941398,0.0,0.0003545952606199274,0.0,200,0.04993104934692383,13.811440390183279,4.706431645551143,200,0.017260604631664202,0.0
1,1.302724838256836,0.022132115755329383,0.004200433754128777,0.02829908535947845,0.016672498485643696,0.0,0.14115532261568442,0.1,0.005147695541381836,0.061739206314086914,0.055017214,1.4050632,0.018547839022280195,0.0,0.0004337189617778244,0.0,200,0.024062395095825195,2.5663337475223,0.27015020143541985,400,0.015359836589905154,0.0
2,1.2787632942199707,0.013515527261962753,0.00588090442294216,0.022769983986136468,0.006446152507371643,0.0,0.1556120937264112,0.1,0.0034525394439697266,0.07816123962402344,0.04984624,0.9412077,0.01804460784624845,0.0,0.0002707951621548612,0.0,200,0.03577470779418945,0.688562134430383,2.3216389270449143,600,0.012133486192626863,0.0
3,1.3410165309906006,0.024762549964094112,0.016662726396567736,0.05210774698248953,0.007001891773652582,0.0,0.14556446901898928,0.1,0.08464407920837402,0.05312395095825195,0.053625833,1.1757414,0.018716402058033016,0.0,0.0004936898405022907,0.0,200,0.04315471649169922,1.4204638828413325,0.512211497672163,800,0.015322119221647416,0.0
4,1.3573715686798096,0.02986260075069243,0.013848963428644848,0.05344496657015624,0.01791260249001467,0.0,0.15239083179699792,0.1,0.0046844482421875,0.09341621398925781,0.050198216,1.0911397,0.019831021927298957,0.0,0.0005946028435048252,0.0,200,0.12802338600158691,0.4475631087515,0.5901108207751495,1000,0.016824727185564155,0.0
5,1.2792081832885742,0.023999412443365807,0.007902120735506302,0.03708753441547353,0.01594235965196775,0.0,0.14513968835876406,0.1,0.005515098571777344,0.07088470458984375,0.04971068,1.2414846,0.020247860978905644,0.0,0.00047407951741597907,0.0,200,0.05744767189025879,1.0611832368066076,0.42301442306280007,1200,0.02413544430909566,0.0
6,1.4103829860687256,0.024841454108150494,0.013827615182790097,0.03874643821054831,0.010952667597535026,0.0,0.14997971499249907,0.1,0.003010988235473633,0.061669111251831055,0.05186869,1.0051696,0.020707220291830128,0.0,0.0004980519100168146,0.0,200,0.04626059532165527,0.546482951043489,0.511554805301709,1400,0.034081811589494984,0.0
7,1.3974106311798096,0.028565544645709325,0.027065307900743085,0.07416028528281056,0.006114908320889218,0.0,0.15485443587322975,0.1,0.012492179870605469,0.06276583671569824,0.053090602,1.3438226,0.02149305272721805,0.0,0.0005721859158160905,0.0,200,0.1476128101348877,0.726439866878613,0.653851963822494,1600,0.04596230035658033,0.0
8,1.3297746181488037,0.0476185478335432,0.06794061697501567,0.16512368970827443,0.0028424715206288842,0.0,0.1474038544850919,0.1,0.08533883094787598,0.05124688148498535,0.04867206,1.6426096,0.024105602237850562,0.0,0.0009478653568485696,0.0,200,0.024173974990844727,0.8479713153479949,0.7313394634840042,1800,0.07645536984393715,0.0
9,1.2027990818023682,0.03888589424251955,0.027135805465601178,0.08506971505736752,0.015996255870115755,0.0,0.15407073597906543,0.1,0.0029404163360595703,0.05214285850524902,0.05177219,1.1673951,0.02558363143831746,0.0,0.0007676363727729309,0.0,200,0.0338742733001709,0.412860960983249,0.5053838558546084,2000,0.0841892260451414,0.0
