iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3847966194152832,51.11044197949826,12.874385635075944,60.13174989092324,29.09218598189857,0.0,0.16478893712111736,0.1,0.03545832633972168,0.0614314079284668,0.050860077,0.5226256,51.11044197949826,0.0,0.6748883148983735,0.0,300,0.019767045974731445,0.9958927186959131,0.9881053768260291,300,60.08731989874843,0.0
1,1.2933218479156494,47.62090832831569,14.755504094117649,60.223958082959186,24.078941742090162,0.0,0.18076651028623927,0.1,0.0028922557830810547,0.057411909103393555,0.052456316,0.52375793,50.761488614380006,0.0,0.6283789078304083,0.0,300,0.01584482192993164,0.9878524781370374,0.9755936349634011,600,60.08814966401096,0.0
2,1.3303651809692383,48.093330814418465,17.495708086736535,60.104263834641046,18.085270579306286,0.0,0.1706876660973529,0.1,0.0031232833862304688,0.06128883361816406,0.050958734,0.52181536,50.494672834383856,0.0,0.6346677574524938,0.0,300,0.018677949905395508,0.9769844029433696,0.9573771438732136,900,60.08162800939177,0.0
3,1.3640952110290527,44.905545750760616,15.203274634708425,60.08077991043728,28.292002996324715,0.0,0.16898659579862327,0.1,0.0028579235076904297,0.05687403678894043,0.05180346,0.53090376,49.935760126021535,0.0,0.5921441969763345,0.0,300,0.017023086547851562,0.9543792615350589,0.9187958354210005,1200,60.08445308750951,0.0
4,1.331507921218872,28.615732162218823,20.237052502848144,60.1313651519486,4.066346762440458,0.0,0.17475012134442977,0.1,0.003002643585205078,0.06158113479614258,0.052099403,0.7418516,47.803757329641265,0.0,0.3783021244340938,0.0,300,0.01857161521911621,0.9140693985168205,0.8615121809819258,1500,60.09071350755702,0.0
5,1.390005111694336,42.39691750989003,15.884609899311492,60.07575228914784,17.173196457796145,0.0,0.16824579306091114,0.1,0.0029802322387695312,0.05959153175354004,0.049961038,0.58241063,47.26307334766614,0.0,0.5620563375241198,0.0,300,0.01767706871032715,0.8614441034352642,0.7828181775934511,1800,60.08434891170864,0.0
6,1.4093577861785889,51.08890268381695,15.57785908973205,60.10725756015145,24.10727262131263,0.0,0.18210322336208937,0.1,0.0028526782989501953,0.06070423126220703,0.049548123,0.54613954,47.64565628128122,0.0,0.6712800947050023,0.0,300,0.017913103103637695,0.8061223804811767,0.7036974230844905,2100,60.08697084825261,0.0
7,1.371795654296875,49.085044420063305,12.375224508732037,60.09729890845661,30.07389811431071,0.0,0.17507528731337776,0.1,0.003160715103149414,0.05950284004211426,0.04919348,0.48523116,47.789595095159434,0.0,0.6445366701406485,0.0,300,0.019008159637451172,0.6838564067422156,0.5510450672455326,2400,60.09284275434956,0.0
8,1.4063217639923096,51.947328195464436,8.941127333881509,60.08000945834076,38.54394126550021,0.0,0.16590314718760713,0.1,0.002865314483642578,0.057552337646484375,0.050912626,0.4991813,48.20536840518994,0.0,0.6827107036479478,0.0,300,0.018334388732910156,0.5454324682982901,0.399945676576299,2700,60.095483974335046,0.0
9,1.3563940525054932,49.62717266922418,18.163477171908802,60.14517834781992,18.16712642206206,0.0,0.17032653653916446,0.1,0.0027649402618408203,0.057126760482788086,0.051356256,0.6514885,48.347548831593365,0.0,0.6517849960040304,0.0,300,0.01894664764404297,0.4287739642409372,0.3089753488176255,3000,60.092545510247106,0.0
10,1.3995540142059326,51.61338164696551,13.00366478230055,60.08020071599735,29.187886759578205,0.0,0.17350506345721228,0.1,0.002863168716430664,0.06289792060852051,0.04993766,0.54470795,48.67413211313058,0.0,0.6816046156371401,0.0,300,0.019176721572875977,0.3019001317287274,0.2435698487882353,3300,60.08492347725234,0.0
11,1.406585454940796,54.35335515125046,9.968537593733492,60.150623969015626,37.087404237954985,0.0,0.1628686347294708,0.1,0.002775430679321289,0.06070995330810547,0.04890951,0.50916296,49.24205441694257,0.0,0.7148069418447665,0.0,300,0.018138647079467773,0.21182413743551143,0.18186574884203865,3600,60.08726434210008,0.0
12,1.3805749416351318,55.66030770375825,4.022953385226245,60.136873748576264,49.162174128377806,0.0,0.16459394480229034,0.1,0.003058910369873047,0.05837893486022949,0.049665764,0.5452281,49.88387974562414,0.0,0.7355233312003477,0.0,300,0.02156853675842285,0.1443447287398481,0.12526299340797953,3900,60.09085539224272,0.0
13,1.3667874336242676,52.38137182569059,12.846695313144753,60.14454940044803,30.14046709838031,0.0,0.16344721013547392,0.1,0.0028395652770996094,0.064208984375,0.051233508,0.63433826,50.13362895363079,0.0,0.691827301126585,0.0,300,0.017581701278686523,0.21471175667554976,0.18813300456875717,4200,60.097263413466955,0.0
14,1.3538310527801514,50.75052016614842,10.896530327428358,60.14516732396897,33.518563796429724,0.0,0.1649408014820364,0.1,0.007439136505126953,0.05666661262512207,0.051581524,0.6071042,50.19531807488255,0.0,0.6700721358420039,0.0,300,0.01984262466430664,0.21524456544513548,0.1759859306421945,4500,33.121364376011975,0.0
15,1.394094467163086,54.89136352336628,5.783596551700367,60.17457016970473,46.194394025739,0.0,0.16537271773239035,0.1,0.0029685497283935547,0.05919790267944336,0.049323093,0.75443107,50.66492261973092,0.0,0.7253129513936667,0.0,300,0.01882028579711914,0.12300802874966354,0.11589814946931817,4800,29.135817374711277,0.0
16,1.3768994808197021,37.4187227029207,10.244577622867553,54.30529434509822,27.20529349294788,0.0,0.1653631057012633,0.1,0.0030243396759033203,0.058214426040649414,0.050450172,0.8311707,49.340302628049905,0.0,0.4989941502634508,0.0,300,0.017727136611938477,0.4323498456753565,0.31004984658904333,5100,39.10281702141139,0.0
17,1.3718383312225342,56.859868240293935,5.643551721640663,60.14189578733736,47.085017232229596,0.0,0.16342167910094518,0.1,0.0028295516967773438,0.057643890380859375,0.051328443,0.5848876,50.09225918927431,0.0,0.748172412158262,0.0,300,0.01706838607788086,0.13970721336326328,0.14110573733220325,5400,30.095032154309767,0.0
18,1.383901596069336,40.15277601596252,11.874259947930796,60.08298177711142,30.26037267834788,0.0,0.16137799016421633,0.1,0.002849578857421875,0.05722665786743164,0.051180445,1.1483159,49.098310871943134,0.0,0.5321031784927939,0.0,300,0.023344993591308594,0.17965026177027418,0.1759523473298139,5700,36.08233453598955,0.0
19,1.4174914360046387,53.15469131384424,9.380056232896548,60.10016389627043,37.29085484902562,0.0,0.17106029093556352,0.1,0.002893686294555664,0.0598909854888916,0.05040104,0.6792178,49.50394891613325,0.0,0.7021621713807804,0.0,300,0.01816272735595703,0.15672032136670916,0.1439862442078779,6000,29.096580756414156,0.0
20,1.4106817245483398,56.36067791599221,6.491105396543526,60.131483533041575,45.117813778827895,0.0,0.17475800383115436,0.1,0.0030426979064941406,0.05979037284851074,0.04976154,0.6310931,50.18962181611915,0.0,0.7415385099797278,0.0,300,0.018669605255126953,0.11074498748247864,0.08279695929005317,6300,60.074949034038326,0.0
21,1.4460480213165283,42.37911636292348,14.819917566055436,60.063446754820205,19.09779905140476,0.0,0.15998780901064363,0.1,0.002961397171020508,0.05821681022644043,0.050735917,1.0580364,49.408571270799584,0.0,0.5617739209914249,0.0,300,0.019932031631469727,0.2522798534568058,0.25410707704798297,6600,60.081226454100346,0.0
22,1.455622673034668,45.53479097215594,14.060131927316739,60.11469092875953,31.465060732750295,0.0,0.1641008730600743,0.1,0.0029392242431640625,0.05960726737976074,0.049598165,1.4499105,49.02119324093522,0.0,0.6038842284425354,0.0,300,0.02350926399230957,0.23867722637902025,0.20752235339161473,6900,60.071550324900166,0.0
23,1.4847807884216309,50.38242960885875,16.869804502162545,60.21559898168507,21.1632415566875,0.0,0.17503179669637356,0.1,0.0029294490814208984,0.05881690979003906,0.049223747,0.68524253,49.157316877727574,0.0,0.6618069707058731,0.0,300,0.019867897033691406,0.17086497674333756,0.17310302512526443,7200,60.067094526405604,0.0
