Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.36  0.36 -100000000.00 
   1  0.37  0.36  0.36 
   2  0.36  0.36  0.37 
   3  0.38  0.36  0.37 
   4  0.37  0.36  0.38 
   5  0.36  0.36  0.38 
   6  0.37  0.36  0.38 
   7  0.36  0.36  0.38 
   8  0.37  0.37  0.38 
   9  0.37  0.37  0.38 
  10  0.37  0.36  0.38 
  11  0.38  0.37  0.38 
  12  0.37  0.38  0.38 
  13  0.37  0.41  0.38 
  14  0.41  0.42  0.38 
  15  0.42  0.46  0.41 
  16  0.39  0.47  0.42 
  17  0.38  0.43  0.42 
  18  0.38  0.39  0.42 
  19  0.37  0.35  0.42 
  20  0.39  0.31  0.42 
  21  0.44  0.44  0.42 
  22  0.39  0.37  0.44 
  23  0.36  0.36  0.44 
  24  0.40  0.36  0.44 
  25  0.37  0.37  0.44 
  26  0.38  0.38  0.44 
  27  0.37  0.37  0.44 
  28  0.39  0.37  0.44 
  29  0.37  0.37  0.44 
  30  0.41  0.37  0.44 
  31  0.38  0.38  0.44 
  32  0.37  0.38  0.44 
  33  0.40  0.38  0.44 
  34  0.37  0.41  0.44 
  35  0.44  0.39  0.44 
  36  0.38  0.38  0.44 
  37  0.39  0.39  0.44 
  38  0.44  0.37  0.44 
  39  0.42  0.36  0.44 
  40  0.38  0.37  0.44 
  41  0.41  0.37  0.44 
  42  0.38  0.37  0.44 
  43  0.45  0.38  0.44 
  44  0.43  0.38  0.45 
  45  0.43  0.38  0.45 
  46  0.42  0.38  0.45 
  47  0.42  0.37  0.45 
  48  0.41  0.37  0.45 
  49  0.43  0.39  0.45 
  50  0.40  0.38  0.45 
  51  0.41  0.38  0.45 
  52  0.45  0.37  0.45 
  53  0.47  0.38  0.45 
  54  0.42  0.40  0.47 
  55  0.43  0.40  0.47 
  56  0.50  0.40  0.47 
  57  0.44  0.40  0.50 
  58  0.46  0.42  0.50 
  59  0.47  0.56  0.50 
  60  0.39  0.61  0.50 
  61  0.56  0.66  0.50 
  62  0.49  0.71  0.56 
  63  0.60  0.71  0.56 
  64  0.47  0.84  0.60 
  65  0.59  1.00  0.60 
  66  0.82  1.10  0.60 
  67  0.58  2.35  0.82 
  68  0.49  2.78  0.82 
  69  0.68  2.37  0.82 
  70  0.69  1.88  0.82 
  71  2.28  0.93  0.82 
  72  1.28  0.52  2.28 
  73  0.59  0.94  2.28 
  74  0.74  0.69  2.28 
  75  0.57  0.62  2.28 
  76  0.78  0.69  2.28 
  77  0.59  0.80  2.28 
  78  0.78  1.02  2.28 
  79  0.72  1.05  2.28 
  80  0.78  1.07  2.28 
  81  0.77  0.88  2.28 
  82  0.97  1.19  2.28 
  83  0.90  1.08  2.28 
  84  1.08  1.45  2.28 
  85  0.82  0.64  2.28 
  86  1.15  0.84  2.28 
  87  0.77  0.81  2.28 
  88  1.78  0.64  2.28 
  89  0.75  0.95  2.28 
  90  1.06  1.39  2.28 
  91  0.64  0.60  2.28 
  92  2.06  0.65  2.28 
  93  1.69  0.82  2.28 
  94  1.00  1.03  2.28 
  95  2.22  0.88  2.28 
  96  2.56  0.76  2.28 
  97  1.79  0.69  2.56 
  98  2.54  0.61  2.56 
  99  1.81  0.59  2.56 
 100  1.36  0.76  2.56 
 101  1.55  0.73  2.56 
 102  1.46  0.94  2.56 
 103  1.04  0.89  2.56 
 104  1.08  0.68  2.56 
 105  2.02  0.53  2.56 
 106  1.17  0.64  2.56 
 107  4.31  0.58  2.56 
 108  1.45  0.47  4.31 
 109  1.42  0.47  4.31 
 110  2.31  0.47  4.31 
 111  2.39  0.53  4.31 
 112  0.95  0.44  4.31 
 113  1.55  0.49  4.31 
 114  2.34  0.47  4.31 
 115  2.18  0.47  4.31 
 116  2.23  0.55  4.31 
 117  2.40  0.46  4.31 
 118  2.86  0.44  4.31 
 119  2.56  0.48  4.31 
 120  2.45  0.46  4.31 
 121  1.33  0.45  4.31 
 122  1.62  0.43  4.31 
 123  1.97  0.46  4.31 
 124  2.29  0.45  4.31 
 125  1.69  0.42  4.31 
 126  2.52  0.42  4.31 
 127  9.46  0.42  4.31 
 128  2.45  0.45  9.46 
 129  2.09  0.61  9.46 
 130  2.44  0.53  9.46 
 131  3.10  0.61  9.46 
 132  2.32  0.58  9.46 
 133  2.02  0.55  9.46 
 134  2.07  0.56  9.46 
 135  1.30  0.61  9.46 
 136  3.90  0.67  9.46 
 137  2.21  0.56  9.46 
 138  3.17  0.56  9.46 
 139  2.52  0.59  9.46 
 140  2.47  0.55  9.46 
 141  2.05  0.44  9.46 
 142  2.44  0.45  9.46 
 143  1.11  0.54  9.46 
 144  1.69  0.52  9.46 
 145  2.55  0.61  9.46 
 146  2.56  0.71  9.46 
 147  1.75  0.52  9.46 
 148  1.59  0.64  9.46 
 149  3.98  0.70  9.46 
 150  2.71  0.55  9.46 
 151  2.85  0.53  9.46 
 152  6.67  0.52  9.46 
 153  1.82  0.74  9.46 
 154  2.99  0.69  9.46 
 155  2.53  0.69  9.46 
 156  2.23  0.75  9.46 
 157  2.43  2.07  9.46 
 158  1.46  0.81  9.46 
 159  2.79  0.71  9.46 
 160  3.52  0.64  9.46 
 161  4.39  0.65  9.46 
 162  2.28  0.64  9.46 
 163  4.60  0.67  9.46 
 164  2.77  0.95  9.46 
 165  4.55  7.37  9.46 
 166  2.84  1.10  9.46 
 167  6.61  0.99  9.46 
 168  3.71  0.83  9.46 
 169 10.42  0.83  9.46 
 170  1.19  1.08 10.42 
 171  2.27  0.75 10.42 
 172  2.78  0.91 10.42 
 173  4.23  0.99 10.42 
 174  2.37  2.50 10.42 
 175  2.61  0.75 10.42 
 176  2.83  0.74 10.42 
 177  2.48  0.43 10.42 
 178  3.48  0.47 10.42 
