iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3626086711883545,0.10919770097207537,0.003543353327078074,0.11499028910444774,0.10555018872942314,0.0,0.16118501863156437,0.1,0.03652024269104004,0.05916118621826172,0.052418284,1.8332062,0.10919770097207537,0.0,0.0014548005134332812,0.0,300,0.022449016571044922,11.339095840605513,0.5647212798665019,300,0.10536861906674362,0.0
1,1.2904653549194336,0.11175955213220584,0.005929203539181611,0.12193984225537353,0.10718082709927503,0.0,0.16882193173509333,0.1,0.0031690597534179688,0.060466766357421875,0.05195112,1.3751699,0.10945388608808843,0.0,0.0014918628748834379,0.0,300,0.03401803970336914,0.5927866921757706,1.0649648425105902,600,0.10582971733104592,0.0
2,1.471348762512207,0.10618550292001708,0.0037687004090921836,0.11188556295784037,0.10264104429357768,0.0,0.16757549745858227,0.1,0.015184879302978516,0.05771064758300781,0.04952239,1.0159085,0.1091270477712813,0.0,0.0014172124060714843,0.0,300,0.027092456817626953,1.2484231135796948,0.25399239158380765,900,0.10723079846049476,0.0
3,1.459965467453003,0.11668701350286186,0.006520473756809676,0.12317671334694082,0.10832926145631183,0.0,0.1668889856873572,0.1,0.00527501106262207,0.08565163612365723,0.055418745,1.0748191,0.10988304434443935,0.0,0.0015582595546981461,0.0,300,0.03246879577636719,0.24567348273873368,0.3337809692593063,1200,0.11015810196316698,0.0
4,1.4874930381774902,0.11767348080599416,0.009880734523443417,0.13431925555011787,0.10889388809182006,0.0,0.1537838595142363,0.1,0.005029916763305664,0.0632624626159668,0.056920934,2.6210728,0.11066208799059483,0.0,0.001566569093617589,0.0,300,0.10409235954284668,0.3424526797535142,0.26484776787478587,1500,0.11252642875899309,0.0
5,1.584934949874878,0.11691330058250454,0.01353620285943451,0.13640212046760897,0.10403955454369872,0.0,0.1543990494679928,0.1,0.004925727844238281,0.06695318222045898,0.05448721,7.943291,0.11128720924978582,0.0,0.0015609816701985383,0.0,300,0.048575401306152344,0.2763859555470029,0.1381097705897238,1800,0.1108532705268479,0.0
6,1.404106855392456,0.11868424619518753,0.018221723092366963,0.1493878941086585,0.10357762983428055,0.0,0.1526001847164579,0.1,0.08616447448730469,0.08691763877868652,0.048352372,3.159881,0.112026912944326,0.0,0.0015525995138250225,0.0,300,0.10967469215393066,0.1640094389907213,0.17518292440628272,2100,0.11189423513874243,0.0
7,1.459143877029419,0.10961076046442426,0.0014866690209920084,0.11215682472700282,0.10840658027705652,0.0,0.14481990758519805,0.1,0.08384394645690918,0.17221522331237793,0.048346125,5.669827,0.11178529769633583,0.0,0.0014605630841651638,0.0,300,0.0732417106628418,0.22922743860231312,0.09694268188031165,2400,0.11306465699006085,0.0
8,1.6067390441894531,0.11986942788447182,0.017198650939651554,0.1466412491716976,0.10307753344122897,0.0,0.1589671675676668,0.1,0.005440235137939453,0.06209444999694824,0.05120389,2.2336864,0.11259371071514943,0.0,0.0015950303404286535,0.0,300,0.0695343017578125,0.1261597875525553,0.15307029258645274,2700,0.11944337962382041,0.0
9,1.450911521911621,0.11465689579315622,0.006145526205915178,0.12086792716146436,0.1062620291185182,0.0,0.15355146525381272,0.1,0.015381813049316406,0.06555414199829102,0.04881858,2.3716142,0.11280002922295011,0.0,0.0015301771892481265,0.0,300,0.027861833572387695,0.13104662715623122,0.09499454107357047,3000,0.11053877844771447,0.0
