Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.00  0.00 -100000000.00 
   1  0.01  0.00  0.00 
   2  0.00  0.00  0.01 
   3  0.00  0.00  0.01 
   4  0.01  0.00  0.01 
   5  0.01  0.00  0.01 
   6  0.00  0.01  0.01 
   7  0.01  0.01  0.01 
   8  0.02  0.01  0.01 
   9  0.01  0.01  0.02 
  10  0.00  0.01  0.02 
  11  0.02  0.01  0.02 
  12  0.02  0.01  0.02 
  13  0.02  0.01  0.02 
  14  0.07  0.02  0.02 
  15  0.01  0.02  0.07 
  16  0.01  0.02  0.07 
  17  0.02  0.04  0.07 
  18  0.06  0.03  0.07 
  19  0.01  0.03  0.07 
  20  0.03  0.04  0.07 
  21  0.01  0.04  0.07 
  22  0.20  0.06  0.07 
  23  0.02  0.04  0.20 
  24  0.04  0.04  0.20 
  25  0.02  0.03  0.20 
  26  0.03  0.04  0.20 
  27  0.01  0.04  0.20 
  28  0.02  0.06  0.20 
  29  0.06  0.06  0.20 
  30  0.03  0.06  0.20 
  31  0.07  0.07  0.20 
  32  0.02  0.04  0.20 
  33  0.07  0.06  0.20 
  34  0.02  0.07  0.20 
  35  0.04  0.10  0.20 
  36  0.06  0.09  0.20 
  37  0.02  0.10  0.20 
  38  0.08  0.11  0.20 
  39  0.07  0.13  0.20 
  40  0.06  0.11  0.20 
  41  0.06  0.14  0.20 
  42  0.06  0.20  0.20 
  43  0.13  0.25  0.20 
  44  0.13  0.27  0.20 
  45  0.05  0.19  0.20 
  46  0.06  0.20  0.20 
  47  0.04  0.28  0.20 
  48  0.10  0.23  0.20 
  49  0.11  0.16  0.20 
  50  0.04  0.24  0.20 
  51  0.14  0.19  0.20 
  52  0.07  0.16  0.20 
  53  0.05  0.17  0.20 
  54  0.16  0.13  0.20 
  55  0.06  0.14  0.20 
  56  0.05  0.20  0.20 
  57  0.12  0.30  0.20 
  58  0.13  0.30  0.20 
  59  0.11  0.36  0.20 
  60  0.04  0.52  0.20 
  61  0.08  0.54  0.20 
  62  0.16  0.50  0.20 
  63  0.12  0.49  0.20 
  64  0.15  0.45  0.20 
  65  0.08  0.48  0.20 
  66  0.20  0.55  0.20 
  67  0.11  0.52  0.20 
  68  0.17  0.55  0.20 
  69  0.20  0.50  0.20 
  70  0.05  0.47  0.20 
  71  0.28  0.57  0.20 
  72  0.26  0.36  0.28 
  73  0.13  0.45  0.28 
  74  0.21  0.52  0.28 
  75  0.17  0.38  0.28 
  76  0.33  0.45  0.28 
  77  0.14  0.39  0.33 
  78  0.11  0.38  0.33 
  79  0.22  0.28  0.33 
  80  0.13  0.36  0.33 
  81  0.30  0.41  0.33 
  82  0.20  0.39  0.33 
  83  0.21  0.29  0.33 
  84  0.29  0.31  0.33 
  85  0.27  0.39  0.33 
  86  0.39  0.26  0.33 
