Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.01  0.01  0.01 
   4  0.01  0.01  0.01 
   5  0.01  0.01  0.01 
   6  0.01  0.01  0.01 
   7  0.01  0.02  0.01 
   8  0.01  0.03  0.01 
   9  0.01  0.03  0.01 
  10  0.03  0.02  0.01 
  11  0.02  0.02  0.03 
  12  0.02  0.03  0.03 
  13  0.02  0.03  0.03 
  14  0.05  0.04  0.03 
  15  0.01  0.04  0.05 
  16  0.02  0.08  0.05 
  17  0.02  0.07  0.05 
  18  0.06  0.06  0.05 
  19  0.02  0.07  0.06 
  20  0.04  0.07  0.06 
  21  0.03  0.10  0.06 
  22  0.13  0.16  0.06 
  23  0.03  0.11  0.13 
  24  0.09  0.10  0.13 
  25  0.02  0.13  0.13 
  26  0.03  0.18  0.13 
  27  0.02  0.21  0.13 
  28  0.04  0.39  0.13 
  29  0.08  0.42  0.13 
  30  0.14  0.49  0.13 
  31  0.07  0.45  0.14 
  32  0.04  0.41  0.14 
  33  0.08  0.43  0.14 
  34  0.06  0.41  0.14 
  35  0.11  0.39  0.14 
  36  0.06  0.40  0.14 
  37  0.04  0.32  0.14 
  38  0.18  0.35  0.14 
  39  0.07  0.40  0.18 
  40  0.09  0.49  0.18 
  41  0.15  0.57  0.18 
  42  0.07  0.73  0.18 
  43  0.22  0.63  0.18 
  44  0.28  0.78  0.22 
  45  0.10  0.81  0.28 
  46  0.10  0.76  0.28 
  47  0.17  0.74  0.28 
  48  0.11  0.43  0.28 
  49  0.16  0.91  0.28 
  50  0.08  0.99  0.28 
  51  0.15  0.84  0.28 
  52  0.16  0.74  0.28 
  53  0.18  0.89  0.28 
  54  0.37  0.51  0.28 
  55  0.11  0.40  0.37 
  56  0.11  0.26  0.37 
  57  0.30  0.25  0.37 
  58  0.20  0.42  0.37 
  59  0.21  0.40  0.37 
  60  0.07  0.27  0.37 
  61  0.29  0.31  0.37 
  62  0.25  0.38  0.37 
  63  0.30  0.85  0.37 
  64  0.20  0.66  0.37 
  65  0.35  0.29  0.37 
  66  0.53  0.31  0.37 
  67  0.40  0.40  0.53 
  68  0.24  0.30  0.53 
  69  0.25  0.44  0.53 
  70  0.46  0.32  0.53 
  71  0.21  0.29  0.53 
  72  1.03  0.27  0.53 
  73  0.32  0.33  1.03 
  74  0.24  0.24  1.03 
  75  0.40  0.40  1.03 
  76  0.65  0.31  1.03 
  77  0.31  0.53  1.03 
  78  0.48  0.62  1.03 
  79  0.46  0.48  1.03 
  80  0.42  0.61  1.03 
  81  0.65  0.45  1.03 
  82  0.33  0.73  1.03 
  83  0.18  1.04  1.03 
  84  0.35  0.85  1.03 
  85  0.41  0.89  1.03 
  86  0.57  0.83  1.03 
  87  0.43  0.47  1.03 
  88  0.55  0.36  1.03 
  89  0.29  0.36  1.03 
  90  0.42  0.45  1.03 
  91  0.17  0.42  1.03 
  92  0.35  0.53  1.03 
  93  0.43  0.65  1.03 
  94  0.47  0.77  1.03 
  95  0.48  0.58  1.03 
  96  0.96  0.70  1.03 
  97  0.76  0.42  1.03 
  98  0.39  0.41  1.03 
  99  0.40  0.33  1.03 
 100  0.50  0.35  1.03 
 101  0.50  0.79  1.03 
 102  0.40  1.14  1.03 
 103  0.70  0.68  1.03 
 104  0.27  0.68  1.03 
 105  0.61  0.66  1.03 
 106  0.50  0.60  1.03 
 107  0.54  0.41  1.03 
