iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.142568826675415,0.008851053142849433,0.006342933954027518,0.01822085066676782,0.0012633858612883693,0.0,0.14582309522266734,0.1,0.05339503288269043,0.055223703384399414,0.055375025,0.97429967,0.008851053142849433,0.0,0.00017502425116859783,0.0,200,0.03696608543395996,31.101812130930362,9.292028848603596,200,0.00874137023558584,0.0
1,1.0104341506958008,0.01225853119299758,0.004498421095101585,0.019789471166291546,0.008061207968099688,0.0,0.14439636729404393,0.1,0.0028569698333740234,0.05310559272766113,0.048486356,0.8172905,0.009191800947864249,0.0,0.0002330069417699107,0.0,200,0.013737916946411133,6.183941914247581,0.8516678223979438,400,0.009904326172351456,0.0
2,0.9644985198974609,0.009932795042374282,0.0024835203785507545,0.013462527404023202,0.006803049927774963,0.0,0.13998827196643374,0.1,0.09345626831054688,0.2455615997314453,0.050775986,1.1631061,0.009265900357315253,0.0,0.0001977928510386703,0.0,200,0.014449119567871094,1.8289557164501034,2.106064113294512,600,0.011525936474479146,0.0
3,0.959129810333252,0.00813132115727536,0.005973929232155805,0.014080585949885666,0.001362476758156369,0.0,0.1438983769151295,0.1,0.0026388168334960938,0.055921077728271484,0.054021865,0.9639317,0.009152442437311264,0.0,0.00016196397299447416,0.0,200,0.013228178024291992,1.8440356192304972,1.041363672077582,800,0.01252674371394519,0.0
4,1.0795342922210693,0.02838953460337601,0.01139560701940484,0.04454946934343743,0.012900629935114396,0.0,0.1531146845565294,0.1,0.002639293670654297,0.05200624465942383,0.049227577,1.0697162,0.011076151653917739,0.0,0.0005667907723357046,0.0,200,0.014136075973510742,0.8375873406776517,0.3707152979918116,1000,0.013382530739633995,0.0
5,1.0522212982177734,0.03776540983636103,0.01387695984956451,0.061596390664023094,0.02825592986163438,0.0,0.1467974840728731,0.1,0.0026955604553222656,0.05274391174316406,0.04873957,1.1227365,0.013745077472162068,0.0,0.0007470115492575837,0.0,200,0.013816356658935547,0.5174085272190383,0.4136576053344001,1200,0.013020658482840756,0.0
6,1.0115907192230225,0.0119583405819037,0.007167017413583317,0.024045969434214894,0.0053200881537560606,0.0,0.14710632710175542,0.1,0.00270843505859375,0.05320549011230469,0.051314052,0.8207038,0.013566403783136232,0.0,0.00023859790164945291,0.0,200,0.013820886611938477,5.799092704719691,1.9201940523065517,1400,0.018241940481090287,0.0
7,1.0189495086669922,0.01547788835100653,0.015795486801301946,0.042561362128411044,0.00404813996602918,0.0,0.14607401564924186,0.1,0.002624988555908203,0.05492806434631348,0.051171478,1.6230569,0.013757552239923263,0.0,0.00030829400853985895,0.0,200,0.013339996337890625,1.0811652047556,0.8770803134992989,1600,0.015740618227544658,0.0
8,1.105170488357544,0.05274392459070486,0.06481542973238721,0.16309418857152672,0.004278057879263204,0.0,0.14575432273284697,0.1,0.0027027130126953125,0.05309152603149414,0.04904194,1.2988495,0.017656189475001423,0.0,0.0010522706406772737,0.0,200,0.013502359390258789,0.963038557509364,0.7569716361189304,1800,0.018497826027892596,0.0
9,1.0447299480438232,0.03593243356528217,0.027550205015445056,0.07742084001032506,0.002357714316667341,0.0,0.14260709161162213,0.1,0.002799510955810547,0.05341315269470215,0.050972857,1.1871076,0.019483813884029498,0.0,0.0007154000277426716,0.0,200,0.013451814651489258,0.49125073903237676,0.5433563237504897,2000,0.02337888969153772,0.0
10,0.9937827587127686,0.013347514133661725,0.008649557248896213,0.024514027382317716,0.0019634332007447478,0.0,0.14096730092293647,0.1,0.0028645992279052734,0.05314302444458008,0.049180165,1.0553318,0.018870183908992724,0.0,0.0002668915061224262,0.0,200,0.01350855827331543,7.752607580529455,4.71248744289579,2200,0.022374816679244878,0.0
11,1.0084240436553955,0.049497480340236766,0.038901212540093495,0.0922975593396184,0.0062260852324687,0.0,0.13808620621637951,0.1,0.002823352813720703,0.053359270095825195,0.049987663,1.0152333,0.021932913552117128,0.0,0.000987969956144801,0.0,200,0.013794660568237305,0.4969927899194348,0.5331105225540987,2400,0.02186256820130932,0.0
12,1.0284755229949951,0.0488333244139343,0.04665407449597772,0.12807486337855514,0.010962670429241952,0.0,0.14320176284058955,0.1,0.0026922225952148438,0.05203604698181152,0.047271803,1.3860744,0.024622954638298847,0.0,0.0009764720828021792,0.0,200,0.013864755630493164,0.5846785076014565,0.5521166350626939,2600,0.03594121275533497,0.0
13,1.0422046184539795,0.05132251496808556,0.06454884529502584,0.16173628815669558,0.005199804714306452,0.0,0.1436698726371709,0.1,0.002731800079345703,0.05200815200805664,0.047580067,1.3446133,0.02729291067127752,0.0,0.0010245967578171307,0.0,200,0.013501882553100586,0.7021186450699558,0.6718561566551768,2800,0.03323532298752407,0.0
14,1.0888340473175049,0.18578760839154743,0.20392591148598707,0.5337260130830688,0.029248089952004615,0.0,0.14053918761190431,0.1,0.00275421142578125,0.05187177658081055,0.050283056,1.6370181,0.04314238044330451,0.0,0.003713817806020828,0.0,200,0.013923406600952148,0.8240373579032616,0.6829659097797088,3000,0.06443159995054222,0.0
15,1.1590113639831543,0.02430103035505768,0.009034029538277142,0.033772437164432394,0.009481288743261328,0.0,0.1355907525983609,0.1,0.0026443004608154297,0.05219674110412598,0.049524292,2.0023239,0.04125824543447983,0.0,0.0004852930473456268,0.0,200,0.014272928237915039,14.015956161035593,19.449747255831266,3200,0.0508762832576826,0.0
16,1.0913231372833252,0.04375821355445978,0.03203622824313584,0.08490921810593303,0.010214186959514425,0.0,0.13926399864078337,0.1,0.0026702880859375,0.05138206481933594,0.050581694,0.97783774,0.04150824224647783,0.0,0.0008571009311930951,0.0,200,0.01327371597290039,2.380582168256657,1.073103374309945,3400,0.03228841885050809,0.0
17,1.1738977432250977,0.049861269081170896,0.03521674848272394,0.08988449916408775,0.011776086401964458,0.0,0.13723564825269768,0.1,0.0026924610137939453,0.051419973373413086,0.04973935,1.1996382,0.04234354492994714,0.0,0.0009940403645744328,0.0,200,0.014114856719970703,0.8617837781718891,0.4148557325694132,3600,0.12075834331804902,0.0
18,1.0817348957061768,0.1380093890185527,0.06583792237327166,0.23990748805917117,0.05684412836580692,0.0,0.13475052548408087,0.1,0.002709627151489258,0.05285501480102539,0.049372543,1.265038,0.051910129338807696,0.0,0.0027588014041460386,0.0,200,0.014879941940307617,0.5384878677912646,0.5623623444733139,3800,0.14170992067214888,0.0
19,1.1966252326965332,0.04017190534549478,0.02423608615318405,0.07688567115369195,0.016353222839500636,0.0,0.1382028465501581,0.1,0.002614736557006836,0.05695939064025879,0.049299374,1.2379293,0.05073630693947641,0.0,0.0007642813356074894,0.0,200,0.014450788497924805,0.37047209386613666,0.40940482635572784,4000,0.12721928004806668,0.0
