Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  3.75  4.00 -100000000.00 
   1  4.02  3.93  3.75 
   2  4.01  3.84  4.02 
   3  3.76  4.01  4.02 
   4  4.04  3.67  4.02 
   5  3.25  3.42  4.04 
   6  3.75  3.92  4.04 
   7  3.26  3.34  4.04 
   8  4.00  2.59  4.04 
   9  3.51  3.59  4.04 
  10  3.51  3.67  4.04 
  11  2.76  3.01  4.04 
  12  2.76  3.92  4.04 
  13  4.00  3.25  4.04 
  14  3.25  3.17  4.04 
  15  4.01  4.18  4.04 
  16  3.26  3.51  4.04 
  17  3.26  4.52  4.04 
  18  4.00  3.68  4.04 
  19  3.00  4.02  4.04 
  20  2.76  3.43  4.04 
  21  3.50  3.36  4.04 
  22  3.26  3.43  4.04 
  23  2.26  3.20  4.04 
  24  3.01  3.27  4.04 
  25  3.51  4.33  4.04 
  26  4.01  3.43  4.04 
  27  4.01  3.35  4.04 
  28  3.50  3.60  4.04 
  29  4.00  3.85  4.04 
  30  3.25  4.03  4.04 
  31  4.01  4.89  4.04 
  32  4.02  3.70  4.04 
  33  3.26  3.96  4.04 
  34  4.05  3.89  4.04 
  35  3.51  3.81  4.05 
  36  4.01  3.45  4.05 
  37  4.01  3.38  4.05 
  38  4.01  4.20  4.05 
  39  4.02  3.60  4.05 
  40  2.26  3.87  4.05 
  41  4.03  3.38  4.05 
  42  4.03  3.77  4.05 
  43  2.89  3.43  4.05 
  44  3.00  3.85  4.05 
  45  4.04  4.18  4.05 
  46  4.01  3.86  4.05 
  47  3.76  3.18  4.05 
  48  3.25  3.61  4.05 
  49  4.01  4.19  4.05 
  50  3.00  2.92  4.05 
  51  3.28  3.85  4.05 
  52  4.25  3.52  4.05 
  53  2.75  3.52  4.25 
  54  4.02  4.29  4.25 
  55  1.50  3.20  4.25 
  56  4.09  3.61  4.25 
  57  4.02  3.19  4.25 
  58  4.01  3.52  4.25 
  59  3.81  3.61  4.25 
  60  4.00  3.81  4.25 
  61  4.04  4.04  4.25 
  62  4.05  3.96  4.25 
  63  3.50  4.19  4.25 
  64  2.76  3.68  4.25 
  65  3.78  2.61  4.25 
  66  4.04  2.69  4.25 
  67  2.51  3.78  4.25 
  68  3.26  3.54  4.25 
  69  3.26  3.79  4.25 
  70  3.76  3.79  4.25 
  71  2.76  3.52  4.25 
  72  3.00  3.45  4.25 
  73  4.02  3.70  4.25 
  74  4.00  3.52  4.25 
  75  2.75  3.53  4.25 
  76  2.76  4.03  4.25 
  77  4.00  2.76  4.25 
  78  3.56  4.04  4.25 
  79  3.76  2.94  4.25 
  80  4.05  2.59  4.25 
  81  4.06  3.64  4.25 
  82  3.76  4.05  4.25 
  83  1.77  3.72  4.25 
  84  3.78  4.04  4.25 
  85  2.75  3.70  4.25 
  86  4.01  3.35  4.25 
  87  4.01  2.94  4.25 
  88  2.75  3.61  4.25 
  89  3.78  3.60  4.25 
  90  4.01  3.95  4.25 
  91  4.01  3.53  4.25 
  92  4.21  3.53  4.25 
  93  4.06  3.70  4.25 
  94  2.32  3.95  4.25 
  95  3.75  3.21  4.25 
  96  4.10  3.79  4.25 
  97  4.06  3.78  4.25 
  98  4.00  3.19  4.25 
  99  3.76  3.44  4.25 
 100  2.75  3.60  4.25 
 101  3.27  3.69  4.25 
 102  0.80  4.03  4.25 
 103  3.25  3.78  4.25 
 104  4.01  3.60  4.25 
 105  3.52  3.69  4.25 
 106  3.51  3.26  4.25 
 107  3.25  3.60  4.25 
 108  3.53  3.35  4.25 
 109  3.75  4.19  4.25 
 110  4.01  3.93  4.25 
 111  3.26  3.60  4.25 
 112  3.75  3.69  4.25 
 113  4.02  3.94  4.25 
 114  4.02  3.77  4.25 
 115  2.75  4.03  4.25 
 116  3.02  3.60  4.25 
 117  4.05  4.01  4.25 
 118  4.02  4.52  4.25 
 119  4.40  3.00  4.25 
 120  3.76  3.42  4.40 
 121  4.03  3.42  4.40 
 122  2.01  3.67  4.40 
 123  3.54  3.92  4.40 
 124  4.07  3.42  4.40 
 125  4.00  4.00  4.40 
 126  3.03  3.75  4.40 
 127  3.02  3.75  4.40 
 128  4.03  3.33  4.40 
 129  3.25  3.50  4.40 
 130  4.16  3.92  4.40 
 131  3.00  3.59  4.40 
 132  3.03  3.75  4.40 
 133  2.75  3.84  4.40 
 134  4.02  3.84  4.40 
 135  2.52  3.83  4.40 
 136  3.25  3.67  4.40 
 137  3.00  4.00  4.40 
 138  4.03  3.42  4.40 
 139  4.08  3.67  4.40 
 140  4.01  3.42  4.40 
 141  4.52  3.45  4.40 
 142  4.01  3.60  4.52 
 143  4.59  4.12  4.52 
 144  2.77  4.01  4.59 
 145  4.00  3.93  4.59 
 146  3.00  3.84  4.59 
 147  3.31  3.87  4.59 
 148  3.75  3.35  4.59 
 149  4.02  3.80  4.59 
 150  4.01  3.36  4.59 
 151  4.55  3.62  4.59 
 152  5.45  2.96  4.59 
 153  4.08  4.01  5.45 
 154  3.00  3.76  5.45 
 155  4.07  3.63  5.45 
 156  4.01  3.74  5.45 
 157  3.50  3.52  5.45 
 158  4.04  3.62  5.45 
 159  3.76  3.35  5.45 
 160  4.04  4.23  5.45 
 161  4.02  2.97  5.45 
 162  3.27  3.64  5.45 
 163  2.76  3.77  5.45 
 164  4.06  3.54  5.45 
 165  3.54  3.59  5.45 
 166  2.76  4.05  5.45 
 167  4.01  3.78  5.45 
 168  4.01  3.73  5.45 
 169  3.06  4.07  5.45 
 170  4.02  3.69  5.45 
 171  4.03  3.25  5.45 
 172  2.77  3.63  5.45 
 173  4.00  3.34  5.45 
 174  4.02  4.06  5.45 
 175  3.75  3.20  5.45 
 176  3.80  3.69  5.45 
 177  4.07  4.07  5.45 
 178  4.01  3.38  5.45 
 179  2.78  3.69  5.45 
 180  3.78  4.02  5.45 
 181  4.00  4.02  5.45 
 182  4.01  3.68  5.45 
 183  4.08  3.12  5.45 
 184  4.00  3.48  5.45 
 185  4.04  3.10  5.45 
 186  4.00  3.75  5.45 
 187  4.01  3.18  5.45 
 188  3.03  3.63  5.45 
 189  3.27  3.77  5.45 
 190  3.52  3.69  5.45 
 191  4.07  2.43  5.45 
 192  4.00  3.84  5.45 
 193  4.01  4.01  5.45 
 194  4.02  3.18  5.45 
 195  3.30  3.43  5.45 
 196  2.02  3.59  5.45 
 197  3.50  3.43  5.45 
 198  4.18  4.02  5.45 
 199  3.76  3.77  5.45 
 200  3.90  3.79  5.45 
 201  4.08  3.88  5.45 
 202  4.02  3.51  5.45 
 203  2.75  2.93  5.45 
 204  4.00  2.09  5.45 
 205  3.03  4.04  5.45 
 206  4.53  4.03  5.45 
 207  4.00  3.44  5.45 
 208  4.06  3.56  5.45 
 209  4.05  3.25  5.45 
 210  4.01  4.01  5.45 
 211  4.01  3.76  5.45 
 212  4.04  3.00  5.45 
 213  3.53  3.61  5.45 
 214  2.00  3.35  5.45 
 215  4.56  3.68  5.45 
 216  2.77  3.44  5.45 
 217  2.01  3.59  5.45 
 218  4.01  3.43  5.45 
 219  4.27  3.77  5.45 
 220  4.00  3.18  5.45 
 221  4.01  3.69  5.45 
 222  4.00  3.18  5.45 
 223  3.77  3.36  5.45 
 224  3.51  3.44  5.45 
 225  4.00  3.36  5.45 
 226  4.58  3.87  5.45 
 227  4.56  3.62  5.45 
 228  4.63  3.52  5.45 
 229  4.01  3.39  5.45 
 230  4.02  3.77  5.45 
 231  4.04  3.96  5.45 
 232  4.10  2.51  5.45 
 233  4.01  3.19  5.45 
 234  2.85  3.78  5.45 
 235  4.03  3.34  5.45 
 236  4.61  3.77  5.45 
 237  3.00  3.61  5.45 
 238  3.02  3.51  5.45 
 239  4.00  3.44  5.45 
 240  3.52  3.87  5.45 
 241  3.02  3.53  5.45 
 242  4.01  3.35  5.45 
 243  2.76  3.40  5.45 
 244  2.50  3.76  5.45 
 245  4.06  3.99  5.45 
 246  4.01  4.07  5.45 
 247  4.01  3.37  5.45 
 248  4.00  3.54  5.45 
