Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.11  0.10 -100000000.00 
   1  0.11  0.10  0.11 
   2  0.10  0.10  0.11 
   3  0.12  0.11  0.11 
   4  0.11  0.11  0.12 
   5  0.11  0.11  0.12 
   6  0.12  0.11  0.12 
   7  0.11  0.11  0.12 
   8  0.12  0.11  0.12 
   9  0.11  0.11  0.12 
  10  0.11  0.10  0.12 
  11  0.13  0.10  0.12 
  12  0.11  0.12  0.13 
  13  0.11  0.13  0.13 
  14  0.21  0.14  0.13 
  15  0.18  0.17  0.21 
  16  0.17  0.18  0.21 
  17  0.13  0.15  0.21 
  18  0.13  0.14  0.21 
  19  0.14  0.17  0.21 
  20  0.16  0.16  0.21 
  21  0.19  0.15  0.21 
  22  0.23  0.14  0.21 
  23  0.17  0.14  0.23 
  24  0.18  0.13  0.23 
  25  0.13  0.13  0.23 
  26  0.13  0.15  0.23 
  27  0.16  0.13  0.23 
  28  0.17  0.12  0.23 
  29  0.13  0.13  0.23 
  30  0.22  0.14  0.23 
  31  0.16  0.15  0.23 
  32  0.14  0.19  0.23 
  33  0.26  0.17  0.23 
  34  0.17  0.13  0.26 
  35  0.28  0.16  0.26 
  36  0.22  0.14  0.28 
  37  0.17  0.19  0.28 
  38  0.32  0.28  0.28 
  39  0.27  0.25  0.32 
  40  0.42  0.52  0.32 
  41  0.34  0.67  0.42 
  42  0.36  0.53  0.42 
  43  1.09  0.39  0.42 
  44  0.63  0.53  1.09 
  45  0.55  0.29  1.09 
  46  0.96  0.25  1.09 
  47  0.52  0.40  1.09 
  48  0.72  0.71  1.09 
  49  0.91  0.81  1.09 
  50  0.78  0.34  1.09 
  51  0.51  0.30  1.09 
  52  0.50  0.40  1.09 
  53  0.80  0.54  1.09 
  54  0.76  0.43  1.09 
  55  0.73  0.44  1.09 
  56  0.61  0.20  1.09 
  57  1.04  0.24  1.09 
  58  0.89  0.17  1.09 
  59  0.56  0.13  1.09 
  60  0.38  0.12  1.09 
  61  0.99  0.13  1.09 
  62  0.67  0.16  1.09 
  63  0.69  0.15  1.09 
  64  0.86  0.11  1.09 
  65  0.72  0.11  1.09 
  66  1.14  0.12  1.09 
  67  0.97  0.11  1.14 
  68  1.28  0.11  1.14 
  69  0.81  0.11  1.28 
  70  1.28  0.12  1.28 
  71  1.43  0.12  1.28 
  72  1.19  0.13  1.43 
  73  1.06  0.11  1.43 
  74  5.50  0.11  1.43 
  75  0.92  0.11  5.50 
  76  1.23  0.11  5.50 
  77  1.04  0.11  5.50 
  78  2.36  0.11  5.50 
  79  1.10  0.13  5.50 
  80  1.10  0.14  5.50 
  81  0.60  0.15  5.50 
  82  1.19  0.13  5.50 
  83  1.51  0.13  5.50 
  84  1.11  0.13  5.50 
  85  2.14  0.13  5.50 
  86  1.77  0.13  5.50 
  87  0.67  0.13  5.50 
  88  1.25  0.13  5.50 
  89  2.55  0.17  5.50 
  90  1.09  0.20  5.50 
  91  0.85  0.25  5.50 
  92  1.22  0.36  5.50 
  93  1.36  0.36  5.50 
  94  1.51  0.21  5.50 
  95  1.45  0.45  5.50 
  96  2.55  0.80  5.50 
  97  1.99  0.90  5.50 
  98  2.48  0.68  5.50 
  99  1.32  0.80  5.50 
 100  0.63  0.64  5.50 
